# _root_ Řešení by se však hledat mělo , protože oba festivaly měly jednak vysokou úroveň , jednak lákaly do Prahy řadu turistů .
#goldHeads=6,6,6,6,6,0,8,6,10,16,16,16,14,11,16,8,16,17,18,17,20,0,
#predictedHeads=6,6,6,0,6,4,8,6,10,11,8,16,14,11,16,11,16,17,18,17,20,0,
(0,1),-1.66545 # DEPENDENCYPART_ARC
(0,4),1.83186 # DEPENDENCYPART_ARC
(0,5),-2.04649 # DEPENDENCYPART_ARC
(0,6),-1.02742 # DEPENDENCYPART_ARC
(0,7),-0.888133 # DEPENDENCYPART_ARC
(0,8),-2.94369 # DEPENDENCYPART_ARC
(0,11),-1.45943 # DEPENDENCYPART_ARC
(0,15),-1.45649 # DEPENDENCYPART_ARC
(0,16),-2.11845 # DEPENDENCYPART_ARC
(0,17),-3.00582 # DEPENDENCYPART_ARC
(0,22),3.99831 # DEPENDENCYPART_ARC
(1,2),0.706412 # DEPENDENCYPART_ARC
(1,4),0.0127393 # DEPENDENCYPART_ARC
(1,5),-0.968331 # DEPENDENCYPART_ARC
(1,6),-2.74231 # DEPENDENCYPART_ARC
(4,1),0.965109 # DEPENDENCYPART_ARC
(4,2),1.93432 # DEPENDENCYPART_ARC
(4,3),-0.324737 # DEPENDENCYPART_ARC
(4,5),1.06264 # DEPENDENCYPART_ARC
(4,6),0.91154 # DEPENDENCYPART_ARC
(4,7),0.142723 # DEPENDENCYPART_ARC
(4,8),-0.492827 # DEPENDENCYPART_ARC
(4,11),-1.42279 # DEPENDENCYPART_ARC
(4,12),-0.846413 # DEPENDENCYPART_ARC
(4,15),-0.259592 # DEPENDENCYPART_ARC
(4,16),-1.13517 # DEPENDENCYPART_ARC
(4,17),-3.02238 # DEPENDENCYPART_ARC
(5,1),0.528807 # DEPENDENCYPART_ARC
(5,3),1.95178 # DEPENDENCYPART_ARC
(5,4),1.20817 # DEPENDENCYPART_ARC
(5,6),1.44999 # DEPENDENCYPART_ARC
(5,7),-0.917631 # DEPENDENCYPART_ARC
(5,8),1.01955 # DEPENDENCYPART_ARC
(5,9),-2.17055 # DEPENDENCYPART_ARC
(5,10),-4.00558 # DEPENDENCYPART_ARC
(5,11),-2.90452 # DEPENDENCYPART_ARC
(5,15),-1.39349 # DEPENDENCYPART_ARC
(5,16),-0.0989536 # DEPENDENCYPART_ARC
(6,1),2.21896 # DEPENDENCYPART_ARC
(6,2),2.25581 # DEPENDENCYPART_ARC
(6,3),2.97393 # DEPENDENCYPART_ARC
(6,4),1.51659 # DEPENDENCYPART_ARC
(6,5),3.19713 # DEPENDENCYPART_ARC
(6,7),0.669357 # DEPENDENCYPART_ARC
(6,8),2.51072 # DEPENDENCYPART_ARC
(6,9),-1.17851 # DEPENDENCYPART_ARC
(6,10),-1.79127 # DEPENDENCYPART_ARC
(6,11),-2.82955 # DEPENDENCYPART_ARC
(6,12),0.161847 # DEPENDENCYPART_ARC
(6,13),-5.47821 # DEPENDENCYPART_ARC
(6,14),-2.59037 # DEPENDENCYPART_ARC
(6,15),-0.172893 # DEPENDENCYPART_ARC
(6,16),0.38235 # DEPENDENCYPART_ARC
(6,17),-5.73559 # DEPENDENCYPART_ARC
(7,1),-1.48405 # DEPENDENCYPART_ARC
(7,3),-0.307741 # DEPENDENCYPART_ARC
(7,4),0.340496 # DEPENDENCYPART_ARC
(7,5),-0.627397 # DEPENDENCYPART_ARC
(7,6),-0.949894 # DEPENDENCYPART_ARC
(7,9),-1.25247 # DEPENDENCYPART_ARC
(7,11),-0.637399 # DEPENDENCYPART_ARC
(8,4),0.0144105 # DEPENDENCYPART_ARC
(8,6),-0.712506 # DEPENDENCYPART_ARC
(8,7),2.85465 # DEPENDENCYPART_ARC
(8,9),0.40143 # DEPENDENCYPART_ARC
(8,10),0.0094756 # DEPENDENCYPART_ARC
(8,11),1.13879 # DEPENDENCYPART_ARC
(8,12),0.257715 # DEPENDENCYPART_ARC
(8,14),-1.32683 # DEPENDENCYPART_ARC
(8,15),0.443009 # DEPENDENCYPART_ARC
(8,16),0.0102251 # DEPENDENCYPART_ARC
(8,17),-1.00876 # DEPENDENCYPART_ARC
(8,18),-1.92173 # DEPENDENCYPART_ARC
(8,20),-2.62325 # DEPENDENCYPART_ARC
(8,21),-2.75439 # DEPENDENCYPART_ARC
