# _root_ Celý film připomíná spíš několik samostatných , volně řazených epizod , v nichž se vždycky jedna z hrdinek octne v nesnázích a zbývající tři ji společně zachraňují .
#goldHeads=2,3,0,3,3,7,10,9,7,5,22,22,12,19,19,19,16,17,22,19,20,10,27,27,27,27,22,0,
#predictedHeads=2,3,0,5,3,5,10,9,10,4,27,27,12,19,19,19,16,17,10,19,20,20,27,27,27,27,22,0,
(0,1),-0.563929 # DEPENDENCYPART_ARC
(0,2),-1.4512 # DEPENDENCYPART_ARC
(0,3),0.929014 # DEPENDENCYPART_ARC
(0,4),-0.446622 # DEPENDENCYPART_ARC
(0,5),-1.66255 # DEPENDENCYPART_ARC
(0,7),-0.334412 # DEPENDENCYPART_ARC
(0,8),-1.02388 # DEPENDENCYPART_ARC
(0,9),-2.15283 # DEPENDENCYPART_ARC
(0,11),-0.377048 # DEPENDENCYPART_ARC
(0,16),-3.35661 # DEPENDENCYPART_ARC
(0,19),-0.502105 # DEPENDENCYPART_ARC
(0,22),-1.07381 # DEPENDENCYPART_ARC
(0,24),-4.43516 # DEPENDENCYPART_ARC
(0,27),-1.7554 # DEPENDENCYPART_ARC
(0,28),4.74563 # DEPENDENCYPART_ARC
(2,1),4.85448 # DEPENDENCYPART_ARC
(2,3),-0.888312 # DEPENDENCYPART_ARC
(2,6),-4.20485 # DEPENDENCYPART_ARC
(2,9),-4.66262 # DEPENDENCYPART_ARC
(2,19),-2.38286 # DEPENDENCYPART_ARC
(2,23),-4.34354 # DEPENDENCYPART_ARC
(2,27),-4.06535 # DEPENDENCYPART_ARC
(3,1),0.270224 # DEPENDENCYPART_ARC
(3,2),2.84129 # DEPENDENCYPART_ARC
(3,4),1.55313 # DEPENDENCYPART_ARC
(3,5),1.68032 # DEPENDENCYPART_ARC
(3,6),-2.74536 # DEPENDENCYPART_ARC
(3,7),-0.301843 # DEPENDENCYPART_ARC
(3,8),-0.0746141 # DEPENDENCYPART_ARC
(3,9),-5.20555 # DEPENDENCYPART_ARC
(3,10),-0.98814 # DEPENDENCYPART_ARC
(3,11),-0.0301479 # DEPENDENCYPART_ARC
(3,12),-0.927061 # DEPENDENCYPART_ARC
(3,15),-0.65385 # DEPENDENCYPART_ARC
(3,17),-0.988755 # DEPENDENCYPART_ARC
(3,18),-3.69547 # DEPENDENCYPART_ARC
(3,19),-1.4927 # DEPENDENCYPART_ARC
(3,20),-1.41153 # DEPENDENCYPART_ARC
(3,21),-3.35461 # DEPENDENCYPART_ARC
(3,22),-0.242883 # DEPENDENCYPART_ARC
(3,27),-1.81234 # DEPENDENCYPART_ARC
(4,2),-1.70089 # DEPENDENCYPART_ARC
(4,3),-1.053 # DEPENDENCYPART_ARC
(4,6),-0.386382 # DEPENDENCYPART_ARC
(4,10),0.200882 # DEPENDENCYPART_ARC
(5,2),-0.466395 # DEPENDENCYPART_ARC
