# _root_ Tento počet zahrnuje vedle dětí osvojených i děti , pro něž měli otevřenou náruč , a hlavně srdce pěstouni .
#goldHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,16,16,12,18,16,12,0,
#predictedHeads=2,3,16,3,4,5,8,3,12,12,10,16,14,12,16,0,18,16,16,0,
(0,1),-1.05711 # DEPENDENCYPART_ARC
(0,2),-1.94073 # DEPENDENCYPART_ARC
(0,3),0.0391451 # DEPENDENCYPART_ARC
(0,4),-1.48932 # DEPENDENCYPART_ARC
(0,5),-2.99499 # DEPENDENCYPART_ARC
(0,7),-2.8245 # DEPENDENCYPART_ARC
(0,8),-2.99951 # DEPENDENCYPART_ARC
(0,9),-0.870493 # DEPENDENCYPART_ARC
(0,12),-0.170475 # DEPENDENCYPART_ARC
(0,15),-1.16567 # DEPENDENCYPART_ARC
(0,16),-0.756539 # DEPENDENCYPART_ARC
(0,20),3.79971 # DEPENDENCYPART_ARC
(1,2),-0.204326 # DEPENDENCYPART_ARC
(1,3),-1.9336 # DEPENDENCYPART_ARC
(2,1),5.57897 # DEPENDENCYPART_ARC
(2,3),-1.35564 # DEPENDENCYPART_ARC
(2,4),-1.26208 # DEPENDENCYPART_ARC
(2,5),-1.15353 # DEPENDENCYPART_ARC
(2,6),-4.07944 # DEPENDENCYPART_ARC
(2,12),-3.12769 # DEPENDENCYPART_ARC
(3,1),1.91636 # DEPENDENCYPART_ARC
(3,2),3.88429 # DEPENDENCYPART_ARC
(3,4),2.69688 # DEPENDENCYPART_ARC
(3,5),-0.977966 # DEPENDENCYPART_ARC
(3,6),-2.03963 # DEPENDENCYPART_ARC
(3,7),0.216505 # DEPENDENCYPART_ARC
(3,8),0.431227 # DEPENDENCYPART_ARC
(3,9),0.578106 # DEPENDENCYPART_ARC
(3,10),-0.53702 # DEPENDENCYPART_ARC
(3,12),-2.26969 # DEPENDENCYPART_ARC
(3,14),-0.600406 # DEPENDENCYPART_ARC
(3,15),-0.132299 # DEPENDENCYPART_ARC
(3,16),0.0616754 # DEPENDENCYPART_ARC
(3,17),-1.20573 # DEPENDENCYPART_ARC
(3,18),-1.5675 # DEPENDENCYPART_ARC
(3,19),-1.50175 # DEPENDENCYPART_ARC
(4,2),-2.00646 # DEPENDENCYPART_ARC
(4,5),3.68032 # DEPENDENCYPART_ARC
(4,6),-0.433994 # DEPENDENCYPART_ARC
(4,7),-0.254956 # DEPENDENCYPART_ARC
(4,8),-2.7581 # DEPENDENCYPART_ARC
(4,9),-0.112479 # DEPENDENCYPART_ARC
(5,1),-3.27781 # DEPENDENCYPART_ARC
(5,2),-4.18996 # DEPENDENCYPART_ARC
(5,3),-1.43461 # DEPENDENCYPART_ARC
(5,4),1.18666 # DEPENDENCYPART_ARC
(5,6),2.47617 # DEPENDENCYPART_ARC
(5,7),0.619977 # DEPENDENCYPART_ARC
(5,8),-3.66219 # DEPENDENCYPART_ARC
(5,9),-0.206005 # DEPENDENCYPART_ARC
(5,10),-0.582896 # DEPENDENCYPART_ARC
(5,12),0.350331 # DEPENDENCYPART_ARC
(5,13),-4.07083 # DEPENDENCYPART_ARC
(5,14),-4.79726 # DEPENDENCYPART_ARC
(5,16),-0.511543 # DEPENDENCYPART_ARC
(5,17),-0.634578 # DEPENDENCYPART_ARC
(5,19),-3.97116 # DEPENDENCYPART_ARC
(6,1),-1.0603 # DEPENDENCYPART_ARC
(6,2),-2.52402 # DEPENDENCYPART_ARC
(6,3),-1.61389 # DEPENDENCYPART_ARC
(6,4),0.617957 # DEPENDENCYPART_ARC
(6,5),-0.935347 # DEPENDENCYPART_ARC
(6,7),0.455976 # DEPENDENCYPART_ARC
(6,8),-1.15627 # DEPENDENCYPART_ARC
(6,10),-0.419654 # DEPENDENCYPART_ARC
(6,12),-2.75007 # DEPENDENCYPART_ARC
(6,14),-3.26154 # DEPENDENCYPART_ARC
(7,1),-0.0962411 # DEPENDENCYPART_ARC
(7,2),-1.02328 # DEPENDENCYPART_ARC
(7,3),-1.80784 # DEPENDENCYPART_ARC
(7,4),-0.795206 # DEPENDENCYPART_ARC
(7,5),0.840243 # DEPENDENCYPART_ARC
(7,6),0.747445 # DEPENDENCYPART_ARC
(7,8),1.22878 # DEPENDENCYPART_ARC
(7,9),-0.663303 # DEPENDENCYPART_ARC
(7,10),-1.29352 # DEPENDENCYPART_ARC
(7,12),-1.63984 # DEPENDENCYPART_ARC
(7,13),-0.0694027 # DEPENDENCYPART_ARC
(7,16),-1.61831 # DEPENDENCYPART_ARC
(8,1),-4.20642 # DEPENDENCYPART_ARC
(8,4),-0.0604369 # DEPENDENCYPART_ARC
(8,5),-2.13218 # DEPENDENCYPART_ARC
(8,6),-0.385329 # DEPENDENCYPART_ARC
(8,7),2.30362 # DEPENDENCYPART_ARC
(8,9),-0.424571 # DEPENDENCYPART_ARC
(8,10),-0.256269 # DEPENDENCYPART_ARC
(8,12),0.991142 # DEPENDENCYPART_ARC
