# _root_ Je to ale otázka úhlu pohledu : nejde o žádné zničení - jde o směr , směřování , které se - je - li upřímné a zásadní - brzy ztratí z dohledu .
#goldHeads=7,1,0,1,4,5,3,12,8,11,9,7,12,13,16,14,16,30,30,30,24,24,24,30,26,22,26,24,30,17,30,31,0,
#predictedHeads=7,1,0,1,4,5,16,3,8,11,9,8,16,13,14,8,16,24,22,22,24,24,24,30,26,17,26,24,30,26,30,31,0,
(0,1),-0.12155 # DEPENDENCYPART_ARC
(0,3),0.77352 # DEPENDENCYPART_ARC
(0,7),0.34758 # DEPENDENCYPART_ARC
(0,8),-0.33469 # DEPENDENCYPART_ARC
(0,12),-0.876373 # DEPENDENCYPART_ARC
(0,13),-0.742191 # DEPENDENCYPART_ARC
(0,19),-2.88522 # DEPENDENCYPART_ARC
(0,22),-1.49079 # DEPENDENCYPART_ARC
(0,23),-1.86897 # DEPENDENCYPART_ARC
(0,28),-2.32731 # DEPENDENCYPART_ARC
(0,30),-2.74393 # DEPENDENCYPART_ARC
(0,33),3.92709 # DEPENDENCYPART_ARC
(1,2),4.32812 # DEPENDENCYPART_ARC
(1,3),0.902856 # DEPENDENCYPART_ARC
(1,4),1.82905 # DEPENDENCYPART_ARC
(1,5),-0.300406 # DEPENDENCYPART_ARC
(1,6),-0.187057 # DEPENDENCYPART_ARC
(1,7),-0.0192132 # DEPENDENCYPART_ARC
(1,8),-2.01581 # DEPENDENCYPART_ARC
(1,11),-0.299836 # DEPENDENCYPART_ARC
(1,12),-0.538602 # DEPENDENCYPART_ARC
(1,16),-0.485177 # DEPENDENCYPART_ARC
(1,25),-2.39213 # DEPENDENCYPART_ARC
(1,27),-2.59513 # DEPENDENCYPART_ARC
(2,3),-0.540134 # DEPENDENCYPART_ARC
(2,4),-0.672353 # DEPENDENCYPART_ARC
(3,1),1.52146 # DEPENDENCYPART_ARC
(3,2),0.901971 # DEPENDENCYPART_ARC
(3,4),0.905513 # DEPENDENCYPART_ARC
(3,5),0.533532 # DEPENDENCYPART_ARC
(3,6),-0.240262 # DEPENDENCYPART_ARC
(3,7),0.397196 # DEPENDENCYPART_ARC
(3,8),0.62636 # DEPENDENCYPART_ARC
(3,12),-0.210988 # DEPENDENCYPART_ARC
(3,13),-0.484709 # DEPENDENCYPART_ARC
(3,22),-1.16488 # DEPENDENCYPART_ARC
