# _root_ Erica Cantonu , francouzského fotbalového reprezentanta a hráče Manchesteru United , čeká v tomto týdnu velmi nepříjemný program .
#goldHeads=2,3,12,6,6,7,3,7,8,9,3,0,12,15,13,17,18,12,0,
#predictedHeads=2,7,7,6,6,7,12,7,8,9,4,0,12,15,13,17,18,12,0,
(0,1),-0.880632 # DEPENDENCYPART_ARC
(0,2),-0.0187616 # DEPENDENCYPART_ARC
(0,3),0.12329 # DEPENDENCYPART_ARC
(0,4),-1.50157 # DEPENDENCYPART_ARC
(0,7),-0.99013 # DEPENDENCYPART_ARC
(0,8),-2.2193 # DEPENDENCYPART_ARC
(0,9),-1.60284 # DEPENDENCYPART_ARC
(0,11),-0.686072 # DEPENDENCYPART_ARC
(0,12),1.29307 # DEPENDENCYPART_ARC
(0,19),3.58617 # DEPENDENCYPART_ARC
(1,2),-0.656277 # DEPENDENCYPART_ARC
(1,3),-0.310998 # DEPENDENCYPART_ARC
(1,4),0.245456 # DEPENDENCYPART_ARC
(1,5),-0.245278 # DEPENDENCYPART_ARC
(1,6),-2.48049 # DEPENDENCYPART_ARC
(1,7),0.262588 # DEPENDENCYPART_ARC
(1,8),-3.45741 # DEPENDENCYPART_ARC
(1,9),-0.277402 # DEPENDENCYPART_ARC
(1,10),-1.31463 # DEPENDENCYPART_ARC
(1,12),-3.15184 # DEPENDENCYPART_ARC
(2,1),6.21094 # DEPENDENCYPART_ARC
(2,3),-0.312542 # DEPENDENCYPART_ARC
(2,4),1.80742 # DEPENDENCYPART_ARC
(2,5),0.847823 # DEPENDENCYPART_ARC
(2,6),-1.7969 # DEPENDENCYPART_ARC
(2,7),0.0923616 # DEPENDENCYPART_ARC
(2,10),0.396766 # DEPENDENCYPART_ARC
(2,12),-2.52385 # DEPENDENCYPART_ARC
(3,1),0.702674 # DEPENDENCYPART_ARC
(3,2),1.4423 # DEPENDENCYPART_ARC
(3,4),-0.0461202 # DEPENDENCYPART_ARC
(3,5),0.307787 # DEPENDENCYPART_ARC
(3,6),1.22012 # DEPENDENCYPART_ARC
(3,7),0.146653 # DEPENDENCYPART_ARC
(3,8),-0.0531791 # DEPENDENCYPART_ARC
(3,9),-0.178135 # DEPENDENCYPART_ARC
(3,11),0.216586 # DEPENDENCYPART_ARC
(3,12),-0.829824 # DEPENDENCYPART_ARC
(3,16),-0.822272 # DEPENDENCYPART_ARC
(3,18),-1.29242 # DEPENDENCYPART_ARC
(4,1),0.0957009 # DEPENDENCYPART_ARC
(4,2),-2.19627 # DEPENDENCYPART_ARC
(4,3),0.973159 # DEPENDENCYPART_ARC
(4,5),0.68096 # DEPENDENCYPART_ARC
(4,6),-0.460672 # DEPENDENCYPART_ARC
(4,7),0.763324 # DEPENDENCYPART_ARC
(4,8),-2.12013 # DEPENDENCYPART_ARC
(4,9),-0.83808 # DEPENDENCYPART_ARC
(4,11),0.737682 # DEPENDENCYPART_ARC
(4,12),-1.79311 # DEPENDENCYPART_ARC
(4,13),-1.37899 # DEPENDENCYPART_ARC
(4,19),-2.17549 # DEPENDENCYPART_ARC
(5,3),-0.0934651 # DEPENDENCYPART_ARC
(5,4),0.761913 # DEPENDENCYPART_ARC
(5,6),-1.41542 # DEPENDENCYPART_ARC
(6,1),2.04309 # DEPENDENCYPART_ARC
(6,2),-0.340007 # DEPENDENCYPART_ARC
(6,3),-0.523948 # DEPENDENCYPART_ARC
(6,4),3.95179 # DEPENDENCYPART_ARC
(6,5),4.73396 # DEPENDENCYPART_ARC
(6,8),-1.67776 # DEPENDENCYPART_ARC
(6,9),0.663822 # DEPENDENCYPART_ARC
(7,1),1.17952 # DEPENDENCYPART_ARC
(7,2),2.46083 # DEPENDENCYPART_ARC
(7,3),1.48683 # DEPENDENCYPART_ARC
(7,4),1.38616 # DEPENDENCYPART_ARC
(7,5),2.29554 # DEPENDENCYPART_ARC
(7,6),3.80992 # DEPENDENCYPART_ARC
(7,8),3.34019 # DEPENDENCYPART_ARC
(7,9),1.86197 # DEPENDENCYPART_ARC
(7,10),-0.174854 # DEPENDENCYPART_ARC
(7,11),0.29371 # DEPENDENCYPART_ARC
(7,12),0.0196954 # DEPENDENCYPART_ARC
(7,13),-1.11227 # DEPENDENCYPART_ARC
(7,14),-1.003 # DEPENDENCYPART_ARC
(7,15),-1.23461 # DEPENDENCYPART_ARC
(7,16),-1.07967 # DEPENDENCYPART_ARC
(7,17),-1.68447 # DEPENDENCYPART_ARC
(7,18),-1.20384 # DEPENDENCYPART_ARC
(8,5),0.622156 # DEPENDENCYPART_ARC
(8,7),-0.722508 # DEPENDENCYPART_ARC
(8,9),3.47869 # DEPENDENCYPART_ARC
(8,10),0.927026 # DEPENDENCYPART_ARC
(8,11),-0.946906 # DEPENDENCYPART_ARC
(8,12),-2.04284 # DEPENDENCYPART_ARC
(8,17),-4.36551 # DEPENDENCYPART_ARC
(9,1),-1.64394 # DEPENDENCYPART_ARC
