# _root_ Na to , jaké právní prostředky nápravy bude nutno v konkrétním případě předem vyčerpat , mohou vznikat nejrůznější názory .
#goldHeads=19,1,8,6,6,14,6,2,8,8,12,10,14,8,8,0,16,19,16,0,
#predictedHeads=14,1,8,6,6,14,6,14,8,14,12,10,14,16,14,0,16,19,16,0,
(0,1),-1.49393 # DEPENDENCYPART_ARC
(0,3),-0.352804 # DEPENDENCYPART_ARC
(0,4),-2.57622 # DEPENDENCYPART_ARC
(0,8),-0.114227 # DEPENDENCYPART_ARC
(0,9),-1.85259 # DEPENDENCYPART_ARC
(0,14),-1.68172 # DEPENDENCYPART_ARC
(0,15),-1.07328 # DEPENDENCYPART_ARC
(0,16),-0.321354 # DEPENDENCYPART_ARC
(0,17),-1.81691 # DEPENDENCYPART_ARC
(0,20),4.05753 # DEPENDENCYPART_ARC
(1,2),3.6409 # DEPENDENCYPART_ARC
(1,3),0.00680869 # DEPENDENCYPART_ARC
(1,5),-0.591604 # DEPENDENCYPART_ARC
(1,6),1.61193 # DEPENDENCYPART_ARC
(1,7),-2.22195 # DEPENDENCYPART_ARC
(2,3),0.107135 # DEPENDENCYPART_ARC
(2,5),-0.753696 # DEPENDENCYPART_ARC
(2,6),-0.44573 # DEPENDENCYPART_ARC
(2,7),-0.148654 # DEPENDENCYPART_ARC
(2,8),0.312974 # DEPENDENCYPART_ARC
(2,10),-0.998473 # DEPENDENCYPART_ARC
(3,1),-0.798384 # DEPENDENCYPART_ARC
(3,2),-0.153579 # DEPENDENCYPART_ARC
(3,5),0.166817 # DEPENDENCYPART_ARC
(3,6),-0.626617 # DEPENDENCYPART_ARC
(3,8),-0.267725 # DEPENDENCYPART_ARC
(3,14),-1.08087 # DEPENDENCYPART_ARC
(3,15),-0.743661 # DEPENDENCYPART_ARC
(3,16),-1.79654 # DEPENDENCYPART_ARC
(3,17),-2.12502 # DEPENDENCYPART_ARC
(4,3),-0.186958 # DEPENDENCYPART_ARC
(4,5),-0.530436 # DEPENDENCYPART_ARC
(4,6),-0.475895 # DEPENDENCYPART_ARC
(4,7),-0.829074 # DEPENDENCYPART_ARC
(4,9),-1.11021 # DEPENDENCYPART_ARC
(5,1),-0.239118 # DEPENDENCYPART_ARC
(5,2),-1.06537 # DEPENDENCYPART_ARC
(5,3),-0.0809394 # DEPENDENCYPART_ARC
(5,7),-0.896567 # DEPENDENCYPART_ARC
(6,1),-0.180985 # DEPENDENCYPART_ARC
(6,2),-0.641375 # DEPENDENCYPART_ARC
(6,3),0.228412 # DEPENDENCYPART_ARC
(6,4),3.64413 # DEPENDENCYPART_ARC
(6,5),4.32168 # DEPENDENCYPART_ARC
(6,7),3.99874 # DEPENDENCYPART_ARC
(6,8),-1.25382 # DEPENDENCYPART_ARC
(6,9),-2.93911 # DEPENDENCYPART_ARC
(6,10),-0.164162 # DEPENDENCYPART_ARC
(6,11),-2.20184 # DEPENDENCYPART_ARC
(6,12),-1.01192 # DEPENDENCYPART_ARC
(7,2),-2.14006 # DEPENDENCYPART_ARC
(7,4),-2.7401 # DEPENDENCYPART_ARC
(7,5),-3.30252 # DEPENDENCYPART_ARC
(7,6),-2.08109 # DEPENDENCYPART_ARC
(7,8),-0.901234 # DEPENDENCYPART_ARC
(7,9),-1.31662 # DEPENDENCYPART_ARC
(7,12),-1.94738 # DEPENDENCYPART_ARC
(8,1),0.500311 # DEPENDENCYPART_ARC
(8,2),-2.53065 # DEPENDENCYPART_ARC
(8,3),1.02005 # DEPENDENCYPART_ARC
(8,4),-1.61773 # DEPENDENCYPART_ARC
(8,5),-2.91129 # DEPENDENCYPART_ARC
(8,6),-0.575397 # DEPENDENCYPART_ARC
(8,7),-2.02977 # DEPENDENCYPART_ARC
(8,9),4.1907 # DEPENDENCYPART_ARC
(8,10),0.543187 # DEPENDENCYPART_ARC
(8,11),-2.43338 # DEPENDENCYPART_ARC
(8,12),0.270047 # DEPENDENCYPART_ARC
(8,13),0.257515 # DEPENDENCYPART_ARC
(8,14),0.472748 # DEPENDENCYPART_ARC
(8,15),0.134664 # DEPENDENCYPART_ARC
(8,16),-3.14053 # DEPENDENCYPART_ARC
(8,17),-1.82304 # DEPENDENCYPART_ARC
(8,19),-2.69794 # DEPENDENCYPART_ARC
(9,1),-0.258971 # DEPENDENCYPART_ARC
(9,4),-0.46717 # DEPENDENCYPART_ARC
(9,6),-0.591861 # DEPENDENCYPART_ARC
(9,7),-0.62436 # DEPENDENCYPART_ARC
(9,8),1.58483 # DEPENDENCYPART_ARC
(9,10),0.762656 # DEPENDENCYPART_ARC
(9,12),-0.584198 # DEPENDENCYPART_ARC
(9,13),0.0377419 # DEPENDENCYPART_ARC
(9,14),0.00793451 # DEPENDENCYPART_ARC
(9,15),0.031404 # DEPENDENCYPART_ARC
(9,17),-0.80644 # DEPENDENCYPART_ARC
(9,20),-1.57376 # DEPENDENCYPART_ARC
(10,11),0.849558 # DEPENDENCYPART_ARC
(10,12),4.43539 # DEPENDENCYPART_ARC
(10,13),-0.587911 # DEPENDENCYPART_ARC
(10,15),-1.05783 # DEPENDENCYPART_ARC
(10,16),-1.62648 # DEPENDENCYPART_ARC
(10,19),-4.46369 # DEPENDENCYPART_ARC
(12,2),-1.41283 # DEPENDENCYPART_ARC
(12,4),-1.43613 # DEPENDENCYPART_ARC
(12,5),-2.98199 # DEPENDENCYPART_ARC
(12,9),-0.96939 # DEPENDENCYPART_ARC
(12,10),1.19135 # DEPENDENCYPART_ARC
(12,11),5.34461 # DEPENDENCYPART_ARC
(12,13),0.440994 # DEPENDENCYPART_ARC
(12,14),-0.385965 # DEPENDENCYPART_ARC
(12,16),-3.69911 # DEPENDENCYPART_ARC
(12,17),-2.26586 # DEPENDENCYPART_ARC
(12,18),-4.97993 # DEPENDENCYPART_ARC
(12,19),-3.73099 # DEPENDENCYPART_ARC
(13,4),-1.1975 # DEPENDENCYPART_ARC
(13,10),-0.590494 # DEPENDENCYPART_ARC
(13,11),-0.558017 # DEPENDENCYPART_ARC
(13,12),-1.41016 # DEPENDENCYPART_ARC
(13,14),-0.366923 # DEPENDENCYPART_ARC
(13,15),-0.850168 # DEPENDENCYPART_ARC
(13,16),-1.45858 # DEPENDENCYPART_ARC
(13,17),-1.6498 # DEPENDENCYPART_ARC
(13,19),-2.53071 # DEPENDENCYPART_ARC
(14,1),1.39817 # DEPENDENCYPART_ARC
(14,2),-0.0794253 # DEPENDENCYPART_ARC
(14,3),0.67996 # DEPENDENCYPART_ARC
(14,4),1.44856 # DEPENDENCYPART_ARC
