# _root_ Víme ale , co nás čeká , musíme si dát velký pozor na střelce .
#goldHeads=2,0,6,6,6,7,1,7,10,8,12,10,12,13,0,
#predictedHeads=2,0,6,6,6,2,6,7,10,8,12,10,12,13,0,
(0,1),-0.44196 # DEPENDENCYPART_ARC
(0,2),0.355962 # DEPENDENCYPART_ARC
(0,3),-0.791117 # DEPENDENCYPART_ARC
(0,4),-0.986615 # DEPENDENCYPART_ARC
(0,5),-2.62309 # DEPENDENCYPART_ARC
(0,6),-1.49356 # DEPENDENCYPART_ARC
(0,7),-0.810664 # DEPENDENCYPART_ARC
(0,8),-0.565025 # DEPENDENCYPART_ARC
(0,10),-2.8342 # DEPENDENCYPART_ARC
(0,15),4.02449 # DEPENDENCYPART_ARC
(1,2),1.25022 # DEPENDENCYPART_ARC
(1,3),-0.0788636 # DEPENDENCYPART_ARC
(1,5),0.23154 # DEPENDENCYPART_ARC
(1,6),-0.853028 # DEPENDENCYPART_ARC
(1,7),0.0565342 # DEPENDENCYPART_ARC
(1,8),-2.96335 # DEPENDENCYPART_ARC
(1,10),-0.777037 # DEPENDENCYPART_ARC
(1,12),-1.59405 # DEPENDENCYPART_ARC
(1,13),-2.1371 # DEPENDENCYPART_ARC
(2,1),1.72208 # DEPENDENCYPART_ARC
(2,3),0.328355 # DEPENDENCYPART_ARC
(2,4),-0.0264817 # DEPENDENCYPART_ARC
(2,6),0.478661 # DEPENDENCYPART_ARC
(2,7),-0.00256474 # DEPENDENCYPART_ARC
(2,8),-0.17954 # DEPENDENCYPART_ARC
(2,10),-1.27666 # DEPENDENCYPART_ARC
(2,12),-2.79505 # DEPENDENCYPART_ARC
(2,13),-2.32423 # DEPENDENCYPART_ARC
(2,15),-1.38023 # DEPENDENCYPART_ARC
(3,1),-0.251749 # DEPENDENCYPART_ARC
(3,2),-0.332655 # DEPENDENCYPART_ARC
(3,4),-0.495569 # DEPENDENCYPART_ARC
(3,5),-0.530138 # DEPENDENCYPART_ARC
(3,6),0.12992 # DEPENDENCYPART_ARC
(3,7),-0.323977 # DEPENDENCYPART_ARC
(3,8),-1.06121 # DEPENDENCYPART_ARC
(3,10),-1.12952 # DEPENDENCYPART_ARC
(3,13),-2.90382 # DEPENDENCYPART_ARC
(4,3),0.238412 # DEPENDENCYPART_ARC
(5,3),0.0706803 # DEPENDENCYPART_ARC
(5,6),-2.39687 # DEPENDENCYPART_ARC
(5,7),-1.67469 # DEPENDENCYPART_ARC
(5,8),-3.68676 # DEPENDENCYPART_ARC
(5,12),-0.572804 # DEPENDENCYPART_ARC
(6,1),-0.351 # DEPENDENCYPART_ARC
(6,2),-0.144402 # DEPENDENCYPART_ARC
(6,3),2.48126 # DEPENDENCYPART_ARC
(6,4),3.12293 # DEPENDENCYPART_ARC
