# _root_ Nepřispěje - li sponzor , nezbude škole než využít možností , které jí dává zákonodárce .
#goldHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
#predictedHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
(0,1),-0.3593 # DEPENDENCYPART_ARC
(0,2),-0.711802 # DEPENDENCYPART_ARC
(0,3),-1.11013 # DEPENDENCYPART_ARC
(0,4),-1.49189 # DEPENDENCYPART_ARC
(0,5),-0.479389 # DEPENDENCYPART_ARC
(0,6),0.631599 # DEPENDENCYPART_ARC
(0,8),-2.71381 # DEPENDENCYPART_ARC
(0,9),-2.71647 # DEPENDENCYPART_ARC
(0,11),-1.18056 # DEPENDENCYPART_ARC
(0,14),-2.01862 # DEPENDENCYPART_ARC
(0,16),3.74027 # DEPENDENCYPART_ARC
(1,2),0.579331 # DEPENDENCYPART_ARC
(1,3),0.880678 # DEPENDENCYPART_ARC
(1,4),2.24318 # DEPENDENCYPART_ARC
(1,5),0.922832 # DEPENDENCYPART_ARC
(1,6),-1.56985 # DEPENDENCYPART_ARC
(1,7),0.297483 # DEPENDENCYPART_ARC
(1,8),0.583711 # DEPENDENCYPART_ARC
(1,9),0.288042 # DEPENDENCYPART_ARC
(1,10),-3.58734 # DEPENDENCYPART_ARC
(1,11),-0.0326148 # DEPENDENCYPART_ARC
(2,1),-0.440664 # DEPENDENCYPART_ARC
(2,3),-0.143943 # DEPENDENCYPART_ARC
(2,4),0.332779 # DEPENDENCYPART_ARC
(2,5),-0.269069 # DEPENDENCYPART_ARC
(2,6),-0.841494 # DEPENDENCYPART_ARC
(2,7),-1.21316 # DEPENDENCYPART_ARC
(2,8),-0.634752 # DEPENDENCYPART_ARC
(2,10),-2.36335 # DEPENDENCYPART_ARC
(2,14),-2.21855 # DEPENDENCYPART_ARC
(3,1),2.94998 # DEPENDENCYPART_ARC
(3,2),2.81061 # DEPENDENCYPART_ARC
(3,4),0.590019 # DEPENDENCYPART_ARC
(3,5),1.83985 # DEPENDENCYPART_ARC
(3,6),0.601179 # DEPENDENCYPART_ARC
(3,9),0.0246563 # DEPENDENCYPART_ARC
(3,11),0.546658 # DEPENDENCYPART_ARC
(3,16),-0.891636 # DEPENDENCYPART_ARC
(4,1),-2.7011 # DEPENDENCYPART_ARC
(4,2),-0.0276477 # DEPENDENCYPART_ARC
(4,3),0.783799 # DEPENDENCYPART_ARC
(4,5),-0.59371 # DEPENDENCYPART_ARC
(4,6),-1.84792 # DEPENDENCYPART_ARC
(4,7),-2.82098 # DEPENDENCYPART_ARC
(4,8),-0.588435 # DEPENDENCYPART_ARC
(4,14),-3.40655 # DEPENDENCYPART_ARC
(5,1),0.309644 # DEPENDENCYPART_ARC
(5,2),0.160658 # DEPENDENCYPART_ARC
(5,3),0.156863 # DEPENDENCYPART_ARC
(5,4),0.0975176 # DEPENDENCYPART_ARC
(5,6),0.0702538 # DEPENDENCYPART_ARC
(5,7),-0.604796 # DEPENDENCYPART_ARC
(5,8),-0.61933 # DEPENDENCYPART_ARC
(5,9),-1.32178 # DEPENDENCYPART_ARC
(5,10),-2.35564 # DEPENDENCYPART_ARC
(5,11),-0.356373 # DEPENDENCYPART_ARC
