# _root_ Na jídelním lístku je stále nejméně 20 hotových jídel , dále několik jídel z ryb , ale i jídla bezmasá a na objednávku .
#goldHeads=4,3,1,0,4,7,17,9,7,17,17,17,12,13,14,17,4,19,17,21,19,21,22,0,
#predictedHeads=4,3,1,17,4,7,4,9,7,17,12,17,11,13,14,17,0,19,17,19,19,21,22,0,
(0,1),-1.20407 # DEPENDENCYPART_ARC
(0,4),0.120498 # DEPENDENCYPART_ARC
(0,7),-1.54736 # DEPENDENCYPART_ARC
(0,10),-0.717898 # DEPENDENCYPART_ARC
(0,11),-1.68331 # DEPENDENCYPART_ARC
(0,12),-3.05696 # DEPENDENCYPART_ARC
(0,16),-0.793027 # DEPENDENCYPART_ARC
(0,17),0.30464 # DEPENDENCYPART_ARC
(0,21),-0.975238 # DEPENDENCYPART_ARC
(0,24),4.34506 # DEPENDENCYPART_ARC
(1,2),0.681712 # DEPENDENCYPART_ARC
(1,3),4.72554 # DEPENDENCYPART_ARC
(1,5),-1.60262 # DEPENDENCYPART_ARC
(1,6),-1.49304 # DEPENDENCYPART_ARC
(3,2),4.88933 # DEPENDENCYPART_ARC
(3,4),-1.63078 # DEPENDENCYPART_ARC
(4,1),2.34163 # DEPENDENCYPART_ARC
(4,2),-2.20106 # DEPENDENCYPART_ARC
(4,3),1.09391 # DEPENDENCYPART_ARC
(4,5),2.31544 # DEPENDENCYPART_ARC
(4,6),1.46116 # DEPENDENCYPART_ARC
(4,7),1.42632 # DEPENDENCYPART_ARC
(4,8),-2.08887 # DEPENDENCYPART_ARC
(4,9),-0.308741 # DEPENDENCYPART_ARC
(4,10),-0.00985319 # DEPENDENCYPART_ARC
(4,11),0.371816 # DEPENDENCYPART_ARC
(4,13),-1.68433 # DEPENDENCYPART_ARC
(4,14),-0.677165 # DEPENDENCYPART_ARC
(4,15),-2.41726 # DEPENDENCYPART_ARC
(4,16),-0.155962 # DEPENDENCYPART_ARC
(4,17),0.998157 # DEPENDENCYPART_ARC
(4,18),-0.974057 # DEPENDENCYPART_ARC
(4,19),-1.65861 # DEPENDENCYPART_ARC
(4,20),-0.141368 # DEPENDENCYPART_ARC
(4,21),-0.546439 # DEPENDENCYPART_ARC
(4,22),-1.74186 # DEPENDENCYPART_ARC
(4,23),-2.48166 # DEPENDENCYPART_ARC
(5,1),-2.46599 # DEPENDENCYPART_ARC
(5,4),-1.76138 # DEPENDENCYPART_ARC
(5,6),-0.285075 # DEPENDENCYPART_ARC
(5,8),-1.04385 # DEPENDENCYPART_ARC
(5,9),0.146876 # DEPENDENCYPART_ARC
(6,1),-1.68355 # DEPENDENCYPART_ARC
(6,3),-1.49572 # DEPENDENCYPART_ARC
(6,4),-1.5346 # DEPENDENCYPART_ARC
(6,5),1.51818 # DEPENDENCYPART_ARC
(6,8),-0.678105 # DEPENDENCYPART_ARC
(6,9),0.550105 # DEPENDENCYPART_ARC
(6,10),-0.902236 # DEPENDENCYPART_ARC
(7,1),-0.456645 # DEPENDENCYPART_ARC
(7,2),-0.108295 # DEPENDENCYPART_ARC
(7,3),-0.714317 # DEPENDENCYPART_ARC
(7,4),-0.990367 # DEPENDENCYPART_ARC
(7,5),0.7221 # DEPENDENCYPART_ARC
(7,6),2.05518 # DEPENDENCYPART_ARC
(7,8),0.980893 # DEPENDENCYPART_ARC
(7,9),2.0559 # DEPENDENCYPART_ARC
(7,13),-0.103483 # DEPENDENCYPART_ARC
(7,14),-0.721833 # DEPENDENCYPART_ARC
(8,5),0.0088458 # DEPENDENCYPART_ARC
(8,6),-0.251059 # DEPENDENCYPART_ARC
(8,7),0.831372 # DEPENDENCYPART_ARC
(9,1),-1.81945 # DEPENDENCYPART_ARC
(9,2),-3.19165 # DEPENDENCYPART_ARC
(9,5),-0.491815 # DEPENDENCYPART_ARC
(9,6),0.064597 # DEPENDENCYPART_ARC
(9,7),0.75435 # DEPENDENCYPART_ARC
(9,8),4.24393 # DEPENDENCYPART_ARC
(9,10),-0.28369 # DEPENDENCYPART_ARC
(9,11),-0.794936 # DEPENDENCYPART_ARC
(9,13),0.561845 # DEPENDENCYPART_ARC
(9,14),0.576084 # DEPENDENCYPART_ARC
(9,17),0.510602 # DEPENDENCYPART_ARC
(9,20),-2.30112 # DEPENDENCYPART_ARC
(10,1),-0.306553 # DEPENDENCYPART_ARC
(10,3),-0.62813 # DEPENDENCYPART_ARC
(10,4),1.12199 # DEPENDENCYPART_ARC
(10,5),0.5398 # DEPENDENCYPART_ARC
(10,6),0.513356 # DEPENDENCYPART_ARC
(10,7),0.320913 # DEPENDENCYPART_ARC
(10,8),0.646916 # DEPENDENCYPART_ARC
(10,9),0.609069 # DEPENDENCYPART_ARC
(10,11),0.823482 # DEPENDENCYPART_ARC
(10,13),0.791557 # DEPENDENCYPART_ARC
(10,14),0.754433 # DEPENDENCYPART_ARC
(10,15),0.412202 # DEPENDENCYPART_ARC
(10,16),0.576321 # DEPENDENCYPART_ARC
(10,17),0.358042 # DEPENDENCYPART_ARC
(10,18),0.0412692 # DEPENDENCYPART_ARC
(10,20),-0.401698 # DEPENDENCYPART_ARC
(10,21),0.02371 # DEPENDENCYPART_ARC
(10,22),-0.405665 # DEPENDENCYPART_ARC
(10,23),-0.628315 # DEPENDENCYPART_ARC
(11,1),-1.29361 # DEPENDENCYPART_ARC
(11,3),-1.83155 # DEPENDENCYPART_ARC
(11,4),-1.05514 # DEPENDENCYPART_ARC
(11,9),2.01063 # DEPENDENCYPART_ARC
(11,10),1.14776 # DEPENDENCYPART_ARC
(11,13),2.83026 # DEPENDENCYPART_ARC
(11,14),-0.528408 # DEPENDENCYPART_ARC
(11,15),1.37462 # DEPENDENCYPART_ARC
(11,16),0.032476 # DEPENDENCYPART_ARC
(11,17),0.100664 # DEPENDENCYPART_ARC
(11,19),-1.73729 # DEPENDENCYPART_ARC
(11,24),-1.3838 # DEPENDENCYPART_ARC
(12,9),0.724432 # DEPENDENCYPART_ARC
(12,10),0.0934923 # DEPENDENCYPART_ARC
(12,11),1.48621 # DEPENDENCYPART_ARC
(12,13),2.71038 # DEPENDENCYPART_ARC
(12,15),0.388618 # DEPENDENCYPART_ARC
(12,18),-0.486026 # DEPENDENCYPART_ARC
(12,21),-0.963145 # DEPENDENCYPART_ARC
(13,5),-2.23695 # DEPENDENCYPART_ARC
(13,6),-1.54369 # DEPENDENCYPART_ARC
(13,7),-2.05747 # DEPENDENCYPART_ARC
(13,8),0.513703 # DEPENDENCYPART_ARC
(13,9),-0.948172 # DEPENDENCYPART_ARC
(13,10),-0.524264 # DEPENDENCYPART_ARC
(13,11),-0.608741 # DEPENDENCYPART_ARC
(13,12),-0.116828 # DEPENDENCYPART_ARC
(13,14),2.66563 # DEPENDENCYPART_ARC
(13,15),1.19375 # DEPENDENCYPART_ARC
(13,16),-0.0533994 # DEPENDENCYPART_ARC
(13,17),0.285181 # DEPENDENCYPART_ARC
(13,19),-2.87754 # DEPENDENCYPART_ARC
(13,20),-2.31921 # DEPENDENCYPART_ARC
(13,21),-0.0963143 # DEPENDENCYPART_ARC
(13,22),-0.326373 # DEPENDENCYPART_ARC
(13,23),-6.27048 # DEPENDENCYPART_ARC
(14,15),3.77154 # DEPENDENCYPART_ARC
(14,16),0.000745808 # DEPENDENCYPART_ARC
(14,18),0.463448 # DEPENDENCYPART_ARC
(14,19),-3.59727 # DEPENDENCYPART_ARC
(15,11),-1.83345 # DEPENDENCYPART_ARC
(15,12),-2.75643 # DEPENDENCYPART_ARC
(15,14),0.0143892 # DEPENDENCYPART_ARC
(15,17),0.170376 # DEPENDENCYPART_ARC
(15,18),-1.04127 # DEPENDENCYPART_ARC
(15,19),-3.38884 # DEPENDENCYPART_ARC
(15,20),-3.59327 # DEPENDENCYPART_ARC
(15,22),-1.62918 # DEPENDENCYPART_ARC
(16,4),-0.852427 # DEPENDENCYPART_ARC
(16,7),-1.93212 # DEPENDENCYPART_ARC
(16,13),-0.761265 # DEPENDENCYPART_ARC
(16,15),-0.42904 # DEPENDENCYPART_ARC
(16,19),-0.770794 # DEPENDENCYPART_ARC
(17,1),-0.977538 # DEPENDENCYPART_ARC
(17,2),-1.14722 # DEPENDENCYPART_ARC
(17,3),0.424212 # DEPENDENCYPART_ARC
(17,4),1.25058 # DEPENDENCYPART_ARC
(17,5),0.152578 # DEPENDENCYPART_ARC
(17,6),0.0687103 # DEPENDENCYPART_ARC
(17,7),-0.749051 # DEPENDENCYPART_ARC
(17,8),-0.356808 # DEPENDENCYPART_ARC
(17,9),0.730017 # DEPENDENCYPART_ARC
(17,10),1.51385 # DEPENDENCYPART_ARC
(17,11),0.505667 # DEPENDENCYPART_ARC
(17,12),-0.177126 # DEPENDENCYPART_ARC
(17,13),0.352303 # DEPENDENCYPART_ARC
(17,14),0.4121 # DEPENDENCYPART_ARC
(17,15),1.70346 # DEPENDENCYPART_ARC
(17,16),2.89242 # DEPENDENCYPART_ARC
(17,18),0.305908 # DEPENDENCYPART_ARC
(17,19),1.34805 # DEPENDENCYPART_ARC
