# _root_ Přestože je chemická struktura molekuly známa již od let sedmdesátých , nenašli chemici levný způsob , jak tuto molekulu syntetizovat .
#goldHeads=12,1,4,2,4,2,9,2,8,9,1,0,12,15,12,20,20,19,20,15,0,
#predictedHeads=12,1,4,2,4,2,9,12,8,9,1,0,12,15,12,1,20,19,20,15,0,
(0,1),-0.247925 # DEPENDENCYPART_ARC
(0,2),-0.614042 # DEPENDENCYPART_ARC
(0,6),-1.51738 # DEPENDENCYPART_ARC
(0,10),-3.48267 # DEPENDENCYPART_ARC
(0,11),-0.762861 # DEPENDENCYPART_ARC
(0,12),-0.456648 # DEPENDENCYPART_ARC
(0,16),-1.17797 # DEPENDENCYPART_ARC
(0,20),-2.19852 # DEPENDENCYPART_ARC
(0,21),3.96393 # DEPENDENCYPART_ARC
(1,2),2.26418 # DEPENDENCYPART_ARC
(1,3),0.103614 # DEPENDENCYPART_ARC
(1,4),-0.889461 # DEPENDENCYPART_ARC
(1,5),-1.35423 # DEPENDENCYPART_ARC
(1,6),-1.3191 # DEPENDENCYPART_ARC
(1,11),2.51506 # DEPENDENCYPART_ARC
(1,12),-0.000684196 # DEPENDENCYPART_ARC
(1,16),1.66192 # DEPENDENCYPART_ARC
(1,20),-0.704569 # DEPENDENCYPART_ARC
(1,21),-1.63522 # DEPENDENCYPART_ARC
(2,1),1.42043 # DEPENDENCYPART_ARC
(2,3),2.33801 # DEPENDENCYPART_ARC
(2,4),3.13506 # DEPENDENCYPART_ARC
(2,5),0.305874 # DEPENDENCYPART_ARC
(2,6),3.42618 # DEPENDENCYPART_ARC
(2,7),-0.240951 # DEPENDENCYPART_ARC
(2,8),0.883365 # DEPENDENCYPART_ARC
(2,9),-2.15567 # DEPENDENCYPART_ARC
(2,10),-1.18585 # DEPENDENCYPART_ARC
(2,11),0.323856 # DEPENDENCYPART_ARC
(2,12),-2.2589 # DEPENDENCYPART_ARC
(2,13),-1.01823 # DEPENDENCYPART_ARC
(2,14),-2.24251 # DEPENDENCYPART_ARC
(2,15),-0.311846 # DEPENDENCYPART_ARC
(2,16),-0.271449 # DEPENDENCYPART_ARC
(2,17),-2.3967 # DEPENDENCYPART_ARC
(2,19),-2.19286 # DEPENDENCYPART_ARC
(2,20),0.745814 # DEPENDENCYPART_ARC
(3,1),-0.807152 # DEPENDENCYPART_ARC
(3,2),-2.20709 # DEPENDENCYPART_ARC
(3,4),-0.413093 # DEPENDENCYPART_ARC
(3,5),-1.32163 # DEPENDENCYPART_ARC
(4,1),-0.142439 # DEPENDENCYPART_ARC
(4,2),-1.05783 # DEPENDENCYPART_ARC
(4,3),5.31823 # DEPENDENCYPART_ARC
(4,5),2.79178 # DEPENDENCYPART_ARC
(4,6),0.213124 # DEPENDENCYPART_ARC
(4,7),-0.232727 # DEPENDENCYPART_ARC
(4,8),-0.0861971 # DEPENDENCYPART_ARC
(4,9),-0.220729 # DEPENDENCYPART_ARC
(4,12),-1.89368 # DEPENDENCYPART_ARC
