# _root_ Tuto sumu obdržely dvakrát : jednorázově po volbách a pak , na základě roční zprávy o hospodaření , rozdělenou do čtyřletých částek .
#goldHeads=2,3,0,5,3,8,9,7,5,9,13,13,19,15,13,15,16,13,10,19,22,20,0,
#predictedHeads=2,3,9,5,0,9,9,7,5,9,13,13,9,15,13,15,16,19,15,19,22,20,0,
(0,1),-0.768501 # DEPENDENCYPART_ARC
(0,2),-2.20357 # DEPENDENCYPART_ARC
(0,3),0.271752 # DEPENDENCYPART_ARC
(0,4),-0.697136 # DEPENDENCYPART_ARC
(0,5),0.25963 # DEPENDENCYPART_ARC
(0,6),-0.949593 # DEPENDENCYPART_ARC
(0,7),-1.71794 # DEPENDENCYPART_ARC
(0,9),-0.21934 # DEPENDENCYPART_ARC
(0,11),-0.376503 # DEPENDENCYPART_ARC
(0,18),-0.995461 # DEPENDENCYPART_ARC
(0,23),3.7321 # DEPENDENCYPART_ARC
(1,2),-0.0841703 # DEPENDENCYPART_ARC
(1,3),-2.00077 # DEPENDENCYPART_ARC
(2,1),4.94115 # DEPENDENCYPART_ARC
(2,3),-1.68882 # DEPENDENCYPART_ARC
(2,4),-1.36479 # DEPENDENCYPART_ARC
(2,5),-1.21305 # DEPENDENCYPART_ARC
(3,1),1.62423 # DEPENDENCYPART_ARC
(3,2),2.70244 # DEPENDENCYPART_ARC
(3,4),1.02928 # DEPENDENCYPART_ARC
(3,5),0.313833 # DEPENDENCYPART_ARC
(3,6),0.654007 # DEPENDENCYPART_ARC
(3,7),0.985019 # DEPENDENCYPART_ARC
(3,8),-0.534254 # DEPENDENCYPART_ARC
(3,9),0.0977561 # DEPENDENCYPART_ARC
(3,10),-0.167542 # DEPENDENCYPART_ARC
(3,11),-0.169103 # DEPENDENCYPART_ARC
(3,12),-0.47473 # DEPENDENCYPART_ARC
(3,13),-0.868155 # DEPENDENCYPART_ARC
(3,15),-2.31829 # DEPENDENCYPART_ARC
(3,16),-0.443213 # DEPENDENCYPART_ARC
(3,17),-3.03067 # DEPENDENCYPART_ARC
(3,18),-0.304907 # DEPENDENCYPART_ARC
(3,19),-5.042 # DEPENDENCYPART_ARC
(3,20),-0.62239 # DEPENDENCYPART_ARC
(3,22),-3.44643 # DEPENDENCYPART_ARC
(4,5),0.569846 # DEPENDENCYPART_ARC
(5,1),0.462104 # DEPENDENCYPART_ARC
(5,2),0.56873 # DEPENDENCYPART_ARC
(5,3),0.423152 # DEPENDENCYPART_ARC
(5,4),1.98327 # DEPENDENCYPART_ARC
(5,6),0.438847 # DEPENDENCYPART_ARC
(5,7),0.66221 # DEPENDENCYPART_ARC
(5,8),0.358989 # DEPENDENCYPART_ARC
(5,9),0.85467 # DEPENDENCYPART_ARC
(5,10),0.286592 # DEPENDENCYPART_ARC
(5,11),0.176926 # DEPENDENCYPART_ARC
(5,12),-0.283237 # DEPENDENCYPART_ARC
(5,13),-0.74272 # DEPENDENCYPART_ARC
(5,14),-0.223515 # DEPENDENCYPART_ARC
(5,15),-1.06573 # DEPENDENCYPART_ARC
(5,16),-0.22472 # DEPENDENCYPART_ARC
(5,18),-0.267632 # DEPENDENCYPART_ARC
(6,1),-1.77485 # DEPENDENCYPART_ARC
(6,2),-2.03109 # DEPENDENCYPART_ARC
(6,3),-1.70591 # DEPENDENCYPART_ARC
(6,5),0.135423 # DEPENDENCYPART_ARC
(6,7),0.716031 # DEPENDENCYPART_ARC
(6,8),0.0147287 # DEPENDENCYPART_ARC
(6,9),0.234113 # DEPENDENCYPART_ARC
(6,10),-0.564416 # DEPENDENCYPART_ARC
(6,11),-0.296819 # DEPENDENCYPART_ARC
(6,12),-0.710482 # DEPENDENCYPART_ARC
(6,13),-1.4812 # DEPENDENCYPART_ARC
(6,15),-0.834495 # DEPENDENCYPART_ARC
(7,2),-2.65378 # DEPENDENCYPART_ARC
(7,5),-0.136759 # DEPENDENCYPART_ARC
(7,6),-0.945805 # DEPENDENCYPART_ARC
(7,8),4.24105 # DEPENDENCYPART_ARC
(7,9),0.733753 # DEPENDENCYPART_ARC
(7,11),-0.055308 # DEPENDENCYPART_ARC
(7,13),-0.430482 # DEPENDENCYPART_ARC
(8,3),-3.45602 # DEPENDENCYPART_ARC
(8,5),-0.0449912 # DEPENDENCYPART_ARC
(8,6),0.187576 # DEPENDENCYPART_ARC
(8,7),-0.127517 # DEPENDENCYPART_ARC
(8,9),-0.549058 # DEPENDENCYPART_ARC
(9,1),0.809128 # DEPENDENCYPART_ARC
(9,2),0.889255 # DEPENDENCYPART_ARC
(9,3),1.69936 # DEPENDENCYPART_ARC
(9,4),0.0940503 # DEPENDENCYPART_ARC
(9,5),0.490276 # DEPENDENCYPART_ARC
(9,6),1.09203 # DEPENDENCYPART_ARC
(9,7),1.14016 # DEPENDENCYPART_ARC
(9,8),2.05505 # DEPENDENCYPART_ARC
(9,10),1.92111 # DEPENDENCYPART_ARC
(9,11),0.0300157 # DEPENDENCYPART_ARC
(9,12),0.280138 # DEPENDENCYPART_ARC
(9,13),0.746726 # DEPENDENCYPART_ARC
(9,14),0.630003 # DEPENDENCYPART_ARC
(9,15),0.713625 # DEPENDENCYPART_ARC
(9,16),-0.338522 # DEPENDENCYPART_ARC
(9,17),-0.552114 # DEPENDENCYPART_ARC
(9,18),-0.542881 # DEPENDENCYPART_ARC
(9,19),-0.507285 # DEPENDENCYPART_ARC
(9,20),-0.155537 # DEPENDENCYPART_ARC
(9,22),-0.545792 # DEPENDENCYPART_ARC
(9,23),-1.47459 # DEPENDENCYPART_ARC
(10,2),-3.14409 # DEPENDENCYPART_ARC
(10,3),-2.65361 # DEPENDENCYPART_ARC
(10,6),-1.94925 # DEPENDENCYPART_ARC
(10,7),-1.96734 # DEPENDENCYPART_ARC
(10,8),-1.71172 # DEPENDENCYPART_ARC
(10,9),-0.743758 # DEPENDENCYPART_ARC
(10,11),-0.58086 # DEPENDENCYPART_ARC
(10,12),-1.14311 # DEPENDENCYPART_ARC
(10,13),-1.73255 # DEPENDENCYPART_ARC
(11,1),-0.430789 # DEPENDENCYPART_ARC
(11,2),-1.08292 # DEPENDENCYPART_ARC
(11,3),0.88632 # DEPENDENCYPART_ARC
(11,5),-0.0922827 # DEPENDENCYPART_ARC
(11,6),0.0283693 # DEPENDENCYPART_ARC
(11,7),0.871476 # DEPENDENCYPART_ARC
(11,8),0.55733 # DEPENDENCYPART_ARC
(11,9),-0.00243557 # DEPENDENCYPART_ARC
(11,10),0.772234 # DEPENDENCYPART_ARC
(11,12),1.04326 # DEPENDENCYPART_ARC
(11,13),0.109948 # DEPENDENCYPART_ARC
(11,14),0.409149 # DEPENDENCYPART_ARC
(11,15),-0.524755 # DEPENDENCYPART_ARC
(11,16),0.365336 # DEPENDENCYPART_ARC
(11,17),-0.82431 # DEPENDENCYPART_ARC
(11,18),0.155986 # DEPENDENCYPART_ARC
(11,19),-0.786407 # DEPENDENCYPART_ARC
(11,20),-0.803896 # DEPENDENCYPART_ARC
(11,22),-1.10418 # DEPENDENCYPART_ARC
(11,23),-0.265698 # DEPENDENCYPART_ARC
(12,8),-1.26775 # DEPENDENCYPART_ARC
(12,10),-0.914404 # DEPENDENCYPART_ARC
(12,11),0.398307 # DEPENDENCYPART_ARC
(12,13),1.20848 # DEPENDENCYPART_ARC
(12,14),-2.8337 # DEPENDENCYPART_ARC
(12,15),-3.56379 # DEPENDENCYPART_ARC
(13,6),-1.17172 # DEPENDENCYPART_ARC
(13,7),0.175331 # DEPENDENCYPART_ARC
(13,8),-3.30001 # DEPENDENCYPART_ARC
(13,9),-0.449931 # DEPENDENCYPART_ARC
(13,10),0.309611 # DEPENDENCYPART_ARC
(13,11),0.715835 # DEPENDENCYPART_ARC
(13,12),3.16734 # DEPENDENCYPART_ARC
(13,14),-0.448655 # DEPENDENCYPART_ARC
(13,15),2.77354 # DEPENDENCYPART_ARC
(13,16),0.821755 # DEPENDENCYPART_ARC
(13,17),-0.571344 # DEPENDENCYPART_ARC
(13,18),0.612197 # DEPENDENCYPART_ARC
(13,19),-2.42367 # DEPENDENCYPART_ARC
(13,20),0.0947826 # DEPENDENCYPART_ARC
(13,21),-4.46363 # DEPENDENCYPART_ARC
(13,22),-0.0511076 # DEPENDENCYPART_ARC
(14,10),-1.0669 # DEPENDENCYPART_ARC
(14,12),0.00413921 # DEPENDENCYPART_ARC
(14,15),1.17274 # DEPENDENCYPART_ARC
(14,16),0.320741 # DEPENDENCYPART_ARC
(14,17),-1.48054 # DEPENDENCYPART_ARC
(14,20),-0.264611 # DEPENDENCYPART_ARC
(15,6),-2.0978 # DEPENDENCYPART_ARC
(15,10),-0.886031 # DEPENDENCYPART_ARC
(15,12),-0.805214 # DEPENDENCYPART_ARC
(15,13),-2.1987 # DEPENDENCYPART_ARC
(15,14),4.85881 # DEPENDENCYPART_ARC
(15,16),2.57505 # DEPENDENCYPART_ARC
(15,17),-0.788552 # DEPENDENCYPART_ARC
(15,19),-0.0380092 # DEPENDENCYPART_ARC
(15,20),0.397639 # DEPENDENCYPART_ARC
(15,22),-0.933128 # DEPENDENCYPART_ARC
(16,15),-2.49403 # DEPENDENCYPART_ARC
(16,17),3.81384 # DEPENDENCYPART_ARC
(16,18),0.0762706 # DEPENDENCYPART_ARC
(16,19),-2.47641 # DEPENDENCYPART_ARC
(16,22),-3.58909 # DEPENDENCYPART_ARC
(17,14),-2.40389 # DEPENDENCYPART_ARC
(17,16),-0.272773 # DEPENDENCYPART_ARC
(17,18),-0.342362 # DEPENDENCYPART_ARC
(17,19),-0.71579 # DEPENDENCYPART_ARC
(17,20),0.570652 # DEPENDENCYPART_ARC
(17,21),-3.38355 # DEPENDENCYPART_ARC
(17,22),0.476246 # DEPENDENCYPART_ARC
(17,23),-1.69357 # DEPENDENCYPART_ARC
(18,2),-1.71627 # DEPENDENCYPART_ARC
(18,3),-0.343503 # DEPENDENCYPART_ARC
(18,5),-1.33622 # DEPENDENCYPART_ARC
(18,7),0.0538581 # DEPENDENCYPART_ARC
(18,8),0.280477 # DEPENDENCYPART_ARC
(18,9),-0.659508 # DEPENDENCYPART_ARC
(18,10),-0.673349 # DEPENDENCYPART_ARC
(18,11),-0.233659 # DEPENDENCYPART_ARC
(18,12),-0.342771 # DEPENDENCYPART_ARC
(18,13),0.119322 # DEPENDENCYPART_ARC
(18,14),-0.000141884 # DEPENDENCYPART_ARC
(18,15),0.382379 # DEPENDENCYPART_ARC
(18,16),-0.485485 # DEPENDENCYPART_ARC
(18,17),1.48226 # DEPENDENCYPART_ARC
(18,19),-0.204498 # DEPENDENCYPART_ARC
(18,20),0.478047 # DEPENDENCYPART_ARC
(18,21),-0.234226 # DEPENDENCYPART_ARC
(18,22),0.975213 # DEPENDENCYPART_ARC
(18,23),0.0417744 # DEPENDENCYPART_ARC
(19,14),-2.64328 # DEPENDENCYPART_ARC
(19,16),-0.18286 # DEPENDENCYPART_ARC
(19,17),-3.00956 # DEPENDENCYPART_ARC
(19,18),2.02369 # DEPENDENCYPART_ARC
(19,20),2.03964 # DEPENDENCYPART_ARC
