# _root_ Na setkání vedoucích pracovníků firem , které se na jeho výstavbě podílejí , se členy městské rady to uvedl ředitel společnosti Inženýring dopravních staveb Bohumil Kvasnička .
#goldHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,2,14,17,15,19,0,26,20,21,24,22,26,19,0,
#predictedHeads=19,1,4,2,4,12,12,12,12,11,9,5,19,19,14,17,15,19,0,26,20,21,24,22,26,19,0,
(0,1),-0.859672 # DEPENDENCYPART_ARC
(0,2),-1.60608 # DEPENDENCYPART_ARC
(0,4),-1.88343 # DEPENDENCYPART_ARC
(0,5),-1.79625 # DEPENDENCYPART_ARC
(0,6),-0.456453 # DEPENDENCYPART_ARC
(0,7),-2.33929 # DEPENDENCYPART_ARC
(0,12),-0.37319 # DEPENDENCYPART_ARC
(0,13),-0.795945 # DEPENDENCYPART_ARC
(0,19),2.31042 # DEPENDENCYPART_ARC
(0,27),3.86677 # DEPENDENCYPART_ARC
(1,2),3.53792 # DEPENDENCYPART_ARC
(1,3),-2.11474 # DEPENDENCYPART_ARC
(1,4),-2.97741 # DEPENDENCYPART_ARC
(1,5),-4.08777 # DEPENDENCYPART_ARC
(2,1),0.925596 # DEPENDENCYPART_ARC
(2,3),-0.160607 # DEPENDENCYPART_ARC
(2,4),2.36948 # DEPENDENCYPART_ARC
(2,5),1.87933 # DEPENDENCYPART_ARC
(2,6),0.0504153 # DEPENDENCYPART_ARC
(2,9),-0.691961 # DEPENDENCYPART_ARC
(2,11),-1.01924 # DEPENDENCYPART_ARC
(2,12),0.164346 # DEPENDENCYPART_ARC
(2,14),-2.03179 # DEPENDENCYPART_ARC
(2,19),-0.3426 # DEPENDENCYPART_ARC
(3,1),0.618374 # DEPENDENCYPART_ARC
(3,2),-1.18057 # DEPENDENCYPART_ARC
(3,4),1.30522 # DEPENDENCYPART_ARC
(3,5),0.0277559 # DEPENDENCYPART_ARC
(3,6),-0.336805 # DEPENDENCYPART_ARC
(3,9),-0.377223 # DEPENDENCYPART_ARC
(3,11),-1.86314 # DEPENDENCYPART_ARC
(4,2),-3.76154 # DEPENDENCYPART_ARC
(4,3),4.10213 # DEPENDENCYPART_ARC
(4,5),3.45073 # DEPENDENCYPART_ARC
(4,6),-0.425458 # DEPENDENCYPART_ARC
(4,7),-2.66442 # DEPENDENCYPART_ARC
(4,9),-1.63971 # DEPENDENCYPART_ARC
(4,11),-2.49682 # DEPENDENCYPART_ARC
(4,12),0.798291 # DEPENDENCYPART_ARC
(4,14),-2.29665 # DEPENDENCYPART_ARC
(4,19),-0.371467 # DEPENDENCYPART_ARC
(5,2),-3.1535 # DEPENDENCYPART_ARC
(5,3),0.828753 # DEPENDENCYPART_ARC
(5,4),1.02881 # DEPENDENCYPART_ARC
(5,6),-0.268469 # DEPENDENCYPART_ARC
(5,7),-1.84409 # DEPENDENCYPART_ARC
(5,9),-0.783646 # DEPENDENCYPART_ARC
(5,11),-1.90618 # DEPENDENCYPART_ARC
(5,12),2.71202 # DEPENDENCYPART_ARC
(5,13),0.0720557 # DEPENDENCYPART_ARC
(5,16),-1.57503 # DEPENDENCYPART_ARC
(5,19),0.528147 # DEPENDENCYPART_ARC
(6,1),-2.04851 # DEPENDENCYPART_ARC
(6,2),-0.840956 # DEPENDENCYPART_ARC
(6,3),-1.53601 # DEPENDENCYPART_ARC
(6,4),-1.30541 # DEPENDENCYPART_ARC
(6,5),-1.30534 # DEPENDENCYPART_ARC
(6,12),-0.461447 # DEPENDENCYPART_ARC
(6,13),-1.1535 # DEPENDENCYPART_ARC
(6,19),-1.6698 # DEPENDENCYPART_ARC
(7,6),-0.412627 # DEPENDENCYPART_ARC
(7,11),-1.1858 # DEPENDENCYPART_ARC
(7,13),-0.350812 # DEPENDENCYPART_ARC
(9,6),-0.213131 # DEPENDENCYPART_ARC
(9,10),0.815128 # DEPENDENCYPART_ARC
(9,11),5.34452 # DEPENDENCYPART_ARC
(9,13),-0.734191 # DEPENDENCYPART_ARC
(11,2),-1.94155 # DEPENDENCYPART_ARC
(11,3),-5.48491 # DEPENDENCYPART_ARC
(11,5),-4.65598 # DEPENDENCYPART_ARC
(11,7),-2.41887 # DEPENDENCYPART_ARC
(11,8),-2.43355 # DEPENDENCYPART_ARC
(11,9),0.228762 # DEPENDENCYPART_ARC
(11,10),5.27539 # DEPENDENCYPART_ARC
(11,14),-1.07318 # DEPENDENCYPART_ARC
(11,19),-2.7247 # DEPENDENCYPART_ARC
(12,1),1.82169 # DEPENDENCYPART_ARC
