# _root_ A míra exportního výkonu , vztahující objem vývozu na jednoho obyvatele , je žalostná :
#goldHeads=0,13,4,2,6,2,6,7,6,11,9,6,1,13,0,
#predictedHeads=13,1,4,2,6,2,6,7,7,11,9,1,0,13,0,
(0,1),-0.4446 # DEPENDENCYPART_ARC
(0,2),-2.2881 # DEPENDENCYPART_ARC
(0,4),-3.01812 # DEPENDENCYPART_ARC
(0,5),-1.76342 # DEPENDENCYPART_ARC
(0,12),-1.64235 # DEPENDENCYPART_ARC
(0,13),0.328923 # DEPENDENCYPART_ARC
(0,15),1.47568 # DEPENDENCYPART_ARC
(1,2),1.19092 # DEPENDENCYPART_ARC
(1,3),0.774692 # DEPENDENCYPART_ARC
(1,4),-0.00665452 # DEPENDENCYPART_ARC
(1,5),0.231315 # DEPENDENCYPART_ARC
(1,6),-0.126797 # DEPENDENCYPART_ARC
(1,7),-1.24801 # DEPENDENCYPART_ARC
(1,8),-1.29879 # DEPENDENCYPART_ARC
(1,12),0.565009 # DEPENDENCYPART_ARC
(1,13),0.368917 # DEPENDENCYPART_ARC
(1,15),-0.811643 # DEPENDENCYPART_ARC
(2,1),-0.472172 # DEPENDENCYPART_ARC
(2,3),-0.39487 # DEPENDENCYPART_ARC
(2,4),3.08966 # DEPENDENCYPART_ARC
(2,5),0.334481 # DEPENDENCYPART_ARC
(2,6),1.45617 # DEPENDENCYPART_ARC
(2,7),-2.24232 # DEPENDENCYPART_ARC
(2,8),0.761632 # DEPENDENCYPART_ARC
(2,9),0.559222 # DEPENDENCYPART_ARC
(2,10),-2.83644 # DEPENDENCYPART_ARC
(2,11),-4.4618 # DEPENDENCYPART_ARC
(2,12),-0.318677 # DEPENDENCYPART_ARC
(2,14),-0.506462 # DEPENDENCYPART_ARC
(3,1),0.00104521 # DEPENDENCYPART_ARC
(3,2),-1.49044 # DEPENDENCYPART_ARC
(3,4),0.327943 # DEPENDENCYPART_ARC
(3,7),-2.86696 # DEPENDENCYPART_ARC
(4,1),-0.208065 # DEPENDENCYPART_ARC
(4,2),-2.08707 # DEPENDENCYPART_ARC
(4,3),5.45154 # DEPENDENCYPART_ARC
(4,5),-0.707991 # DEPENDENCYPART_ARC
(4,6),-1.54148 # DEPENDENCYPART_ARC
(4,7),-2.88263 # DEPENDENCYPART_ARC
(4,8),0.636883 # DEPENDENCYPART_ARC
(4,9),-0.435313 # DEPENDENCYPART_ARC
(4,10),-3.88171 # DEPENDENCYPART_ARC
(4,13),-1.65642 # DEPENDENCYPART_ARC
(4,14),-4.31392 # DEPENDENCYPART_ARC
