# _root_ S obsahem dopisu , ale zejména s obsahem odpovědi M . Kováče na něj , vyjádřila koalice ostrý nesouhlas na lednovém zasedání parlamentu .
#goldHeads=5,1,2,5,19,8,5,7,8,12,10,9,9,13,5,0,16,19,16,16,22,20,22,0,
#predictedHeads=5,1,2,5,0,8,5,7,8,12,10,9,9,13,16,5,16,19,16,19,22,20,22,0,
(0,1),-0.79982 # DEPENDENCYPART_ARC
(0,2),-0.88043 # DEPENDENCYPART_ARC
(0,3),-1.00488 # DEPENDENCYPART_ARC
(0,4),-0.314419 # DEPENDENCYPART_ARC
(0,5),0.56546 # DEPENDENCYPART_ARC
(0,6),-1.40043 # DEPENDENCYPART_ARC
(0,10),-0.65961 # DEPENDENCYPART_ARC
(0,11),-0.268332 # DEPENDENCYPART_ARC
(0,12),-1.8175 # DEPENDENCYPART_ARC
(0,15),-1.03901 # DEPENDENCYPART_ARC
(0,16),-0.111764 # DEPENDENCYPART_ARC
(0,24),3.68138 # DEPENDENCYPART_ARC
(1,2),3.20793 # DEPENDENCYPART_ARC
(1,3),-1.38309 # DEPENDENCYPART_ARC
(1,4),0.0264486 # DEPENDENCYPART_ARC
(2,1),0.332047 # DEPENDENCYPART_ARC
(2,3),3.6202 # DEPENDENCYPART_ARC
(2,4),-0.0888242 # DEPENDENCYPART_ARC
(2,5),0.389406 # DEPENDENCYPART_ARC
(2,6),-0.0113643 # DEPENDENCYPART_ARC
(2,7),-0.322255 # DEPENDENCYPART_ARC
(2,8),-2.09045 # DEPENDENCYPART_ARC
(2,9),0.0409796 # DEPENDENCYPART_ARC
(2,10),-0.968904 # DEPENDENCYPART_ARC
(2,13),-0.443858 # DEPENDENCYPART_ARC
(2,16),-1.50897 # DEPENDENCYPART_ARC
(2,20),-1.1894 # DEPENDENCYPART_ARC
(3,1),-0.46557 # DEPENDENCYPART_ARC
(3,2),-1.20681 # DEPENDENCYPART_ARC
(3,4),-0.465906 # DEPENDENCYPART_ARC
(3,5),0.0956684 # DEPENDENCYPART_ARC
(3,7),-0.593606 # DEPENDENCYPART_ARC
(3,16),-1.58195 # DEPENDENCYPART_ARC
(4,1),-1.15264 # DEPENDENCYPART_ARC
(4,2),-0.402682 # DEPENDENCYPART_ARC
(4,3),-0.90494 # DEPENDENCYPART_ARC
(4,6),-0.869875 # DEPENDENCYPART_ARC
(4,7),-1.10568 # DEPENDENCYPART_ARC
(4,16),-1.40033 # DEPENDENCYPART_ARC
(5,1),0.713126 # DEPENDENCYPART_ARC
(5,2),1.33227 # DEPENDENCYPART_ARC
(5,3),0.68902 # DEPENDENCYPART_ARC
(5,4),2.54136 # DEPENDENCYPART_ARC
(5,6),0.648767 # DEPENDENCYPART_ARC
(5,7),1.28146 # DEPENDENCYPART_ARC
(5,8),0.814786 # DEPENDENCYPART_ARC
(5,9),0.59041 # DEPENDENCYPART_ARC
(5,10),0.699493 # DEPENDENCYPART_ARC
(5,11),0.22684 # DEPENDENCYPART_ARC
(5,12),-0.182724 # DEPENDENCYPART_ARC
(5,13),-1.04364 # DEPENDENCYPART_ARC
(5,15),0.0438497 # DEPENDENCYPART_ARC
(5,16),0.488124 # DEPENDENCYPART_ARC
(5,17),-1.29128 # DEPENDENCYPART_ARC
(5,18),-1.20516 # DEPENDENCYPART_ARC
(5,23),-1.57043 # DEPENDENCYPART_ARC
(5,24),-1.46803 # DEPENDENCYPART_ARC
(6,1),-1.3616 # DEPENDENCYPART_ARC
(6,3),-0.993777 # DEPENDENCYPART_ARC
(6,4),-0.306021 # DEPENDENCYPART_ARC
(6,5),0.0369925 # DEPENDENCYPART_ARC
(6,7),-0.280226 # DEPENDENCYPART_ARC
(6,8),-1.08461 # DEPENDENCYPART_ARC
(6,9),-1.69113 # DEPENDENCYPART_ARC
(7,2),-0.977805 # DEPENDENCYPART_ARC
(7,3),-2.06395 # DEPENDENCYPART_ARC
(7,4),0.826931 # DEPENDENCYPART_ARC
(7,5),-0.278173 # DEPENDENCYPART_ARC
(7,6),0.469576 # DEPENDENCYPART_ARC
(7,8),3.4926 # DEPENDENCYPART_ARC
(7,9),-0.851285 # DEPENDENCYPART_ARC
(7,10),-0.819056 # DEPENDENCYPART_ARC
(7,11),0.360105 # DEPENDENCYPART_ARC
(7,12),-1.84365 # DEPENDENCYPART_ARC
(7,15),-0.179493 # DEPENDENCYPART_ARC
(8,1),-1.53223 # DEPENDENCYPART_ARC
(8,5),-0.633057 # DEPENDENCYPART_ARC
(8,6),1.92127 # DEPENDENCYPART_ARC
(8,7),0.311396 # DEPENDENCYPART_ARC
(8,9),3.46346 # DEPENDENCYPART_ARC
(8,10),1.65052 # DEPENDENCYPART_ARC
(8,11),0.444209 # DEPENDENCYPART_ARC
(8,12),1.02399 # DEPENDENCYPART_ARC
(8,13),0.294608 # DEPENDENCYPART_ARC
(8,16),-1.04952 # DEPENDENCYPART_ARC
(8,20),-0.555396 # DEPENDENCYPART_ARC
(9,6),0.869736 # DEPENDENCYPART_ARC
(9,7),-0.075569 # DEPENDENCYPART_ARC
(9,8),-1.80415 # DEPENDENCYPART_ARC
(9,10),3.5584 # DEPENDENCYPART_ARC
(9,11),1.44066 # DEPENDENCYPART_ARC
(9,12),1.46378 # DEPENDENCYPART_ARC
(9,13),1.19786 # DEPENDENCYPART_ARC
(9,15),-0.200322 # DEPENDENCYPART_ARC
(9,16),0.357581 # DEPENDENCYPART_ARC
(9,18),-2.86739 # DEPENDENCYPART_ARC
(9,20),0.303902 # DEPENDENCYPART_ARC
(10,2),-5.80858 # DEPENDENCYPART_ARC
(10,3),-6.92574 # DEPENDENCYPART_ARC
(10,5),-1.16983 # DEPENDENCYPART_ARC
(10,6),0.244824 # DEPENDENCYPART_ARC
(10,7),-1.22765 # DEPENDENCYPART_ARC
(10,8),-3.14464 # DEPENDENCYPART_ARC
(10,9),-3.40446 # DEPENDENCYPART_ARC
(10,11),2.96613 # DEPENDENCYPART_ARC
(10,12),-1.68428 # DEPENDENCYPART_ARC
(10,13),-1.67916 # DEPENDENCYPART_ARC
(10,15),-0.306258 # DEPENDENCYPART_ARC
(10,16),-4.26209 # DEPENDENCYPART_ARC
(10,18),-3.23295 # DEPENDENCYPART_ARC
(10,20),-1.90429 # DEPENDENCYPART_ARC
(11,8),0.0679914 # DEPENDENCYPART_ARC
(11,9),-0.658404 # DEPENDENCYPART_ARC
(11,10),-0.0743087 # DEPENDENCYPART_ARC
(11,12),-0.731667 # DEPENDENCYPART_ARC
(12,1),-1.31228 # DEPENDENCYPART_ARC
(12,2),-3.82849 # DEPENDENCYPART_ARC
(12,3),-2.4348 # DEPENDENCYPART_ARC
(12,4),0.47516 # DEPENDENCYPART_ARC
(12,5),-0.0593677 # DEPENDENCYPART_ARC
(12,6),0.562752 # DEPENDENCYPART_ARC
(12,7),-0.446304 # DEPENDENCYPART_ARC
(12,8),-1.79048 # DEPENDENCYPART_ARC
(12,9),1.33244 # DEPENDENCYPART_ARC
(12,10),8.50177 # DEPENDENCYPART_ARC
(12,11),0.233916 # DEPENDENCYPART_ARC
(12,13),-1.01438 # DEPENDENCYPART_ARC
(12,15),-0.489937 # DEPENDENCYPART_ARC
(12,16),-1.35545 # DEPENDENCYPART_ARC
(12,17),-3.51271 # DEPENDENCYPART_ARC
(12,18),-2.90885 # DEPENDENCYPART_ARC
(12,19),-6.06356 # DEPENDENCYPART_ARC
(12,20),-2.04418 # DEPENDENCYPART_ARC
(13,11),-0.7926 # DEPENDENCYPART_ARC
(13,12),-1.04043 # DEPENDENCYPART_ARC
(13,14),1.70526 # DEPENDENCYPART_ARC
(13,15),-0.691986 # DEPENDENCYPART_ARC
(13,17),-2.89884 # DEPENDENCYPART_ARC
(13,19),-0.370869 # DEPENDENCYPART_ARC
(15,1),-1.38369 # DEPENDENCYPART_ARC
(15,2),-0.349771 # DEPENDENCYPART_ARC
(15,4),-0.778261 # DEPENDENCYPART_ARC
(15,5),-0.726515 # DEPENDENCYPART_ARC
(15,8),0.0651571 # DEPENDENCYPART_ARC
(15,9),-0.24778 # DEPENDENCYPART_ARC
(15,10),-0.727535 # DEPENDENCYPART_ARC
(15,11),-1.00496 # DEPENDENCYPART_ARC
(15,12),-0.283591 # DEPENDENCYPART_ARC
(15,13),-0.415683 # DEPENDENCYPART_ARC
(15,16),0.373162 # DEPENDENCYPART_ARC
(15,17),-1.12311 # DEPENDENCYPART_ARC
(15,18),-0.729459 # DEPENDENCYPART_ARC
(15,19),-1.79961 # DEPENDENCYPART_ARC
(15,23),-2.31614 # DEPENDENCYPART_ARC
(16,1),0.704209 # DEPENDENCYPART_ARC
(16,2),-1.09043 # DEPENDENCYPART_ARC
(16,3),-3.93535 # DEPENDENCYPART_ARC
(16,4),-0.365211 # DEPENDENCYPART_ARC
(16,5),0.30268 # DEPENDENCYPART_ARC
(16,6),-0.986305 # DEPENDENCYPART_ARC
(16,7),-0.256087 # DEPENDENCYPART_ARC
(16,8),-0.366577 # DEPENDENCYPART_ARC
(16,9),-2.31796 # DEPENDENCYPART_ARC
(16,10),-2.17234 # DEPENDENCYPART_ARC
(16,11),0.096004 # DEPENDENCYPART_ARC
(16,12),-3.40546 # DEPENDENCYPART_ARC
(16,13),0.4772 # DEPENDENCYPART_ARC
(16,15),0.814508 # DEPENDENCYPART_ARC
(16,17),3.44598 # DEPENDENCYPART_ARC
(16,18),-0.698926 # DEPENDENCYPART_ARC
(16,19),2.2491 # DEPENDENCYPART_ARC
(16,20),1.41042 # DEPENDENCYPART_ARC
(16,21),-3.34648 # DEPENDENCYPART_ARC
(16,22),-0.819315 # DEPENDENCYPART_ARC
(16,23),-0.739438 # DEPENDENCYPART_ARC
(16,24),-0.0167097 # DEPENDENCYPART_ARC
(17,13),-0.188339 # DEPENDENCYPART_ARC
(17,15),-0.967813 # DEPENDENCYPART_ARC
(17,18),-0.946579 # DEPENDENCYPART_ARC
(17,19),-0.793764 # DEPENDENCYPART_ARC
(17,20),1.19736 # DEPENDENCYPART_ARC
