# _root_ Pokud nebude jeho smlouva zrušena , je rozhodnut zanechat vůbec fotbalu , uvedl manažer brazilského hráče Ricardo Fuica .
#goldHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
#predictedHeads=7,5,4,5,1,1,13,7,8,11,9,1,0,18,16,17,18,13,0,
(0,1),-0.519339 # DEPENDENCYPART_ARC
(0,2),-1.12673 # DEPENDENCYPART_ARC
(0,5),-1.02786 # DEPENDENCYPART_ARC
(0,6),-0.378282 # DEPENDENCYPART_ARC
(0,7),0.311335 # DEPENDENCYPART_ARC
(0,8),-1.31354 # DEPENDENCYPART_ARC
(0,9),-1.99897 # DEPENDENCYPART_ARC
(0,12),-0.71476 # DEPENDENCYPART_ARC
(0,13),0.947992 # DEPENDENCYPART_ARC
(0,19),4.31735 # DEPENDENCYPART_ARC
(1,2),2.76426 # DEPENDENCYPART_ARC
(1,4),-1.25815 # DEPENDENCYPART_ARC
(1,5),1.80624 # DEPENDENCYPART_ARC
(1,6),2.82283 # DEPENDENCYPART_ARC
(1,7),-0.503904 # DEPENDENCYPART_ARC
(1,8),-0.617056 # DEPENDENCYPART_ARC
(1,9),-1.30708 # DEPENDENCYPART_ARC
(1,12),1.76966 # DEPENDENCYPART_ARC
(1,13),-3.99237 # DEPENDENCYPART_ARC
(2,1),0.873406 # DEPENDENCYPART_ARC
(2,3),-1.14401 # DEPENDENCYPART_ARC
(2,4),1.18489 # DEPENDENCYPART_ARC
(2,5),-0.0759838 # DEPENDENCYPART_ARC
(2,6),-0.181546 # DEPENDENCYPART_ARC
(2,7),-2.02276 # DEPENDENCYPART_ARC
(2,8),-2.46576 # DEPENDENCYPART_ARC
(2,10),-1.35542 # DEPENDENCYPART_ARC
(2,12),-0.99856 # DEPENDENCYPART_ARC
(4,1),-0.860025 # DEPENDENCYPART_ARC
(4,2),-2.30365 # DEPENDENCYPART_ARC
(4,3),4.59226 # DEPENDENCYPART_ARC
(4,5),-0.406206 # DEPENDENCYPART_ARC
(5,1),1.37196 # DEPENDENCYPART_ARC
