# _root_ Milionový poplatek za vydání osvědčení , které umožňuje vést lékárnu , zakázalo vybírat Ministerstvo pro hospodářskou soutěž .
#goldHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
#predictedHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
(0,1),-0.898662 # DEPENDENCYPART_ARC
(0,2),-1.18167 # DEPENDENCYPART_ARC
(0,3),0.302903 # DEPENDENCYPART_ARC
(0,4),-1.43939 # DEPENDENCYPART_ARC
(0,5),-1.40154 # DEPENDENCYPART_ARC
(0,6),-0.103517 # DEPENDENCYPART_ARC
(0,7),-1.55287 # DEPENDENCYPART_ARC
(0,8),-0.0876705 # DEPENDENCYPART_ARC
(0,9),-0.393346 # DEPENDENCYPART_ARC
(0,11),-0.712339 # DEPENDENCYPART_ARC
(0,12),0.258639 # DEPENDENCYPART_ARC
(0,13),-1.25914 # DEPENDENCYPART_ARC
(0,18),3.50238 # DEPENDENCYPART_ARC
(1,3),0.101326 # DEPENDENCYPART_ARC
(2,1),4.70811 # DEPENDENCYPART_ARC
(2,3),2.24563 # DEPENDENCYPART_ARC
(2,4),0.0067275 # DEPENDENCYPART_ARC
(2,5),0.744466 # DEPENDENCYPART_ARC
(2,8),0.237731 # DEPENDENCYPART_ARC
(2,9),0.744043 # DEPENDENCYPART_ARC
(2,12),-3.67396 # DEPENDENCYPART_ARC
(2,13),-2.06695 # DEPENDENCYPART_ARC
(3,2),-1.87966 # DEPENDENCYPART_ARC
(3,4),3.65403 # DEPENDENCYPART_ARC
(3,5),-1.96622 # DEPENDENCYPART_ARC
(3,6),-0.554546 # DEPENDENCYPART_ARC
(4,1),-0.62248 # DEPENDENCYPART_ARC
(4,2),-1.64712 # DEPENDENCYPART_ARC
(4,3),0.946371 # DEPENDENCYPART_ARC
(4,5),3.59869 # DEPENDENCYPART_ARC
(4,6),-0.196392 # DEPENDENCYPART_ARC
(4,7),-1.91241 # DEPENDENCYPART_ARC
(4,8),0.661038 # DEPENDENCYPART_ARC
(4,9),0.898898 # DEPENDENCYPART_ARC
(4,10),-3.01982 # DEPENDENCYPART_ARC
(4,11),-0.366259 # DEPENDENCYPART_ARC
(4,12),-2.93659 # DEPENDENCYPART_ARC
