# _root_ Významnou funkcionalistickou stavbu , která vyhořela v roce 1974 , rekonstruovala Národní galerie v letech 1987 až 1993 .
#goldHeads=3,3,11,6,6,3,6,7,8,6,0,13,11,11,14,17,15,17,0,
#predictedHeads=3,3,11,6,6,3,6,7,8,6,0,13,11,13,14,17,15,17,0,
(0,1),-1.15169 # DEPENDENCYPART_ARC
(0,2),-1.24856 # DEPENDENCYPART_ARC
(0,3),-1.23001 # DEPENDENCYPART_ARC
(0,4),-0.251905 # DEPENDENCYPART_ARC
(0,5),-1.78649 # DEPENDENCYPART_ARC
(0,6),-0.279659 # DEPENDENCYPART_ARC
(0,10),-0.656731 # DEPENDENCYPART_ARC
(0,11),0.36418 # DEPENDENCYPART_ARC
(0,18),-3.34215 # DEPENDENCYPART_ARC
(0,19),3.53115 # DEPENDENCYPART_ARC
(1,2),-0.909031 # DEPENDENCYPART_ARC
(1,3),-1.12602 # DEPENDENCYPART_ARC
(1,4),-0.56776 # DEPENDENCYPART_ARC
(1,6),-1.6278 # DEPENDENCYPART_ARC
(1,7),-1.39127 # DEPENDENCYPART_ARC
(2,1),-0.216728 # DEPENDENCYPART_ARC
(2,6),-1.47335 # DEPENDENCYPART_ARC
(3,1),4.31272 # DEPENDENCYPART_ARC
(3,2),5.13904 # DEPENDENCYPART_ARC
(3,4),-0.184761 # DEPENDENCYPART_ARC
(3,5),-2.01612 # DEPENDENCYPART_ARC
(3,6),1.51877 # DEPENDENCYPART_ARC
(3,7),-0.966493 # DEPENDENCYPART_ARC
(3,8),-1.27139 # DEPENDENCYPART_ARC
(3,9),-0.664476 # DEPENDENCYPART_ARC
(3,10),0.117757 # DEPENDENCYPART_ARC
(3,11),-0.695017 # DEPENDENCYPART_ARC
(3,12),-2.14762 # DEPENDENCYPART_ARC
(4,1),-1.38656 # DEPENDENCYPART_ARC
(4,2),-1.50687 # DEPENDENCYPART_ARC
(4,3),-1.30903 # DEPENDENCYPART_ARC
(4,6),-0.239238 # DEPENDENCYPART_ARC
(4,7),-1.97226 # DEPENDENCYPART_ARC
(4,9),-2.02474 # DEPENDENCYPART_ARC
(4,10),-1.16236 # DEPENDENCYPART_ARC
(4,11),-1.56176 # DEPENDENCYPART_ARC
(5,4),-0.277722 # DEPENDENCYPART_ARC
(5,6),-0.584769 # DEPENDENCYPART_ARC
(5,8),-1.50062 # DEPENDENCYPART_ARC
(6,1),-2.14716 # DEPENDENCYPART_ARC
(6,2),-2.63044 # DEPENDENCYPART_ARC
(6,3),-0.492065 # DEPENDENCYPART_ARC
(6,4),1.85552 # DEPENDENCYPART_ARC
(6,5),3.11288 # DEPENDENCYPART_ARC
(6,7),2.51211 # DEPENDENCYPART_ARC
(6,8),0.418214 # DEPENDENCYPART_ARC
(6,9),0.925553 # DEPENDENCYPART_ARC
(6,10),1.38792 # DEPENDENCYPART_ARC
(6,11),-2.50385 # DEPENDENCYPART_ARC
(6,12),-1.93885 # DEPENDENCYPART_ARC
(6,13),0.744432 # DEPENDENCYPART_ARC
(6,14),0.636348 # DEPENDENCYPART_ARC
(6,15),-2.94695 # DEPENDENCYPART_ARC
(6,16),-0.161087 # DEPENDENCYPART_ARC
(6,17),-0.698061 # DEPENDENCYPART_ARC
(6,18),-1.22935 # DEPENDENCYPART_ARC
(6,19),-0.341834 # DEPENDENCYPART_ARC
(7,3),-3.04093 # DEPENDENCYPART_ARC
(7,4),-1.098 # DEPENDENCYPART_ARC
(7,8),4.87283 # DEPENDENCYPART_ARC
(7,9),-0.60766 # DEPENDENCYPART_ARC
(7,10),-0.275349 # DEPENDENCYPART_ARC
(7,11),-1.88525 # DEPENDENCYPART_ARC
(8,1),-4.3326 # DEPENDENCYPART_ARC
(8,3),-4.31299 # DEPENDENCYPART_ARC
(8,5),-2.64052 # DEPENDENCYPART_ARC
(8,6),-5.0403 # DEPENDENCYPART_ARC
(8,7),0.869528 # DEPENDENCYPART_ARC
(8,9),2.17689 # DEPENDENCYPART_ARC
(8,10),-0.723753 # DEPENDENCYPART_ARC
(8,11),-1.0599 # DEPENDENCYPART_ARC
(8,12),-3.26726 # DEPENDENCYPART_ARC
(8,13),-1.83838 # DEPENDENCYPART_ARC
(8,14),-0.870645 # DEPENDENCYPART_ARC
(8,15),-3.1007 # DEPENDENCYPART_ARC
(8,16),0.230954 # DEPENDENCYPART_ARC
(8,17),-0.376643 # DEPENDENCYPART_ARC
(8,18),-0.785714 # DEPENDENCYPART_ARC
