# _root_ " I když se Taliban dostal těsně ke Kábulu , nevěříme , že na něj zaútočí .
#goldHeads=3,3,11,6,6,3,6,7,8,3,0,13,11,16,14,13,0,
#predictedHeads=6,3,11,6,6,3,6,6,8,3,0,13,11,16,14,13,0,
(0,1),-0.668141 # DEPENDENCYPART_ARC
(0,2),-1.16126 # DEPENDENCYPART_ARC
(0,3),-1.1226 # DEPENDENCYPART_ARC
(0,5),-2.02407 # DEPENDENCYPART_ARC
(0,6),-0.809638 # DEPENDENCYPART_ARC
(0,7),-1.44951 # DEPENDENCYPART_ARC
(0,8),-1.97259 # DEPENDENCYPART_ARC
(0,10),-0.818713 # DEPENDENCYPART_ARC
(0,11),-0.657898 # DEPENDENCYPART_ARC
(0,12),-1.11851 # DEPENDENCYPART_ARC
(0,13),-3.84909 # DEPENDENCYPART_ARC
(0,16),-2.18479 # DEPENDENCYPART_ARC
(0,17),3.40975 # DEPENDENCYPART_ARC
(1,2),-2.6123 # DEPENDENCYPART_ARC
(1,3),-3.29485 # DEPENDENCYPART_ARC
(2,1),0.512001 # DEPENDENCYPART_ARC
(2,3),0.137574 # DEPENDENCYPART_ARC
(2,4),-0.500461 # DEPENDENCYPART_ARC
(2,5),-0.869544 # DEPENDENCYPART_ARC
(2,6),0.0871568 # DEPENDENCYPART_ARC
(2,7),-1.05894 # DEPENDENCYPART_ARC
(2,8),-0.444902 # DEPENDENCYPART_ARC
(2,9),-1.45567 # DEPENDENCYPART_ARC
(2,10),-0.140601 # DEPENDENCYPART_ARC
(2,11),-1.49568 # DEPENDENCYPART_ARC
(2,12),-0.941922 # DEPENDENCYPART_ARC
(2,13),-2.63252 # DEPENDENCYPART_ARC
(2,14),-1.40706 # DEPENDENCYPART_ARC
(2,16),-3.24674 # DEPENDENCYPART_ARC
(3,1),0.488843 # DEPENDENCYPART_ARC
(3,2),2.07286 # DEPENDENCYPART_ARC
(3,5),0.0673064 # DEPENDENCYPART_ARC
(3,6),3.08097 # DEPENDENCYPART_ARC
(3,7),-0.603345 # DEPENDENCYPART_ARC
(3,9),-1.78486 # DEPENDENCYPART_ARC
(3,10),2.22498 # DEPENDENCYPART_ARC
(3,11),0.497096 # DEPENDENCYPART_ARC
(3,12),0.81612 # DEPENDENCYPART_ARC
(3,13),-1.94857 # DEPENDENCYPART_ARC
(3,14),-2.12063 # DEPENDENCYPART_ARC
(3,16),-1.34992 # DEPENDENCYPART_ARC
(3,17),-0.903487 # DEPENDENCYPART_ARC
(5,1),-0.582506 # DEPENDENCYPART_ARC
(5,2),0.129296 # DEPENDENCYPART_ARC
(5,3),0.323182 # DEPENDENCYPART_ARC
(5,4),-0.836349 # DEPENDENCYPART_ARC
(5,6),-1.62084 # DEPENDENCYPART_ARC
(5,7),-1.21151 # DEPENDENCYPART_ARC
(5,8),-1.52008 # DEPENDENCYPART_ARC
(5,13),-2.24995 # DEPENDENCYPART_ARC
(6,1),0.660154 # DEPENDENCYPART_ARC
(6,2),-0.0196593 # DEPENDENCYPART_ARC
(6,3),1.0484 # DEPENDENCYPART_ARC
