# _root_ Federální ministerstvo kontroly však svůj postoj nemění - ani v naléhavé otázce , kdo nahradí škody , pokud se stavba pankráckého hotelu neuskuteční .
#goldHeads=2,7,2,0,6,7,4,10,12,6,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
#predictedHeads=2,7,2,0,6,7,4,9,12,7,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
(0,1),-0.582821 # DEPENDENCYPART_ARC
(0,2),-0.876176 # DEPENDENCYPART_ARC
(0,3),-1.44134 # DEPENDENCYPART_ARC
(0,4),1.54347 # DEPENDENCYPART_ARC
(0,5),-1.67388 # DEPENDENCYPART_ARC
(0,6),-2.68253 # DEPENDENCYPART_ARC
(0,7),0.368752 # DEPENDENCYPART_ARC
(0,8),-0.450088 # DEPENDENCYPART_ARC
(0,9),-0.811188 # DEPENDENCYPART_ARC
(0,10),-1.63481 # DEPENDENCYPART_ARC
(0,13),-0.749026 # DEPENDENCYPART_ARC
(0,14),-2.78338 # DEPENDENCYPART_ARC
(0,15),-0.488576 # DEPENDENCYPART_ARC
(0,17),-1.12878 # DEPENDENCYPART_ARC
(0,23),-1.1939 # DEPENDENCYPART_ARC
(0,24),4.10817 # DEPENDENCYPART_ARC
(1,3),-1.61367 # DEPENDENCYPART_ARC
(2,1),4.35897 # DEPENDENCYPART_ARC
(2,3),3.51641 # DEPENDENCYPART_ARC
(2,4),0.115305 # DEPENDENCYPART_ARC
(2,6),-2.93678 # DEPENDENCYPART_ARC
(2,7),-1.44324 # DEPENDENCYPART_ARC
(2,8),-0.766711 # DEPENDENCYPART_ARC
(2,9),-1.37412 # DEPENDENCYPART_ARC
(2,10),-1.90095 # DEPENDENCYPART_ARC
(2,12),-2.85538 # DEPENDENCYPART_ARC
(2,15),-1.82695 # DEPENDENCYPART_ARC
(3,1),-2.35048 # DEPENDENCYPART_ARC
(3,2),-1.78835 # DEPENDENCYPART_ARC
(3,4),-0.306034 # DEPENDENCYPART_ARC
(3,6),-3.15497 # DEPENDENCYPART_ARC
(3,7),-1.85411 # DEPENDENCYPART_ARC
(4,1),-1.0174 # DEPENDENCYPART_ARC
(4,2),-0.381744 # DEPENDENCYPART_ARC
(4,3),0.233975 # DEPENDENCYPART_ARC
(4,5),0.290481 # DEPENDENCYPART_ARC
(4,6),0.402656 # DEPENDENCYPART_ARC
(4,7),0.944181 # DEPENDENCYPART_ARC
(4,8),0.1209 # DEPENDENCYPART_ARC
(4,9),-0.886941 # DEPENDENCYPART_ARC
(4,10),-1.28429 # DEPENDENCYPART_ARC
(4,12),-1.66827 # DEPENDENCYPART_ARC
(4,13),0.062238 # DEPENDENCYPART_ARC
(4,15),-0.725962 # DEPENDENCYPART_ARC
(4,17),-0.389287 # DEPENDENCYPART_ARC
(4,23),-1.26687 # DEPENDENCYPART_ARC
(6,1),-3.32039 # DEPENDENCYPART_ARC
(6,2),-3.85024 # DEPENDENCYPART_ARC
(6,3),-4.10029 # DEPENDENCYPART_ARC
(6,4),-0.73514 # DEPENDENCYPART_ARC
(6,5),4.20559 # DEPENDENCYPART_ARC
(6,7),-1.43611 # DEPENDENCYPART_ARC
(7,1),-0.695701 # DEPENDENCYPART_ARC
(7,2),1.53231 # DEPENDENCYPART_ARC
(7,3),-1.28812 # DEPENDENCYPART_ARC
(7,4),1.12206 # DEPENDENCYPART_ARC
(7,6),3.24909 # DEPENDENCYPART_ARC
(7,8),0.681882 # DEPENDENCYPART_ARC
(7,9),0.942312 # DEPENDENCYPART_ARC
(7,10),0.0134646 # DEPENDENCYPART_ARC
(7,11),-4.20592 # DEPENDENCYPART_ARC
(7,12),-0.295492 # DEPENDENCYPART_ARC
(7,13),0.00725275 # DEPENDENCYPART_ARC
(7,15),-1.45813 # DEPENDENCYPART_ARC
(7,16),-1.73831 # DEPENDENCYPART_ARC
(7,17),-0.202099 # DEPENDENCYPART_ARC
(7,18),0.234559 # DEPENDENCYPART_ARC
(8,1),-1.38301 # DEPENDENCYPART_ARC
(8,2),-0.17544 # DEPENDENCYPART_ARC
(8,3),-0.104726 # DEPENDENCYPART_ARC
(8,4),0.170762 # DEPENDENCYPART_ARC
(8,6),0.20675 # DEPENDENCYPART_ARC
(8,7),-0.551752 # DEPENDENCYPART_ARC
(8,9),0.662165 # DEPENDENCYPART_ARC
(8,10),-0.793745 # DEPENDENCYPART_ARC
(8,11),0.191282 # DEPENDENCYPART_ARC
(8,12),-0.146574 # DEPENDENCYPART_ARC
(8,18),-0.918676 # DEPENDENCYPART_ARC
(9,1),-1.55624 # DEPENDENCYPART_ARC
(9,2),0.0377183 # DEPENDENCYPART_ARC
(9,3),-0.690924 # DEPENDENCYPART_ARC
(9,4),0.508605 # DEPENDENCYPART_ARC
(9,5),0.0912268 # DEPENDENCYPART_ARC
(9,6),0.614409 # DEPENDENCYPART_ARC
(9,7),0.775797 # DEPENDENCYPART_ARC
(9,8),0.982285 # DEPENDENCYPART_ARC
(9,10),0.218673 # DEPENDENCYPART_ARC
(9,11),0.0313315 # DEPENDENCYPART_ARC
(9,12),0.109007 # DEPENDENCYPART_ARC
(9,13),-0.411687 # DEPENDENCYPART_ARC
(9,15),-1.13838 # DEPENDENCYPART_ARC
(9,17),-1.07074 # DEPENDENCYPART_ARC
(9,18),-0.558314 # DEPENDENCYPART_ARC
(9,23),-2.24663 # DEPENDENCYPART_ARC
(10,8),0.888365 # DEPENDENCYPART_ARC
(10,9),-0.0369156 # DEPENDENCYPART_ARC
(10,11),0.520843 # DEPENDENCYPART_ARC
(10,12),3.83211 # DEPENDENCYPART_ARC
(10,13),-0.22636 # DEPENDENCYPART_ARC
(10,16),-3.76366 # DEPENDENCYPART_ARC
(12,8),0.138419 # DEPENDENCYPART_ARC
(12,9),1.83579 # DEPENDENCYPART_ARC
(12,10),0.438481 # DEPENDENCYPART_ARC
(12,11),5.05161 # DEPENDENCYPART_ARC
(12,13),-0.246697 # DEPENDENCYPART_ARC
(12,15),1.06806 # DEPENDENCYPART_ARC
(12,16),-4.65874 # DEPENDENCYPART_ARC
(12,17),0.17042 # DEPENDENCYPART_ARC
(12,18),-0.208988 # DEPENDENCYPART_ARC
(12,20),-2.59187 # DEPENDENCYPART_ARC
(12,21),-2.77124 # DEPENDENCYPART_ARC
(12,22),-0.284549 # DEPENDENCYPART_ARC
(12,23),-1.75594 # DEPENDENCYPART_ARC
(13,2),-1.20619 # DEPENDENCYPART_ARC
(13,4),-0.548448 # DEPENDENCYPART_ARC
(13,6),-1.17933 # DEPENDENCYPART_ARC
(13,7),-0.0990896 # DEPENDENCYPART_ARC
(13,8),-1.02693 # DEPENDENCYPART_ARC
