# _root_ Povstání zkomplikovalo plány nacistů na obranu Karpat , připoutalo nemalé nacistické jednotky na Slovensko , rozrušilo komunikační systém v týlu fronty a vytvořilo nebezpečné ohnisko nepokojů .
#goldHeads=22,22,2,3,3,5,6,22,22,12,12,9,9,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
#predictedHeads=2,15,2,3,3,5,6,2,22,12,12,9,12,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
(0,1),-1.58806 # DEPENDENCYPART_ARC
(0,2),-0.13113 # DEPENDENCYPART_ARC
(0,3),-2.02922 # DEPENDENCYPART_ARC
(0,8),-0.722112 # DEPENDENCYPART_ARC
(0,9),0.61709 # DEPENDENCYPART_ARC
(0,15),-1.07727 # DEPENDENCYPART_ARC
(0,16),0.23282 # DEPENDENCYPART_ARC
(0,22),-0.619296 # DEPENDENCYPART_ARC
(0,23),-2.30056 # DEPENDENCYPART_ARC
(0,27),3.28571 # DEPENDENCYPART_ARC
(1,2),-0.383842 # DEPENDENCYPART_ARC
(1,3),-3.17207 # DEPENDENCYPART_ARC
(1,4),-0.345361 # DEPENDENCYPART_ARC
(1,5),0.0505797 # DEPENDENCYPART_ARC
(2,1),3.59462 # DEPENDENCYPART_ARC
(2,3),2.44684 # DEPENDENCYPART_ARC
(2,4),-1.12632 # DEPENDENCYPART_ARC
(2,5),1.27621 # DEPENDENCYPART_ARC
(2,6),0.0427116 # DEPENDENCYPART_ARC
(2,7),-2.15097 # DEPENDENCYPART_ARC
(2,8),0.814598 # DEPENDENCYPART_ARC
(2,9),-3.19638 # DEPENDENCYPART_ARC
(2,12),-1.64555 # DEPENDENCYPART_ARC
(2,13),-0.191982 # DEPENDENCYPART_ARC
(2,14),-2.2389 # DEPENDENCYPART_ARC
(2,15),0.265946 # DEPENDENCYPART_ARC
(2,18),-2.12641 # DEPENDENCYPART_ARC
(2,19),-1.4197 # DEPENDENCYPART_ARC
(2,21),-4.29344 # DEPENDENCYPART_ARC
(2,22),-1.27781 # DEPENDENCYPART_ARC
(2,25),-3.45414 # DEPENDENCYPART_ARC
(2,26),-5.53512 # DEPENDENCYPART_ARC
(3,1),-3.49461 # DEPENDENCYPART_ARC
(3,2),-2.622 # DEPENDENCYPART_ARC
(3,4),3.35493 # DEPENDENCYPART_ARC
(3,5),1.50523 # DEPENDENCYPART_ARC
(3,6),-1.50585 # DEPENDENCYPART_ARC
(3,7),0.978471 # DEPENDENCYPART_ARC
(3,9),-1.58826 # DEPENDENCYPART_ARC
(3,10),-2.86587 # DEPENDENCYPART_ARC
(3,11),-2.12899 # DEPENDENCYPART_ARC
(3,13),0.1058 # DEPENDENCYPART_ARC
(3,16),-3.2896 # DEPENDENCYPART_ARC
(3,22),-0.97022 # DEPENDENCYPART_ARC
(4,1),-4.95094 # DEPENDENCYPART_ARC
(4,2),-2.69276 # DEPENDENCYPART_ARC
(4,3),-1.377 # DEPENDENCYPART_ARC
(4,5),1.10655 # DEPENDENCYPART_ARC
(4,6),-3.44083 # DEPENDENCYPART_ARC
(4,7),0.77109 # DEPENDENCYPART_ARC
(4,9),-2.16001 # DEPENDENCYPART_ARC
(4,10),-4.02797 # DEPENDENCYPART_ARC
(5,4),-1.51254 # DEPENDENCYPART_ARC
(5,6),3.75263 # DEPENDENCYPART_ARC
(5,7),-2.14691 # DEPENDENCYPART_ARC
(5,8),-0.31334 # DEPENDENCYPART_ARC
(6,5),0.831703 # DEPENDENCYPART_ARC
(6,7),3.96859 # DEPENDENCYPART_ARC
(6,8),-0.53629 # DEPENDENCYPART_ARC
(6,9),-0.969748 # DEPENDENCYPART_ARC
(6,10),-0.47287 # DEPENDENCYPART_ARC
(6,11),-0.456872 # DEPENDENCYPART_ARC
(6,12),-2.1938 # DEPENDENCYPART_ARC
(6,13),0.21001 # DEPENDENCYPART_ARC
(6,16),-2.62819 # DEPENDENCYPART_ARC
(6,22),-0.763496 # DEPENDENCYPART_ARC
(7,3),-1.90405 # DEPENDENCYPART_ARC
(7,4),-0.654461 # DEPENDENCYPART_ARC
(7,5),-0.768768 # DEPENDENCYPART_ARC
(7,6),-1.69766 # DEPENDENCYPART_ARC
(7,8),-1.04318 # DEPENDENCYPART_ARC
(7,9),-2.15388 # DEPENDENCYPART_ARC
(7,10),-6.00013 # DEPENDENCYPART_ARC
(7,11),-5.72427 # DEPENDENCYPART_ARC
(8,1),0.157053 # DEPENDENCYPART_ARC
(8,2),0.844579 # DEPENDENCYPART_ARC
(8,3),0.288773 # DEPENDENCYPART_ARC
(8,4),0.10224 # DEPENDENCYPART_ARC
(8,5),-0.2852 # DEPENDENCYPART_ARC
(8,6),0.626698 # DEPENDENCYPART_ARC
(8,7),-0.138639 # DEPENDENCYPART_ARC
(8,9),-0.11787 # DEPENDENCYPART_ARC
(8,15),-0.242453 # DEPENDENCYPART_ARC
(9,1),2.18763 # DEPENDENCYPART_ARC
(9,2),-0.900905 # DEPENDENCYPART_ARC
(9,3),-0.607143 # DEPENDENCYPART_ARC
(9,4),-2.40331 # DEPENDENCYPART_ARC
(9,5),0.143437 # DEPENDENCYPART_ARC
(9,6),0.231279 # DEPENDENCYPART_ARC
(9,7),-2.57582 # DEPENDENCYPART_ARC
(9,8),0.285702 # DEPENDENCYPART_ARC
(9,10),-0.764974 # DEPENDENCYPART_ARC
(9,11),-2.45207 # DEPENDENCYPART_ARC
(9,12),1.82135 # DEPENDENCYPART_ARC
(9,13),1.46897 # DEPENDENCYPART_ARC
(9,14),0.0657526 # DEPENDENCYPART_ARC
(9,15),0.883975 # DEPENDENCYPART_ARC
(9,16),-2.85312 # DEPENDENCYPART_ARC
(9,17),-3.53846 # DEPENDENCYPART_ARC
(9,18),0.510823 # DEPENDENCYPART_ARC
(9,19),-0.206474 # DEPENDENCYPART_ARC
(9,20),-2.25855 # DEPENDENCYPART_ARC
(9,21),-2.42956 # DEPENDENCYPART_ARC
(9,22),-0.273943 # DEPENDENCYPART_ARC
(9,23),-3.98109 # DEPENDENCYPART_ARC
(9,25),-1.41022 # DEPENDENCYPART_ARC
(9,26),-3.89289 # DEPENDENCYPART_ARC
(10,8),-0.683048 # DEPENDENCYPART_ARC
(10,11),-0.119358 # DEPENDENCYPART_ARC
(10,12),-0.38449 # DEPENDENCYPART_ARC
(10,13),0.279899 # DEPENDENCYPART_ARC
(10,14),-1.40393 # DEPENDENCYPART_ARC
(10,15),-0.34566 # DEPENDENCYPART_ARC
(10,16),-2.92692 # DEPENDENCYPART_ARC
(11,10),-1.42635 # DEPENDENCYPART_ARC
(12,7),-2.52368 # DEPENDENCYPART_ARC
(12,8),-0.951117 # DEPENDENCYPART_ARC
(12,10),3.78635 # DEPENDENCYPART_ARC
(12,11),4.72218 # DEPENDENCYPART_ARC
(12,13),2.08022 # DEPENDENCYPART_ARC
(12,14),-1.00467 # DEPENDENCYPART_ARC
(12,15),-0.170451 # DEPENDENCYPART_ARC
(12,16),-1.07747 # DEPENDENCYPART_ARC
(12,17),-2.38195 # DEPENDENCYPART_ARC
(12,19),-0.390036 # DEPENDENCYPART_ARC
(12,22),-0.257818 # DEPENDENCYPART_ARC
(12,23),-3.07419 # DEPENDENCYPART_ARC
(13,12),-2.62448 # DEPENDENCYPART_ARC
(13,14),3.6962 # DEPENDENCYPART_ARC
(13,15),0.0808158 # DEPENDENCYPART_ARC
(13,17),-0.450224 # DEPENDENCYPART_ARC
(13,18),-0.224453 # DEPENDENCYPART_ARC
(14,10),-4.26622 # DEPENDENCYPART_ARC
(14,11),-3.43661 # DEPENDENCYPART_ARC
(14,12),-4.57502 # DEPENDENCYPART_ARC
(14,13),-0.763756 # DEPENDENCYPART_ARC
(14,15),-1.65836 # DEPENDENCYPART_ARC
(14,16),-1.822 # DEPENDENCYPART_ARC
(14,17),-2.3548 # DEPENDENCYPART_ARC
(14,18),-3.51651 # DEPENDENCYPART_ARC
(14,22),-1.2232 # DEPENDENCYPART_ARC
(14,23),-3.5187 # DEPENDENCYPART_ARC
(15,1),-0.478848 # DEPENDENCYPART_ARC
(15,2),0.794776 # DEPENDENCYPART_ARC
(15,3),-0.394341 # DEPENDENCYPART_ARC
(15,4),-0.657625 # DEPENDENCYPART_ARC
(15,6),0.25142 # DEPENDENCYPART_ARC
(15,8),0.214378 # DEPENDENCYPART_ARC
(15,9),1.11054 # DEPENDENCYPART_ARC
(15,11),-0.315595 # DEPENDENCYPART_ARC
(15,12),0.48114 # DEPENDENCYPART_ARC
(15,13),-0.252205 # DEPENDENCYPART_ARC
(15,14),0.64328 # DEPENDENCYPART_ARC
(15,16),-0.055708 # DEPENDENCYPART_ARC
(15,17),-1.1182 # DEPENDENCYPART_ARC
(15,18),-1.23187 # DEPENDENCYPART_ARC
(15,20),-1.886 # DEPENDENCYPART_ARC
(15,23),-1.74861 # DEPENDENCYPART_ARC
(16,1),1.69026 # DEPENDENCYPART_ARC
(16,2),-1.63259 # DEPENDENCYPART_ARC
(16,3),-1.11187 # DEPENDENCYPART_ARC
(16,4),-3.12376 # DEPENDENCYPART_ARC
(16,5),-0.926886 # DEPENDENCYPART_ARC
(16,6),-0.825396 # DEPENDENCYPART_ARC
(16,7),-3.65535 # DEPENDENCYPART_ARC
(16,9),-0.135042 # DEPENDENCYPART_ARC
(16,10),-3.96077 # DEPENDENCYPART_ARC
(16,11),-2.95768 # DEPENDENCYPART_ARC
(16,12),-0.493267 # DEPENDENCYPART_ARC
(16,13),0.18967 # DEPENDENCYPART_ARC
(16,14),0.0911658 # DEPENDENCYPART_ARC
(16,15),0.174106 # DEPENDENCYPART_ARC
(16,17),-0.451946 # DEPENDENCYPART_ARC
(16,18),3.22073 # DEPENDENCYPART_ARC
(16,19),1.29022 # DEPENDENCYPART_ARC
(16,20),-0.417331 # DEPENDENCYPART_ARC
(16,21),-0.726315 # DEPENDENCYPART_ARC
(16,22),0.353045 # DEPENDENCYPART_ARC
(16,23),-3.01131 # DEPENDENCYPART_ARC
(16,24),-2.40399 # DEPENDENCYPART_ARC
(16,25),-0.0584579 # DEPENDENCYPART_ARC
(16,26),-2.544 # DEPENDENCYPART_ARC
(16,27),-0.443504 # DEPENDENCYPART_ARC
(17,18),-0.45371 # DEPENDENCYPART_ARC
(17,19),-0.376085 # DEPENDENCYPART_ARC
(17,20),-2.51694 # DEPENDENCYPART_ARC
(18,10),-3.4423 # DEPENDENCYPART_ARC
(18,14),-0.812086 # DEPENDENCYPART_ARC
(18,17),5.17722 # DEPENDENCYPART_ARC
(18,19),1.70808 # DEPENDENCYPART_ARC
(18,20),0.831001 # DEPENDENCYPART_ARC
(18,21),1.17476 # DEPENDENCYPART_ARC
(18,22),0.307976 # DEPENDENCYPART_ARC
(18,23),-1.32125 # DEPENDENCYPART_ARC
(18,24),-2.08408 # DEPENDENCYPART_ARC
(18,25),-2.56507 # DEPENDENCYPART_ARC
(18,26),-1.5896 # DEPENDENCYPART_ARC
(19,20),3.75026 # DEPENDENCYPART_ARC
(19,21),-1.86006 # DEPENDENCYPART_ARC
(20,17),-1.04436 # DEPENDENCYPART_ARC
(20,19),1.50973 # DEPENDENCYPART_ARC
(20,21),3.1327 # DEPENDENCYPART_ARC
(20,22),0.588713 # DEPENDENCYPART_ARC
(20,23),-1.50618 # DEPENDENCYPART_ARC
(20,24),-3.83983 # DEPENDENCYPART_ARC
(20,25),-3.71859 # DEPENDENCYPART_ARC
(20,26),-0.506534 # DEPENDENCYPART_ARC
(21,14),-3.79376 # DEPENDENCYPART_ARC
(21,17),-2.69958 # DEPENDENCYPART_ARC
(21,18),-3.15828 # DEPENDENCYPART_ARC
(21,19),-0.49371 # DEPENDENCYPART_ARC
(21,20),-0.444141 # DEPENDENCYPART_ARC
(21,23),-2.63176 # DEPENDENCYPART_ARC
(21,25),-4.61656 # DEPENDENCYPART_ARC
(21,26),-1.11739 # DEPENDENCYPART_ARC
(22,1),0.773218 # DEPENDENCYPART_ARC
(22,2),0.0826223 # DEPENDENCYPART_ARC
(22,3),-0.052383 # DEPENDENCYPART_ARC
(22,4),-0.173233 # DEPENDENCYPART_ARC
(22,5),-0.565531 # DEPENDENCYPART_ARC
(22,6),0.142858 # DEPENDENCYPART_ARC
(22,7),-0.277127 # DEPENDENCYPART_ARC
(22,8),0.398984 # DEPENDENCYPART_ARC
(22,9),1.57255 # DEPENDENCYPART_ARC
(22,11),-1.36159 # DEPENDENCYPART_ARC
(22,12),0.725547 # DEPENDENCYPART_ARC
(22,13),-0.25278 # DEPENDENCYPART_ARC
(22,14),0.796155 # DEPENDENCYPART_ARC
(22,15),1.0859 # DEPENDENCYPART_ARC
(22,16),2.72719 # DEPENDENCYPART_ARC
(22,17),-0.357024 # DEPENDENCYPART_ARC
(22,18),1.32363 # DEPENDENCYPART_ARC
(22,19),0.385861 # DEPENDENCYPART_ARC
(22,20),1.73191 # DEPENDENCYPART_ARC
(22,21),0.885656 # DEPENDENCYPART_ARC
(22,23),2.19297 # DEPENDENCYPART_ARC
(22,24),-0.165039 # DEPENDENCYPART_ARC
(22,25),0.665921 # DEPENDENCYPART_ARC
(22,26),-0.100618 # DEPENDENCYPART_ARC
(22,27),-0.723123 # DEPENDENCYPART_ARC
(23,1),0.0919951 # DEPENDENCYPART_ARC
(23,2),-3.76562 # DEPENDENCYPART_ARC
(23,12),-2.2692 # DEPENDENCYPART_ARC
(23,16),-2.28052 # DEPENDENCYPART_ARC
(23,18),-1.19709 # DEPENDENCYPART_ARC
(23,19),-1.03669 # DEPENDENCYPART_ARC
(23,20),-1.68533 # DEPENDENCYPART_ARC
(23,21),-3.0733 # DEPENDENCYPART_ARC
(23,24),0.545212 # DEPENDENCYPART_ARC
(23,25),2.8188 # DEPENDENCYPART_ARC
(23,26),-0.40866 # DEPENDENCYPART_ARC
(23,27),-0.455174 # DEPENDENCYPART_ARC
(24,21),-3.73808 # DEPENDENCYPART_ARC
(24,25),-0.676 # DEPENDENCYPART_ARC
(24,26),-0.953015 # DEPENDENCYPART_ARC
(25,24),3.95381 # DEPENDENCYPART_ARC
(25,26),3.56631 # DEPENDENCYPART_ARC
(25,27),-0.0329273 # DEPENDENCYPART_ARC
(26,20),-3.62168 # DEPENDENCYPART_ARC
(26,21),-3.5899 # DEPENDENCYPART_ARC
(26,24),-1.13991 # DEPENDENCYPART_ARC
(26,25),-1.19784 # DEPENDENCYPART_ARC
(26,27),-0.0281535 # DEPENDENCYPART_ARC
