# _root_ Šest členů prezídia proto tlačí na odvolání Tomáše Ježka a prosazuje , aby se na jeho místo dostal úředník , který na FNM udělá pořádek .
#goldHeads=10,1,2,10,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
#predictedHeads=5,1,2,0,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
(0,1),-0.276656 # DEPENDENCYPART_ARC
(0,2),-0.987528 # DEPENDENCYPART_ARC
(0,3),-1.22143 # DEPENDENCYPART_ARC
(0,4),1.09807 # DEPENDENCYPART_ARC
(0,5),-0.90135 # DEPENDENCYPART_ARC
(0,6),-1.26059 # DEPENDENCYPART_ARC
(0,7),-1.8918 # DEPENDENCYPART_ARC
(0,8),-2.23457 # DEPENDENCYPART_ARC
(0,9),-2.59939 # DEPENDENCYPART_ARC
(0,10),-0.0703988 # DEPENDENCYPART_ARC
(0,11),-1.32807 # DEPENDENCYPART_ARC
(0,12),-0.282833 # DEPENDENCYPART_ARC
(0,13),-3.18841 # DEPENDENCYPART_ARC
(0,18),-1.81898 # DEPENDENCYPART_ARC
(0,20),-0.954702 # DEPENDENCYPART_ARC
(0,24),-1.63911 # DEPENDENCYPART_ARC
(0,26),4.24744 # DEPENDENCYPART_ARC
(1,2),1.57174 # DEPENDENCYPART_ARC
(1,3),-0.418708 # DEPENDENCYPART_ARC
(1,4),-0.887839 # DEPENDENCYPART_ARC
(1,5),-1.1315 # DEPENDENCYPART_ARC
(2,1),-0.768403 # DEPENDENCYPART_ARC
(2,3),4.44016 # DEPENDENCYPART_ARC
(2,4),0.375252 # DEPENDENCYPART_ARC
(2,5),-1.66109 # DEPENDENCYPART_ARC
(2,6),-1.00451 # DEPENDENCYPART_ARC
(2,7),-4.75173 # DEPENDENCYPART_ARC
(2,8),-1.54344 # DEPENDENCYPART_ARC
(2,9),-0.44242 # DEPENDENCYPART_ARC
(2,10),-0.491553 # DEPENDENCYPART_ARC
(3,1),-1.07208 # DEPENDENCYPART_ARC
(3,2),1.82308 # DEPENDENCYPART_ARC
(3,4),-0.142896 # DEPENDENCYPART_ARC
(3,5),-2.01495 # DEPENDENCYPART_ARC
(4,1),-0.270064 # DEPENDENCYPART_ARC
(4,2),0.0278062 # DEPENDENCYPART_ARC
(4,3),-0.185565 # DEPENDENCYPART_ARC
(4,5),1.42129 # DEPENDENCYPART_ARC
(4,6),-0.88767 # DEPENDENCYPART_ARC
(4,7),-1.27201 # DEPENDENCYPART_ARC
(4,8),-1.18777 # DEPENDENCYPART_ARC
(4,9),-0.971036 # DEPENDENCYPART_ARC
(4,10),-0.0877393 # DEPENDENCYPART_ARC
(4,11),-0.579637 # DEPENDENCYPART_ARC
(4,12),-0.0953521 # DEPENDENCYPART_ARC
(4,13),-1.63161 # DEPENDENCYPART_ARC
(4,18),-1.12245 # DEPENDENCYPART_ARC
(4,20),-0.332165 # DEPENDENCYPART_ARC
(5,1),0.567482 # DEPENDENCYPART_ARC
(5,2),-1.91713 # DEPENDENCYPART_ARC
(5,3),-1.49764 # DEPENDENCYPART_ARC
(5,4),0.716457 # DEPENDENCYPART_ARC
(5,6),2.32006 # DEPENDENCYPART_ARC
(5,7),1.00916 # DEPENDENCYPART_ARC
(5,8),-0.363027 # DEPENDENCYPART_ARC
(5,9),-0.217733 # DEPENDENCYPART_ARC
(5,10),0.0893749 # DEPENDENCYPART_ARC
(5,11),-1.58435 # DEPENDENCYPART_ARC
(5,12),-0.42811 # DEPENDENCYPART_ARC
(5,13),0.0373079 # DEPENDENCYPART_ARC
(5,15),-1.21109 # DEPENDENCYPART_ARC
(5,18),-3.662 # DEPENDENCYPART_ARC
(5,19),-3.37096 # DEPENDENCYPART_ARC
(5,20),-0.863246 # DEPENDENCYPART_ARC
(6,7),3.79012 # DEPENDENCYPART_ARC
(6,8),-1.61627 # DEPENDENCYPART_ARC
(6,10),-1.07929 # DEPENDENCYPART_ARC
(7,6),0.809359 # DEPENDENCYPART_ARC
(7,8),2.72051 # DEPENDENCYPART_ARC
(7,9),2.37434 # DEPENDENCYPART_ARC
(7,10),0.292344 # DEPENDENCYPART_ARC
(7,11),-1.46983 # DEPENDENCYPART_ARC
(7,13),-0.436542 # DEPENDENCYPART_ARC
(8,3),-3.90946 # DEPENDENCYPART_ARC
(8,6),-1.34056 # DEPENDENCYPART_ARC
(8,7),-1.60001 # DEPENDENCYPART_ARC
(8,9),1.54988 # DEPENDENCYPART_ARC
(8,10),-0.0238211 # DEPENDENCYPART_ARC
(8,11),-2.78109 # DEPENDENCYPART_ARC
(8,13),-1.52657 # DEPENDENCYPART_ARC
(8,18),-4.0907 # DEPENDENCYPART_ARC
(9,2),0.134159 # DEPENDENCYPART_ARC
(9,3),-3.30465 # DEPENDENCYPART_ARC
(9,4),-1.15767 # DEPENDENCYPART_ARC
(9,6),0.209143 # DEPENDENCYPART_ARC
(9,7),-0.657574 # DEPENDENCYPART_ARC
(9,8),6.27274 # DEPENDENCYPART_ARC
