# _root_ Inkasovaly se také " zkušební taxy " , které šly přímo do kapes zkoušejících učitelů , a rovněž poplatky za promoce .
#goldHeads=0,1,1,6,6,17,6,10,10,6,10,10,12,15,13,10,1,19,17,19,20,0,
#predictedHeads=0,1,1,6,6,1,6,10,10,6,13,10,12,15,13,17,10,19,17,19,20,0,
(0,1),0.0866179 # DEPENDENCYPART_ARC
(0,3),-0.866787 # DEPENDENCYPART_ARC
(0,4),-2.59702 # DEPENDENCYPART_ARC
(0,5),-2.17257 # DEPENDENCYPART_ARC
(0,6),-2.0443 # DEPENDENCYPART_ARC
(0,8),-1.07347 # DEPENDENCYPART_ARC
(0,9),-2.61824 # DEPENDENCYPART_ARC
(0,10),-1.22576 # DEPENDENCYPART_ARC
(0,16),-1.647 # DEPENDENCYPART_ARC
(0,17),-1.03825 # DEPENDENCYPART_ARC
(0,22),3.56177 # DEPENDENCYPART_ARC
(1,2),3.61134 # DEPENDENCYPART_ARC
(1,3),2.232 # DEPENDENCYPART_ARC
(1,4),0.748706 # DEPENDENCYPART_ARC
(1,5),-1.00339 # DEPENDENCYPART_ARC
(1,6),2.24935 # DEPENDENCYPART_ARC
(1,7),0.471496 # DEPENDENCYPART_ARC
(1,8),0.375532 # DEPENDENCYPART_ARC
(1,10),-1.39194 # DEPENDENCYPART_ARC
(1,11),-1.13077 # DEPENDENCYPART_ARC
(1,12),0.144669 # DEPENDENCYPART_ARC
(1,13),-3.26185 # DEPENDENCYPART_ARC
(1,15),-2.75249 # DEPENDENCYPART_ARC
(1,16),-0.712467 # DEPENDENCYPART_ARC
(1,17),-0.0308195 # DEPENDENCYPART_ARC
(1,18),-0.657035 # DEPENDENCYPART_ARC
(1,19),-1.0873 # DEPENDENCYPART_ARC
(1,20),-1.194 # DEPENDENCYPART_ARC
(1,21),-2.72671 # DEPENDENCYPART_ARC
(3,1),-1.03015 # DEPENDENCYPART_ARC
(3,4),0.183982 # DEPENDENCYPART_ARC
(3,5),-0.860099 # DEPENDENCYPART_ARC
(3,6),-1.34139 # DEPENDENCYPART_ARC
(3,7),-1.50416 # DEPENDENCYPART_ARC
(3,10),-1.28083 # DEPENDENCYPART_ARC
(3,14),-1.90593 # DEPENDENCYPART_ARC
(4,1),-1.53765 # DEPENDENCYPART_ARC
(4,2),-1.31774 # DEPENDENCYPART_ARC
(4,3),-0.867269 # DEPENDENCYPART_ARC
(4,5),-0.390156 # DEPENDENCYPART_ARC
(4,6),-1.32171 # DEPENDENCYPART_ARC
(4,7),-1.25745 # DEPENDENCYPART_ARC
(4,8),-1.25025 # DEPENDENCYPART_ARC
(4,10),-1.57547 # DEPENDENCYPART_ARC
(4,17),-2.60614 # DEPENDENCYPART_ARC
(5,2),-1.54544 # DEPENDENCYPART_ARC
(5,3),-0.567065 # DEPENDENCYPART_ARC
(5,4),0.430446 # DEPENDENCYPART_ARC
(5,6),-0.198943 # DEPENDENCYPART_ARC
(5,7),-0.10875 # DEPENDENCYPART_ARC
(5,8),-0.339565 # DEPENDENCYPART_ARC
(5,10),-2.19566 # DEPENDENCYPART_ARC
(5,12),-0.710945 # DEPENDENCYPART_ARC
(6,1),-2.29351 # DEPENDENCYPART_ARC
(6,2),-1.47622 # DEPENDENCYPART_ARC
(6,3),1.58816 # DEPENDENCYPART_ARC
(6,4),1.90961 # DEPENDENCYPART_ARC
(6,5),4.94859 # DEPENDENCYPART_ARC
(6,7),0.933579 # DEPENDENCYPART_ARC
(6,9),-1.42163 # DEPENDENCYPART_ARC
(6,10),1.23312 # DEPENDENCYPART_ARC
(6,11),-1.08975 # DEPENDENCYPART_ARC
(6,14),-1.0752 # DEPENDENCYPART_ARC
(6,17),-0.537847 # DEPENDENCYPART_ARC
(7,1),-2.65548 # DEPENDENCYPART_ARC
(7,3),-2.28443 # DEPENDENCYPART_ARC
(7,4),-1.77528 # DEPENDENCYPART_ARC
(7,5),-1.78122 # DEPENDENCYPART_ARC
(7,6),-2.13553 # DEPENDENCYPART_ARC
(7,8),-1.82482 # DEPENDENCYPART_ARC
(7,10),-1.97475 # DEPENDENCYPART_ARC
(7,14),-3.377 # DEPENDENCYPART_ARC
(8,1),-1.066 # DEPENDENCYPART_ARC
(8,3),-1.81067 # DEPENDENCYPART_ARC
(8,4),-1.61093 # DEPENDENCYPART_ARC
(8,5),-1.10197 # DEPENDENCYPART_ARC
(8,6),-1.25632 # DEPENDENCYPART_ARC
(8,7),-1.10563 # DEPENDENCYPART_ARC
