# _root_ Německá spolková republika dosud v četných případech politických uprchlíků , kteří se stali německými státními příslušníky , dvojí občanství tolerovala a ještě toleruje .
#goldHeads=3,3,21,21,21,7,5,9,7,13,13,13,9,16,16,13,13,19,21,21,0,23,21,0,
#predictedHeads=3,3,20,7,20,7,5,9,7,13,13,13,9,16,16,13,21,19,20,21,0,23,21,0,
(0,1),-0.815412 # DEPENDENCYPART_ARC
(0,2),-0.91228 # DEPENDENCYPART_ARC
(0,3),-1.01651 # DEPENDENCYPART_ARC
(0,4),-0.582853 # DEPENDENCYPART_ARC
(0,5),-0.865934 # DEPENDENCYPART_ARC
(0,10),-0.55679 # DEPENDENCYPART_ARC
(0,11),-2.83097 # DEPENDENCYPART_ARC
(0,13),0.0038233 # DEPENDENCYPART_ARC
(0,17),-1.39897 # DEPENDENCYPART_ARC
(0,20),-0.607792 # DEPENDENCYPART_ARC
(0,21),-1.25243 # DEPENDENCYPART_ARC
(0,22),-3.19388 # DEPENDENCYPART_ARC
(0,23),-1.60878 # DEPENDENCYPART_ARC
(0,24),4.11887 # DEPENDENCYPART_ARC
(1,2),-0.746462 # DEPENDENCYPART_ARC
(1,5),-0.649706 # DEPENDENCYPART_ARC
(2,1),-0.45684 # DEPENDENCYPART_ARC
(2,5),-0.876922 # DEPENDENCYPART_ARC
(3,1),4.17552 # DEPENDENCYPART_ARC
(3,2),5.07907 # DEPENDENCYPART_ARC
(3,4),-0.139638 # DEPENDENCYPART_ARC
(3,5),-0.276079 # DEPENDENCYPART_ARC
(3,6),-2.88331 # DEPENDENCYPART_ARC
(3,7),-0.422802 # DEPENDENCYPART_ARC
(3,8),-1.79145 # DEPENDENCYPART_ARC
(3,9),-0.459014 # DEPENDENCYPART_ARC
(3,13),-0.714372 # DEPENDENCYPART_ARC
(4,1),-0.624127 # DEPENDENCYPART_ARC
(4,2),-0.369559 # DEPENDENCYPART_ARC
(4,3),-1.17008 # DEPENDENCYPART_ARC
(4,5),-0.132817 # DEPENDENCYPART_ARC
(4,6),-0.597248 # DEPENDENCYPART_ARC
(5,3),-2.61405 # DEPENDENCYPART_ARC
(5,4),-0.463981 # DEPENDENCYPART_ARC
(5,6),0.241483 # DEPENDENCYPART_ARC
(5,7),4.07675 # DEPENDENCYPART_ARC
(5,8),-2.14792 # DEPENDENCYPART_ARC
(5,9),-1.86075 # DEPENDENCYPART_ARC
(5,10),-0.269173 # DEPENDENCYPART_ARC
(6,4),-0.411721 # DEPENDENCYPART_ARC
(7,1),-3.3312 # DEPENDENCYPART_ARC
(7,2),-2.84861 # DEPENDENCYPART_ARC
(7,3),-2.94556 # DEPENDENCYPART_ARC
(7,4),0.303967 # DEPENDENCYPART_ARC
(7,6),4.19588 # DEPENDENCYPART_ARC
(7,8),0.185983 # DEPENDENCYPART_ARC
(7,9),2.22536 # DEPENDENCYPART_ARC
(7,10),-0.189361 # DEPENDENCYPART_ARC
(7,13),0.894507 # DEPENDENCYPART_ARC
(7,16),-3.64615 # DEPENDENCYPART_ARC
(7,17),-0.0450194 # DEPENDENCYPART_ARC
(7,19),-4.50811 # DEPENDENCYPART_ARC
(7,20),-3.03497 # DEPENDENCYPART_ARC
(7,21),-0.386185 # DEPENDENCYPART_ARC
(8,6),-3.00156 # DEPENDENCYPART_ARC
(8,7),-2.56389 # DEPENDENCYPART_ARC
(8,9),0.476279 # DEPENDENCYPART_ARC
(9,1),-4.41782 # DEPENDENCYPART_ARC
(9,2),-4.31286 # DEPENDENCYPART_ARC
(9,4),-0.578387 # DEPENDENCYPART_ARC
(9,6),-1.34729 # DEPENDENCYPART_ARC
(9,7),-3.72774 # DEPENDENCYPART_ARC
(9,8),4.81147 # DEPENDENCYPART_ARC
(9,10),-0.365729 # DEPENDENCYPART_ARC
(9,11),-2.08018 # DEPENDENCYPART_ARC
(9,13),2.26698 # DEPENDENCYPART_ARC
(9,14),-1.8739 # DEPENDENCYPART_ARC
(9,15),-2.42931 # DEPENDENCYPART_ARC
(9,16),-5.10449 # DEPENDENCYPART_ARC
(9,17),0.130544 # DEPENDENCYPART_ARC
(9,19),-5.4897 # DEPENDENCYPART_ARC
(9,20),-1.80009 # DEPENDENCYPART_ARC
(9,21),-0.0809212 # DEPENDENCYPART_ARC
(9,22),-0.690545 # DEPENDENCYPART_ARC
(9,23),-3.23282 # DEPENDENCYPART_ARC
(10,3),-1.79784 # DEPENDENCYPART_ARC
(10,7),-0.906707 # DEPENDENCYPART_ARC
(10,8),-1.3563 # DEPENDENCYPART_ARC
(10,9),-1.11846 # DEPENDENCYPART_ARC
(10,13),0.270771 # DEPENDENCYPART_ARC
(10,17),-0.99813 # DEPENDENCYPART_ARC
(10,20),-1.5846 # DEPENDENCYPART_ARC
(10,23),-2.28406 # DEPENDENCYPART_ARC
(11,10),-0.286631 # DEPENDENCYPART_ARC
(11,13),-0.197521 # DEPENDENCYPART_ARC
(11,14),0.444387 # DEPENDENCYPART_ARC
(11,15),0.245833 # DEPENDENCYPART_ARC
(11,16),-1.60043 # DEPENDENCYPART_ARC
(11,19),-2.4152 # DEPENDENCYPART_ARC
(11,21),-0.686807 # DEPENDENCYPART_ARC
(13,1),-2.74641 # DEPENDENCYPART_ARC
(13,2),-3.21451 # DEPENDENCYPART_ARC
(13,3),-1.44916 # DEPENDENCYPART_ARC
(13,4),0.0388259 # DEPENDENCYPART_ARC
(13,5),0.160756 # DEPENDENCYPART_ARC
(13,7),-1.42267 # DEPENDENCYPART_ARC
(13,8),-2.86593 # DEPENDENCYPART_ARC
(13,9),-2.81803 # DEPENDENCYPART_ARC
(13,10),2.07218 # DEPENDENCYPART_ARC
(13,11),1.71643 # DEPENDENCYPART_ARC
(13,12),3.02799 # DEPENDENCYPART_ARC
(13,14),1.42753 # DEPENDENCYPART_ARC
(13,15),0.049844 # DEPENDENCYPART_ARC
(13,16),1.97358 # DEPENDENCYPART_ARC
(13,17),0.851766 # DEPENDENCYPART_ARC
(13,19),0.207707 # DEPENDENCYPART_ARC
(13,20),-2.9645 # DEPENDENCYPART_ARC
(13,21),0.128524 # DEPENDENCYPART_ARC
(13,22),-0.918218 # DEPENDENCYPART_ARC
(13,23),-1.91431 # DEPENDENCYPART_ARC
(14,12),-1.79777 # DEPENDENCYPART_ARC
(14,15),-0.0417563 # DEPENDENCYPART_ARC
(14,16),0.461531 # DEPENDENCYPART_ARC
(14,19),-2.85011 # DEPENDENCYPART_ARC
(14,21),-0.700191 # DEPENDENCYPART_ARC
(14,22),-1.2265 # DEPENDENCYPART_ARC
(14,23),-2.20841 # DEPENDENCYPART_ARC
(15,12),-2.13247 # DEPENDENCYPART_ARC
(15,14),-0.246159 # DEPENDENCYPART_ARC
(16,1),-6.06649 # DEPENDENCYPART_ARC
(16,6),-3.1279 # DEPENDENCYPART_ARC
(16,8),-1.39575 # DEPENDENCYPART_ARC
(16,11),-0.228118 # DEPENDENCYPART_ARC
(16,12),-2.48898 # DEPENDENCYPART_ARC
(16,14),4.23316 # DEPENDENCYPART_ARC
(16,15),4.61462 # DEPENDENCYPART_ARC
(16,17),-0.123384 # DEPENDENCYPART_ARC
(16,19),-2.73623 # DEPENDENCYPART_ARC
(16,20),-1.36859 # DEPENDENCYPART_ARC
(16,21),-0.216816 # DEPENDENCYPART_ARC
(16,22),-0.930151 # DEPENDENCYPART_ARC
(16,23),-2.69586 # DEPENDENCYPART_ARC
(17,1),-0.628372 # DEPENDENCYPART_ARC
(17,2),-0.610973 # DEPENDENCYPART_ARC
(17,3),-1.32228 # DEPENDENCYPART_ARC
(17,5),-0.828254 # DEPENDENCYPART_ARC
(17,7),-0.602658 # DEPENDENCYPART_ARC
(17,8),-0.303604 # DEPENDENCYPART_ARC
(17,9),0.033476 # DEPENDENCYPART_ARC
(17,10),0.459931 # DEPENDENCYPART_ARC
(17,11),0.341421 # DEPENDENCYPART_ARC
(17,13),0.136077 # DEPENDENCYPART_ARC
(17,14),0.682438 # DEPENDENCYPART_ARC
(17,15),0.281021 # DEPENDENCYPART_ARC
