# _root_ Ale taky čarodějem - uvážíme - li , že za pouhých 20 let dokázal vybudovat čtvrté největší hospodářské impérium v Itálii , že dokázal za kratičké tři měsíce " vydupat ze země " vlastní stranu Forza Italia .
#goldHeads=0,3,1,7,7,7,1,22,22,15,12,10,12,9,14,19,19,19,15,15,20,5,22,23,30,28,28,25,30,24,30,31,30,35,30,35,36,0,
#predictedHeads=0,5,1,1,7,7,1,9,5,14,13,10,12,9,14,19,19,19,15,19,20,23,15,23,24,28,28,25,14,24,30,31,35,35,30,37,35,0,
(0,1),2.0575 # DEPENDENCYPART_ARC
(0,2),-0.75694 # DEPENDENCYPART_ARC
(0,3),-0.952323 # DEPENDENCYPART_ARC
(0,4),-0.210559 # DEPENDENCYPART_ARC
(0,5),0.731249 # DEPENDENCYPART_ARC
(0,6),-0.256657 # DEPENDENCYPART_ARC
(0,7),-1.39657 # DEPENDENCYPART_ARC
(0,8),-0.703462 # DEPENDENCYPART_ARC
(0,9),-2.35849 # DEPENDENCYPART_ARC
(0,14),-1.67022 # DEPENDENCYPART_ARC
(0,15),-1.31491 # DEPENDENCYPART_ARC
(0,16),-3.42336 # DEPENDENCYPART_ARC
(0,30),-1.56561 # DEPENDENCYPART_ARC
(0,38),4.73978 # DEPENDENCYPART_ARC
(1,2),0.686918 # DEPENDENCYPART_ARC
(1,3),1.33291 # DEPENDENCYPART_ARC
(1,4),1.56707 # DEPENDENCYPART_ARC
(1,5),1.12643 # DEPENDENCYPART_ARC
(1,6),0.443098 # DEPENDENCYPART_ARC
(1,7),0.356457 # DEPENDENCYPART_ARC
(1,8),0.00995557 # DEPENDENCYPART_ARC
(1,9),-1.6231 # DEPENDENCYPART_ARC
(1,11),-1.66137 # DEPENDENCYPART_ARC
(1,12),-0.990027 # DEPENDENCYPART_ARC
(1,14),-0.769013 # DEPENDENCYPART_ARC
(1,15),-1.23084 # DEPENDENCYPART_ARC
(1,17),-2.75403 # DEPENDENCYPART_ARC
(1,22),-0.945204 # DEPENDENCYPART_ARC
(1,29),0.9563 # DEPENDENCYPART_ARC
(1,33),-0.291022 # DEPENDENCYPART_ARC
(2,1),-0.212551 # DEPENDENCYPART_ARC
(2,3),-0.245775 # DEPENDENCYPART_ARC
(2,4),-0.680886 # DEPENDENCYPART_ARC
(2,5),-1.00581 # DEPENDENCYPART_ARC
(3,1),0.176133 # DEPENDENCYPART_ARC
(3,2),1.02983 # DEPENDENCYPART_ARC
(3,4),0.283379 # DEPENDENCYPART_ARC
(3,5),-1.20327 # DEPENDENCYPART_ARC
(3,6),-0.392666 # DEPENDENCYPART_ARC
(3,7),0.0941033 # DEPENDENCYPART_ARC
(3,9),0.039697 # DEPENDENCYPART_ARC
(3,14),-2.01123 # DEPENDENCYPART_ARC
(4,1),1.03763 # DEPENDENCYPART_ARC
(4,2),0.458208 # DEPENDENCYPART_ARC
(4,3),1.10318 # DEPENDENCYPART_ARC
(4,5),0.116931 # DEPENDENCYPART_ARC
(4,6),-0.0699379 # DEPENDENCYPART_ARC
(4,7),-0.241371 # DEPENDENCYPART_ARC
(4,8),-0.045503 # DEPENDENCYPART_ARC
(4,9),-0.64195 # DEPENDENCYPART_ARC
(5,1),1.1154 # DEPENDENCYPART_ARC
(5,2),1.11272 # DEPENDENCYPART_ARC
(5,3),-0.529227 # DEPENDENCYPART_ARC
(5,4),0.0226574 # DEPENDENCYPART_ARC
(5,6),1.01538 # DEPENDENCYPART_ARC
(5,7),0.753052 # DEPENDENCYPART_ARC
(5,8),0.983849 # DEPENDENCYPART_ARC
(5,9),1.96874 # DEPENDENCYPART_ARC
(5,10),-0.775205 # DEPENDENCYPART_ARC
(5,11),-5.29476 # DEPENDENCYPART_ARC
(5,12),-0.537491 # DEPENDENCYPART_ARC
(5,13),-4.28169 # DEPENDENCYPART_ARC
(5,14),-2.0882 # DEPENDENCYPART_ARC
(5,15),-0.0767138 # DEPENDENCYPART_ARC
(5,22),0.16155 # DEPENDENCYPART_ARC
(5,23),-1.1817 # DEPENDENCYPART_ARC
(5,29),0.761136 # DEPENDENCYPART_ARC
(5,33),0.168077 # DEPENDENCYPART_ARC
(6,1),-0.0341674 # DEPENDENCYPART_ARC
(6,2),-0.519741 # DEPENDENCYPART_ARC
(6,3),0.599586 # DEPENDENCYPART_ARC
(6,4),-0.113441 # DEPENDENCYPART_ARC
(6,5),0.420498 # DEPENDENCYPART_ARC
(6,8),-0.21513 # DEPENDENCYPART_ARC
(6,9),0.101398 # DEPENDENCYPART_ARC
(6,11),-0.773816 # DEPENDENCYPART_ARC
(6,12),-0.854887 # DEPENDENCYPART_ARC
(6,14),-1.0486 # DEPENDENCYPART_ARC
(6,15),-1.22039 # DEPENDENCYPART_ARC
(7,3),0.362986 # DEPENDENCYPART_ARC
(7,4),1.43957 # DEPENDENCYPART_ARC
(7,5),2.85445 # DEPENDENCYPART_ARC
(7,6),2.85844 # DEPENDENCYPART_ARC
(7,8),2.00205 # DEPENDENCYPART_ARC
(7,9),0.347492 # DEPENDENCYPART_ARC
(7,22),0.631417 # DEPENDENCYPART_ARC
(7,29),-0.375201 # DEPENDENCYPART_ARC
(8,1),-0.748986 # DEPENDENCYPART_ARC
(8,2),-1.28474 # DEPENDENCYPART_ARC
(8,4),-1.15619 # DEPENDENCYPART_ARC
(8,5),-0.647749 # DEPENDENCYPART_ARC
(8,6),-0.499939 # DEPENDENCYPART_ARC
(8,7),-0.400798 # DEPENDENCYPART_ARC
(8,9),-0.0548116 # DEPENDENCYPART_ARC
(8,14),-0.663042 # DEPENDENCYPART_ARC
(8,15),-1.09972 # DEPENDENCYPART_ARC
(9,4),-2.01416 # DEPENDENCYPART_ARC
(9,5),-1.97811 # DEPENDENCYPART_ARC
(9,6),-0.483021 # DEPENDENCYPART_ARC
(9,7),-0.618958 # DEPENDENCYPART_ARC
(9,8),2.36666 # DEPENDENCYPART_ARC
(9,10),-0.217456 # DEPENDENCYPART_ARC
(9,11),-0.709746 # DEPENDENCYPART_ARC
(9,12),-0.850458 # DEPENDENCYPART_ARC
(9,13),-2.08361 # DEPENDENCYPART_ARC
(9,14),2.06247 # DEPENDENCYPART_ARC
(9,15),1.35325 # DEPENDENCYPART_ARC
(9,22),0.296164 # DEPENDENCYPART_ARC
(9,24),-0.701788 # DEPENDENCYPART_ARC
(9,30),-1.02736 # DEPENDENCYPART_ARC
(10,8),-0.534043 # DEPENDENCYPART_ARC
(10,11),0.776955 # DEPENDENCYPART_ARC
(10,12),1.50166 # DEPENDENCYPART_ARC
(10,13),-0.0699099 # DEPENDENCYPART_ARC
(10,19),-0.725321 # DEPENDENCYPART_ARC
(11,10),-0.537324 # DEPENDENCYPART_ARC
(11,12),-0.223137 # DEPENDENCYPART_ARC
(11,13),-0.994758 # DEPENDENCYPART_ARC
(11,15),-1.74369 # DEPENDENCYPART_ARC
(12,10),-0.103505 # DEPENDENCYPART_ARC
(12,11),1.96852 # DEPENDENCYPART_ARC
(12,13),2.8839 # DEPENDENCYPART_ARC
(12,14),-1.25828 # DEPENDENCYPART_ARC
(13,2),-1.87299 # DEPENDENCYPART_ARC
(13,10),-1.20545 # DEPENDENCYPART_ARC
(13,11),2.60456 # DEPENDENCYPART_ARC
(13,12),1.34165 # DEPENDENCYPART_ARC
(13,16),-3.21315 # DEPENDENCYPART_ARC
(13,17),-5.41042 # DEPENDENCYPART_ARC
(14,1),0.25484 # DEPENDENCYPART_ARC
(14,2),0.0793165 # DEPENDENCYPART_ARC
(14,3),-1.40784 # DEPENDENCYPART_ARC
(14,4),-0.13286 # DEPENDENCYPART_ARC
(14,5),-0.349692 # DEPENDENCYPART_ARC
(14,6),0.327393 # DEPENDENCYPART_ARC
(14,7),1.30511 # DEPENDENCYPART_ARC
(14,8),0.770879 # DEPENDENCYPART_ARC
(14,9),-0.173163 # DEPENDENCYPART_ARC
(14,10),3.1102 # DEPENDENCYPART_ARC
(14,11),-3.21294 # DEPENDENCYPART_ARC
(14,12),1.41285 # DEPENDENCYPART_ARC
(14,13),-0.945482 # DEPENDENCYPART_ARC
(14,15),3.32382 # DEPENDENCYPART_ARC
(14,16),0.514872 # DEPENDENCYPART_ARC
(14,17),-2.6946 # DEPENDENCYPART_ARC
(14,18),-3.37115 # DEPENDENCYPART_ARC
(14,19),1.59881 # DEPENDENCYPART_ARC
(14,20),0.842264 # DEPENDENCYPART_ARC
(14,21),-2.4106 # DEPENDENCYPART_ARC
(14,22),0.443364 # DEPENDENCYPART_ARC
(14,23),0.313992 # DEPENDENCYPART_ARC
(14,24),-3.48856 # DEPENDENCYPART_ARC
(14,25),-0.789236 # DEPENDENCYPART_ARC
(14,27),-1.70688 # DEPENDENCYPART_ARC
(14,29),1.52444 # DEPENDENCYPART_ARC
(14,30),-1.39566 # DEPENDENCYPART_ARC
(14,33),0.857364 # DEPENDENCYPART_ARC
(15,1),-0.530247 # DEPENDENCYPART_ARC
(15,3),-1.52003 # DEPENDENCYPART_ARC
(15,6),-0.648901 # DEPENDENCYPART_ARC
(15,7),0.478289 # DEPENDENCYPART_ARC
(15,8),-0.720215 # DEPENDENCYPART_ARC
(15,9),-1.14267 # DEPENDENCYPART_ARC
(15,10),2.3697 # DEPENDENCYPART_ARC
(15,11),-1.51302 # DEPENDENCYPART_ARC
(15,12),0.146219 # DEPENDENCYPART_ARC
(15,13),0.12005 # DEPENDENCYPART_ARC
(15,14),-0.180292 # DEPENDENCYPART_ARC
(15,16),1.87404 # DEPENDENCYPART_ARC
(15,17),0.534098 # DEPENDENCYPART_ARC
(15,18),-0.891069 # DEPENDENCYPART_ARC
(15,19),2.66677 # DEPENDENCYPART_ARC
(15,20),1.18242 # DEPENDENCYPART_ARC
(15,21),-0.105846 # DEPENDENCYPART_ARC
(15,22),0.296275 # DEPENDENCYPART_ARC
(15,23),1.03963 # DEPENDENCYPART_ARC
(15,24),-1.54921 # DEPENDENCYPART_ARC
(15,25),-0.403863 # DEPENDENCYPART_ARC
(15,29),0.551719 # DEPENDENCYPART_ARC
(16,13),-0.939663 # DEPENDENCYPART_ARC
(16,20),0.753626 # DEPENDENCYPART_ARC
(17,10),-1.05515 # DEPENDENCYPART_ARC
(17,13),-2.85156 # DEPENDENCYPART_ARC
(17,16),-0.0143329 # DEPENDENCYPART_ARC
(17,18),-0.568687 # DEPENDENCYPART_ARC
(17,19),-0.0949714 # DEPENDENCYPART_ARC
(17,20),1.05965 # DEPENDENCYPART_ARC
(17,21),-1.35428 # DEPENDENCYPART_ARC
(17,23),-0.438464 # DEPENDENCYPART_ARC
(18,17),0.192057 # DEPENDENCYPART_ARC
(18,20),-0.458191 # DEPENDENCYPART_ARC
(18,21),-2.22663 # DEPENDENCYPART_ARC
(19,11),-2.60712 # DEPENDENCYPART_ARC
(19,16),2.23892 # DEPENDENCYPART_ARC
(19,17),3.494 # DEPENDENCYPART_ARC
(19,18),4.54696 # DEPENDENCYPART_ARC
(19,20),1.98999 # DEPENDENCYPART_ARC
(19,21),0.455502 # DEPENDENCYPART_ARC
(19,22),-0.0837787 # DEPENDENCYPART_ARC
(19,23),0.391321 # DEPENDENCYPART_ARC
(19,24),-1.69479 # DEPENDENCYPART_ARC
(20,19),-2.32096 # DEPENDENCYPART_ARC
(20,21),4.09957 # DEPENDENCYPART_ARC
(20,22),-0.250478 # DEPENDENCYPART_ARC
(20,23),-1.72436 # DEPENDENCYPART_ARC
(21,16),-3.34744 # DEPENDENCYPART_ARC
(21,17),-3.26053 # DEPENDENCYPART_ARC
(21,18),-2.74905 # DEPENDENCYPART_ARC
(21,19),-2.58338 # DEPENDENCYPART_ARC
(21,20),-0.307145 # DEPENDENCYPART_ARC
(21,23),0.514802 # DEPENDENCYPART_ARC
(21,24),-2.77205 # DEPENDENCYPART_ARC
(21,28),-6.70325 # DEPENDENCYPART_ARC
(22,15),-0.369673 # DEPENDENCYPART_ARC
(22,17),-0.865021 # DEPENDENCYPART_ARC
(22,19),-0.517624 # DEPENDENCYPART_ARC
(22,21),0.0381175 # DEPENDENCYPART_ARC
(22,24),-0.524003 # DEPENDENCYPART_ARC
(22,30),-1.4782 # DEPENDENCYPART_ARC
(23,14),-1.36029 # DEPENDENCYPART_ARC
(23,19),-0.92176 # DEPENDENCYPART_ARC
(23,20),-1.21077 # DEPENDENCYPART_ARC
(23,21),-1.02385 # DEPENDENCYPART_ARC
(23,22),2.47533 # DEPENDENCYPART_ARC
(23,24),2.38077 # DEPENDENCYPART_ARC
(23,25),-1.01202 # DEPENDENCYPART_ARC
(23,26),-1.68781 # DEPENDENCYPART_ARC
(23,28),-2.25406 # DEPENDENCYPART_ARC
(23,29),-0.159243 # DEPENDENCYPART_ARC
(23,30),0.317842 # DEPENDENCYPART_ARC
(24,1),-1.27508 # DEPENDENCYPART_ARC
(24,2),-1.91548 # DEPENDENCYPART_ARC
(24,7),0.0325161 # DEPENDENCYPART_ARC
(24,10),0.235194 # DEPENDENCYPART_ARC
(24,12),-1.0848 # DEPENDENCYPART_ARC
(24,16),-2.02424 # DEPENDENCYPART_ARC
(24,17),-2.80293 # DEPENDENCYPART_ARC
(24,19),-0.790781 # DEPENDENCYPART_ARC
(24,20),-1.24918 # DEPENDENCYPART_ARC
(24,21),-3.34068 # DEPENDENCYPART_ARC
(24,22),-0.00965461 # DEPENDENCYPART_ARC
(24,23),-0.235434 # DEPENDENCYPART_ARC
(24,25),2.89574 # DEPENDENCYPART_ARC
(24,26),-1.1563 # DEPENDENCYPART_ARC
(24,27),0.136269 # DEPENDENCYPART_ARC
(24,28),2.15977 # DEPENDENCYPART_ARC
(24,29),0.873747 # DEPENDENCYPART_ARC
(24,30),1.13839 # DEPENDENCYPART_ARC
(24,31),0.338626 # DEPENDENCYPART_ARC
(24,32),-3.4732 # DEPENDENCYPART_ARC
(24,33),0.594083 # DEPENDENCYPART_ARC
(24,34),-4.58097 # DEPENDENCYPART_ARC
(24,35),-0.539596 # DEPENDENCYPART_ARC
(24,36),-3.53338 # DEPENDENCYPART_ARC
(24,37),-2.50695 # DEPENDENCYPART_ARC
(24,38),-0.0571439 # DEPENDENCYPART_ARC
(25,26),2.10846 # DEPENDENCYPART_ARC
(25,27),1.24383 # DEPENDENCYPART_ARC
(25,28),2.58251 # DEPENDENCYPART_ARC
(25,29),0.000599301 # DEPENDENCYPART_ARC
(25,32),-3.7479 # DEPENDENCYPART_ARC
(25,35),-1.19867 # DEPENDENCYPART_ARC
(26,25),-0.139226 # DEPENDENCYPART_ARC
(26,28),-0.146243 # DEPENDENCYPART_ARC
(26,30),0.208239 # DEPENDENCYPART_ARC
(26,31),-0.502838 # DEPENDENCYPART_ARC
(27,25),-0.927953 # DEPENDENCYPART_ARC
(27,26),1.02559 # DEPENDENCYPART_ARC
(27,28),0.996549 # DEPENDENCYPART_ARC
(28,16),-1.69454 # DEPENDENCYPART_ARC
(28,17),-1.92897 # DEPENDENCYPART_ARC
(28,25),1.12832 # DEPENDENCYPART_ARC
(28,26),4.45088 # DEPENDENCYPART_ARC
(28,27),4.41425 # DEPENDENCYPART_ARC
(28,29),0.676221 # DEPENDENCYPART_ARC
(28,30),0.141799 # DEPENDENCYPART_ARC
(28,31),-0.89521 # DEPENDENCYPART_ARC
(28,32),-0.688217 # DEPENDENCYPART_ARC
(28,34),-3.33031 # DEPENDENCYPART_ARC
(28,36),-1.10116 # DEPENDENCYPART_ARC
(28,37),-2.56513 # DEPENDENCYPART_ARC
(29,15),-2.60405 # DEPENDENCYPART_ARC
(29,23),-1.71041 # DEPENDENCYPART_ARC
(29,24),-1.62415 # DEPENDENCYPART_ARC
(29,25),-1.79602 # DEPENDENCYPART_ARC
(29,26),-1.46777 # DEPENDENCYPART_ARC
(29,27),-1.49381 # DEPENDENCYPART_ARC
(29,28),-1.91011 # DEPENDENCYPART_ARC
(29,30),-1.77685 # DEPENDENCYPART_ARC
(29,31),-2.18656 # DEPENDENCYPART_ARC
(29,32),-2.3122 # DEPENDENCYPART_ARC
(29,34),-3.12149 # DEPENDENCYPART_ARC
(29,35),-3.22669 # DEPENDENCYPART_ARC
(29,37),-3.29685 # DEPENDENCYPART_ARC
(30,3),-1.62964 # DEPENDENCYPART_ARC
(30,10),0.642114 # DEPENDENCYPART_ARC
(30,13),-1.73241 # DEPENDENCYPART_ARC
(30,19),0.545933 # DEPENDENCYPART_ARC
(30,20),-1.60442 # DEPENDENCYPART_ARC
(30,21),-2.01946 # DEPENDENCYPART_ARC
(30,23),-0.315587 # DEPENDENCYPART_ARC
(30,24),-1.36146 # DEPENDENCYPART_ARC
(30,25),1.18642 # DEPENDENCYPART_ARC
(30,26),-0.195729 # DEPENDENCYPART_ARC
(30,27),1.69181 # DEPENDENCYPART_ARC
(30,28),1.9087 # DEPENDENCYPART_ARC
(30,29),0.0547166 # DEPENDENCYPART_ARC
(30,31),2.49008 # DEPENDENCYPART_ARC
(30,32),0.318322 # DEPENDENCYPART_ARC
(30,33),0.784723 # DEPENDENCYPART_ARC
(30,34),-1.48408 # DEPENDENCYPART_ARC
(30,35),1.68225 # DEPENDENCYPART_ARC
(30,36),-1.22258 # DEPENDENCYPART_ARC
