# _root_ Jestliže rada jednou jmenovala komisi a schválila její závěr , nemůže se zříci odpovědnosti , trvá na svém ředitel Sadil .
#goldHeads=11,6,4,6,4,1,6,9,7,1,15,13,11,13,0,15,16,17,20,16,0,
#predictedHeads=11,4,4,6,4,1,6,9,7,1,0,13,11,13,1,15,16,17,20,16,0,
(0,1),-0.350324 # DEPENDENCYPART_ARC
(0,2),-1.50354 # DEPENDENCYPART_ARC
(0,3),-0.0856572 # DEPENDENCYPART_ARC
(0,4),-0.148733 # DEPENDENCYPART_ARC
(0,6),-0.618264 # DEPENDENCYPART_ARC
(0,7),-1.31574 # DEPENDENCYPART_ARC
(0,10),-0.904476 # DEPENDENCYPART_ARC
(0,11),-0.0936341 # DEPENDENCYPART_ARC
(0,13),-2.48623 # DEPENDENCYPART_ARC
(0,15),-1.19556 # DEPENDENCYPART_ARC
(0,16),-1.42835 # DEPENDENCYPART_ARC
(0,21),4.38933 # DEPENDENCYPART_ARC
(1,2),0.344382 # DEPENDENCYPART_ARC
(1,3),-0.2103 # DEPENDENCYPART_ARC
(1,4),1.58855 # DEPENDENCYPART_ARC
(1,5),-1.14712 # DEPENDENCYPART_ARC
(1,6),0.542897 # DEPENDENCYPART_ARC
(1,7),-0.227374 # DEPENDENCYPART_ARC
(1,9),-2.84482 # DEPENDENCYPART_ARC
(1,10),2.22019 # DEPENDENCYPART_ARC
(1,11),-0.0645878 # DEPENDENCYPART_ARC
(1,13),-1.76038 # DEPENDENCYPART_ARC
(1,15),1.7385 # DEPENDENCYPART_ARC
(1,16),-2.39155 # DEPENDENCYPART_ARC
(2,1),0.192524 # DEPENDENCYPART_ARC
(2,3),0.471484 # DEPENDENCYPART_ARC
(2,4),-0.669351 # DEPENDENCYPART_ARC
(2,5),-3.76927 # DEPENDENCYPART_ARC
(2,6),-0.228197 # DEPENDENCYPART_ARC
(3,1),-0.605299 # DEPENDENCYPART_ARC
(3,2),-0.994671 # DEPENDENCYPART_ARC
(3,5),-1.43779 # DEPENDENCYPART_ARC
(4,1),1.44166 # DEPENDENCYPART_ARC
(4,2),3.31827 # DEPENDENCYPART_ARC
(4,3),2.83039 # DEPENDENCYPART_ARC
(4,5),3.41 # DEPENDENCYPART_ARC
(4,6),0.779382 # DEPENDENCYPART_ARC
(4,7),-3.23144 # DEPENDENCYPART_ARC
(4,9),0.436093 # DEPENDENCYPART_ARC
(4,10),0.652571 # DEPENDENCYPART_ARC
(4,11),-4.48627 # DEPENDENCYPART_ARC
(4,14),-3.65075 # DEPENDENCYPART_ARC
(4,15),-0.0177315 # DEPENDENCYPART_ARC
(4,20),-3.96335 # DEPENDENCYPART_ARC
(5,2),-2.53024 # DEPENDENCYPART_ARC
(5,3),-0.0168105 # DEPENDENCYPART_ARC
(5,9),-2.77904 # DEPENDENCYPART_ARC
(6,1),0.906046 # DEPENDENCYPART_ARC
(6,2),1.69197 # DEPENDENCYPART_ARC
(6,3),0.377867 # DEPENDENCYPART_ARC
(6,4),2.54563 # DEPENDENCYPART_ARC
(6,5),0.929496 # DEPENDENCYPART_ARC
(6,7),2.62071 # DEPENDENCYPART_ARC
(6,9),0.507589 # DEPENDENCYPART_ARC
(6,10),0.924316 # DEPENDENCYPART_ARC
(6,11),0.333008 # DEPENDENCYPART_ARC
(6,13),-0.648992 # DEPENDENCYPART_ARC
(6,15),0.698471 # DEPENDENCYPART_ARC
(6,16),-2.04671 # DEPENDENCYPART_ARC
(7,1),0.387858 # DEPENDENCYPART_ARC
(7,2),0.510362 # DEPENDENCYPART_ARC
(7,3),-0.0956036 # DEPENDENCYPART_ARC
(7,4),-2.47445 # DEPENDENCYPART_ARC
(7,5),-0.184381 # DEPENDENCYPART_ARC
(7,6),0.14223 # DEPENDENCYPART_ARC
(7,8),-1.29007 # DEPENDENCYPART_ARC
(7,9),3.39053 # DEPENDENCYPART_ARC
(7,10),0.42164 # DEPENDENCYPART_ARC
(7,11),-1.77312 # DEPENDENCYPART_ARC
(7,13),0.423638 # DEPENDENCYPART_ARC
(7,14),-2.53731 # DEPENDENCYPART_ARC
(7,15),-0.226187 # DEPENDENCYPART_ARC
(7,16),-3.28534 # DEPENDENCYPART_ARC
(7,17),-1.5255 # DEPENDENCYPART_ARC
(7,19),-2.65315 # DEPENDENCYPART_ARC
(7,20),-2.3019 # DEPENDENCYPART_ARC
(9,7),-2.2816 # DEPENDENCYPART_ARC
(9,8),5.08155 # DEPENDENCYPART_ARC
(9,10),-0.773193 # DEPENDENCYPART_ARC
(9,11),-1.87277 # DEPENDENCYPART_ARC
(9,13),0.993049 # DEPENDENCYPART_ARC
(9,16),-3.59277 # DEPENDENCYPART_ARC
(10,4),0.319003 # DEPENDENCYPART_ARC
