# _root_ Proto chystáme pro vojáky v záloze na říjen výběrové řízení , které proběhne ve spolupráci s okresními vojenskými správami v Českém Krumlově , " říká plukovník Kubeš .
#goldHeads=25,1,2,3,4,5,2,7,10,2,13,13,10,13,14,15,19,19,16,13,22,20,1,1,0,27,25,0,
#predictedHeads=0,1,2,3,2,5,6,7,10,8,13,13,10,16,14,13,19,19,16,19,22,20,13,1,0,27,25,0,
(0,1),1.70319 # DEPENDENCYPART_ARC
(0,2),-0.501285 # DEPENDENCYPART_ARC
(0,11),-0.36157 # DEPENDENCYPART_ARC
(0,12),-1.67092 # DEPENDENCYPART_ARC
(0,13),-0.322297 # DEPENDENCYPART_ARC
(0,23),0.102233 # DEPENDENCYPART_ARC
(0,25),3.09063 # DEPENDENCYPART_ARC
(0,28),4.19719 # DEPENDENCYPART_ARC
(1,2),1.25961 # DEPENDENCYPART_ARC
(1,3),-1.2058 # DEPENDENCYPART_ARC
(1,4),-1.67833 # DEPENDENCYPART_ARC
(1,5),-1.6509 # DEPENDENCYPART_ARC
(1,7),-1.87378 # DEPENDENCYPART_ARC
(1,11),0.234829 # DEPENDENCYPART_ARC
(1,13),-0.215883 # DEPENDENCYPART_ARC
(1,23),-0.761853 # DEPENDENCYPART_ARC
(1,24),1.13285 # DEPENDENCYPART_ARC
(1,25),-1.42476 # DEPENDENCYPART_ARC
(2,1),1.16681 # DEPENDENCYPART_ARC
(2,3),1.97665 # DEPENDENCYPART_ARC
(2,4),1.35651 # DEPENDENCYPART_ARC
(2,5),1.54059 # DEPENDENCYPART_ARC
(2,6),-0.707518 # DEPENDENCYPART_ARC
(2,7),0.762517 # DEPENDENCYPART_ARC
(2,8),-0.458971 # DEPENDENCYPART_ARC
(2,9),-2.27409 # DEPENDENCYPART_ARC
(2,10),0.208122 # DEPENDENCYPART_ARC
(2,11),0.452792 # DEPENDENCYPART_ARC
(2,13),-1.23843 # DEPENDENCYPART_ARC
(2,14),-0.222813 # DEPENDENCYPART_ARC
(2,15),-3.22125 # DEPENDENCYPART_ARC
(2,16),0.430355 # DEPENDENCYPART_ARC
(2,19),-1.96329 # DEPENDENCYPART_ARC
(2,20),-0.841926 # DEPENDENCYPART_ARC
(2,22),-4.04915 # DEPENDENCYPART_ARC
(2,23),0.164275 # DEPENDENCYPART_ARC
(2,24),-0.12321 # DEPENDENCYPART_ARC
(2,26),-3.17337 # DEPENDENCYPART_ARC
(2,27),-3.67744 # DEPENDENCYPART_ARC
(3,1),-1.42562 # DEPENDENCYPART_ARC
(3,4),3.72969 # DEPENDENCYPART_ARC
(3,6),-0.613534 # DEPENDENCYPART_ARC
(4,1),-1.22171 # DEPENDENCYPART_ARC
(4,3),-0.490104 # DEPENDENCYPART_ARC
(4,5),0.906641 # DEPENDENCYPART_ARC
(4,6),-0.341984 # DEPENDENCYPART_ARC
(4,7),-0.206275 # DEPENDENCYPART_ARC
(4,8),-2.63333 # DEPENDENCYPART_ARC
(4,9),-1.70289 # DEPENDENCYPART_ARC
(4,10),-3.07277 # DEPENDENCYPART_ARC
(4,13),-1.07172 # DEPENDENCYPART_ARC
