# _root_ Stát má v podnicích obvykle 30 procentní majetkovou účast , která by mohla být převedena českým věřitelům , uvedl E . Obminskij .
#goldHeads=2,19,2,3,2,7,9,9,2,13,13,13,9,15,13,17,15,2,0,22,20,19,0,
#predictedHeads=2,0,2,3,7,7,9,9,2,13,13,13,9,15,13,17,15,13,0,22,20,19,0,
(0,1),-1.61304 # DEPENDENCYPART_ARC
(0,2),-0.120065 # DEPENDENCYPART_ARC
(0,10),-0.569236 # DEPENDENCYPART_ARC
(0,11),-2.18333 # DEPENDENCYPART_ARC
(0,13),-0.972983 # DEPENDENCYPART_ARC
(0,14),-2.60568 # DEPENDENCYPART_ARC
(0,15),-2.14691 # DEPENDENCYPART_ARC
(0,18),-1.0642 # DEPENDENCYPART_ARC
(0,19),0.947704 # DEPENDENCYPART_ARC
(0,21),1.31387 # DEPENDENCYPART_ARC
(0,23),3.50081 # DEPENDENCYPART_ARC
(1,2),-0.971752 # DEPENDENCYPART_ARC
(1,3),-1.33879 # DEPENDENCYPART_ARC
(1,4),-1.8482 # DEPENDENCYPART_ARC
(2,1),2.94159 # DEPENDENCYPART_ARC
(2,3),2.57191 # DEPENDENCYPART_ARC
(2,4),0.334396 # DEPENDENCYPART_ARC
(2,5),1.01948 # DEPENDENCYPART_ARC
(2,6),1.0217 # DEPENDENCYPART_ARC
(2,7),-2.07673 # DEPENDENCYPART_ARC
(2,8),-3.48557 # DEPENDENCYPART_ARC
(2,9),1.73941 # DEPENDENCYPART_ARC
(2,10),0.0150094 # DEPENDENCYPART_ARC
(2,13),-3.03472 # DEPENDENCYPART_ARC
(2,14),-1.19785 # DEPENDENCYPART_ARC
(2,15),-1.71393 # DEPENDENCYPART_ARC
(2,17),-2.765 # DEPENDENCYPART_ARC
(2,18),-0.321475 # DEPENDENCYPART_ARC
(2,22),-4.10866 # DEPENDENCYPART_ARC
(3,4),4.20584 # DEPENDENCYPART_ARC
(3,5),-1.47415 # DEPENDENCYPART_ARC
(3,6),-1.27146 # DEPENDENCYPART_ARC
(3,9),-3.31359 # DEPENDENCYPART_ARC
(4,1),-2.44786 # DEPENDENCYPART_ARC
(4,2),-1.79467 # DEPENDENCYPART_ARC
(4,3),1.209 # DEPENDENCYPART_ARC
(4,5),0.168808 # DEPENDENCYPART_ARC
(4,6),-0.0738185 # DEPENDENCYPART_ARC
(4,7),-3.83815 # DEPENDENCYPART_ARC
(4,8),-4.05297 # DEPENDENCYPART_ARC
(4,9),-2.66774 # DEPENDENCYPART_ARC
(4,13),-2.4628 # DEPENDENCYPART_ARC
(5,1),-1.9486 # DEPENDENCYPART_ARC
(5,2),-1.67486 # DEPENDENCYPART_ARC
(5,3),-1.09051 # DEPENDENCYPART_ARC
(5,4),-0.651462 # DEPENDENCYPART_ARC
(5,7),-1.85124 # DEPENDENCYPART_ARC
(5,8),-2.21051 # DEPENDENCYPART_ARC
(5,9),-1.96881 # DEPENDENCYPART_ARC
(5,10),-0.956693 # DEPENDENCYPART_ARC
(5,21),-2.64228 # DEPENDENCYPART_ARC
(6,1),-1.36802 # DEPENDENCYPART_ARC
(6,3),-0.791529 # DEPENDENCYPART_ARC
(6,4),-0.569756 # DEPENDENCYPART_ARC
(6,5),1.15342 # DEPENDENCYPART_ARC
(6,7),1.06845 # DEPENDENCYPART_ARC
(6,8),0.181525 # DEPENDENCYPART_ARC
(6,9),1.30199 # DEPENDENCYPART_ARC
(6,13),-1.24225 # DEPENDENCYPART_ARC
