# _root_ Zjistil , že se guma dobře váže s kukuřičným sirupem , který je schopen absorbovat prakticky jakoukoliv chuťovou esenci .
#goldHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,17,19,19,15,0,
#predictedHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,15,19,19,15,0,
(0,1),-0.278569 # DEPENDENCYPART_ARC
(0,2),-0.671026 # DEPENDENCYPART_ARC
(0,3),-1.49607 # DEPENDENCYPART_ARC
(0,6),-1.05222 # DEPENDENCYPART_ARC
(0,7),-1.38878 # DEPENDENCYPART_ARC
(0,11),-0.990262 # DEPENDENCYPART_ARC
(0,13),-1.75148 # DEPENDENCYPART_ARC
(0,15),-3.09133 # DEPENDENCYPART_ARC
(0,20),4.29916 # DEPENDENCYPART_ARC
(1,2),0.349342 # DEPENDENCYPART_ARC
(1,3),1.98524 # DEPENDENCYPART_ARC
(1,4),-0.338935 # DEPENDENCYPART_ARC
(1,5),-0.946427 # DEPENDENCYPART_ARC
(1,6),-0.313917 # DEPENDENCYPART_ARC
(1,7),-1.69449 # DEPENDENCYPART_ARC
(1,8),-0.92 # DEPENDENCYPART_ARC
(1,10),-1.8193 # DEPENDENCYPART_ARC
(1,11),-0.687216 # DEPENDENCYPART_ARC
(1,14),-1.8206 # DEPENDENCYPART_ARC
(1,16),-2.06368 # DEPENDENCYPART_ARC
(2,1),-1.07652 # DEPENDENCYPART_ARC
(2,3),0.0554536 # DEPENDENCYPART_ARC
(2,5),-1.60963 # DEPENDENCYPART_ARC
(2,7),-0.857697 # DEPENDENCYPART_ARC
(3,1),-1.2226 # DEPENDENCYPART_ARC
(3,2),2.49875 # DEPENDENCYPART_ARC
(3,5),-1.5985 # DEPENDENCYPART_ARC
(3,6),-0.961405 # DEPENDENCYPART_ARC
(3,7),2.19649 # DEPENDENCYPART_ARC
(3,11),0.294646 # DEPENDENCYPART_ARC
(3,13),0.134438 # DEPENDENCYPART_ARC
(3,15),-0.366617 # DEPENDENCYPART_ARC
(5,1),-4.33332 # DEPENDENCYPART_ARC
(5,2),-0.496779 # DEPENDENCYPART_ARC
(5,3),-0.793933 # DEPENDENCYPART_ARC
(5,4),-0.709887 # DEPENDENCYPART_ARC
(5,6),-0.208478 # DEPENDENCYPART_ARC
(5,7),-1.10973 # DEPENDENCYPART_ARC
(5,8),-0.290586 # DEPENDENCYPART_ARC
(5,9),-3.05603 # DEPENDENCYPART_ARC
(5,10),-2.50594 # DEPENDENCYPART_ARC
(5,13),-2.00338 # DEPENDENCYPART_ARC
(5,14),-1.76629 # DEPENDENCYPART_ARC
(5,15),-2.02608 # DEPENDENCYPART_ARC
(6,1),-1.80414 # DEPENDENCYPART_ARC
(6,2),-0.516163 # DEPENDENCYPART_ARC
(6,3),-0.50185 # DEPENDENCYPART_ARC
(6,5),-1.33692 # DEPENDENCYPART_ARC
(6,7),-1.29282 # DEPENDENCYPART_ARC
(6,8),-0.340252 # DEPENDENCYPART_ARC
(6,10),-2.66743 # DEPENDENCYPART_ARC
