# _root_ Záplava objevů v infračerveném světle je prostě neuvěřitelná : poznali jsme , jak velká složka hmoty ve vesmíru je chladná , vlastně přímo mrazivá .
#goldHeads=6,1,2,5,3,9,6,6,0,9,10,21,14,15,19,15,16,17,21,19,10,21,24,21,0,
#predictedHeads=6,1,2,5,3,0,6,6,6,9,10,19,14,15,19,15,16,17,21,19,9,19,24,21,0,
(0,1),-0.194288 # DEPENDENCYPART_ARC
(0,2),-1.0559 # DEPENDENCYPART_ARC
(0,3),0.251152 # DEPENDENCYPART_ARC
(0,6),0.458151 # DEPENDENCYPART_ARC
(0,9),0.527401 # DEPENDENCYPART_ARC
(0,10),0.41049 # DEPENDENCYPART_ARC
(0,11),-1.47645 # DEPENDENCYPART_ARC
(0,12),-0.380904 # DEPENDENCYPART_ARC
(0,19),-1.14012 # DEPENDENCYPART_ARC
(0,21),-1.02157 # DEPENDENCYPART_ARC
(0,25),4.11023 # DEPENDENCYPART_ARC
(1,2),3.35572 # DEPENDENCYPART_ARC
(1,3),1.29565 # DEPENDENCYPART_ARC
(1,4),-1.56623 # DEPENDENCYPART_ARC
(1,5),0.217222 # DEPENDENCYPART_ARC
(1,6),-0.487412 # DEPENDENCYPART_ARC
(1,8),-1.28566 # DEPENDENCYPART_ARC
(2,1),-1.01536 # DEPENDENCYPART_ARC
(2,3),1.62155 # DEPENDENCYPART_ARC
(2,4),-2.74857 # DEPENDENCYPART_ARC
(2,5),-0.515476 # DEPENDENCYPART_ARC
(2,6),-1.62275 # DEPENDENCYPART_ARC
(2,8),-5.82739 # DEPENDENCYPART_ARC
(2,9),-0.821987 # DEPENDENCYPART_ARC
(3,2),-2.06684 # DEPENDENCYPART_ARC
(3,4),0.750702 # DEPENDENCYPART_ARC
(3,5),5.24428 # DEPENDENCYPART_ARC
(5,1),-2.59761 # DEPENDENCYPART_ARC
(5,2),-3.11091 # DEPENDENCYPART_ARC
(5,4),4.97938 # DEPENDENCYPART_ARC
(5,6),-1.75056 # DEPENDENCYPART_ARC
(5,8),-3.85284 # DEPENDENCYPART_ARC
(6,1),2.94845 # DEPENDENCYPART_ARC
(6,2),-1.13409 # DEPENDENCYPART_ARC
(6,3),0.626019 # DEPENDENCYPART_ARC
(6,4),-1.95631 # DEPENDENCYPART_ARC
(6,5),0.854963 # DEPENDENCYPART_ARC
(6,7),2.20807 # DEPENDENCYPART_ARC
(6,8),3.64818 # DEPENDENCYPART_ARC
(6,9),1.23499 # DEPENDENCYPART_ARC
(6,10),-1.22586 # DEPENDENCYPART_ARC
(6,11),-0.300925 # DEPENDENCYPART_ARC
(6,12),-0.00714972 # DEPENDENCYPART_ARC
(6,13),-1.25148 # DEPENDENCYPART_ARC
(6,14),-2.02884 # DEPENDENCYPART_ARC
(6,15),-0.704149 # DEPENDENCYPART_ARC
(6,16),-2.63874 # DEPENDENCYPART_ARC
(6,17),-0.985516 # DEPENDENCYPART_ARC
(6,20),-1.38279 # DEPENDENCYPART_ARC
(6,21),-0.815892 # DEPENDENCYPART_ARC
(6,22),-1.51642 # DEPENDENCYPART_ARC
(6,23),-3.11848 # DEPENDENCYPART_ARC
(6,24),-1.52521 # DEPENDENCYPART_ARC
(7,8),-1.78273 # DEPENDENCYPART_ARC
(7,9),-0.44674 # DEPENDENCYPART_ARC
(7,10),-2.21644 # DEPENDENCYPART_ARC
(7,11),-2.83052 # DEPENDENCYPART_ARC
(8,1),-1.84033 # DEPENDENCYPART_ARC
(8,2),-3.55848 # DEPENDENCYPART_ARC
(8,3),0.231236 # DEPENDENCYPART_ARC
(8,4),-2.701 # DEPENDENCYPART_ARC
(8,5),-3.21644 # DEPENDENCYPART_ARC
(8,7),2.19926 # DEPENDENCYPART_ARC
(8,9),0.401612 # DEPENDENCYPART_ARC
(8,10),-2.00903 # DEPENDENCYPART_ARC
(8,11),-2.66987 # DEPENDENCYPART_ARC
(9,1),0.459712 # DEPENDENCYPART_ARC
(9,2),-0.0178106 # DEPENDENCYPART_ARC
(9,3),-0.0196493 # DEPENDENCYPART_ARC
(9,4),0.0851402 # DEPENDENCYPART_ARC
(9,5),0.416059 # DEPENDENCYPART_ARC
(9,6),1.14443 # DEPENDENCYPART_ARC
(9,7),0.914714 # DEPENDENCYPART_ARC
(9,8),0.074265 # DEPENDENCYPART_ARC
(9,10),0.844073 # DEPENDENCYPART_ARC
(9,11),-0.0144683 # DEPENDENCYPART_ARC
(9,12),0.301845 # DEPENDENCYPART_ARC
(9,14),0.496223 # DEPENDENCYPART_ARC
(9,19),-1.16375 # DEPENDENCYPART_ARC
(9,21),-0.0302064 # DEPENDENCYPART_ARC
(10,1),0.849748 # DEPENDENCYPART_ARC
(10,2),-1.73492 # DEPENDENCYPART_ARC
(10,3),-0.526943 # DEPENDENCYPART_ARC
(10,5),-1.47965 # DEPENDENCYPART_ARC
(10,6),-1.20416 # DEPENDENCYPART_ARC
(10,7),0.484932 # DEPENDENCYPART_ARC
(10,8),-1.54036 # DEPENDENCYPART_ARC
(10,9),0.582682 # DEPENDENCYPART_ARC
(10,11),3.69446 # DEPENDENCYPART_ARC
(10,12),0.474244 # DEPENDENCYPART_ARC
(10,13),0.246772 # DEPENDENCYPART_ARC
(10,14),-2.24928 # DEPENDENCYPART_ARC
(10,15),0.107462 # DEPENDENCYPART_ARC
(10,16),-1.38018 # DEPENDENCYPART_ARC
(10,17),0.292759 # DEPENDENCYPART_ARC
(10,18),-2.49627 # DEPENDENCYPART_ARC
(10,19),-1.22092 # DEPENDENCYPART_ARC
(10,20),-2.72115 # DEPENDENCYPART_ARC
(10,21),-0.325978 # DEPENDENCYPART_ARC
(10,22),-0.308819 # DEPENDENCYPART_ARC
(10,23),-1.85938 # DEPENDENCYPART_ARC
(10,24),-3.37015 # DEPENDENCYPART_ARC
(11,1),-2.22361 # DEPENDENCYPART_ARC
(11,2),-2.96665 # DEPENDENCYPART_ARC
(11,3),-2.45596 # DEPENDENCYPART_ARC
(11,5),-3.11839 # DEPENDENCYPART_ARC
(11,6),-3.17259 # DEPENDENCYPART_ARC
(11,7),-1.19729 # DEPENDENCYPART_ARC
(11,8),-3.35682 # DEPENDENCYPART_ARC
(11,9),-0.878614 # DEPENDENCYPART_ARC
(11,10),-1.10628 # DEPENDENCYPART_ARC
(11,12),-0.561575 # DEPENDENCYPART_ARC
(11,13),-0.71643 # DEPENDENCYPART_ARC
(11,14),-2.45462 # DEPENDENCYPART_ARC
(11,15),-1.15699 # DEPENDENCYPART_ARC
(11,16),-2.57208 # DEPENDENCYPART_ARC
(11,17),-1.19981 # DEPENDENCYPART_ARC
(11,19),-2.13681 # DEPENDENCYPART_ARC
(11,24),-3.53013 # DEPENDENCYPART_ARC
(12,1),-1.2463 # DEPENDENCYPART_ARC
(12,3),-0.352503 # DEPENDENCYPART_ARC
(12,6),-0.20718 # DEPENDENCYPART_ARC
(12,7),-0.0900297 # DEPENDENCYPART_ARC
(12,8),-0.448802 # DEPENDENCYPART_ARC
(12,9),0.679829 # DEPENDENCYPART_ARC
(12,10),0.176976 # DEPENDENCYPART_ARC
(12,11),-0.0539973 # DEPENDENCYPART_ARC
(12,13),-0.242334 # DEPENDENCYPART_ARC
(12,14),0.607021 # DEPENDENCYPART_ARC
(12,15),-0.556219 # DEPENDENCYPART_ARC
(12,19),-0.757126 # DEPENDENCYPART_ARC
(12,21),-0.559028 # DEPENDENCYPART_ARC
(12,22),-1.58103 # DEPENDENCYPART_ARC
(12,23),-1.21083 # DEPENDENCYPART_ARC
(13,7),-0.911444 # DEPENDENCYPART_ARC
(13,10),-0.615303 # DEPENDENCYPART_ARC
(13,11),-0.66879 # DEPENDENCYPART_ARC
(13,12),0.178948 # DEPENDENCYPART_ARC
(13,14),0.458463 # DEPENDENCYPART_ARC
(13,15),0.403926 # DEPENDENCYPART_ARC
(13,16),-0.431975 # DEPENDENCYPART_ARC
(13,19),-0.413066 # DEPENDENCYPART_ARC
(14,7),-0.823144 # DEPENDENCYPART_ARC
(14,12),-0.132957 # DEPENDENCYPART_ARC
(14,13),0.88757 # DEPENDENCYPART_ARC
(14,15),0.295377 # DEPENDENCYPART_ARC
(14,16),-0.538032 # DEPENDENCYPART_ARC
(14,17),-0.0587775 # DEPENDENCYPART_ARC
(15,4),-3.73053 # DEPENDENCYPART_ARC
(15,7),-1.69889 # DEPENDENCYPART_ARC
(15,12),0.0930526 # DEPENDENCYPART_ARC
(15,13),0.0999411 # DEPENDENCYPART_ARC
(15,14),3.72709 # DEPENDENCYPART_ARC
(15,16),3.47957 # DEPENDENCYPART_ARC
(15,17),1.03393 # DEPENDENCYPART_ARC
(15,18),-0.11567 # DEPENDENCYPART_ARC
(15,19),-0.687806 # DEPENDENCYPART_ARC
(15,20),-0.470963 # DEPENDENCYPART_ARC
(15,22),-0.53674 # DEPENDENCYPART_ARC
(15,23),-0.927037 # DEPENDENCYPART_ARC
(15,24),-1.00289 # DEPENDENCYPART_ARC
(16,14),0.0918252 # DEPENDENCYPART_ARC
(16,15),-0.914492 # DEPENDENCYPART_ARC
(16,17),1.27298 # DEPENDENCYPART_ARC
(16,18),-0.795733 # DEPENDENCYPART_ARC
(16,19),-1.03699 # DEPENDENCYPART_ARC
(16,20),-1.73361 # DEPENDENCYPART_ARC
(16,22),-0.647165 # DEPENDENCYPART_ARC
(16,23),-1.11294 # DEPENDENCYPART_ARC
(16,24),-2.36707 # DEPENDENCYPART_ARC
(17,16),-1.85315 # DEPENDENCYPART_ARC
(17,18),5.5249 # DEPENDENCYPART_ARC
(17,20),-2.21688 # DEPENDENCYPART_ARC
(18,15),-2.25496 # DEPENDENCYPART_ARC
(18,16),-2.55125 # DEPENDENCYPART_ARC
(18,19),-1.17062 # DEPENDENCYPART_ARC
(18,20),-3.58639 # DEPENDENCYPART_ARC
(18,24),-4.75895 # DEPENDENCYPART_ARC
(19,1),1.81072 # DEPENDENCYPART_ARC
(19,2),-2.36563 # DEPENDENCYPART_ARC
(19,3),-0.833163 # DEPENDENCYPART_ARC
(19,5),-0.521918 # DEPENDENCYPART_ARC
(19,6),-2.39732 # DEPENDENCYPART_ARC
(19,7),-1.06417 # DEPENDENCYPART_ARC
(19,8),-1.01475 # DEPENDENCYPART_ARC
(19,9),-0.421108 # DEPENDENCYPART_ARC
(19,10),-1.43581 # DEPENDENCYPART_ARC
(19,11),-1.05804 # DEPENDENCYPART_ARC
(19,12),0.802344 # DEPENDENCYPART_ARC
(19,13),-0.258486 # DEPENDENCYPART_ARC
(19,14),-0.939843 # DEPENDENCYPART_ARC
(19,15),2.16822 # DEPENDENCYPART_ARC
(19,16),-0.68757 # DEPENDENCYPART_ARC
(19,17),0.734174 # DEPENDENCYPART_ARC
(19,18),0.454269 # DEPENDENCYPART_ARC
(19,20),3.65963 # DEPENDENCYPART_ARC
(19,21),0.175921 # DEPENDENCYPART_ARC
(19,22),1.22328 # DEPENDENCYPART_ARC
(19,23),-0.164197 # DEPENDENCYPART_ARC
(19,24),1.3044 # DEPENDENCYPART_ARC
(19,25),-0.187911 # DEPENDENCYPART_ARC
(20,17),-0.172296 # DEPENDENCYPART_ARC
(20,18),-2.5601 # DEPENDENCYPART_ARC
(20,21),-0.456937 # DEPENDENCYPART_ARC
(20,22),-0.317971 # DEPENDENCYPART_ARC
(20,23),-0.533928 # DEPENDENCYPART_ARC
(21,6),-0.913892 # DEPENDENCYPART_ARC
(21,9),0.0786865 # DEPENDENCYPART_ARC
(21,10),0.104385 # DEPENDENCYPART_ARC
(21,11),-0.169135 # DEPENDENCYPART_ARC
(21,12),0.446046 # DEPENDENCYPART_ARC
(21,13),0.692611 # DEPENDENCYPART_ARC
(21,14),-0.735905 # DEPENDENCYPART_ARC
(21,15),-0.450117 # DEPENDENCYPART_ARC
(21,16),-0.157905 # DEPENDENCYPART_ARC
(21,17),-0.111177 # DEPENDENCYPART_ARC
(21,18),0.660817 # DEPENDENCYPART_ARC
(21,19),0.612294 # DEPENDENCYPART_ARC
(21,20),1.81036 # DEPENDENCYPART_ARC
(21,22),0.54157 # DEPENDENCYPART_ARC
(21,23),0.695634 # DEPENDENCYPART_ARC
(21,24),1.65081 # DEPENDENCYPART_ARC
