# _root_ Dají také jistotu , že člověk zaplatí jen tolik , kolik skutečně spotřeboval .
#goldHeads=0,1,1,5,3,7,5,9,7,13,13,13,7,0,
#predictedHeads=0,1,1,5,3,7,5,9,7,13,13,13,5,0,
(0,1),-0.0981785 # DEPENDENCYPART_ARC
(0,2),-1.07916 # DEPENDENCYPART_ARC
(0,3),-1.73875 # DEPENDENCYPART_ARC
(0,4),-0.659513 # DEPENDENCYPART_ARC
(0,5),-2.29932 # DEPENDENCYPART_ARC
(0,7),-0.994088 # DEPENDENCYPART_ARC
(0,9),-1.4238 # DEPENDENCYPART_ARC
(0,10),-1.61286 # DEPENDENCYPART_ARC
(0,11),-2.50818 # DEPENDENCYPART_ARC
(0,13),-2.3272 # DEPENDENCYPART_ARC
(0,14),3.32594 # DEPENDENCYPART_ARC
(1,2),2.69236 # DEPENDENCYPART_ARC
(1,3),3.3031 # DEPENDENCYPART_ARC
(1,4),0.458305 # DEPENDENCYPART_ARC
(1,5),1.66986 # DEPENDENCYPART_ARC
(1,6),-0.927567 # DEPENDENCYPART_ARC
(1,7),-1.85471 # DEPENDENCYPART_ARC
(1,8),-0.709155 # DEPENDENCYPART_ARC
(1,10),0.172112 # DEPENDENCYPART_ARC
(1,12),-0.365094 # DEPENDENCYPART_ARC
(1,13),-2.81501 # DEPENDENCYPART_ARC
(1,14),0.00203548 # DEPENDENCYPART_ARC
(2,1),-1.54984 # DEPENDENCYPART_ARC
(2,3),-0.593699 # DEPENDENCYPART_ARC
(2,4),-1.37545 # DEPENDENCYPART_ARC
(2,5),-1.43917 # DEPENDENCYPART_ARC
(3,1),-1.11026 # DEPENDENCYPART_ARC
(3,2),1.78034 # DEPENDENCYPART_ARC
(3,4),0.0780118 # DEPENDENCYPART_ARC
(3,5),1.67093 # DEPENDENCYPART_ARC
(3,6),-0.553611 # DEPENDENCYPART_ARC
(3,7),-0.726238 # DEPENDENCYPART_ARC
(3,8),-0.694066 # DEPENDENCYPART_ARC
(3,13),-2.59538 # DEPENDENCYPART_ARC
(4,1),-0.248256 # DEPENDENCYPART_ARC
(4,2),-0.254415 # DEPENDENCYPART_ARC
(4,3),-0.29323 # DEPENDENCYPART_ARC
(4,5),-0.238416 # DEPENDENCYPART_ARC
(4,6),-1.17361 # DEPENDENCYPART_ARC
(4,7),-0.180502 # DEPENDENCYPART_ARC
(4,8),-1.44135 # DEPENDENCYPART_ARC
(4,10),-0.963543 # DEPENDENCYPART_ARC
(4,13),-1.72398 # DEPENDENCYPART_ARC
(5,1),-1.83941 # DEPENDENCYPART_ARC
(5,2),-0.446853 # DEPENDENCYPART_ARC
(5,3),0.0210461 # DEPENDENCYPART_ARC
(5,4),2.51398 # DEPENDENCYPART_ARC
(5,6),-1.25367 # DEPENDENCYPART_ARC
(5,7),2.00163 # DEPENDENCYPART_ARC
(5,8),-0.950169 # DEPENDENCYPART_ARC
(5,10),-0.383339 # DEPENDENCYPART_ARC
(5,12),-1.4365 # DEPENDENCYPART_ARC
(5,13),0.418405 # DEPENDENCYPART_ARC
(5,14),-0.828254 # DEPENDENCYPART_ARC
(6,2),-1.19191 # DEPENDENCYPART_ARC
(6,3),-7.62418 # DEPENDENCYPART_ARC
(6,4),-1.28502 # DEPENDENCYPART_ARC
(6,5),-1.59068 # DEPENDENCYPART_ARC
(6,7),-0.792384 # DEPENDENCYPART_ARC
(6,8),-0.40484 # DEPENDENCYPART_ARC
(6,10),-0.377993 # DEPENDENCYPART_ARC
(6,13),-2.69072 # DEPENDENCYPART_ARC
(7,1),-2.28398 # DEPENDENCYPART_ARC
(7,2),-0.251373 # DEPENDENCYPART_ARC
(7,3),-1.07688 # DEPENDENCYPART_ARC
(7,4),-0.0323618 # DEPENDENCYPART_ARC
(7,5),-0.491272 # DEPENDENCYPART_ARC
(7,6),3.01746 # DEPENDENCYPART_ARC
(7,8),-0.173746 # DEPENDENCYPART_ARC
(7,9),1.71751 # DEPENDENCYPART_ARC
(7,10),0.615829 # DEPENDENCYPART_ARC
(7,12),0.0628502 # DEPENDENCYPART_ARC
(7,13),-1.50626 # DEPENDENCYPART_ARC
(7,14),-0.461273 # DEPENDENCYPART_ARC
(8,1),-2.79205 # DEPENDENCYPART_ARC
(8,4),-2.10142 # DEPENDENCYPART_ARC
(8,6),-1.32445 # DEPENDENCYPART_ARC
(8,7),-0.981088 # DEPENDENCYPART_ARC
(8,10),-0.337886 # DEPENDENCYPART_ARC
(8,12),-1.17452 # DEPENDENCYPART_ARC
(8,14),-0.725092 # DEPENDENCYPART_ARC
(9,3),-1.40844 # DEPENDENCYPART_ARC
