# _root_ Poslanci má náležet zdaněný , třeba velký , ale jen jeden plat .
#goldHeads=3,0,2,9,9,7,9,9,12,11,9,2,0,
#predictedHeads=2,9,2,3,9,7,5,9,0,11,12,9,0,
(0,1),-1.99751 # DEPENDENCYPART_ARC
(0,2),-0.252376 # DEPENDENCYPART_ARC
(0,3),-0.595813 # DEPENDENCYPART_ARC
(0,4),-1.82875 # DEPENDENCYPART_ARC
(0,5),-0.787001 # DEPENDENCYPART_ARC
(0,6),-1.43242 # DEPENDENCYPART_ARC
(0,7),-1.99208 # DEPENDENCYPART_ARC
(0,8),-1.15755 # DEPENDENCYPART_ARC
(0,9),0.156055 # DEPENDENCYPART_ARC
(0,10),-2.41039 # DEPENDENCYPART_ARC
(0,11),-3.57842 # DEPENDENCYPART_ARC
(0,12),-2.28572 # DEPENDENCYPART_ARC
(0,13),3.13994 # DEPENDENCYPART_ARC
(1,2),-1.06498 # DEPENDENCYPART_ARC
(1,3),-1.39226 # DEPENDENCYPART_ARC
(1,4),-3.12416 # DEPENDENCYPART_ARC
(1,6),-0.828599 # DEPENDENCYPART_ARC
(1,7),-3.81691 # DEPENDENCYPART_ARC
(1,10),-1.26655 # DEPENDENCYPART_ARC
(1,11),-3.96531 # DEPENDENCYPART_ARC
(2,1),2.57693 # DEPENDENCYPART_ARC
(2,3),3.24878 # DEPENDENCYPART_ARC
(2,4),0.226284 # DEPENDENCYPART_ARC
(2,5),0.364941 # DEPENDENCYPART_ARC
(2,6),0.0681905 # DEPENDENCYPART_ARC
(2,7),-0.988103 # DEPENDENCYPART_ARC
(2,8),-0.0485012 # DEPENDENCYPART_ARC
(2,9),0.0391061 # DEPENDENCYPART_ARC
(2,10),-0.385144 # DEPENDENCYPART_ARC
(2,12),-0.119611 # DEPENDENCYPART_ARC
(2,13),-0.681272 # DEPENDENCYPART_ARC
(3,1),2.4923 # DEPENDENCYPART_ARC
(3,2),-0.560006 # DEPENDENCYPART_ARC
(3,4),1.9122 # DEPENDENCYPART_ARC
(3,5),0.283142 # DEPENDENCYPART_ARC
(3,6),-0.474775 # DEPENDENCYPART_ARC
(3,7),-0.385996 # DEPENDENCYPART_ARC
(3,8),-0.0722923 # DEPENDENCYPART_ARC
(3,9),0.356918 # DEPENDENCYPART_ARC
(3,10),-0.978612 # DEPENDENCYPART_ARC
(3,12),-2.14642 # DEPENDENCYPART_ARC
(3,13),-0.833626 # DEPENDENCYPART_ARC
(4,1),-0.720022 # DEPENDENCYPART_ARC
(4,2),-2.57239 # DEPENDENCYPART_ARC
(4,3),0.145436 # DEPENDENCYPART_ARC
(4,5),-0.356996 # DEPENDENCYPART_ARC
(4,6),-0.265764 # DEPENDENCYPART_ARC
(4,7),-1.76406 # DEPENDENCYPART_ARC
(4,9),-0.515196 # DEPENDENCYPART_ARC
(5,1),-0.0817406 # DEPENDENCYPART_ARC
(5,2),0.687283 # DEPENDENCYPART_ARC
(5,3),0.216092 # DEPENDENCYPART_ARC
(5,4),1.77995 # DEPENDENCYPART_ARC
(5,6),0.266364 # DEPENDENCYPART_ARC
(5,7),1.55648 # DEPENDENCYPART_ARC
(5,8),0.379759 # DEPENDENCYPART_ARC
(5,9),0.495332 # DEPENDENCYPART_ARC
(5,12),-0.0462599 # DEPENDENCYPART_ARC
(5,13),-0.720904 # DEPENDENCYPART_ARC
(6,1),-1.31892 # DEPENDENCYPART_ARC
(6,2),-1.11046 # DEPENDENCYPART_ARC
(6,3),-0.612824 # DEPENDENCYPART_ARC
(6,4),0.105793 # DEPENDENCYPART_ARC
(6,5),0.0816037 # DEPENDENCYPART_ARC
(6,7),0.152622 # DEPENDENCYPART_ARC
(6,8),0.12599 # DEPENDENCYPART_ARC
(6,9),-0.222962 # DEPENDENCYPART_ARC
(6,12),-0.793673 # DEPENDENCYPART_ARC
(6,13),-0.0307597 # DEPENDENCYPART_ARC
(7,1),-0.708731 # DEPENDENCYPART_ARC
(7,2),-2.64615 # DEPENDENCYPART_ARC
(7,4),-1.00069 # DEPENDENCYPART_ARC
(7,5),0.991001 # DEPENDENCYPART_ARC
(7,6),1.88685 # DEPENDENCYPART_ARC
(7,8),0.320587 # DEPENDENCYPART_ARC
(7,9),0.441006 # DEPENDENCYPART_ARC
(7,12),-2.08999 # DEPENDENCYPART_ARC
(7,13),-0.481496 # DEPENDENCYPART_ARC
(8,1),-1.80297 # DEPENDENCYPART_ARC
(8,2),-0.895175 # DEPENDENCYPART_ARC
(8,3),-0.763865 # DEPENDENCYPART_ARC
(8,4),-0.552516 # DEPENDENCYPART_ARC
(8,5),0.0195291 # DEPENDENCYPART_ARC
(8,6),-0.372277 # DEPENDENCYPART_ARC
(8,7),-0.905026 # DEPENDENCYPART_ARC
(8,10),-0.533925 # DEPENDENCYPART_ARC
(8,11),-0.328156 # DEPENDENCYPART_ARC
(8,12),-0.374681 # DEPENDENCYPART_ARC
(9,1),0.661883 # DEPENDENCYPART_ARC
(9,2),0.83313 # DEPENDENCYPART_ARC
(9,3),0.712438 # DEPENDENCYPART_ARC
(9,4),1.23133 # DEPENDENCYPART_ARC
(9,5),1.3678 # DEPENDENCYPART_ARC
(9,6),0.616404 # DEPENDENCYPART_ARC
(9,7),1.47859 # DEPENDENCYPART_ARC
(9,8),2.66761 # DEPENDENCYPART_ARC
(9,10),0.367311 # DEPENDENCYPART_ARC
(9,11),0.518421 # DEPENDENCYPART_ARC
(9,12),1.14433 # DEPENDENCYPART_ARC
(9,13),0.224944 # DEPENDENCYPART_ARC
(10,1),-2.0924 # DEPENDENCYPART_ARC
(10,2),-2.24883 # DEPENDENCYPART_ARC
(10,5),-1.08274 # DEPENDENCYPART_ARC
(10,8),-0.840955 # DEPENDENCYPART_ARC
(10,9),-0.520474 # DEPENDENCYPART_ARC
(10,11),-0.449197 # DEPENDENCYPART_ARC
(10,13),-0.695603 # DEPENDENCYPART_ARC
(11,8),-0.502515 # DEPENDENCYPART_ARC
(11,9),0.0803271 # DEPENDENCYPART_ARC
(11,10),2.16959 # DEPENDENCYPART_ARC
(11,12),1.15334 # DEPENDENCYPART_ARC
(11,13),0.416643 # DEPENDENCYPART_ARC
(12,4),0.368422 # DEPENDENCYPART_ARC
(12,5),0.574452 # DEPENDENCYPART_ARC
(12,6),0.692182 # DEPENDENCYPART_ARC
(12,7),0.770103 # DEPENDENCYPART_ARC
(12,8),0.643671 # DEPENDENCYPART_ARC
