# _root_ Situace na jazzové scéně , byť se v létě konal první ročník nového Agharta Jazz Festivalu , je téměř horší než za socialismu .
#goldHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,16,16,12,6,0,20,18,20,21,22,0,
#predictedHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,15,12,15,6,0,20,18,20,21,22,0,
(0,1),-0.239234 # DEPENDENCYPART_ARC
(0,2),0.12772 # DEPENDENCYPART_ARC
(0,4),-0.97302 # DEPENDENCYPART_ARC
(0,5),-0.286176 # DEPENDENCYPART_ARC
(0,6),-0.503301 # DEPENDENCYPART_ARC
(0,10),0.301899 # DEPENDENCYPART_ARC
(0,11),-2.3805 # DEPENDENCYPART_ARC
(0,17),-0.715931 # DEPENDENCYPART_ARC
(0,18),0.362889 # DEPENDENCYPART_ARC
(0,24),4.01732 # DEPENDENCYPART_ARC
(1,2),2.66728 # DEPENDENCYPART_ARC
(1,3),0.43715 # DEPENDENCYPART_ARC
(1,4),-0.600923 # DEPENDENCYPART_ARC
(1,5),-0.00175508 # DEPENDENCYPART_ARC
(1,6),0.295677 # DEPENDENCYPART_ARC
(1,10),-0.783862 # DEPENDENCYPART_ARC
(2,1),-1.74445 # DEPENDENCYPART_ARC
(2,3),0.217733 # DEPENDENCYPART_ARC
(2,4),3.82485 # DEPENDENCYPART_ARC
(2,5),-0.656701 # DEPENDENCYPART_ARC
(2,6),-1.10862 # DEPENDENCYPART_ARC
(3,5),-0.814219 # DEPENDENCYPART_ARC
(3,6),-0.215901 # DEPENDENCYPART_ARC
(4,1),-1.97372 # DEPENDENCYPART_ARC
(4,2),-0.369219 # DEPENDENCYPART_ARC
(4,3),4.69149 # DEPENDENCYPART_ARC
(4,5),-0.609558 # DEPENDENCYPART_ARC
(4,6),-0.149766 # DEPENDENCYPART_ARC
(4,10),-1.10085 # DEPENDENCYPART_ARC
(5,1),-0.709394 # DEPENDENCYPART_ARC
(5,2),-0.52562 # DEPENDENCYPART_ARC
(5,3),-0.483152 # DEPENDENCYPART_ARC
(5,4),-0.65649 # DEPENDENCYPART_ARC
(5,6),-0.174899 # DEPENDENCYPART_ARC
(5,8),-1.01684 # DEPENDENCYPART_ARC
(5,10),0.179648 # DEPENDENCYPART_ARC
(5,11),-0.866128 # DEPENDENCYPART_ARC
(5,18),-1.30245 # DEPENDENCYPART_ARC
(6,1),-0.783784 # DEPENDENCYPART_ARC
(6,2),-1.55813 # DEPENDENCYPART_ARC
(6,3),-1.07326 # DEPENDENCYPART_ARC
(6,4),-0.91619 # DEPENDENCYPART_ARC
(6,5),1.41149 # DEPENDENCYPART_ARC
(6,8),-0.720791 # DEPENDENCYPART_ARC
(6,9),-0.847174 # DEPENDENCYPART_ARC
(6,10),1.67384 # DEPENDENCYPART_ARC
(6,12),-1.47214 # DEPENDENCYPART_ARC
(6,17),1.89406 # DEPENDENCYPART_ARC
(6,18),-0.24708 # DEPENDENCYPART_ARC
(8,5),0.16248 # DEPENDENCYPART_ARC
(8,9),5.33856 # DEPENDENCYPART_ARC
(8,11),-2.51497 # DEPENDENCYPART_ARC
(8,12),-3.87376 # DEPENDENCYPART_ARC
(8,13),-2.91329 # DEPENDENCYPART_ARC
(9,6),-1.44372 # DEPENDENCYPART_ARC
(9,7),-2.10692 # DEPENDENCYPART_ARC
(9,8),0.736191 # DEPENDENCYPART_ARC
(9,11),-2.31429 # DEPENDENCYPART_ARC
(9,12),-2.64392 # DEPENDENCYPART_ARC
(9,13),-2.28054 # DEPENDENCYPART_ARC
(9,15),-2.28182 # DEPENDENCYPART_ARC
(9,20),-5.00882 # DEPENDENCYPART_ARC
(10,1),1.2831 # DEPENDENCYPART_ARC
(10,2),-0.609753 # DEPENDENCYPART_ARC
(10,4),-3.02015 # DEPENDENCYPART_ARC
(10,5),0.406035 # DEPENDENCYPART_ARC
(10,6),0.345378 # DEPENDENCYPART_ARC
(10,7),3.73791 # DEPENDENCYPART_ARC
(10,8),2.76859 # DEPENDENCYPART_ARC
(10,9),0.0591464 # DEPENDENCYPART_ARC
(10,11),0.906994 # DEPENDENCYPART_ARC
(10,12),2.76418 # DEPENDENCYPART_ARC
(10,13),-1.82058 # DEPENDENCYPART_ARC
(10,14),-1.75475 # DEPENDENCYPART_ARC
(10,15),0.684428 # DEPENDENCYPART_ARC
(10,16),-0.218532 # DEPENDENCYPART_ARC
(10,17),0.635198 # DEPENDENCYPART_ARC
(10,18),-1.62095 # DEPENDENCYPART_ARC
(10,19),-1.38677 # DEPENDENCYPART_ARC
(10,20),-2.30545 # DEPENDENCYPART_ARC
(10,22),-1.06122 # DEPENDENCYPART_ARC
(10,23),-4.39331 # DEPENDENCYPART_ARC
(11,8),-0.338218 # DEPENDENCYPART_ARC
(11,9),-1.4544 # DEPENDENCYPART_ARC
(11,12),0.1694 # DEPENDENCYPART_ARC
(12,2),-0.939549 # DEPENDENCYPART_ARC
(12,7),-3.009 # DEPENDENCYPART_ARC
(12,8),0.575869 # DEPENDENCYPART_ARC
(12,9),-2.26881 # DEPENDENCYPART_ARC
(12,10),-2.58046 # DEPENDENCYPART_ARC
(12,11),4.2801 # DEPENDENCYPART_ARC
(12,13),1.20755 # DEPENDENCYPART_ARC
(12,14),1.13119 # DEPENDENCYPART_ARC
(12,15),1.67209 # DEPENDENCYPART_ARC
(12,16),1.66506 # DEPENDENCYPART_ARC
(12,17),-0.419492 # DEPENDENCYPART_ARC
(12,18),-1.40176 # DEPENDENCYPART_ARC
(12,19),-0.1775 # DEPENDENCYPART_ARC
(12,20),-1.96127 # DEPENDENCYPART_ARC
(12,21),-1.40995 # DEPENDENCYPART_ARC
(12,22),-0.896454 # DEPENDENCYPART_ARC
(12,23),-0.141123 # DEPENDENCYPART_ARC
(13,1),-4.35905 # DEPENDENCYPART_ARC
(13,2),-2.26255 # DEPENDENCYPART_ARC
(13,7),-1.26114 # DEPENDENCYPART_ARC
(13,8),-1.11178 # DEPENDENCYPART_ARC
(13,10),-4.73146 # DEPENDENCYPART_ARC
(13,12),-1.92133 # DEPENDENCYPART_ARC
(13,14),-2.14217 # DEPENDENCYPART_ARC
(13,15),0.0418406 # DEPENDENCYPART_ARC
(13,16),-1.79691 # DEPENDENCYPART_ARC
(13,17),-0.281438 # DEPENDENCYPART_ARC
(13,18),-2.15612 # DEPENDENCYPART_ARC
(13,19),-0.666171 # DEPENDENCYPART_ARC
(13,21),0.409909 # DEPENDENCYPART_ARC
(13,22),-1.48609 # DEPENDENCYPART_ARC
(14,13),0.0231326 # DEPENDENCYPART_ARC
(14,15),1.28388 # DEPENDENCYPART_ARC
