# _root_ Hlavním bodem je turnaj ve streetballu , což je jakási uliční varianta basketbalu na jeden koš pro zpravidla tříčlenná družstva , která si našla do Evropy cestu z USA .
#goldHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,13,19,20,17,24,24,24,12,24,25,24,24,28,0,
#predictedHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,16,19,20,17,24,24,24,20,24,25,24,27,28,0,
(0,1),-0.946999 # DEPENDENCYPART_ARC
(0,2),-1.78051 # DEPENDENCYPART_ARC
(0,3),0.505013 # DEPENDENCYPART_ARC
(0,4),-1.64874 # DEPENDENCYPART_ARC
(0,5),-0.927818 # DEPENDENCYPART_ARC
(0,6),-2.30732 # DEPENDENCYPART_ARC
(0,7),-0.157032 # DEPENDENCYPART_ARC
(0,9),-0.614915 # DEPENDENCYPART_ARC
(0,10),-2.06309 # DEPENDENCYPART_ARC
(0,15),-3.21527 # DEPENDENCYPART_ARC
(0,21),-0.764763 # DEPENDENCYPART_ARC
(0,24),-1.1672 # DEPENDENCYPART_ARC
(0,30),4.05821 # DEPENDENCYPART_ARC
(1,2),-0.081555 # DEPENDENCYPART_ARC
(1,3),-2.21905 # DEPENDENCYPART_ARC
(1,4),-4.39508 # DEPENDENCYPART_ARC
(1,5),-0.920369 # DEPENDENCYPART_ARC
(1,7),-1.15128 # DEPENDENCYPART_ARC
(1,9),-3.03825 # DEPENDENCYPART_ARC
(2,1),4.82419 # DEPENDENCYPART_ARC
(2,3),-1.17855 # DEPENDENCYPART_ARC
(2,4),-1.36371 # DEPENDENCYPART_ARC
(2,5),-0.268037 # DEPENDENCYPART_ARC
(2,6),-1.91481 # DEPENDENCYPART_ARC
(2,9),-2.23605 # DEPENDENCYPART_ARC
(3,1),-0.663712 # DEPENDENCYPART_ARC
(3,2),2.03886 # DEPENDENCYPART_ARC
(3,4),3.80504 # DEPENDENCYPART_ARC
(3,5),1.19155 # DEPENDENCYPART_ARC
(3,6),0.00694865 # DEPENDENCYPART_ARC
(3,7),-0.0981292 # DEPENDENCYPART_ARC
(3,9),-2.34287 # DEPENDENCYPART_ARC
(3,11),-1.2133 # DEPENDENCYPART_ARC
(3,12),-0.98807 # DEPENDENCYPART_ARC
(3,13),-2.60649 # DEPENDENCYPART_ARC
(3,14),-0.893483 # DEPENDENCYPART_ARC
(3,16),-1.05324 # DEPENDENCYPART_ARC
(3,17),-0.517308 # DEPENDENCYPART_ARC
(3,18),-0.782801 # DEPENDENCYPART_ARC
(3,19),-2.68154 # DEPENDENCYPART_ARC
(3,20),-2.14227 # DEPENDENCYPART_ARC
(3,21),-1.06676 # DEPENDENCYPART_ARC
(4,1),-1.1859 # DEPENDENCYPART_ARC
(4,2),-3.7029 # DEPENDENCYPART_ARC
(4,3),-1.83805 # DEPENDENCYPART_ARC
(4,5),2.26694 # DEPENDENCYPART_ARC
(4,6),0.473894 # DEPENDENCYPART_ARC
(4,7),0.0964028 # DEPENDENCYPART_ARC
(4,9),0.537615 # DEPENDENCYPART_ARC
(4,11),-1.86287 # DEPENDENCYPART_ARC
(4,12),-1.85183 # DEPENDENCYPART_ARC
(4,14),-0.081232 # DEPENDENCYPART_ARC
(4,17),-0.471956 # DEPENDENCYPART_ARC
(4,24),0.0951679 # DEPENDENCYPART_ARC
(5,4),-1.93989 # DEPENDENCYPART_ARC
(5,6),3.42203 # DEPENDENCYPART_ARC
(5,7),-0.2726 # DEPENDENCYPART_ARC
(6,2),-3.0268 # DEPENDENCYPART_ARC
(6,4),-1.38956 # DEPENDENCYPART_ARC
(6,5),0.519474 # DEPENDENCYPART_ARC
(6,7),-0.191405 # DEPENDENCYPART_ARC
(6,9),0.870329 # DEPENDENCYPART_ARC
(6,11),-3.07386 # DEPENDENCYPART_ARC
(6,12),-2.11706 # DEPENDENCYPART_ARC
(6,13),-0.392837 # DEPENDENCYPART_ARC
(6,14),-0.466113 # DEPENDENCYPART_ARC
(6,15),-3.10632 # DEPENDENCYPART_ARC
(6,24),0.187503 # DEPENDENCYPART_ARC
(7,1),-0.439108 # DEPENDENCYPART_ARC
(7,2),0.0547435 # DEPENDENCYPART_ARC
(7,3),1.3799 # DEPENDENCYPART_ARC
(7,4),1.39016 # DEPENDENCYPART_ARC
(7,5),0.149169 # DEPENDENCYPART_ARC
(7,6),1.47804 # DEPENDENCYPART_ARC
(7,9),1.69626 # DEPENDENCYPART_ARC
(7,10),0.100836 # DEPENDENCYPART_ARC
(7,11),0.301 # DEPENDENCYPART_ARC
(7,12),-0.112694 # DEPENDENCYPART_ARC
(7,13),-0.302579 # DEPENDENCYPART_ARC
(7,14),-0.237329 # DEPENDENCYPART_ARC
(7,16),-0.940021 # DEPENDENCYPART_ARC
(7,17),-0.144846 # DEPENDENCYPART_ARC
(7,18),0.0944601 # DEPENDENCYPART_ARC
(7,21),0.595942 # DEPENDENCYPART_ARC
(7,24),0.319502 # DEPENDENCYPART_ARC
(9,1),-3.6297 # DEPENDENCYPART_ARC
(9,2),-1.43856 # DEPENDENCYPART_ARC
(9,3),-3.6249 # DEPENDENCYPART_ARC
(9,4),-0.386234 # DEPENDENCYPART_ARC
(9,5),-1.85926 # DEPENDENCYPART_ARC
(9,6),-3.10675 # DEPENDENCYPART_ARC
(9,7),1.02811 # DEPENDENCYPART_ARC
(9,8),1.51138 # DEPENDENCYPART_ARC
(9,10),1.6357 # DEPENDENCYPART_ARC
(9,11),0.878573 # DEPENDENCYPART_ARC
(9,12),2.23498 # DEPENDENCYPART_ARC
(9,13),0.345398 # DEPENDENCYPART_ARC
(9,14),0.612508 # DEPENDENCYPART_ARC
(9,15),-1.00136 # DEPENDENCYPART_ARC
(9,16),0.997596 # DEPENDENCYPART_ARC
(9,17),0.70818 # DEPENDENCYPART_ARC
(9,18),0.587332 # DEPENDENCYPART_ARC
(9,19),-1.80915 # DEPENDENCYPART_ARC
(9,20),0.520881 # DEPENDENCYPART_ARC
(9,21),0.34916 # DEPENDENCYPART_ARC
(9,24),-1.48085 # DEPENDENCYPART_ARC
(9,25),-1.39457 # DEPENDENCYPART_ARC
(9,27),-0.688003 # DEPENDENCYPART_ARC
(9,28),-1.45152 # DEPENDENCYPART_ARC
(10,11),0.805038 # DEPENDENCYPART_ARC
(10,12),-0.545427 # DEPENDENCYPART_ARC
(10,14),-0.626034 # DEPENDENCYPART_ARC
(11,2),-2.04779 # DEPENDENCYPART_ARC
(11,3),-3.57613 # DEPENDENCYPART_ARC
(11,5),-1.29044 # DEPENDENCYPART_ARC
(11,9),-2.38239 # DEPENDENCYPART_ARC
(11,10),-0.35612 # DEPENDENCYPART_ARC
(11,12),-0.719734 # DEPENDENCYPART_ARC
(11,13),-0.722978 # DEPENDENCYPART_ARC
(12,7),-0.639533 # DEPENDENCYPART_ARC
