# _root_ Zdůraznil , že USA vytvářejí koncentrační tábor , když přesouvají uprchlíky na základnu Guantánamo na Kubě .
#goldHeads=0,3,1,5,3,7,5,9,5,9,10,10,12,13,13,15,0,
#predictedHeads=0,3,1,5,3,7,5,9,5,9,10,11,12,13,13,15,0,
(0,1),-0.400347 # DEPENDENCYPART_ARC
(0,2),-0.894631 # DEPENDENCYPART_ARC
(0,3),-1.95619 # DEPENDENCYPART_ARC
(0,4),-2.57581 # DEPENDENCYPART_ARC
(0,5),-1.36326 # DEPENDENCYPART_ARC
(0,8),-1.1653 # DEPENDENCYPART_ARC
(0,9),-2.72811 # DEPENDENCYPART_ARC
(0,10),-2.09869 # DEPENDENCYPART_ARC
(0,17),3.42649 # DEPENDENCYPART_ARC
(1,2),0.183707 # DEPENDENCYPART_ARC
(1,3),1.83022 # DEPENDENCYPART_ARC
(1,4),-2.36676 # DEPENDENCYPART_ARC
(1,5),-1.88532 # DEPENDENCYPART_ARC
(1,6),-3.93978 # DEPENDENCYPART_ARC
(1,7),-1.18418 # DEPENDENCYPART_ARC
(1,8),-0.319616 # DEPENDENCYPART_ARC
(1,9),0.860467 # DEPENDENCYPART_ARC
(1,10),-3.68033 # DEPENDENCYPART_ARC
(1,11),-3.11348 # DEPENDENCYPART_ARC
(1,12),-1.85218 # DEPENDENCYPART_ARC
(1,15),-2.26571 # DEPENDENCYPART_ARC
(2,1),-1.04287 # DEPENDENCYPART_ARC
(2,3),-0.217059 # DEPENDENCYPART_ARC
(2,4),-2.08567 # DEPENDENCYPART_ARC
(2,5),-0.637239 # DEPENDENCYPART_ARC
(2,9),-1.49246 # DEPENDENCYPART_ARC
(2,10),-2.57677 # DEPENDENCYPART_ARC
(3,1),-1.41848 # DEPENDENCYPART_ARC
(3,2),2.67001 # DEPENDENCYPART_ARC
(3,4),-1.17614 # DEPENDENCYPART_ARC
(3,5),2.1611 # DEPENDENCYPART_ARC
(3,6),-1.13744 # DEPENDENCYPART_ARC
(3,7),-2.38385 # DEPENDENCYPART_ARC
(3,8),0.189923 # DEPENDENCYPART_ARC
(3,9),0.261477 # DEPENDENCYPART_ARC
(3,10),-0.627494 # DEPENDENCYPART_ARC
(4,2),-1.98083 # DEPENDENCYPART_ARC
(4,3),-2.37491 # DEPENDENCYPART_ARC
(4,5),-2.14963 # DEPENDENCYPART_ARC
(4,6),-3.65766 # DEPENDENCYPART_ARC
(4,7),-4.76686 # DEPENDENCYPART_ARC
(4,8),-1.28265 # DEPENDENCYPART_ARC
(4,9),-1.67483 # DEPENDENCYPART_ARC
(4,10),-5.69626 # DEPENDENCYPART_ARC
(5,1),-1.64511 # DEPENDENCYPART_ARC
(5,2),0.335123 # DEPENDENCYPART_ARC
(5,3),-0.0225071 # DEPENDENCYPART_ARC
(5,4),3.22523 # DEPENDENCYPART_ARC
(5,6),-1.62739 # DEPENDENCYPART_ARC
(5,7),2.69546 # DEPENDENCYPART_ARC
(5,8),0.405982 # DEPENDENCYPART_ARC
(5,9),1.56916 # DEPENDENCYPART_ARC
(5,10),-2.48511 # DEPENDENCYPART_ARC
(5,11),-1.49619 # DEPENDENCYPART_ARC
(5,12),-0.788329 # DEPENDENCYPART_ARC
(5,13),-2.90769 # DEPENDENCYPART_ARC
(5,14),-3.07166 # DEPENDENCYPART_ARC
(5,15),-0.979024 # DEPENDENCYPART_ARC
(6,3),-0.852286 # DEPENDENCYPART_ARC
(6,4),-1.74505 # DEPENDENCYPART_ARC
(6,5),-4.52741 # DEPENDENCYPART_ARC
(6,7),-0.34634 # DEPENDENCYPART_ARC
(6,8),-0.767278 # DEPENDENCYPART_ARC
(6,9),0.110335 # DEPENDENCYPART_ARC
(6,10),-2.79707 # DEPENDENCYPART_ARC
(7,1),-2.96132 # DEPENDENCYPART_ARC
(7,2),-0.601736 # DEPENDENCYPART_ARC
(7,3),-1.75051 # DEPENDENCYPART_ARC
(7,4),-1.56677 # DEPENDENCYPART_ARC
(7,5),-1.20575 # DEPENDENCYPART_ARC
(7,6),5.09775 # DEPENDENCYPART_ARC
(7,8),-0.180278 # DEPENDENCYPART_ARC
(7,9),0.23527 # DEPENDENCYPART_ARC
(7,10),-1.91343 # DEPENDENCYPART_ARC
(7,11),-2.44444 # DEPENDENCYPART_ARC
(7,12),-0.714717 # DEPENDENCYPART_ARC
(7,15),-1.29961 # DEPENDENCYPART_ARC
(8,1),-1.9457 # DEPENDENCYPART_ARC
(8,2),-0.363387 # DEPENDENCYPART_ARC
(8,3),-0.826762 # DEPENDENCYPART_ARC
(8,4),-1.53126 # DEPENDENCYPART_ARC
(8,5),-0.719169 # DEPENDENCYPART_ARC
(8,6),-1.0555 # DEPENDENCYPART_ARC
(8,7),-1.21202 # DEPENDENCYPART_ARC
(8,9),-0.00386506 # DEPENDENCYPART_ARC
(8,10),-0.150252 # DEPENDENCYPART_ARC
(8,11),-1.34688 # DEPENDENCYPART_ARC
(8,12),-1.25654 # DEPENDENCYPART_ARC
(8,15),-1.50437 # DEPENDENCYPART_ARC
(9,1),-0.954876 # DEPENDENCYPART_ARC
(9,4),0.452516 # DEPENDENCYPART_ARC
(9,5),0.451283 # DEPENDENCYPART_ARC
(9,6),-0.689285 # DEPENDENCYPART_ARC
(9,7),-0.864577 # DEPENDENCYPART_ARC
(9,8),2.47599 # DEPENDENCYPART_ARC
(9,10),2.65187 # DEPENDENCYPART_ARC
(9,11),-0.0324411 # DEPENDENCYPART_ARC
(9,12),-0.159009 # DEPENDENCYPART_ARC
(9,13),-1.00442 # DEPENDENCYPART_ARC
(9,14),-1.21726 # DEPENDENCYPART_ARC
(9,15),-0.585151 # DEPENDENCYPART_ARC
(9,16),-1.84115 # DEPENDENCYPART_ARC
(9,17),-0.0895553 # DEPENDENCYPART_ARC
(10,1),-4.17016 # DEPENDENCYPART_ARC
(10,2),-1.65901 # DEPENDENCYPART_ARC
(10,3),-2.63388 # DEPENDENCYPART_ARC
(10,4),-0.506074 # DEPENDENCYPART_ARC
(10,5),-3.76049 # DEPENDENCYPART_ARC
(10,6),-4.68119 # DEPENDENCYPART_ARC
(10,7),-1.69674 # DEPENDENCYPART_ARC
(10,8),-0.229804 # DEPENDENCYPART_ARC
(10,9),0.26359 # DEPENDENCYPART_ARC
(10,11),3.04632 # DEPENDENCYPART_ARC
(10,12),1.34622 # DEPENDENCYPART_ARC
(10,13),0.633251 # DEPENDENCYPART_ARC
(10,14),-0.0235551 # DEPENDENCYPART_ARC
(10,15),0.718927 # DEPENDENCYPART_ARC
(10,16),-1.8518 # DEPENDENCYPART_ARC
(10,17),-0.723959 # DEPENDENCYPART_ARC
(11,6),-2.08255 # DEPENDENCYPART_ARC
(11,7),-3.76473 # DEPENDENCYPART_ARC
(11,12),1.5111 # DEPENDENCYPART_ARC
(11,13),-0.810835 # DEPENDENCYPART_ARC
(11,14),-1.731 # DEPENDENCYPART_ARC
(11,15),0.0618845 # DEPENDENCYPART_ARC
(11,16),-1.8427 # DEPENDENCYPART_ARC
(11,17),-2.02762 # DEPENDENCYPART_ARC
(12,8),-0.908717 # DEPENDENCYPART_ARC
(12,11),-1.96898 # DEPENDENCYPART_ARC
(12,13),3.82914 # DEPENDENCYPART_ARC
(12,14),-2.0795 # DEPENDENCYPART_ARC
(12,16),-2.30231 # DEPENDENCYPART_ARC
(12,17),-0.661408 # DEPENDENCYPART_ARC
(13,11),-1.69476 # DEPENDENCYPART_ARC
(13,12),1.34038 # DEPENDENCYPART_ARC
(13,14),2.62775 # DEPENDENCYPART_ARC
(13,15),1.02902 # DEPENDENCYPART_ARC
(13,16),0.0562585 # DEPENDENCYPART_ARC
(13,17),-1.08336 # DEPENDENCYPART_ARC
(14,7),-7.2328 # DEPENDENCYPART_ARC
(14,11),-3.33475 # DEPENDENCYPART_ARC
(14,12),-0.960828 # DEPENDENCYPART_ARC
(14,13),-2.23375 # DEPENDENCYPART_ARC
(14,15),0.975131 # DEPENDENCYPART_ARC
(14,16),-0.708505 # DEPENDENCYPART_ARC
(14,17),-0.869601 # DEPENDENCYPART_ARC
(15,13),-0.492646 # DEPENDENCYPART_ARC
(15,14),-1.77876 # DEPENDENCYPART_ARC
(15,16),4.13902 # DEPENDENCYPART_ARC
(15,17),-0.451445 # DEPENDENCYPART_ARC
(16,11),-3.76898 # DEPENDENCYPART_ARC
(16,12),-1.34834 # DEPENDENCYPART_ARC
(16,13),-1.94874 # DEPENDENCYPART_ARC
(16,14),-0.931567 # DEPENDENCYPART_ARC
(16,15),-0.350676 # DEPENDENCYPART_ARC
(16,17),-0.172787 # DEPENDENCYPART_ARC
