# _root_ Že Perry svojí pozorností k severokorejským jaderným choutkám píchl do vosího hnízda , ukazuje způsob , jakým na jeho cestu zareagovala oficiální pchjongjangská agentura KCNA .
#goldHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
#predictedHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
(0,1),0.258608 # DEPENDENCYPART_ARC
(0,2),-2.10252 # DEPENDENCYPART_ARC
(0,3),-1.26097 # DEPENDENCYPART_ARC
(0,4),-2.13914 # DEPENDENCYPART_ARC
(0,5),-0.864768 # DEPENDENCYPART_ARC
(0,9),-0.460918 # DEPENDENCYPART_ARC
(0,13),-0.976846 # DEPENDENCYPART_ARC
(0,14),1.72855 # DEPENDENCYPART_ARC
(0,16),-1.16089 # DEPENDENCYPART_ARC
(0,21),-1.46116 # DEPENDENCYPART_ARC
(0,26),4.06847 # DEPENDENCYPART_ARC
(1,2),0.152667 # DEPENDENCYPART_ARC
(1,4),-0.887892 # DEPENDENCYPART_ARC
(1,5),-1.16568 # DEPENDENCYPART_ARC
(1,8),-2.04013 # DEPENDENCYPART_ARC
(1,9),0.974018 # DEPENDENCYPART_ARC
(1,13),2.44523 # DEPENDENCYPART_ARC
(1,14),-0.236002 # DEPENDENCYPART_ARC
(1,16),0.961969 # DEPENDENCYPART_ARC
(1,21),-0.608488 # DEPENDENCYPART_ARC
(2,1),0.613473 # DEPENDENCYPART_ARC
(2,3),-0.402128 # DEPENDENCYPART_ARC
(2,4),-1.28962 # DEPENDENCYPART_ARC
(2,5),-1.80288 # DEPENDENCYPART_ARC
(2,6),-3.32613 # DEPENDENCYPART_ARC
(2,7),-3.25902 # DEPENDENCYPART_ARC
(2,8),-2.42681 # DEPENDENCYPART_ARC
(2,9),-1.32707 # DEPENDENCYPART_ARC
(2,10),-1.23211 # DEPENDENCYPART_ARC
(2,12),-1.80761 # DEPENDENCYPART_ARC
(2,14),-3.54686 # DEPENDENCYPART_ARC
(2,21),-3.36433 # DEPENDENCYPART_ARC
(4,1),-0.550684 # DEPENDENCYPART_ARC
(4,2),-1.72701 # DEPENDENCYPART_ARC
(4,3),4.13732 # DEPENDENCYPART_ARC
(4,5),1.37252 # DEPENDENCYPART_ARC
(4,6),-0.763466 # DEPENDENCYPART_ARC
(4,7),-0.984347 # DEPENDENCYPART_ARC
(4,8),-1.37921 # DEPENDENCYPART_ARC
(4,9),-1.73408 # DEPENDENCYPART_ARC
(4,10),-0.763139 # DEPENDENCYPART_ARC
(4,14),-3.08939 # DEPENDENCYPART_ARC
(5,2),-2.19739 # DEPENDENCYPART_ARC
(5,4),0.56126 # DEPENDENCYPART_ARC
(5,6),1.0275 # DEPENDENCYPART_ARC
(5,7),0.726577 # DEPENDENCYPART_ARC
(5,8),4.25463 # DEPENDENCYPART_ARC
(5,12),-2.40488 # DEPENDENCYPART_ARC
(5,13),-0.666299 # DEPENDENCYPART_ARC
(5,15),-4.76549 # DEPENDENCYPART_ARC
(6,4),-0.461961 # DEPENDENCYPART_ARC
(6,5),-0.554602 # DEPENDENCYPART_ARC
(6,7),-0.218635 # DEPENDENCYPART_ARC
(6,8),0.206181 # DEPENDENCYPART_ARC
(6,9),-3.98235 # DEPENDENCYPART_ARC
(6,10),-0.651798 # DEPENDENCYPART_ARC
(7,6),-0.995964 # DEPENDENCYPART_ARC
(8,1),-1.76452 # DEPENDENCYPART_ARC
(8,2),-3.16453 # DEPENDENCYPART_ARC
(8,3),-0.445451 # DEPENDENCYPART_ARC
(8,4),-1.98055 # DEPENDENCYPART_ARC
(8,5),-0.712865 # DEPENDENCYPART_ARC
(8,6),4.88498 # DEPENDENCYPART_ARC
(8,7),5.09272 # DEPENDENCYPART_ARC
(8,9),-2.17749 # DEPENDENCYPART_ARC
(8,10),-0.632654 # DEPENDENCYPART_ARC
(8,12),-0.247432 # DEPENDENCYPART_ARC
(9,1),1.30626 # DEPENDENCYPART_ARC
(9,2),2.7464 # DEPENDENCYPART_ARC
(9,4),1.97397 # DEPENDENCYPART_ARC
(9,5),1.05523 # DEPENDENCYPART_ARC
(9,6),-0.507744 # DEPENDENCYPART_ARC
(9,7),-0.347299 # DEPENDENCYPART_ARC
(9,8),1.70005 # DEPENDENCYPART_ARC
(9,10),2.87121 # DEPENDENCYPART_ARC
(9,11),-4.34737 # DEPENDENCYPART_ARC
(9,12),-0.38495 # DEPENDENCYPART_ARC
(9,13),0.640887 # DEPENDENCYPART_ARC
(9,14),-1.46876 # DEPENDENCYPART_ARC
(9,15),0.353785 # DEPENDENCYPART_ARC
(9,16),-0.143329 # DEPENDENCYPART_ARC
(9,18),-0.0348763 # DEPENDENCYPART_ARC
(9,20),-1.57933 # DEPENDENCYPART_ARC
(9,21),-3.89609 # DEPENDENCYPART_ARC
(9,22),-4.74564 # DEPENDENCYPART_ARC
(9,24),-2.04841 # DEPENDENCYPART_ARC
(9,25),-4.48335 # DEPENDENCYPART_ARC
(10,11),0.898195 # DEPENDENCYPART_ARC
(10,12),3.89861 # DEPENDENCYPART_ARC
(10,13),-0.240159 # DEPENDENCYPART_ARC
(10,14),-1.1158 # DEPENDENCYPART_ARC
(10,15),-3.69331 # DEPENDENCYPART_ARC
(10,16),-1.0554 # DEPENDENCYPART_ARC
(11,15),-3.53828 # DEPENDENCYPART_ARC
(12,6),-3.51377 # DEPENDENCYPART_ARC
(12,7),-3.83391 # DEPENDENCYPART_ARC
(12,8),-5.2726 # DEPENDENCYPART_ARC
(12,10),-0.0284905 # DEPENDENCYPART_ARC
(12,11),4.96902 # DEPENDENCYPART_ARC
(12,13),-0.622031 # DEPENDENCYPART_ARC
(12,14),-1.64103 # DEPENDENCYPART_ARC
(12,15),-2.63914 # DEPENDENCYPART_ARC
(12,21),-0.500835 # DEPENDENCYPART_ARC
(13,1),-0.771131 # DEPENDENCYPART_ARC
(13,2),-1.16754 # DEPENDENCYPART_ARC
(13,4),-1.0539 # DEPENDENCYPART_ARC
(13,5),-1.13897 # DEPENDENCYPART_ARC
(13,6),-0.834044 # DEPENDENCYPART_ARC
(13,8),-0.382938 # DEPENDENCYPART_ARC
(13,9),0.330021 # DEPENDENCYPART_ARC
(13,10),-0.112848 # DEPENDENCYPART_ARC
(13,11),-0.185722 # DEPENDENCYPART_ARC
(13,12),-0.406624 # DEPENDENCYPART_ARC
(13,14),0.205355 # DEPENDENCYPART_ARC
(13,15),-0.508733 # DEPENDENCYPART_ARC
(13,16),-0.0682445 # DEPENDENCYPART_ARC
(13,21),-1.21318 # DEPENDENCYPART_ARC
(14,1),3.24396 # DEPENDENCYPART_ARC
(14,2),1.91 # DEPENDENCYPART_ARC
(14,4),1.277 # DEPENDENCYPART_ARC
(14,5),-0.439294 # DEPENDENCYPART_ARC
(14,6),-1.41879 # DEPENDENCYPART_ARC
(14,7),-1.42674 # DEPENDENCYPART_ARC
(14,8),-0.0400256 # DEPENDENCYPART_ARC
(14,9),-0.929082 # DEPENDENCYPART_ARC
(14,10),0.594105 # DEPENDENCYPART_ARC
(14,11),-2.55523 # DEPENDENCYPART_ARC
(14,12),-1.46936 # DEPENDENCYPART_ARC
(14,13),0.251119 # DEPENDENCYPART_ARC
(14,15),3.1237 # DEPENDENCYPART_ARC
(14,16),0.134078 # DEPENDENCYPART_ARC
(14,18),0.542216 # DEPENDENCYPART_ARC
(14,20),-0.814604 # DEPENDENCYPART_ARC
(14,21),-2.32506 # DEPENDENCYPART_ARC
(14,22),-2.46 # DEPENDENCYPART_ARC
(14,24),-1.61919 # DEPENDENCYPART_ARC
(14,25),-2.66417 # DEPENDENCYPART_ARC
(15,10),-0.449177 # DEPENDENCYPART_ARC
(15,11),-2.03004 # DEPENDENCYPART_ARC
(15,12),-4.31443 # DEPENDENCYPART_ARC
(15,13),-1.15848 # DEPENDENCYPART_ARC
(15,16),0.0700254 # DEPENDENCYPART_ARC
(15,17),-1.13573 # DEPENDENCYPART_ARC
(15,18),0.240347 # DEPENDENCYPART_ARC
(15,20),-2.82514 # DEPENDENCYPART_ARC
(15,21),2.48793 # DEPENDENCYPART_ARC
(15,22),-1.78927 # DEPENDENCYPART_ARC
(15,23),-1.87309 # DEPENDENCYPART_ARC
(15,24),-1.82904 # DEPENDENCYPART_ARC
(15,25),-1.51281 # DEPENDENCYPART_ARC
(16,1),-1.39512 # DEPENDENCYPART_ARC
(16,2),-2.22186 # DEPENDENCYPART_ARC
(16,9),-0.244259 # DEPENDENCYPART_ARC
(16,12),-0.755493 # DEPENDENCYPART_ARC
(16,13),-0.116743 # DEPENDENCYPART_ARC
(16,14),0.10249 # DEPENDENCYPART_ARC
(16,15),-0.161038 # DEPENDENCYPART_ARC
