# _root_ Rozdíl je v tom , že je ve vyhlášce přesně limitováno , co může být soutěžícím poskytnuto .
#goldHeads=2,0,2,3,6,4,6,7,8,11,7,14,14,7,17,17,14,0,
#predictedHeads=2,0,2,3,6,4,6,7,8,11,7,14,17,6,17,15,14,0,
(0,1),-2.14853 # DEPENDENCYPART_ARC
(0,2),-0.604378 # DEPENDENCYPART_ARC
(0,3),-2.17923 # DEPENDENCYPART_ARC
(0,4),-2.50355 # DEPENDENCYPART_ARC
(0,5),-1.30886 # DEPENDENCYPART_ARC
(0,6),-2.30811 # DEPENDENCYPART_ARC
(0,7),-1.7662 # DEPENDENCYPART_ARC
(0,11),-2.04094 # DEPENDENCYPART_ARC
(0,12),-1.10411 # DEPENDENCYPART_ARC
(0,14),-1.21962 # DEPENDENCYPART_ARC
(0,15),-3.4977 # DEPENDENCYPART_ARC
(0,17),-3.71141 # DEPENDENCYPART_ARC
(0,18),3.59215 # DEPENDENCYPART_ARC
(1,2),-1.1925 # DEPENDENCYPART_ARC
(1,3),-1.50665 # DEPENDENCYPART_ARC
(1,4),-0.62553 # DEPENDENCYPART_ARC
(1,6),-1.00909 # DEPENDENCYPART_ARC
(2,1),4.21929 # DEPENDENCYPART_ARC
(2,3),2.71241 # DEPENDENCYPART_ARC
(2,4),-0.679641 # DEPENDENCYPART_ARC
(2,5),0.378804 # DEPENDENCYPART_ARC
(2,6),0.947437 # DEPENDENCYPART_ARC
(2,7),-1.14154 # DEPENDENCYPART_ARC
(2,8),-0.423089 # DEPENDENCYPART_ARC
(2,10),-0.287331 # DEPENDENCYPART_ARC
(2,11),-0.0394086 # DEPENDENCYPART_ARC
(2,12),0.0989128 # DEPENDENCYPART_ARC
(2,15),-2.57047 # DEPENDENCYPART_ARC
(2,17),-2.91437 # DEPENDENCYPART_ARC
(3,4),2.98145 # DEPENDENCYPART_ARC
(3,5),-0.348821 # DEPENDENCYPART_ARC
(3,6),-1.53941 # DEPENDENCYPART_ARC
