# _root_ Místo toho jsou jen profesionálně velmi slušně odvedeným , poutavým , leč značně konfekčním řemeslem .
#goldHeads=3,1,0,8,8,7,8,12,12,12,12,15,14,12,3,0,
#predictedHeads=3,1,0,5,3,7,8,9,15,9,12,3,14,15,12,0,
(0,1),-1.11465 # DEPENDENCYPART_ARC
(0,2),-2.10023 # DEPENDENCYPART_ARC
(0,3),-0.32288 # DEPENDENCYPART_ARC
(0,4),-0.900018 # DEPENDENCYPART_ARC
(0,5),-1.3586 # DEPENDENCYPART_ARC
(0,6),-1.39196 # DEPENDENCYPART_ARC
(0,7),-1.48115 # DEPENDENCYPART_ARC
(0,8),-2.10958 # DEPENDENCYPART_ARC
(0,9),-1.49336 # DEPENDENCYPART_ARC
(0,10),-2.27995 # DEPENDENCYPART_ARC
(0,11),-1.51432 # DEPENDENCYPART_ARC
(0,12),-0.933326 # DEPENDENCYPART_ARC
(0,13),-2.05553 # DEPENDENCYPART_ARC
(0,14),-2.5266 # DEPENDENCYPART_ARC
(0,16),3.7714 # DEPENDENCYPART_ARC
(1,2),3.92939 # DEPENDENCYPART_ARC
(1,5),-1.38457 # DEPENDENCYPART_ARC
(1,6),-0.927438 # DEPENDENCYPART_ARC
(1,15),-2.34981 # DEPENDENCYPART_ARC
(2,3),-0.149314 # DEPENDENCYPART_ARC
(2,4),-0.681514 # DEPENDENCYPART_ARC
(2,12),-1.43602 # DEPENDENCYPART_ARC
(3,1),3.2939 # DEPENDENCYPART_ARC
(3,2),-1.69461 # DEPENDENCYPART_ARC
(3,4),0.302525 # DEPENDENCYPART_ARC
(3,5),1.35271 # DEPENDENCYPART_ARC
(3,6),0.737081 # DEPENDENCYPART_ARC
(3,7),0.893816 # DEPENDENCYPART_ARC
(3,8),-0.902965 # DEPENDENCYPART_ARC
(3,9),0.0662398 # DEPENDENCYPART_ARC
(3,10),-2.69515 # DEPENDENCYPART_ARC
(3,11),-0.047868 # DEPENDENCYPART_ARC
(3,12),0.867082 # DEPENDENCYPART_ARC
(3,13),-1.22257 # DEPENDENCYPART_ARC
(3,14),-4.97558 # DEPENDENCYPART_ARC
(3,15),-1.47783 # DEPENDENCYPART_ARC
(3,16),0.195778 # DEPENDENCYPART_ARC
(4,1),-1.11359 # DEPENDENCYPART_ARC
(4,2),-1.14241 # DEPENDENCYPART_ARC
(4,3),-0.786488 # DEPENDENCYPART_ARC
(4,5),-0.576817 # DEPENDENCYPART_ARC
(4,7),-1.11308 # DEPENDENCYPART_ARC
(4,9),-0.933342 # DEPENDENCYPART_ARC
(4,11),-1.45009 # DEPENDENCYPART_ARC
(5,1),-0.761905 # DEPENDENCYPART_ARC
(5,2),0.281623 # DEPENDENCYPART_ARC
(5,3),-1.24197 # DEPENDENCYPART_ARC
(5,4),1.55397 # DEPENDENCYPART_ARC
(5,6),0.432679 # DEPENDENCYPART_ARC
(5,7),-0.517171 # DEPENDENCYPART_ARC
(5,8),-2.03685 # DEPENDENCYPART_ARC
(5,9),-0.845738 # DEPENDENCYPART_ARC
(5,12),-0.999226 # DEPENDENCYPART_ARC
(5,16),-1.7583 # DEPENDENCYPART_ARC
(6,1),-1.22164 # DEPENDENCYPART_ARC
(6,2),-1.23866 # DEPENDENCYPART_ARC
(6,3),-1.0227 # DEPENDENCYPART_ARC
(6,4),0.0639291 # DEPENDENCYPART_ARC
(6,5),0.76635 # DEPENDENCYPART_ARC
(6,7),0.0219168 # DEPENDENCYPART_ARC
(6,8),-1.03279 # DEPENDENCYPART_ARC
(6,10),-1.47483 # DEPENDENCYPART_ARC
(7,1),-1.29212 # DEPENDENCYPART_ARC
(7,2),-0.0476672 # DEPENDENCYPART_ARC
(7,3),-1.44395 # DEPENDENCYPART_ARC
(7,4),0.143545 # DEPENDENCYPART_ARC
(7,5),0.83964 # DEPENDENCYPART_ARC
(7,6),1.6231 # DEPENDENCYPART_ARC
(7,8),-1.41669 # DEPENDENCYPART_ARC
(7,9),-0.628437 # DEPENDENCYPART_ARC
(7,10),-2.1514 # DEPENDENCYPART_ARC
(7,12),-0.705543 # DEPENDENCYPART_ARC
(7,15),-1.98399 # DEPENDENCYPART_ARC
(7,16),-1.46211 # DEPENDENCYPART_ARC
(8,1),-0.657528 # DEPENDENCYPART_ARC
(8,2),-2.28206 # DEPENDENCYPART_ARC
(8,3),-4.2142 # DEPENDENCYPART_ARC
(8,5),0.463097 # DEPENDENCYPART_ARC
(8,6),0.949709 # DEPENDENCYPART_ARC
(8,7),2.13893 # DEPENDENCYPART_ARC
(8,9),0.279127 # DEPENDENCYPART_ARC
