# _root_ Najednou nebylo žádné místo mezi mým vozem a zdí , byla slova nešťastného Fittipaldiho , s nimiž však Mansell nesouhlasil :
#goldHeads=2,10,4,2,2,7,8,5,8,0,10,11,14,12,20,20,16,20,20,14,0,
#predictedHeads=2,0,4,2,4,7,8,5,8,2,8,11,14,12,20,20,16,20,20,14,0,
(0,1),-0.618072 # DEPENDENCYPART_ARC
(0,2),-0.595154 # DEPENDENCYPART_ARC
(0,3),-1.1543 # DEPENDENCYPART_ARC
(0,4),-1.61596 # DEPENDENCYPART_ARC
(0,5),-1.69039 # DEPENDENCYPART_ARC
(0,8),-1.37339 # DEPENDENCYPART_ARC
(0,10),-1.05524 # DEPENDENCYPART_ARC
(0,11),-0.178288 # DEPENDENCYPART_ARC
(0,15),-1.29442 # DEPENDENCYPART_ARC
(0,18),0.03316 # DEPENDENCYPART_ARC
(0,20),-1.89203 # DEPENDENCYPART_ARC
(0,21),1.51172 # DEPENDENCYPART_ARC
(1,2),-0.681134 # DEPENDENCYPART_ARC
(2,1),2.47112 # DEPENDENCYPART_ARC
(2,3),2.50707 # DEPENDENCYPART_ARC
(2,4),3.12587 # DEPENDENCYPART_ARC
(2,5),0.910499 # DEPENDENCYPART_ARC
(2,7),0.888398 # DEPENDENCYPART_ARC
(2,8),0.6333 # DEPENDENCYPART_ARC
(2,9),-0.737206 # DEPENDENCYPART_ARC
(2,10),0.580624 # DEPENDENCYPART_ARC
(2,11),-4.07447 # DEPENDENCYPART_ARC
(2,12),-1.32881 # DEPENDENCYPART_ARC
(2,13),-3.51009 # DEPENDENCYPART_ARC
(2,14),-3.554 # DEPENDENCYPART_ARC
(2,15),-0.31333 # DEPENDENCYPART_ARC
(2,16),-1.23058 # DEPENDENCYPART_ARC
(2,18),-0.179497 # DEPENDENCYPART_ARC
(2,19),-4.51779 # DEPENDENCYPART_ARC
(2,20),-4.59738 # DEPENDENCYPART_ARC
(2,21),-0.612048 # DEPENDENCYPART_ARC
(3,5),-0.862778 # DEPENDENCYPART_ARC
(3,8),-0.528766 # DEPENDENCYPART_ARC
(4,1),-0.257425 # DEPENDENCYPART_ARC
(4,2),-1.81732 # DEPENDENCYPART_ARC
(4,3),3.82416 # DEPENDENCYPART_ARC
(4,5),1.79714 # DEPENDENCYPART_ARC
(4,7),-1.09191 # DEPENDENCYPART_ARC
(4,8),-0.589077 # DEPENDENCYPART_ARC
(4,11),-2.17345 # DEPENDENCYPART_ARC
(5,4),-1.6141 # DEPENDENCYPART_ARC
(5,6),1.38586 # DEPENDENCYPART_ARC
(5,7),2.49674 # DEPENDENCYPART_ARC
(5,8),2.17338 # DEPENDENCYPART_ARC
(5,9),-0.540381 # DEPENDENCYPART_ARC
(5,10),-0.501169 # DEPENDENCYPART_ARC
(7,1),-2.40221 # DEPENDENCYPART_ARC
(7,3),-2.42407 # DEPENDENCYPART_ARC
(7,4),-4.14156 # DEPENDENCYPART_ARC
(7,5),-1.58571 # DEPENDENCYPART_ARC
(7,6),3.74143 # DEPENDENCYPART_ARC
(7,9),-1.32965 # DEPENDENCYPART_ARC
(8,1),-0.0596448 # DEPENDENCYPART_ARC
(8,2),0.579335 # DEPENDENCYPART_ARC
(8,4),0.882463 # DEPENDENCYPART_ARC
(8,5),0.0334111 # DEPENDENCYPART_ARC
(8,6),2.19553 # DEPENDENCYPART_ARC
(8,7),4.02889 # DEPENDENCYPART_ARC
(8,9),3.56913 # DEPENDENCYPART_ARC
(8,10),0.239574 # DEPENDENCYPART_ARC
(8,11),0.0759475 # DEPENDENCYPART_ARC
(8,12),-0.347012 # DEPENDENCYPART_ARC
(8,13),-0.521604 # DEPENDENCYPART_ARC
(8,14),-0.375269 # DEPENDENCYPART_ARC
(8,15),-0.397528 # DEPENDENCYPART_ARC
(8,16),-2.15264 # DEPENDENCYPART_ARC
(8,19),-0.7465 # DEPENDENCYPART_ARC
(8,20),-1.12796 # DEPENDENCYPART_ARC
(8,21),-1.14114 # DEPENDENCYPART_ARC
(9,6),0.0473555 # DEPENDENCYPART_ARC
(9,7),-2.23845 # DEPENDENCYPART_ARC
(9,11),-1.83557 # DEPENDENCYPART_ARC
(9,12),-3.05526 # DEPENDENCYPART_ARC
(9,13),-2.05605 # DEPENDENCYPART_ARC
(9,20),-2.13501 # DEPENDENCYPART_ARC
(10,1),-0.956088 # DEPENDENCYPART_ARC
(10,2),-0.130698 # DEPENDENCYPART_ARC
(10,4),-0.299133 # DEPENDENCYPART_ARC
(10,5),-1.15034 # DEPENDENCYPART_ARC
(10,7),0.34772 # DEPENDENCYPART_ARC
(10,8),-0.405162 # DEPENDENCYPART_ARC
(10,9),-0.227865 # DEPENDENCYPART_ARC
(10,11),-0.007585 # DEPENDENCYPART_ARC
(10,12),-0.852848 # DEPENDENCYPART_ARC
(10,13),-1.17202 # DEPENDENCYPART_ARC
(10,14),-1.04194 # DEPENDENCYPART_ARC
(10,15),-0.355974 # DEPENDENCYPART_ARC
(11,1),-0.543564 # DEPENDENCYPART_ARC
(11,2),-0.611723 # DEPENDENCYPART_ARC
(11,3),-1.42702 # DEPENDENCYPART_ARC
(11,4),-0.212174 # DEPENDENCYPART_ARC
(11,5),-0.918949 # DEPENDENCYPART_ARC
(11,7),-0.79399 # DEPENDENCYPART_ARC
(11,8),-0.621595 # DEPENDENCYPART_ARC
(11,9),0.463706 # DEPENDENCYPART_ARC
(11,10),-0.767012 # DEPENDENCYPART_ARC
(11,12),1.89659 # DEPENDENCYPART_ARC
(11,13),-1.06276 # DEPENDENCYPART_ARC
(11,14),-1.56328 # DEPENDENCYPART_ARC
(11,15),0.0172784 # DEPENDENCYPART_ARC
(11,16),-0.44335 # DEPENDENCYPART_ARC
(11,18),0.625287 # DEPENDENCYPART_ARC
(11,19),-2.09239 # DEPENDENCYPART_ARC
(11,20),-3.62762 # DEPENDENCYPART_ARC
(11,21),-0.747074 # DEPENDENCYPART_ARC
(12,6),-4.33685 # DEPENDENCYPART_ARC
(12,10),-0.806986 # DEPENDENCYPART_ARC
(12,13),-0.811475 # DEPENDENCYPART_ARC
(12,14),3.79561 # DEPENDENCYPART_ARC
(12,15),-0.0340862 # DEPENDENCYPART_ARC
(12,16),0.49054 # DEPENDENCYPART_ARC
(12,18),0.147251 # DEPENDENCYPART_ARC
(12,19),-0.855659 # DEPENDENCYPART_ARC
(12,20),-1.04171 # DEPENDENCYPART_ARC
(12,21),-1.05446 # DEPENDENCYPART_ARC
(13,10),-0.986548 # DEPENDENCYPART_ARC
(13,12),-2.82135 # DEPENDENCYPART_ARC
(13,14),0.848247 # DEPENDENCYPART_ARC
(13,16),-1.62216 # DEPENDENCYPART_ARC
(14,6),-1.80799 # DEPENDENCYPART_ARC
(14,9),-4.29413 # DEPENDENCYPART_ARC
(14,12),-4.2174 # DEPENDENCYPART_ARC
(14,13),4.95486 # DEPENDENCYPART_ARC
(14,15),-0.455567 # DEPENDENCYPART_ARC
(14,16),-1.60086 # DEPENDENCYPART_ARC
(14,18),-0.248695 # DEPENDENCYPART_ARC
(14,19),-4.00389 # DEPENDENCYPART_ARC
(14,20),0.440594 # DEPENDENCYPART_ARC
(15,1),-1.33969 # DEPENDENCYPART_ARC
(15,2),-1.22018 # DEPENDENCYPART_ARC
(15,4),-1.38914 # DEPENDENCYPART_ARC
(15,5),-1.34896 # DEPENDENCYPART_ARC
(15,7),-0.767219 # DEPENDENCYPART_ARC
(15,8),-0.7736 # DEPENDENCYPART_ARC
(15,9),-0.785469 # DEPENDENCYPART_ARC
(15,10),-0.223026 # DEPENDENCYPART_ARC
(15,11),0.27123 # DEPENDENCYPART_ARC
(15,12),-0.235899 # DEPENDENCYPART_ARC
(15,13),-0.379541 # DEPENDENCYPART_ARC
(15,14),-0.709777 # DEPENDENCYPART_ARC
(15,16),-0.062684 # DEPENDENCYPART_ARC
(15,18),-0.337999 # DEPENDENCYPART_ARC
(15,19),-0.749455 # DEPENDENCYPART_ARC
(15,20),-0.176104 # DEPENDENCYPART_ARC
(15,21),-0.342878 # DEPENDENCYPART_ARC
(16,14),-3.24383 # DEPENDENCYPART_ARC
(16,15),-0.298205 # DEPENDENCYPART_ARC
(16,17),2.63308 # DEPENDENCYPART_ARC
(16,18),-0.026772 # DEPENDENCYPART_ARC
(16,19),-0.413965 # DEPENDENCYPART_ARC
(16,21),-1.13302 # DEPENDENCYPART_ARC
(18,1),-1.54941 # DEPENDENCYPART_ARC
(18,2),-0.374973 # DEPENDENCYPART_ARC
(18,4),-1.22933 # DEPENDENCYPART_ARC
(18,7),-0.447141 # DEPENDENCYPART_ARC
(18,8),-0.570873 # DEPENDENCYPART_ARC
(18,9),-0.285548 # DEPENDENCYPART_ARC
(18,10),-0.347823 # DEPENDENCYPART_ARC
(18,11),-0.130431 # DEPENDENCYPART_ARC
(18,12),-0.639352 # DEPENDENCYPART_ARC
(18,13),-0.511576 # DEPENDENCYPART_ARC
(18,14),-0.928101 # DEPENDENCYPART_ARC
(18,15),1.14887 # DEPENDENCYPART_ARC
(18,16),-0.932821 # DEPENDENCYPART_ARC
(18,19),0.411477 # DEPENDENCYPART_ARC
(18,20),1.15212 # DEPENDENCYPART_ARC
(18,21),0.722263 # DEPENDENCYPART_ARC
(19,16),-1.26364 # DEPENDENCYPART_ARC
(19,18),0.189595 # DEPENDENCYPART_ARC
(19,21),-1.07966 # DEPENDENCYPART_ARC
(20,1),-0.54248 # DEPENDENCYPART_ARC
(20,2),-1.56697 # DEPENDENCYPART_ARC
(20,4),1.2537 # DEPENDENCYPART_ARC
(20,5),-0.93014 # DEPENDENCYPART_ARC
(20,7),-0.350922 # DEPENDENCYPART_ARC
(20,8),-0.0891409 # DEPENDENCYPART_ARC
(20,9),-1.24242 # DEPENDENCYPART_ARC
(20,10),-0.80316 # DEPENDENCYPART_ARC
(20,11),-2.04077 # DEPENDENCYPART_ARC
(20,12),0.375557 # DEPENDENCYPART_ARC
(20,13),-3.9773 # DEPENDENCYPART_ARC
(20,14),-2.72097 # DEPENDENCYPART_ARC
(20,15),1.26997 # DEPENDENCYPART_ARC
(20,16),2.1362 # DEPENDENCYPART_ARC
(20,18),1.47054 # DEPENDENCYPART_ARC
(20,19),3.81948 # DEPENDENCYPART_ARC
(20,21),0.112418 # DEPENDENCYPART_ARC
(21,2),-1.7608 # DEPENDENCYPART_ARC
(21,11),-1.21417 # DEPENDENCYPART_ARC
(21,18),-1.034 # DEPENDENCYPART_ARC
(21,19),-1.3877 # DEPENDENCYPART_ARC
(21,20),-1.86848 # DEPENDENCYPART_ARC
