# _root_ Z ruské strany jde o suroviny , jako je plyn a ropa , z české o různé zboží .
#goldHeads=4,3,1,13,4,5,8,6,8,11,9,11,0,13,14,13,18,16,0,
#predictedHeads=4,3,1,0,4,5,8,6,8,11,9,11,9,13,14,13,18,16,0,
(0,1),-1.10815 # DEPENDENCYPART_ARC
(0,3),-1.99202 # DEPENDENCYPART_ARC
(0,4),0.0213594 # DEPENDENCYPART_ARC
(0,5),-1.92309 # DEPENDENCYPART_ARC
(0,6),-1.89392 # DEPENDENCYPART_ARC
(0,7),-0.364949 # DEPENDENCYPART_ARC
(0,8),-1.00414 # DEPENDENCYPART_ARC
(0,9),-1.06561 # DEPENDENCYPART_ARC
(0,11),-1.86959 # DEPENDENCYPART_ARC
(0,13),-0.74714 # DEPENDENCYPART_ARC
(0,19),4.08097 # DEPENDENCYPART_ARC
(1,2),1.0931 # DEPENDENCYPART_ARC
(1,3),4.37783 # DEPENDENCYPART_ARC
(1,4),-0.946319 # DEPENDENCYPART_ARC
(1,6),-2.99374 # DEPENDENCYPART_ARC
(1,7),-0.731061 # DEPENDENCYPART_ARC
(1,8),-2.71744 # DEPENDENCYPART_ARC
(1,11),-1.37477 # DEPENDENCYPART_ARC
(2,1),-0.815311 # DEPENDENCYPART_ARC
(2,4),-2.72878 # DEPENDENCYPART_ARC
(2,5),-1.79922 # DEPENDENCYPART_ARC
(3,1),0.269575 # DEPENDENCYPART_ARC
(3,2),5.5606 # DEPENDENCYPART_ARC
(3,4),-1.91532 # DEPENDENCYPART_ARC
(3,5),-1.32617 # DEPENDENCYPART_ARC
(3,6),-5.39441 # DEPENDENCYPART_ARC
(3,7),-1.00504 # DEPENDENCYPART_ARC
(3,9),-4.37785 # DEPENDENCYPART_ARC
(4,1),1.98923 # DEPENDENCYPART_ARC
(4,2),-2.41058 # DEPENDENCYPART_ARC
(4,3),-0.102688 # DEPENDENCYPART_ARC
(4,5),2.59097 # DEPENDENCYPART_ARC
(4,6),-0.145726 # DEPENDENCYPART_ARC
(4,7),0.230233 # DEPENDENCYPART_ARC
(4,8),0.148053 # DEPENDENCYPART_ARC
(4,9),-2.3488 # DEPENDENCYPART_ARC
(4,10),-2.01341 # DEPENDENCYPART_ARC
(4,11),-0.797628 # DEPENDENCYPART_ARC
(4,12),-3.17714 # DEPENDENCYPART_ARC
(4,13),0.30911 # DEPENDENCYPART_ARC
(4,16),-2.12035 # DEPENDENCYPART_ARC
(5,6),3.24169 # DEPENDENCYPART_ARC
(5,7),-0.166456 # DEPENDENCYPART_ARC
(5,8),-1.47646 # DEPENDENCYPART_ARC
(5,9),-0.907451 # DEPENDENCYPART_ARC
(5,11),0.37567 # DEPENDENCYPART_ARC
(6,1),-0.82845 # DEPENDENCYPART_ARC
(6,2),-2.33473 # DEPENDENCYPART_ARC
(6,4),-1.35718 # DEPENDENCYPART_ARC
(6,5),-0.330245 # DEPENDENCYPART_ARC
(6,7),-0.392695 # DEPENDENCYPART_ARC
(6,8),0.298491 # DEPENDENCYPART_ARC
(6,9),-1.9466 # DEPENDENCYPART_ARC
(6,10),-2.67823 # DEPENDENCYPART_ARC
(6,11),-0.723221 # DEPENDENCYPART_ARC
(6,15),-4.36321 # DEPENDENCYPART_ARC
(7,1),-1.03916 # DEPENDENCYPART_ARC
(7,3),-0.921008 # DEPENDENCYPART_ARC
(7,4),0.0272067 # DEPENDENCYPART_ARC
(7,5),-0.134224 # DEPENDENCYPART_ARC
(7,6),0.351333 # DEPENDENCYPART_ARC
(7,8),-0.119137 # DEPENDENCYPART_ARC
(7,9),-0.131918 # DEPENDENCYPART_ARC
(7,10),-0.902215 # DEPENDENCYPART_ARC
(7,11),-0.252205 # DEPENDENCYPART_ARC
(7,12),-1.58781 # DEPENDENCYPART_ARC
(7,13),-0.473284 # DEPENDENCYPART_ARC
(8,3),-1.40326 # DEPENDENCYPART_ARC
(8,4),-0.45148 # DEPENDENCYPART_ARC
(8,5),-1.25771 # DEPENDENCYPART_ARC
(8,6),-1.79129 # DEPENDENCYPART_ARC
(8,7),1.21716 # DEPENDENCYPART_ARC
(8,9),1.59246 # DEPENDENCYPART_ARC
(8,10),-0.151723 # DEPENDENCYPART_ARC
(8,11),-0.173703 # DEPENDENCYPART_ARC
(8,12),-0.769877 # DEPENDENCYPART_ARC
(8,13),0.093841 # DEPENDENCYPART_ARC
(8,14),-0.86727 # DEPENDENCYPART_ARC
(8,16),-1.43714 # DEPENDENCYPART_ARC
(8,19),-0.81681 # DEPENDENCYPART_ARC
(9,1),-0.121134 # DEPENDENCYPART_ARC
(9,3),-2.19185 # DEPENDENCYPART_ARC
(9,4),-1.57497 # DEPENDENCYPART_ARC
(9,5),-1.39749 # DEPENDENCYPART_ARC
(9,6),-0.888404 # DEPENDENCYPART_ARC
(9,7),0.611065 # DEPENDENCYPART_ARC
(9,8),0.437243 # DEPENDENCYPART_ARC
(9,10),3.45939 # DEPENDENCYPART_ARC
(9,11),1.42299 # DEPENDENCYPART_ARC
(9,12),1.30232 # DEPENDENCYPART_ARC
(9,13),0.42553 # DEPENDENCYPART_ARC
(9,14),-0.29216 # DEPENDENCYPART_ARC
(9,15),-2.88736 # DEPENDENCYPART_ARC
(9,16),-1.1638 # DEPENDENCYPART_ARC
(9,17),-2.07664 # DEPENDENCYPART_ARC
(9,18),-0.194783 # DEPENDENCYPART_ARC
(10,8),-0.750197 # DEPENDENCYPART_ARC
(10,9),-2.72672 # DEPENDENCYPART_ARC
(10,12),-0.943986 # DEPENDENCYPART_ARC
(10,14),-1.31111 # DEPENDENCYPART_ARC
(10,15),-4.30917 # DEPENDENCYPART_ARC
(10,16),-1.54074 # DEPENDENCYPART_ARC
(11,1),-1.89658 # DEPENDENCYPART_ARC
(11,2),-0.592387 # DEPENDENCYPART_ARC
(11,3),-1.36994 # DEPENDENCYPART_ARC
(11,4),-0.21741 # DEPENDENCYPART_ARC
(11,5),-0.974059 # DEPENDENCYPART_ARC
(11,6),1.97101 # DEPENDENCYPART_ARC
(11,7),0.238774 # DEPENDENCYPART_ARC
(11,8),-0.099266 # DEPENDENCYPART_ARC
(11,9),0.921061 # DEPENDENCYPART_ARC
(11,10),4.86053 # DEPENDENCYPART_ARC
(11,12),3.48506 # DEPENDENCYPART_ARC
(11,13),-0.0251412 # DEPENDENCYPART_ARC
(11,14),-0.0303881 # DEPENDENCYPART_ARC
(11,15),0.00836324 # DEPENDENCYPART_ARC
(11,16),-0.204802 # DEPENDENCYPART_ARC
(11,17),-1.29851 # DEPENDENCYPART_ARC
(11,18),-0.000406796 # DEPENDENCYPART_ARC
(11,19),-0.496799 # DEPENDENCYPART_ARC
(12,10),-2.49928 # DEPENDENCYPART_ARC
(12,13),-0.759984 # DEPENDENCYPART_ARC
(12,14),-0.213624 # DEPENDENCYPART_ARC
(12,15),-1.09505 # DEPENDENCYPART_ARC
(12,16),-0.552943 # DEPENDENCYPART_ARC
(12,17),-3.61142 # DEPENDENCYPART_ARC
(12,18),-4.38856 # DEPENDENCYPART_ARC
(13,1),-0.882233 # DEPENDENCYPART_ARC
(13,4),0.400149 # DEPENDENCYPART_ARC
(13,5),0.508453 # DEPENDENCYPART_ARC
(13,6),0.292465 # DEPENDENCYPART_ARC
(13,7),0.604647 # DEPENDENCYPART_ARC
(13,8),0.249721 # DEPENDENCYPART_ARC
(13,9),0.913626 # DEPENDENCYPART_ARC
(13,10),1.01163 # DEPENDENCYPART_ARC
(13,11),0.325216 # DEPENDENCYPART_ARC
(13,12),0.316628 # DEPENDENCYPART_ARC
(13,14),0.807767 # DEPENDENCYPART_ARC
(13,15),0.201401 # DEPENDENCYPART_ARC
(13,16),0.707336 # DEPENDENCYPART_ARC
(13,17),-0.112669 # DEPENDENCYPART_ARC
(13,18),0.674189 # DEPENDENCYPART_ARC
(13,19),0.403995 # DEPENDENCYPART_ARC
(14,12),-2.48623 # DEPENDENCYPART_ARC
(14,13),0.467971 # DEPENDENCYPART_ARC
(14,15),2.37287 # DEPENDENCYPART_ARC
(14,17),-0.289441 # DEPENDENCYPART_ARC
(14,18),-0.572391 # DEPENDENCYPART_ARC
(14,19),0.304476 # DEPENDENCYPART_ARC
(15,11),-1.32261 # DEPENDENCYPART_ARC
(15,12),-3.7239 # DEPENDENCYPART_ARC
(15,13),-0.158545 # DEPENDENCYPART_ARC
(15,14),-0.536889 # DEPENDENCYPART_ARC
(15,16),0.363024 # DEPENDENCYPART_ARC
(15,17),-2.8881 # DEPENDENCYPART_ARC
(15,18),-2.41858 # DEPENDENCYPART_ARC
(15,19),-0.379781 # DEPENDENCYPART_ARC
(16,13),-0.660589 # DEPENDENCYPART_ARC
(16,14),-1.06506 # DEPENDENCYPART_ARC
(16,15),-1.17816 # DEPENDENCYPART_ARC
(16,17),1.39898 # DEPENDENCYPART_ARC
(16,18),3.45591 # DEPENDENCYPART_ARC
(16,19),-0.0584844 # DEPENDENCYPART_ARC
(17,14),-1.26065 # DEPENDENCYPART_ARC
(17,15),-3.22883 # DEPENDENCYPART_ARC
(17,16),-0.366712 # DEPENDENCYPART_ARC
(17,18),-0.860955 # DEPENDENCYPART_ARC
(17,19),-0.40317 # DEPENDENCYPART_ARC
(18,1),-2.0867 # DEPENDENCYPART_ARC
(18,12),-6.41919 # DEPENDENCYPART_ARC
(18,14),-0.256871 # DEPENDENCYPART_ARC
(18,15),-1.72491 # DEPENDENCYPART_ARC
(18,16),-0.528836 # DEPENDENCYPART_ARC
(18,17),5.03785 # DEPENDENCYPART_ARC
(18,19),0.0461255 # DEPENDENCYPART_ARC
