# _root_ Ženy , které byly donuceny poskytovat sexuální služby japonským vojákům za války , budou odškodněny formou zřízení center pro vzdělávání žen v jednotlivých zemích .
#goldHeads=15,5,5,5,1,5,8,6,10,6,6,11,5,15,0,15,16,17,18,19,20,18,24,22,0,
#predictedHeads=0,5,5,5,1,5,8,6,10,6,10,11,5,15,8,15,16,17,18,19,20,20,24,22,0,
(0,1),0.0132295 # DEPENDENCYPART_ARC
(0,2),0.0306826 # DEPENDENCYPART_ARC
(0,3),-1.35698 # DEPENDENCYPART_ARC
(0,4),0.233995 # DEPENDENCYPART_ARC
(0,5),-0.144322 # DEPENDENCYPART_ARC
(0,6),-0.912988 # DEPENDENCYPART_ARC
(0,13),-0.555372 # DEPENDENCYPART_ARC
(0,14),0.20618 # DEPENDENCYPART_ARC
(0,15),-1.33207 # DEPENDENCYPART_ARC
(0,25),3.88979 # DEPENDENCYPART_ARC
(1,2),0.382723 # DEPENDENCYPART_ARC
(1,3),0.375056 # DEPENDENCYPART_ARC
(1,4),1.81292 # DEPENDENCYPART_ARC
(1,5),1.56923 # DEPENDENCYPART_ARC
(1,6),0.167566 # DEPENDENCYPART_ARC
(1,7),-2.16956 # DEPENDENCYPART_ARC
(1,9),-1.8757 # DEPENDENCYPART_ARC
(1,15),-2.80819 # DEPENDENCYPART_ARC
(2,1),-0.660116 # DEPENDENCYPART_ARC
(2,4),-0.562291 # DEPENDENCYPART_ARC
(2,5),-1.04276 # DEPENDENCYPART_ARC
(2,6),-1.5461 # DEPENDENCYPART_ARC
(2,13),-1.57281 # DEPENDENCYPART_ARC
(2,15),-3.48858 # DEPENDENCYPART_ARC
(3,2),-0.184379 # DEPENDENCYPART_ARC
(3,4),-0.54753 # DEPENDENCYPART_ARC
(3,5),-1.15189 # DEPENDENCYPART_ARC
(3,7),-1.4848 # DEPENDENCYPART_ARC
(4,1),-0.497713 # DEPENDENCYPART_ARC
(4,2),0.845852 # DEPENDENCYPART_ARC
(4,3),0.916269 # DEPENDENCYPART_ARC
(4,5),1.71052 # DEPENDENCYPART_ARC
(4,6),0.90146 # DEPENDENCYPART_ARC
(4,7),-4.12813 # DEPENDENCYPART_ARC
(4,8),0.00647308 # DEPENDENCYPART_ARC
(4,9),-2.90461 # DEPENDENCYPART_ARC
(4,10),-1.47081 # DEPENDENCYPART_ARC
(4,11),-0.0497838 # DEPENDENCYPART_ARC
(4,13),0.733373 # DEPENDENCYPART_ARC
(4,15),-2.83692 # DEPENDENCYPART_ARC
(5,1),1.09262 # DEPENDENCYPART_ARC
(5,2),1.90346 # DEPENDENCYPART_ARC
(5,3),2.26659 # DEPENDENCYPART_ARC
(5,4),4.43044 # DEPENDENCYPART_ARC
(5,6),3.31191 # DEPENDENCYPART_ARC
(5,7),-3.48375 # DEPENDENCYPART_ARC
(5,8),0.0905449 # DEPENDENCYPART_ARC
(5,10),0.160635 # DEPENDENCYPART_ARC
(5,11),0.590916 # DEPENDENCYPART_ARC
(5,12),-3.13713 # DEPENDENCYPART_ARC
(5,13),0.771583 # DEPENDENCYPART_ARC
