# _root_ Stačí jen , aby se jedné z nich pokusil násilím zmocnit oplzlý klient , a autoritativní šéfka kurtizán jej bez mrknutí oka odstřelí .
#goldHeads=15,1,4,1,9,11,6,7,4,11,9,13,9,15,0,17,23,17,23,23,20,21,15,0,
#predictedHeads=0,9,4,1,9,11,6,7,4,9,9,13,15,15,11,17,23,17,23,23,20,21,15,0,
(0,1),-0.116745 # DEPENDENCYPART_ARC
(0,2),-1.20949 # DEPENDENCYPART_ARC
(0,3),-0.427821 # DEPENDENCYPART_ARC
(0,4),-1.84724 # DEPENDENCYPART_ARC
(0,9),-1.53536 # DEPENDENCYPART_ARC
(0,11),-2.50282 # DEPENDENCYPART_ARC
(0,14),-1.24161 # DEPENDENCYPART_ARC
(0,15),-1.3756 # DEPENDENCYPART_ARC
(0,23),-3.21471 # DEPENDENCYPART_ARC
(0,24),3.84585 # DEPENDENCYPART_ARC
(1,2),0.045555 # DEPENDENCYPART_ARC
(1,3),0.166283 # DEPENDENCYPART_ARC
(1,4),2.06695 # DEPENDENCYPART_ARC
(1,6),-1.37378 # DEPENDENCYPART_ARC
(1,7),-0.725381 # DEPENDENCYPART_ARC
(1,9),-2.38202 # DEPENDENCYPART_ARC
(1,10),-2.45725 # DEPENDENCYPART_ARC
(1,11),-0.271612 # DEPENDENCYPART_ARC
(1,14),-0.465163 # DEPENDENCYPART_ARC
(1,15),-0.398649 # DEPENDENCYPART_ARC
(2,1),-0.499915 # DEPENDENCYPART_ARC
(2,3),-0.0357169 # DEPENDENCYPART_ARC
(2,4),-0.834845 # DEPENDENCYPART_ARC
(3,1),-0.573144 # DEPENDENCYPART_ARC
(3,2),-0.650712 # DEPENDENCYPART_ARC
(3,4),0.00182851 # DEPENDENCYPART_ARC
(3,6),-0.767021 # DEPENDENCYPART_ARC
(3,9),-0.180975 # DEPENDENCYPART_ARC
(3,11),-0.430288 # DEPENDENCYPART_ARC
(4,1),-0.514169 # DEPENDENCYPART_ARC
(4,2),-0.270816 # DEPENDENCYPART_ARC
(4,3),2.16588 # DEPENDENCYPART_ARC
(4,6),-0.0727495 # DEPENDENCYPART_ARC
(4,7),-0.598672 # DEPENDENCYPART_ARC
(4,9),1.5886 # DEPENDENCYPART_ARC
(4,11),0.789125 # DEPENDENCYPART_ARC
(4,14),0.506259 # DEPENDENCYPART_ARC
(4,15),-0.203474 # DEPENDENCYPART_ARC
(4,23),-0.240817 # DEPENDENCYPART_ARC
(6,2),-0.0136747 # DEPENDENCYPART_ARC
(6,3),-0.688807 # DEPENDENCYPART_ARC
(6,4),0.14726 # DEPENDENCYPART_ARC
(6,7),2.33245 # DEPENDENCYPART_ARC
(6,9),-1.02776 # DEPENDENCYPART_ARC
(7,3),-0.47665 # DEPENDENCYPART_ARC
(7,8),2.262 # DEPENDENCYPART_ARC
(7,9),-2.01332 # DEPENDENCYPART_ARC
(7,10),-0.471865 # DEPENDENCYPART_ARC
(7,12),-2.64383 # DEPENDENCYPART_ARC
(7,13),-5.00743 # DEPENDENCYPART_ARC
(8,10),-2.39632 # DEPENDENCYPART_ARC
(9,1),-1.1081 # DEPENDENCYPART_ARC
(9,2),0.185674 # DEPENDENCYPART_ARC
(9,3),0.81623 # DEPENDENCYPART_ARC
(9,4),-0.030072 # DEPENDENCYPART_ARC
(9,5),3.08099 # DEPENDENCYPART_ARC
(9,6),0.103895 # DEPENDENCYPART_ARC
(9,7),1.20085 # DEPENDENCYPART_ARC
(9,10),2.81763 # DEPENDENCYPART_ARC
(9,11),2.28938 # DEPENDENCYPART_ARC
(9,12),-0.973582 # DEPENDENCYPART_ARC
(9,13),0.183345 # DEPENDENCYPART_ARC
(9,14),0.201331 # DEPENDENCYPART_ARC
(9,15),0.394072 # DEPENDENCYPART_ARC
(9,16),-3.74864 # DEPENDENCYPART_ARC
(9,17),-1.24199 # DEPENDENCYPART_ARC
(9,18),-3.39662 # DEPENDENCYPART_ARC
(9,20),-0.595955 # DEPENDENCYPART_ARC
(9,21),-3.85009 # DEPENDENCYPART_ARC
(9,22),-3.49657 # DEPENDENCYPART_ARC
(9,23),-2.21627 # DEPENDENCYPART_ARC
(10,5),-3.02518 # DEPENDENCYPART_ARC
(10,6),-1.55428 # DEPENDENCYPART_ARC
(10,7),0.0927141 # DEPENDENCYPART_ARC
(10,11),1.61725 # DEPENDENCYPART_ARC
(10,12),-1.16253 # DEPENDENCYPART_ARC
(10,13),-1.5688 # DEPENDENCYPART_ARC
(10,15),-0.125978 # DEPENDENCYPART_ARC
(10,16),-3.75343 # DEPENDENCYPART_ARC
(10,17),-2.38325 # DEPENDENCYPART_ARC
(10,23),-3.23646 # DEPENDENCYPART_ARC
(11,1),-3.32373 # DEPENDENCYPART_ARC
(11,2),-0.95338 # DEPENDENCYPART_ARC
(11,3),-0.573663 # DEPENDENCYPART_ARC
(11,4),-0.820951 # DEPENDENCYPART_ARC
(11,5),2.19462 # DEPENDENCYPART_ARC
(11,6),0.555719 # DEPENDENCYPART_ARC
(11,7),-0.0329597 # DEPENDENCYPART_ARC
(11,9),-0.712797 # DEPENDENCYPART_ARC
(11,10),2.11206 # DEPENDENCYPART_ARC
(11,12),0.503922 # DEPENDENCYPART_ARC
(11,13),0.711869 # DEPENDENCYPART_ARC
(11,14),-0.0453613 # DEPENDENCYPART_ARC
(11,15),0.419687 # DEPENDENCYPART_ARC
(11,16),-2.39562 # DEPENDENCYPART_ARC
(11,17),-1.22454 # DEPENDENCYPART_ARC
(11,18),-1.17446 # DEPENDENCYPART_ARC
(11,20),0.0927297 # DEPENDENCYPART_ARC
(11,21),-2.87854 # DEPENDENCYPART_ARC
(11,22),-2.1372 # DEPENDENCYPART_ARC
(11,23),-1.75638 # DEPENDENCYPART_ARC
(12,7),-0.731877 # DEPENDENCYPART_ARC
(12,10),-1.55258 # DEPENDENCYPART_ARC
(12,13),-0.555498 # DEPENDENCYPART_ARC
(13,2),-1.2417 # DEPENDENCYPART_ARC
(13,5),-3.60238 # DEPENDENCYPART_ARC
(13,6),-2.42009 # DEPENDENCYPART_ARC
(13,7),-0.367938 # DEPENDENCYPART_ARC
(13,10),-4.01769 # DEPENDENCYPART_ARC
(13,11),-0.266888 # DEPENDENCYPART_ARC
(13,12),5.14093 # DEPENDENCYPART_ARC
(13,14),-0.602806 # DEPENDENCYPART_ARC
(13,15),-0.00524517 # DEPENDENCYPART_ARC
(13,16),-2.54475 # DEPENDENCYPART_ARC
(13,17),-1.46888 # DEPENDENCYPART_ARC
(13,18),-0.394144 # DEPENDENCYPART_ARC
(13,23),-0.854058 # DEPENDENCYPART_ARC
(14,1),-1.24717 # DEPENDENCYPART_ARC
(14,4),-0.147445 # DEPENDENCYPART_ARC
(14,6),-1.26775 # DEPENDENCYPART_ARC
(14,9),-0.598308 # DEPENDENCYPART_ARC
(14,10),-0.984411 # DEPENDENCYPART_ARC
(14,11),-0.214561 # DEPENDENCYPART_ARC
(14,12),-0.550894 # DEPENDENCYPART_ARC
(14,13),-0.707411 # DEPENDENCYPART_ARC
(14,16),-1.64598 # DEPENDENCYPART_ARC
(14,19),-2.43765 # DEPENDENCYPART_ARC
(14,23),-1.60531 # DEPENDENCYPART_ARC
(15,1),0.00331836 # DEPENDENCYPART_ARC
(15,2),-0.835113 # DEPENDENCYPART_ARC
(15,3),0.148909 # DEPENDENCYPART_ARC
(15,4),0.525474 # DEPENDENCYPART_ARC
(15,5),-0.557055 # DEPENDENCYPART_ARC
(15,7),-0.835586 # DEPENDENCYPART_ARC
(15,9),-0.100406 # DEPENDENCYPART_ARC
(15,10),1.39705 # DEPENDENCYPART_ARC
(15,11),1.18428 # DEPENDENCYPART_ARC
(15,12),1.49928 # DEPENDENCYPART_ARC
(15,13),1.76505 # DEPENDENCYPART_ARC
(15,14),1.79916 # DEPENDENCYPART_ARC
(15,16),2.50393 # DEPENDENCYPART_ARC
(15,17),1.70066 # DEPENDENCYPART_ARC
(15,18),0.39122 # DEPENDENCYPART_ARC
(15,20),-0.656125 # DEPENDENCYPART_ARC
(15,21),-0.699382 # DEPENDENCYPART_ARC
(15,22),-1.30424 # DEPENDENCYPART_ARC
(15,23),0.866512 # DEPENDENCYPART_ARC
(15,24),-0.55627 # DEPENDENCYPART_ARC
(16,17),-0.676103 # DEPENDENCYPART_ARC
(16,18),-1.06741 # DEPENDENCYPART_ARC
(16,20),-0.898547 # DEPENDENCYPART_ARC
(17,6),-1.23949 # DEPENDENCYPART_ARC
(17,12),0.544068 # DEPENDENCYPART_ARC
(17,13),-1.8157 # DEPENDENCYPART_ARC
(17,14),0.173189 # DEPENDENCYPART_ARC
(17,15),0.761679 # DEPENDENCYPART_ARC
(17,16),4.50701 # DEPENDENCYPART_ARC
(17,18),2.89496 # DEPENDENCYPART_ARC
(17,19),-2.69609 # DEPENDENCYPART_ARC
(17,20),-0.810024 # DEPENDENCYPART_ARC
(17,21),-0.509925 # DEPENDENCYPART_ARC
(17,22),0.606386 # DEPENDENCYPART_ARC
(17,23),-0.740837 # DEPENDENCYPART_ARC
(18,12),-4.02391 # DEPENDENCYPART_ARC
(18,13),-3.93528 # DEPENDENCYPART_ARC
(18,15),0.404263 # DEPENDENCYPART_ARC
(18,16),-0.474669 # DEPENDENCYPART_ARC
(18,17),-0.671646 # DEPENDENCYPART_ARC
(18,19),-2.30739 # DEPENDENCYPART_ARC
(18,20),-0.0529888 # DEPENDENCYPART_ARC
(18,21),0.316937 # DEPENDENCYPART_ARC
(18,22),1.19483 # DEPENDENCYPART_ARC
(18,23),-1.49227 # DEPENDENCYPART_ARC
(19,17),-1.81241 # DEPENDENCYPART_ARC
(19,18),-0.838863 # DEPENDENCYPART_ARC
(19,20),-0.00934834 # DEPENDENCYPART_ARC
(19,21),0.465788 # DEPENDENCYPART_ARC
(19,22),0.214548 # DEPENDENCYPART_ARC
(20,14),0.304162 # DEPENDENCYPART_ARC
(20,18),-2.43868 # DEPENDENCYPART_ARC
(20,21),3.41017 # DEPENDENCYPART_ARC
(20,22),2.5738 # DEPENDENCYPART_ARC
(21,19),-1.66475 # DEPENDENCYPART_ARC
(21,20),0.836029 # DEPENDENCYPART_ARC
(21,22),4.25123 # DEPENDENCYPART_ARC
(21,24),-1.08428 # DEPENDENCYPART_ARC
(22,17),-4.50987 # DEPENDENCYPART_ARC
(22,18),-4.06409 # DEPENDENCYPART_ARC
(22,19),-2.28117 # DEPENDENCYPART_ARC
(22,20),-0.396079 # DEPENDENCYPART_ARC
(22,21),1.73283 # DEPENDENCYPART_ARC
(22,24),-0.721623 # DEPENDENCYPART_ARC
(23,1),-3.13325 # DEPENDENCYPART_ARC
(23,2),-2.01032 # DEPENDENCYPART_ARC
(23,3),-0.738319 # DEPENDENCYPART_ARC
(23,4),-0.470304 # DEPENDENCYPART_ARC
(23,5),0.975895 # DEPENDENCYPART_ARC
(23,6),-1.43912 # DEPENDENCYPART_ARC
(23,7),-1.17901 # DEPENDENCYPART_ARC
(23,9),-1.23703 # DEPENDENCYPART_ARC
(23,10),1.14775 # DEPENDENCYPART_ARC
(23,11),-0.0505897 # DEPENDENCYPART_ARC
(23,12),-1.64852 # DEPENDENCYPART_ARC
(23,13),-0.526626 # DEPENDENCYPART_ARC
(23,14),0.358999 # DEPENDENCYPART_ARC
(23,15),0.103932 # DEPENDENCYPART_ARC
(23,16),-0.830967 # DEPENDENCYPART_ARC
(23,17),1.91819 # DEPENDENCYPART_ARC
(23,18),-0.562245 # DEPENDENCYPART_ARC
(23,19),3.18322 # DEPENDENCYPART_ARC
(23,20),2.54762 # DEPENDENCYPART_ARC
(23,21),-0.447291 # DEPENDENCYPART_ARC
(23,22),0.822012 # DEPENDENCYPART_ARC
(23,24),-0.152215 # DEPENDENCYPART_ARC
