# _root_ " Uniformovaná část bezpečnosti , to jest policie , je služba občanům .
#goldHeads=10,3,7,3,7,7,10,7,7,0,10,11,0,
#predictedHeads=10,3,7,3,7,7,0,7,7,0,10,10,0,
(0,1),-0.401349 # DEPENDENCYPART_ARC
(0,2),-0.71506 # DEPENDENCYPART_ARC
(0,3),-0.26011 # DEPENDENCYPART_ARC
(0,4),-1.18862 # DEPENDENCYPART_ARC
(0,5),-0.0193712 # DEPENDENCYPART_ARC
(0,6),-1.2326 # DEPENDENCYPART_ARC
(0,7),-0.175483 # DEPENDENCYPART_ARC
(0,8),-1.92943 # DEPENDENCYPART_ARC
(0,9),-0.58158 # DEPENDENCYPART_ARC
(0,10),0.501548 # DEPENDENCYPART_ARC
(0,11),-2.61331 # DEPENDENCYPART_ARC
(0,12),-2.55502 # DEPENDENCYPART_ARC
(0,13),2.49342 # DEPENDENCYPART_ARC
(1,2),-1.81759 # DEPENDENCYPART_ARC
(1,3),-3.18453 # DEPENDENCYPART_ARC
(1,4),-3.33166 # DEPENDENCYPART_ARC
(1,5),-2.86587 # DEPENDENCYPART_ARC
(1,7),-3.26325 # DEPENDENCYPART_ARC
(1,9),-2.72983 # DEPENDENCYPART_ARC
(1,10),-3.9275 # DEPENDENCYPART_ARC
(1,12),-5.40907 # DEPENDENCYPART_ARC
(2,1),-0.16668 # DEPENDENCYPART_ARC
(2,3),-0.336207 # DEPENDENCYPART_ARC
(2,4),-0.767972 # DEPENDENCYPART_ARC
(2,5),-0.0488967 # DEPENDENCYPART_ARC
(2,6),-1.91337 # DEPENDENCYPART_ARC
(2,7),-2.24548 # DEPENDENCYPART_ARC
(2,9),-0.287292 # DEPENDENCYPART_ARC
(2,10),-2.81735 # DEPENDENCYPART_ARC
(3,1),0.648793 # DEPENDENCYPART_ARC
(3,2),4.23454 # DEPENDENCYPART_ARC
(3,4),3.84262 # DEPENDENCYPART_ARC
(3,5),-0.0759209 # DEPENDENCYPART_ARC
(3,6),-0.597086 # DEPENDENCYPART_ARC
(3,7),0.0396896 # DEPENDENCYPART_ARC
(3,8),-1.64483 # DEPENDENCYPART_ARC
(3,9),-0.211763 # DEPENDENCYPART_ARC
(3,10),-1.60684 # DEPENDENCYPART_ARC
(3,11),-2.93858 # DEPENDENCYPART_ARC
(3,12),-3.24381 # DEPENDENCYPART_ARC
(4,1),0.178964 # DEPENDENCYPART_ARC
(4,2),0.633977 # DEPENDENCYPART_ARC
(4,3),-0.492392 # DEPENDENCYPART_ARC
(4,5),-1.04339 # DEPENDENCYPART_ARC
(4,6),-3.1811 # DEPENDENCYPART_ARC
(4,7),-0.710019 # DEPENDENCYPART_ARC
(4,8),-2.87616 # DEPENDENCYPART_ARC
(4,9),-0.639988 # DEPENDENCYPART_ARC
(4,10),-2.16069 # DEPENDENCYPART_ARC
(4,11),-4.218 # DEPENDENCYPART_ARC
(4,12),-4.73659 # DEPENDENCYPART_ARC
(5,1),0.247477 # DEPENDENCYPART_ARC
(5,2),-0.627735 # DEPENDENCYPART_ARC
(5,3),-0.652853 # DEPENDENCYPART_ARC
(5,4),-0.586986 # DEPENDENCYPART_ARC
(5,6),0.830389 # DEPENDENCYPART_ARC
(5,7),0.426319 # DEPENDENCYPART_ARC
(5,8),-0.875667 # DEPENDENCYPART_ARC
(5,9),-0.438611 # DEPENDENCYPART_ARC
(5,10),-0.885925 # DEPENDENCYPART_ARC
(5,11),-2.72912 # DEPENDENCYPART_ARC
(5,12),-2.29368 # DEPENDENCYPART_ARC
(5,13),-0.997698 # DEPENDENCYPART_ARC
(6,1),-0.860771 # DEPENDENCYPART_ARC
(6,2),-0.477212 # DEPENDENCYPART_ARC
(6,3),-0.320716 # DEPENDENCYPART_ARC
(6,4),-0.52452 # DEPENDENCYPART_ARC
(6,5),0.132864 # DEPENDENCYPART_ARC
(6,7),0.50799 # DEPENDENCYPART_ARC
(6,8),-0.463539 # DEPENDENCYPART_ARC
(6,9),-0.235671 # DEPENDENCYPART_ARC
(6,10),-1.48995 # DEPENDENCYPART_ARC
(6,11),-1.26941 # DEPENDENCYPART_ARC
(7,1),0.593616 # DEPENDENCYPART_ARC
(7,2),0.159985 # DEPENDENCYPART_ARC
(7,3),1.4924 # DEPENDENCYPART_ARC
(7,4),-2.91935 # DEPENDENCYPART_ARC
(7,5),2.40066 # DEPENDENCYPART_ARC
(7,6),3.93427 # DEPENDENCYPART_ARC
(7,8),3.14913 # DEPENDENCYPART_ARC
(7,9),1.44602 # DEPENDENCYPART_ARC
(7,10),-0.923497 # DEPENDENCYPART_ARC
(7,11),0.480985 # DEPENDENCYPART_ARC
(7,12),-1.32644 # DEPENDENCYPART_ARC
(7,13),-0.352827 # DEPENDENCYPART_ARC
(8,1),-1.21918 # DEPENDENCYPART_ARC
(8,2),0.300051 # DEPENDENCYPART_ARC
(8,5),-0.651459 # DEPENDENCYPART_ARC
(8,6),-0.22009 # DEPENDENCYPART_ARC
(8,7),-0.399555 # DEPENDENCYPART_ARC
(8,9),-1.3635 # DEPENDENCYPART_ARC
(8,10),-1.45541 # DEPENDENCYPART_ARC
(8,11),-2.09794 # DEPENDENCYPART_ARC
(8,12),-2.60247 # DEPENDENCYPART_ARC
(9,1),0.779474 # DEPENDENCYPART_ARC
(9,2),-1.02606 # DEPENDENCYPART_ARC
(9,3),-0.20769 # DEPENDENCYPART_ARC
(9,4),-0.519289 # DEPENDENCYPART_ARC
(9,5),0.0510052 # DEPENDENCYPART_ARC
(9,6),0.0141425 # DEPENDENCYPART_ARC
(9,7),0.253088 # DEPENDENCYPART_ARC
(9,8),-0.0703272 # DEPENDENCYPART_ARC
(9,10),-0.00542842 # DEPENDENCYPART_ARC
(9,11),-0.938602 # DEPENDENCYPART_ARC
(9,12),-0.721014 # DEPENDENCYPART_ARC
(9,13),-0.519963 # DEPENDENCYPART_ARC
(10,1),1.12305 # DEPENDENCYPART_ARC
(10,2),-1.09778 # DEPENDENCYPART_ARC
(10,3),1.14125 # DEPENDENCYPART_ARC
(10,4),-2.58002 # DEPENDENCYPART_ARC
(10,5),0.279832 # DEPENDENCYPART_ARC
(10,6),1.60157 # DEPENDENCYPART_ARC
(10,7),-0.851095 # DEPENDENCYPART_ARC
(10,8),0.8007 # DEPENDENCYPART_ARC
(10,9),-0.159785 # DEPENDENCYPART_ARC
(10,11),3.28554 # DEPENDENCYPART_ARC
(10,12),1.6322 # DEPENDENCYPART_ARC
(10,13),-0.00624447 # DEPENDENCYPART_ARC
(11,8),-1.34908 # DEPENDENCYPART_ARC
(11,12),1.09144 # DEPENDENCYPART_ARC
(11,13),-0.0943184 # DEPENDENCYPART_ARC
(12,3),-6.21329 # DEPENDENCYPART_ARC
(12,4),-6.57405 # DEPENDENCYPART_ARC
(12,8),-5.3993 # DEPENDENCYPART_ARC
(12,11),-2.12987 # DEPENDENCYPART_ARC
(12,13),-0.109586 # DEPENDENCYPART_ARC
