# _root_ Mají - li totiž mít nějaký smysl , je ho do nich třeba vnést z vnějšku , to jest z historikovy současnosti .
#goldHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,19,15,19,19,14,19,22,20,0,
#predictedHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,14,15,19,19,16,19,22,20,0,
(0,1),-0.0992407 # DEPENDENCYPART_ARC
(0,2),-0.678095 # DEPENDENCYPART_ARC
(0,3),-0.841643 # DEPENDENCYPART_ARC
(0,4),-1.12769 # DEPENDENCYPART_ARC
(0,5),-0.991162 # DEPENDENCYPART_ARC
(0,6),-1.65392 # DEPENDENCYPART_ARC
(0,7),-2.64068 # DEPENDENCYPART_ARC
(0,8),-0.588745 # DEPENDENCYPART_ARC
(0,9),-0.548452 # DEPENDENCYPART_ARC
(0,13),-2.52817 # DEPENDENCYPART_ARC
(0,14),-2.45624 # DEPENDENCYPART_ARC
(0,17),-1.18437 # DEPENDENCYPART_ARC
(0,19),-2.7349 # DEPENDENCYPART_ARC
(0,23),4.31681 # DEPENDENCYPART_ARC
(1,2),0.624793 # DEPENDENCYPART_ARC
(1,3),1.10413 # DEPENDENCYPART_ARC
(1,4),2.46789 # DEPENDENCYPART_ARC
(1,5),2.2584 # DEPENDENCYPART_ARC
(1,6),-0.68613 # DEPENDENCYPART_ARC
(1,7),1.4302 # DEPENDENCYPART_ARC
(1,8),0.543849 # DEPENDENCYPART_ARC
(1,9),-1.50514 # DEPENDENCYPART_ARC
(1,11),-0.0580696 # DEPENDENCYPART_ARC
(1,14),0.29292 # DEPENDENCYPART_ARC
(1,15),-1.12067 # DEPENDENCYPART_ARC
(1,17),-0.748704 # DEPENDENCYPART_ARC
(2,1),-0.276749 # DEPENDENCYPART_ARC
(2,3),0.00927295 # DEPENDENCYPART_ARC
(2,4),-0.529359 # DEPENDENCYPART_ARC
(2,5),0.0105496 # DEPENDENCYPART_ARC
(2,6),-0.974546 # DEPENDENCYPART_ARC
(2,7),-0.896355 # DEPENDENCYPART_ARC
(2,8),-0.225808 # DEPENDENCYPART_ARC
