# _root_ Nakonec zůstala 1 pracovnice , která pracuje více jak 8.5 hodiny denně , ale je také lépe placena .
#goldHeads=2,0,4,2,14,14,14,7,8,9,10,11,14,4,18,18,18,14,0,
#predictedHeads=2,14,4,2,7,7,4,7,7,7,10,7,14,0,14,15,18,15,0,
(0,1),-0.296948 # DEPENDENCYPART_ARC
(0,2),-0.00266185 # DEPENDENCYPART_ARC
(0,3),-0.839283 # DEPENDENCYPART_ARC
(0,4),-0.846008 # DEPENDENCYPART_ARC
(0,5),0.199217 # DEPENDENCYPART_ARC
(0,7),-0.693392 # DEPENDENCYPART_ARC
(0,13),-0.603376 # DEPENDENCYPART_ARC
(0,14),1.05967 # DEPENDENCYPART_ARC
(0,15),-2.3078 # DEPENDENCYPART_ARC
(0,18),-2.65017 # DEPENDENCYPART_ARC
(0,19),4.25743 # DEPENDENCYPART_ARC
(1,3),-1.06432 # DEPENDENCYPART_ARC
(2,1),2.90242 # DEPENDENCYPART_ARC
(2,3),1.548 # DEPENDENCYPART_ARC
(2,4),3.19834 # DEPENDENCYPART_ARC
(2,5),0.76162 # DEPENDENCYPART_ARC
(2,7),-0.504022 # DEPENDENCYPART_ARC
(2,8),-0.235507 # DEPENDENCYPART_ARC
(2,9),-0.283146 # DEPENDENCYPART_ARC
(2,10),-0.113958 # DEPENDENCYPART_ARC
(2,11),-1.36978 # DEPENDENCYPART_ARC
(2,12),-0.273122 # DEPENDENCYPART_ARC
(2,13),-0.105948 # DEPENDENCYPART_ARC
(2,14),0.182056 # DEPENDENCYPART_ARC
(2,16),-1.7356 # DEPENDENCYPART_ARC
(2,17),-1.07731 # DEPENDENCYPART_ARC
(3,1),-0.221918 # DEPENDENCYPART_ARC
(3,4),2.21457 # DEPENDENCYPART_ARC
(3,5),-0.794636 # DEPENDENCYPART_ARC
(3,7),-1.0195 # DEPENDENCYPART_ARC
(4,1),0.0239763 # DEPENDENCYPART_ARC
(4,2),-2.3949 # DEPENDENCYPART_ARC
(4,3),1.93578 # DEPENDENCYPART_ARC
(4,5),0.00342736 # DEPENDENCYPART_ARC
(4,6),0.154461 # DEPENDENCYPART_ARC
(4,7),1.97762 # DEPENDENCYPART_ARC
(4,8),-0.102024 # DEPENDENCYPART_ARC
(4,9),0.168953 # DEPENDENCYPART_ARC
(4,10),-0.692805 # DEPENDENCYPART_ARC
(4,11),-0.73991 # DEPENDENCYPART_ARC
(4,12),-0.421519 # DEPENDENCYPART_ARC
(4,13),0.142525 # DEPENDENCYPART_ARC
(4,14),0.906512 # DEPENDENCYPART_ARC
(4,15),-1.67033 # DEPENDENCYPART_ARC
(4,18),-1.80565 # DEPENDENCYPART_ARC
(5,1),-1.8189 # DEPENDENCYPART_ARC
(5,2),-0.487563 # DEPENDENCYPART_ARC
(5,3),-1.92076 # DEPENDENCYPART_ARC
(5,4),-1.09241 # DEPENDENCYPART_ARC
(5,7),-0.238109 # DEPENDENCYPART_ARC
(5,8),-1.86792 # DEPENDENCYPART_ARC
(5,13),-1.17713 # DEPENDENCYPART_ARC
(5,18),-3.12269 # DEPENDENCYPART_ARC
(6,5),-0.359153 # DEPENDENCYPART_ARC
(6,7),-0.623167 # DEPENDENCYPART_ARC
(7,1),0.591569 # DEPENDENCYPART_ARC
(7,2),-2.36282 # DEPENDENCYPART_ARC
(7,3),-0.423253 # DEPENDENCYPART_ARC
