# _root_ Poválečný vývoj navíc v Německu ovlivnily značné migrační abnormality , které vyplývaly z odsunu Němců z východní Evropy , z exodu východních Němců na západ a nově nyní z přílivu etnických Němců z Východu a uprchlíků .
#goldHeads=2,6,6,6,4,0,9,9,6,26,12,26,19,13,14,14,18,16,12,19,20,23,21,21,24,9,26,26,26,29,32,35,32,33,30,35,0,
#predictedHeads=2,6,6,6,4,0,9,9,6,12,12,9,12,13,14,12,18,16,12,19,20,23,21,21,24,24,28,26,26,29,32,30,30,35,33,35,0,
(0,1),-0.903023 # DEPENDENCYPART_ARC
(0,2),-1.10519 # DEPENDENCYPART_ARC
(0,3),-0.0877504 # DEPENDENCYPART_ARC
(0,4),-0.454471 # DEPENDENCYPART_ARC
(0,6),0.340136 # DEPENDENCYPART_ARC
(0,10),-0.38291 # DEPENDENCYPART_ARC
(0,11),-2.48831 # DEPENDENCYPART_ARC
(0,12),-0.51372 # DEPENDENCYPART_ARC
(0,19),-0.824893 # DEPENDENCYPART_ARC
(0,26),-1.1144 # DEPENDENCYPART_ARC
(0,35),-2.07887 # DEPENDENCYPART_ARC
(0,37),4.18256 # DEPENDENCYPART_ARC
(2,1),5.04051 # DEPENDENCYPART_ARC
(2,3),0.520985 # DEPENDENCYPART_ARC
(2,4),0.42281 # DEPENDENCYPART_ARC
(2,5),0.797634 # DEPENDENCYPART_ARC
(2,6),-0.999146 # DEPENDENCYPART_ARC
(2,7),-4.08042 # DEPENDENCYPART_ARC
(2,8),-4.4694 # DEPENDENCYPART_ARC
(2,9),-2.29142 # DEPENDENCYPART_ARC
(2,12),-2.08799 # DEPENDENCYPART_ARC
(3,1),-0.827901 # DEPENDENCYPART_ARC
(3,2),-1.61451 # DEPENDENCYPART_ARC
(3,4),0.0467435 # DEPENDENCYPART_ARC
(3,5),-0.424498 # DEPENDENCYPART_ARC
(3,6),-1.04556 # DEPENDENCYPART_ARC
(3,7),-1.14338 # DEPENDENCYPART_ARC
(3,12),-1.65984 # DEPENDENCYPART_ARC
(4,2),-2.63805 # DEPENDENCYPART_ARC
(4,3),-0.86178 # DEPENDENCYPART_ARC
