# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,20,20,16,17,18,0,22,24,24,20,0,
(0,1),-0.796234 # DEPENDENCYPART_ARC
(0,2),-1.64763 # DEPENDENCYPART_ARC
(0,3),-1.43904 # DEPENDENCYPART_ARC
(0,4),-1.25124 # DEPENDENCYPART_ARC
(0,5),-0.53333 # DEPENDENCYPART_ARC
(0,14),-0.783369 # DEPENDENCYPART_ARC
(0,15),-0.957889 # DEPENDENCYPART_ARC
(0,20),-0.548954 # DEPENDENCYPART_ARC
(0,25),3.73261 # DEPENDENCYPART_ARC
(1,2),3.37034 # DEPENDENCYPART_ARC
(1,3),1.69659 # DEPENDENCYPART_ARC
(1,4),0.58211 # DEPENDENCYPART_ARC
(1,5),0.396546 # DEPENDENCYPART_ARC
(2,1),0.13676 # DEPENDENCYPART_ARC
(2,3),2.04606 # DEPENDENCYPART_ARC
(2,4),1.09639 # DEPENDENCYPART_ARC
(2,5),-0.597127 # DEPENDENCYPART_ARC
(2,7),-2.21814 # DEPENDENCYPART_ARC
(2,8),-0.400848 # DEPENDENCYPART_ARC
(2,9),-2.79415 # DEPENDENCYPART_ARC
(2,14),-1.38257 # DEPENDENCYPART_ARC
(2,20),-2.22117 # DEPENDENCYPART_ARC
(3,1),-1.32894 # DEPENDENCYPART_ARC
(3,2),4.00502 # DEPENDENCYPART_ARC
(3,4),1.12693 # DEPENDENCYPART_ARC
(3,5),-0.733208 # DEPENDENCYPART_ARC
(3,7),-2.37552 # DEPENDENCYPART_ARC
(3,8),-0.672323 # DEPENDENCYPART_ARC
(3,9),-3.57192 # DEPENDENCYPART_ARC
(3,11),-2.1848 # DEPENDENCYPART_ARC
(3,14),-1.94519 # DEPENDENCYPART_ARC
(3,20),-2.1044 # DEPENDENCYPART_ARC
(4,1),-0.515379 # DEPENDENCYPART_ARC
(4,2),6.09755 # DEPENDENCYPART_ARC
(4,3),7.87768 # DEPENDENCYPART_ARC
(4,5),-0.263769 # DEPENDENCYPART_ARC
(4,7),-1.49022 # DEPENDENCYPART_ARC
(4,8),-1.07811 # DEPENDENCYPART_ARC
(4,9),-1.67148 # DEPENDENCYPART_ARC
(4,10),-2.58699 # DEPENDENCYPART_ARC
(4,13),-1.04784 # DEPENDENCYPART_ARC
(4,14),0.375513 # DEPENDENCYPART_ARC
(4,20),0.139993 # DEPENDENCYPART_ARC
(5,1),-1.70184 # DEPENDENCYPART_ARC
(5,2),-0.0675771 # DEPENDENCYPART_ARC
(5,3),-1.07616 # DEPENDENCYPART_ARC
(5,4),-1.0053 # DEPENDENCYPART_ARC
(5,7),-0.536725 # DEPENDENCYPART_ARC
(5,8),-0.836027 # DEPENDENCYPART_ARC
(5,9),-1.26805 # DEPENDENCYPART_ARC
(5,10),-1.24016 # DEPENDENCYPART_ARC
(5,13),-1.3989 # DEPENDENCYPART_ARC
(5,14),-0.485996 # DEPENDENCYPART_ARC
(5,15),-0.949624 # DEPENDENCYPART_ARC
(5,20),-1.04639 # DEPENDENCYPART_ARC
(6,7),-1.47289 # DEPENDENCYPART_ARC
(6,10),-1.90702 # DEPENDENCYPART_ARC
(6,11),-2.58268 # DEPENDENCYPART_ARC
(7,1),-1.64943 # DEPENDENCYPART_ARC
(7,2),-2.5991 # DEPENDENCYPART_ARC
(7,3),-1.18953 # DEPENDENCYPART_ARC
(7,4),-3.21087 # DEPENDENCYPART_ARC
(7,5),-0.285162 # DEPENDENCYPART_ARC
(7,6),0.622978 # DEPENDENCYPART_ARC
(7,8),2.36972 # DEPENDENCYPART_ARC
(7,9),-0.709962 # DEPENDENCYPART_ARC
(7,10),0.123996 # DEPENDENCYPART_ARC
(7,11),0.358405 # DEPENDENCYPART_ARC
(7,13),-0.402033 # DEPENDENCYPART_ARC
(7,14),-0.232833 # DEPENDENCYPART_ARC
(7,15),0.233684 # DEPENDENCYPART_ARC
(7,16),-0.256298 # DEPENDENCYPART_ARC
(7,18),-0.455653 # DEPENDENCYPART_ARC
(8,5),-0.814387 # DEPENDENCYPART_ARC
(8,7),-1.36027 # DEPENDENCYPART_ARC
(8,9),0.636699 # DEPENDENCYPART_ARC
(8,10),3.66717 # DEPENDENCYPART_ARC
(8,11),-1.75701 # DEPENDENCYPART_ARC
(8,13),-1.80344 # DEPENDENCYPART_ARC
(9,11),-1.54082 # DEPENDENCYPART_ARC
(10,1),-1.29563 # DEPENDENCYPART_ARC
(10,6),-0.0791467 # DEPENDENCYPART_ARC
(10,8),-0.504504 # DEPENDENCYPART_ARC
(10,9),4.75749 # DEPENDENCYPART_ARC
(10,11),2.15019 # DEPENDENCYPART_ARC
(10,13),-0.831255 # DEPENDENCYPART_ARC
(10,14),-0.898608 # DEPENDENCYPART_ARC
(10,16),-0.920262 # DEPENDENCYPART_ARC
