# _root_ Ročně by tedy zaplatila na pojistném , včetně úrazového připojištění , 4104 korun .
#goldHeads=4,4,4,0,4,5,8,4,10,8,8,4,12,0,
#predictedHeads=4,4,4,0,4,5,8,4,10,8,8,11,12,0,
(0,1),-0.271874 # DEPENDENCYPART_ARC
(0,3),-0.380813 # DEPENDENCYPART_ARC
(0,4),-0.322293 # DEPENDENCYPART_ARC
(0,5),-2.00483 # DEPENDENCYPART_ARC
(0,6),-2.11121 # DEPENDENCYPART_ARC
(0,7),-0.11375 # DEPENDENCYPART_ARC
(0,8),-2.58179 # DEPENDENCYPART_ARC
(0,10),-2.35898 # DEPENDENCYPART_ARC
(0,11),-0.648615 # DEPENDENCYPART_ARC
(0,12),-1.50129 # DEPENDENCYPART_ARC
(0,13),-2.42729 # DEPENDENCYPART_ARC
(0,14),3.71112 # DEPENDENCYPART_ARC
(1,3),-0.549785 # DEPENDENCYPART_ARC
(1,4),-1.88524 # DEPENDENCYPART_ARC
(1,5),-1.10423 # DEPENDENCYPART_ARC
(1,6),-1.66618 # DEPENDENCYPART_ARC
(1,7),-0.725307 # DEPENDENCYPART_ARC
(1,8),-1.27615 # DEPENDENCYPART_ARC
(3,1),-0.176645 # DEPENDENCYPART_ARC
(3,4),0.0125914 # DEPENDENCYPART_ARC
(3,5),-0.215471 # DEPENDENCYPART_ARC
(3,6),-0.667372 # DEPENDENCYPART_ARC
(3,11),-0.907789 # DEPENDENCYPART_ARC
(3,13),-1.41221 # DEPENDENCYPART_ARC
(4,1),1.34484 # DEPENDENCYPART_ARC
(4,2),3.51545 # DEPENDENCYPART_ARC
(4,3),2.12659 # DEPENDENCYPART_ARC
(4,5),2.25759 # DEPENDENCYPART_ARC
(4,6),-0.51416 # DEPENDENCYPART_ARC
(4,7),0.53617 # DEPENDENCYPART_ARC
(4,8),0.670566 # DEPENDENCYPART_ARC
(4,9),-3.39378 # DEPENDENCYPART_ARC
(4,10),-1.99745 # DEPENDENCYPART_ARC
(4,11),0.190295 # DEPENDENCYPART_ARC
(4,12),-0.071247 # DEPENDENCYPART_ARC
(4,13),-2.58394 # DEPENDENCYPART_ARC
(4,14),-0.85877 # DEPENDENCYPART_ARC
(5,3),-0.938722 # DEPENDENCYPART_ARC
(5,6),4.03928 # DEPENDENCYPART_ARC
(5,7),-0.423344 # DEPENDENCYPART_ARC
(5,10),-2.78615 # DEPENDENCYPART_ARC
(5,11),-0.45931 # DEPENDENCYPART_ARC
(6,1),-2.01832 # DEPENDENCYPART_ARC
(6,3),-0.781401 # DEPENDENCYPART_ARC
(6,4),-3.94193 # DEPENDENCYPART_ARC
(6,5),0.240474 # DEPENDENCYPART_ARC
(6,7),-0.723367 # DEPENDENCYPART_ARC
(6,8),0.386956 # DEPENDENCYPART_ARC
(6,9),-0.840218 # DEPENDENCYPART_ARC
(6,10),0.489063 # DEPENDENCYPART_ARC
(6,11),-0.245647 # DEPENDENCYPART_ARC
