# _root_ Lékaři mi to udělali jakousi zrychlenou metodou , trénoval jsem už po dvou týdnech místo šesti , jenže stejně jsem přišel o část letní přípravy .
#goldHeads=4,4,4,18,7,7,4,18,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
#predictedHeads=4,4,4,18,7,7,4,4,0,9,14,9,14,12,9,15,18,9,21,21,18,21,22,25,23,0,
(0,1),-1.92843 # DEPENDENCYPART_ARC
(0,2),-1.96961 # DEPENDENCYPART_ARC
(0,4),-1.07586 # DEPENDENCYPART_ARC
(0,5),-2.40401 # DEPENDENCYPART_ARC
(0,8),-1.0356 # DEPENDENCYPART_ARC
(0,9),-0.672396 # DEPENDENCYPART_ARC
(0,10),-0.846461 # DEPENDENCYPART_ARC
(0,16),-3.45156 # DEPENDENCYPART_ARC
(0,17),-1.40484 # DEPENDENCYPART_ARC
(0,18),-1.10643 # DEPENDENCYPART_ARC
(0,20),-2.20057 # DEPENDENCYPART_ARC
(0,21),-1.99649 # DEPENDENCYPART_ARC
(0,26),4.12819 # DEPENDENCYPART_ARC
(1,3),-1.25227 # DEPENDENCYPART_ARC
(1,4),0.427501 # DEPENDENCYPART_ARC
(1,6),-4.22925 # DEPENDENCYPART_ARC
(1,7),-3.48835 # DEPENDENCYPART_ARC
(1,8),-0.63751 # DEPENDENCYPART_ARC
(1,9),-1.92365 # DEPENDENCYPART_ARC
(2,1),-1.83175 # DEPENDENCYPART_ARC
(2,7),-2.84062 # DEPENDENCYPART_ARC
(3,1),-1.15293 # DEPENDENCYPART_ARC
(3,4),-0.529252 # DEPENDENCYPART_ARC
(3,6),-1.58049 # DEPENDENCYPART_ARC
(4,1),2.24979 # DEPENDENCYPART_ARC
(4,2),1.27709 # DEPENDENCYPART_ARC
(4,3),2.354 # DEPENDENCYPART_ARC
(4,5),0.364888 # DEPENDENCYPART_ARC
(4,6),-2.0055 # DEPENDENCYPART_ARC
(4,7),1.27206 # DEPENDENCYPART_ARC
(4,8),1.19401 # DEPENDENCYPART_ARC
(4,9),-2.49611 # DEPENDENCYPART_ARC
(4,10),-0.460412 # DEPENDENCYPART_ARC
(4,11),-0.906088 # DEPENDENCYPART_ARC
(4,12),0.241377 # DEPENDENCYPART_ARC
(4,13),-3.31117 # DEPENDENCYPART_ARC
(4,15),0.622632 # DEPENDENCYPART_ARC
(4,17),-0.321068 # DEPENDENCYPART_ARC
(4,18),-0.715208 # DEPENDENCYPART_ARC
(4,19),-1.21707 # DEPENDENCYPART_ARC
(4,21),-5.475 # DEPENDENCYPART_ARC
(5,6),0.907282 # DEPENDENCYPART_ARC
(5,7),-1.61352 # DEPENDENCYPART_ARC
(5,8),-0.323574 # DEPENDENCYPART_ARC
(5,9),-0.350787 # DEPENDENCYPART_ARC
(5,10),-1.3583 # DEPENDENCYPART_ARC
(6,3),-2.94745 # DEPENDENCYPART_ARC
(6,5),0.999749 # DEPENDENCYPART_ARC
(7,2),-2.48527 # DEPENDENCYPART_ARC
(7,3),-1.19021 # DEPENDENCYPART_ARC
(7,5),3.83268 # DEPENDENCYPART_ARC
(7,6),4.71622 # DEPENDENCYPART_ARC
(7,8),-0.456879 # DEPENDENCYPART_ARC
(7,9),-1.23296 # DEPENDENCYPART_ARC
(7,10),-0.932286 # DEPENDENCYPART_ARC
(8,1),-0.140922 # DEPENDENCYPART_ARC
(8,3),-0.337763 # DEPENDENCYPART_ARC
(8,4),0.377355 # DEPENDENCYPART_ARC
(8,5),0.135757 # DEPENDENCYPART_ARC
(8,6),-0.204639 # DEPENDENCYPART_ARC
(8,7),-0.257906 # DEPENDENCYPART_ARC
(8,9),-0.211661 # DEPENDENCYPART_ARC
(8,10),-0.508346 # DEPENDENCYPART_ARC
(9,1),1.31871 # DEPENDENCYPART_ARC
(9,2),-0.490473 # DEPENDENCYPART_ARC
(9,3),-0.396812 # DEPENDENCYPART_ARC
(9,4),-0.649155 # DEPENDENCYPART_ARC
(9,5),-0.833401 # DEPENDENCYPART_ARC
(9,6),-2.40026 # DEPENDENCYPART_ARC
(9,7),-0.365413 # DEPENDENCYPART_ARC
(9,8),0.163764 # DEPENDENCYPART_ARC
(9,10),3.9626 # DEPENDENCYPART_ARC
(9,11),1.16618 # DEPENDENCYPART_ARC
(9,12),1.62471 # DEPENDENCYPART_ARC
(9,13),-1.76871 # DEPENDENCYPART_ARC
(9,14),0.36831 # DEPENDENCYPART_ARC
(9,15),1.47544 # DEPENDENCYPART_ARC
(9,16),-3.09156 # DEPENDENCYPART_ARC
(9,17),0.579868 # DEPENDENCYPART_ARC
(9,18),0.693631 # DEPENDENCYPART_ARC
(9,19),-0.0271154 # DEPENDENCYPART_ARC
(9,20),0.0438708 # DEPENDENCYPART_ARC
(9,21),-2.73336 # DEPENDENCYPART_ARC
(9,22),-1.2213 # DEPENDENCYPART_ARC
(9,23),-2.10072 # DEPENDENCYPART_ARC
(9,25),-3.35793 # DEPENDENCYPART_ARC
(10,1),-2.0984 # DEPENDENCYPART_ARC
(10,2),-2.22664 # DEPENDENCYPART_ARC
(10,3),-1.26341 # DEPENDENCYPART_ARC
(10,4),-4.35711 # DEPENDENCYPART_ARC
(10,5),-2.11601 # DEPENDENCYPART_ARC
(10,6),-3.53349 # DEPENDENCYPART_ARC
(10,7),-1.43991 # DEPENDENCYPART_ARC
(10,8),-1.12269 # DEPENDENCYPART_ARC
(10,9),-0.786938 # DEPENDENCYPART_ARC
(10,11),0.16316 # DEPENDENCYPART_ARC
(10,12),-0.0935644 # DEPENDENCYPART_ARC
(10,13),-3.39328 # DEPENDENCYPART_ARC
(10,14),-1.70479 # DEPENDENCYPART_ARC
(10,15),-0.489587 # DEPENDENCYPART_ARC
(10,16),-4.00392 # DEPENDENCYPART_ARC
(10,18),-0.0968321 # DEPENDENCYPART_ARC
(10,19),-1.36156 # DEPENDENCYPART_ARC
(10,20),-2.95931 # DEPENDENCYPART_ARC
(10,21),-4.42279 # DEPENDENCYPART_ARC
(10,25),-4.24041 # DEPENDENCYPART_ARC
(11,7),-2.34887 # DEPENDENCYPART_ARC
(11,8),-1.62464 # DEPENDENCYPART_ARC
(11,12),-0.124181 # DEPENDENCYPART_ARC
(11,13),-0.880851 # DEPENDENCYPART_ARC
(12,8),-0.762565 # DEPENDENCYPART_ARC
(12,11),-0.239522 # DEPENDENCYPART_ARC
(12,13),1.39125 # DEPENDENCYPART_ARC
(12,14),4.18333 # DEPENDENCYPART_ARC
(12,17),0.215 # DEPENDENCYPART_ARC
(12,18),-0.994457 # DEPENDENCYPART_ARC
(12,23),-3.55122 # DEPENDENCYPART_ARC
(13,11),0.313409 # DEPENDENCYPART_ARC
(13,14),2.96752 # DEPENDENCYPART_ARC
(13,15),-0.259854 # DEPENDENCYPART_ARC
(14,6),-3.28435 # DEPENDENCYPART_ARC
(14,11),2.11561 # DEPENDENCYPART_ARC
(14,12),-0.118446 # DEPENDENCYPART_ARC
(14,13),4.50473 # DEPENDENCYPART_ARC
(14,15),0.00241168 # DEPENDENCYPART_ARC
(14,16),-1.39578 # DEPENDENCYPART_ARC
(14,18),-1.23606 # DEPENDENCYPART_ARC
(14,20),-3.0599 # DEPENDENCYPART_ARC
(14,21),-3.04246 # DEPENDENCYPART_ARC
(14,22),-1.92798 # DEPENDENCYPART_ARC
(15,14),-0.260514 # DEPENDENCYPART_ARC
(15,16),1.60794 # DEPENDENCYPART_ARC
(15,17),0.525541 # DEPENDENCYPART_ARC
(15,18),-0.297218 # DEPENDENCYPART_ARC
(15,19),-1.04464 # DEPENDENCYPART_ARC
(15,20),-0.58519 # DEPENDENCYPART_ARC
(15,21),-1.69822 # DEPENDENCYPART_ARC
(15,23),-2.49867 # DEPENDENCYPART_ARC
(15,25),-0.955535 # DEPENDENCYPART_ARC
(16,11),0.126434 # DEPENDENCYPART_ARC
(16,14),-1.18615 # DEPENDENCYPART_ARC
(16,15),-0.220649 # DEPENDENCYPART_ARC
(16,17),0.465869 # DEPENDENCYPART_ARC
(16,18),-0.16583 # DEPENDENCYPART_ARC
(16,20),-1.80391 # DEPENDENCYPART_ARC
(17,4),-0.50959 # DEPENDENCYPART_ARC
(17,9),0.175199 # DEPENDENCYPART_ARC
(17,10),0.00672842 # DEPENDENCYPART_ARC
(17,12),-0.215458 # DEPENDENCYPART_ARC
(17,13),-0.462604 # DEPENDENCYPART_ARC
(17,14),-0.319904 # DEPENDENCYPART_ARC
(17,16),0.114862 # DEPENDENCYPART_ARC
(17,19),-0.0524353 # DEPENDENCYPART_ARC
(17,20),0.249002 # DEPENDENCYPART_ARC
(17,21),-0.830677 # DEPENDENCYPART_ARC
(17,22),-1.14683 # DEPENDENCYPART_ARC
(18,1),-1.10938 # DEPENDENCYPART_ARC
(18,3),-1.45251 # DEPENDENCYPART_ARC
(18,4),-0.183767 # DEPENDENCYPART_ARC
(18,5),-0.675676 # DEPENDENCYPART_ARC
(18,6),-1.29065 # DEPENDENCYPART_ARC
(18,7),-1.1817 # DEPENDENCYPART_ARC
(18,8),-0.258765 # DEPENDENCYPART_ARC
(18,9),0.793266 # DEPENDENCYPART_ARC
(18,10),0.383767 # DEPENDENCYPART_ARC
(18,11),0.0123942 # DEPENDENCYPART_ARC
(18,12),-0.0974287 # DEPENDENCYPART_ARC
(18,13),0.0178872 # DEPENDENCYPART_ARC
(18,14),-0.152346 # DEPENDENCYPART_ARC
(18,15),0.15416 # DEPENDENCYPART_ARC
(18,16),0.758195 # DEPENDENCYPART_ARC
(18,17),2.23821 # DEPENDENCYPART_ARC
(18,19),0.455056 # DEPENDENCYPART_ARC
(18,20),1.59125 # DEPENDENCYPART_ARC
(18,21),0.951644 # DEPENDENCYPART_ARC
(18,22),-0.574122 # DEPENDENCYPART_ARC
