# _root_ Co by se stalo , kdyby v prosinci nebylo přepadeno Čečensko , ale pobaltské státy ?
#goldHeads=4,4,4,0,6,4,10,7,10,6,13,13,10,15,13,0,
#predictedHeads=4,4,4,0,6,4,10,7,10,6,13,13,10,15,13,0,
(0,1),-0.337991 # DEPENDENCYPART_ARC
(0,4),-0.460728 # DEPENDENCYPART_ARC
(0,5),-0.227474 # DEPENDENCYPART_ARC
(0,6),-1.40942 # DEPENDENCYPART_ARC
(0,9),-0.689886 # DEPENDENCYPART_ARC
(0,10),-1.67888 # DEPENDENCYPART_ARC
(0,12),-0.814688 # DEPENDENCYPART_ARC
(0,13),-0.63824 # DEPENDENCYPART_ARC
(0,16),3.11348 # DEPENDENCYPART_ARC
(1,4),-0.397935 # DEPENDENCYPART_ARC
(4,1),2.01082 # DEPENDENCYPART_ARC
(4,2),3.85302 # DEPENDENCYPART_ARC
(4,3),3.81768 # DEPENDENCYPART_ARC
(4,5),0.652494 # DEPENDENCYPART_ARC
(4,6),1.36803 # DEPENDENCYPART_ARC
(4,7),-0.914455 # DEPENDENCYPART_ARC
(4,9),-2.17889 # DEPENDENCYPART_ARC
(4,10),-2.51364 # DEPENDENCYPART_ARC
(4,11),-3.26237 # DEPENDENCYPART_ARC
(4,12),0.080427 # DEPENDENCYPART_ARC
(4,13),-0.687705 # DEPENDENCYPART_ARC
(4,15),-4.32302 # DEPENDENCYPART_ARC
(4,16),-0.676311 # DEPENDENCYPART_ARC
(5,1),-0.36594 # DEPENDENCYPART_ARC
(5,3),-0.351874 # DEPENDENCYPART_ARC
(5,4),-0.933492 # DEPENDENCYPART_ARC
(5,6),0.17954 # DEPENDENCYPART_ARC
(5,7),-0.89268 # DEPENDENCYPART_ARC
(5,9),0.0720614 # DEPENDENCYPART_ARC
(5,10),-0.869785 # DEPENDENCYPART_ARC
(5,12),-0.844906 # DEPENDENCYPART_ARC
(6,4),-0.347371 # DEPENDENCYPART_ARC
(6,5),2.19646 # DEPENDENCYPART_ARC
(6,7),1.05245 # DEPENDENCYPART_ARC
(6,8),0.18318 # DEPENDENCYPART_ARC
(6,9),2.64899 # DEPENDENCYPART_ARC
(6,10),1.74944 # DEPENDENCYPART_ARC
(6,11),-1.10519 # DEPENDENCYPART_ARC
