# _root_ Pro pedagogický dozor může být potěšující , že jejich účast při soutěžích bude odměňována podle zákona o cestovních náhradách , a v tomto směru jsou postaveni na roveň ostatním pracovníkům vyslaným na služební cestu .
#goldHeads=4,3,1,21,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,8,0,25,24,22,21,25,26,27,30,28,30,31,34,32,0,
#predictedHeads=4,3,1,0,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,21,14,26,24,22,21,25,26,27,30,26,30,31,34,32,0,
(0,1),-1.10962 # DEPENDENCYPART_ARC
(0,3),-1.43163 # DEPENDENCYPART_ARC
(0,4),0.197786 # DEPENDENCYPART_ARC
(0,5),-0.61349 # DEPENDENCYPART_ARC
(0,7),-0.468768 # DEPENDENCYPART_ARC
(0,8),-3.39698 # DEPENDENCYPART_ARC
(0,13),-0.749997 # DEPENDENCYPART_ARC
(0,14),-1.44977 # DEPENDENCYPART_ARC
(0,20),-1.02572 # DEPENDENCYPART_ARC
(0,21),-1.0775 # DEPENDENCYPART_ARC
(0,25),-2.98533 # DEPENDENCYPART_ARC
(0,26),-2.58547 # DEPENDENCYPART_ARC
(0,35),5.14811 # DEPENDENCYPART_ARC
(1,2),1.33252 # DEPENDENCYPART_ARC
(1,3),4.5645 # DEPENDENCYPART_ARC
(1,8),-1.82184 # DEPENDENCYPART_ARC
(2,5),-1.27349 # DEPENDENCYPART_ARC
(3,2),5.50045 # DEPENDENCYPART_ARC
(3,4),-1.45624 # DEPENDENCYPART_ARC
(3,5),-0.605971 # DEPENDENCYPART_ARC
(3,6),-3.35587 # DEPENDENCYPART_ARC
(3,8),-1.71137 # DEPENDENCYPART_ARC
(4,1),2.66061 # DEPENDENCYPART_ARC
(4,2),-1.90073 # DEPENDENCYPART_ARC
(4,3),1.71755 # DEPENDENCYPART_ARC
(4,5),3.21392 # DEPENDENCYPART_ARC
(4,6),0.517552 # DEPENDENCYPART_ARC
(4,7),0.446642 # DEPENDENCYPART_ARC
(4,8),1.28578 # DEPENDENCYPART_ARC
(4,10),-1.2181 # DEPENDENCYPART_ARC
(4,11),0.0244724 # DEPENDENCYPART_ARC
(4,13),-2.03384 # DEPENDENCYPART_ARC
(4,14),-0.508816 # DEPENDENCYPART_ARC
(4,20),-0.0901022 # DEPENDENCYPART_ARC
(4,21),-0.378708 # DEPENDENCYPART_ARC
(5,1),1.52655 # DEPENDENCYPART_ARC
(5,2),-0.558435 # DEPENDENCYPART_ARC
(5,3),2.06864 # DEPENDENCYPART_ARC
(5,4),-0.957366 # DEPENDENCYPART_ARC
(5,6),3.31142 # DEPENDENCYPART_ARC
(5,7),0.0233267 # DEPENDENCYPART_ARC
(5,8),0.0847347 # DEPENDENCYPART_ARC
(5,11),-0.335644 # DEPENDENCYPART_ARC
(5,21),-1.2344 # DEPENDENCYPART_ARC
(6,1),-0.328597 # DEPENDENCYPART_ARC
(6,3),-1.87603 # DEPENDENCYPART_ARC
(6,7),-0.199817 # DEPENDENCYPART_ARC
(6,8),0.373433 # DEPENDENCYPART_ARC
(6,10),-2.15058 # DEPENDENCYPART_ARC
(6,11),-1.32786 # DEPENDENCYPART_ARC
(6,14),-1.27593 # DEPENDENCYPART_ARC
(7,1),-0.656725 # DEPENDENCYPART_ARC
(7,4),0.0799132 # DEPENDENCYPART_ARC
(7,5),0.102305 # DEPENDENCYPART_ARC
(7,6),0.301004 # DEPENDENCYPART_ARC
