# _root_ Kdo má nad žáky dozor , nese odpovědnost i za eventuální zranění žáka nebo za škodu , která by žákovi vznikla .
#goldHeads=2,7,5,3,2,2,0,7,12,14,12,10,12,8,14,15,21,21,21,21,16,0,
#predictedHeads=2,0,2,3,2,2,14,7,12,14,12,10,12,2,14,15,21,21,21,21,16,0,
(0,1),-1.72148 # DEPENDENCYPART_ARC
(0,2),-0.526145 # DEPENDENCYPART_ARC
(0,3),-1.42773 # DEPENDENCYPART_ARC
(0,6),-0.488842 # DEPENDENCYPART_ARC
(0,7),0.574475 # DEPENDENCYPART_ARC
(0,10),-2.53743 # DEPENDENCYPART_ARC
(0,14),-1.34748 # DEPENDENCYPART_ARC
(0,17),-1.16965 # DEPENDENCYPART_ARC
(0,21),-1.37121 # DEPENDENCYPART_ARC
(0,22),4.10419 # DEPENDENCYPART_ARC
(1,2),-0.459167 # DEPENDENCYPART_ARC
(1,4),-1.40071 # DEPENDENCYPART_ARC
(1,5),-1.06831 # DEPENDENCYPART_ARC
(2,1),2.72614 # DEPENDENCYPART_ARC
(2,3),2.46881 # DEPENDENCYPART_ARC
(2,4),1.09098 # DEPENDENCYPART_ARC
(2,5),2.84525 # DEPENDENCYPART_ARC
(2,6),1.72647 # DEPENDENCYPART_ARC
(2,7),-1.40762 # DEPENDENCYPART_ARC
(2,8),0.829254 # DEPENDENCYPART_ARC
(2,9),0.341726 # DEPENDENCYPART_ARC
(2,10),-0.447066 # DEPENDENCYPART_ARC
(2,11),-4.23153 # DEPENDENCYPART_ARC
(2,12),-0.343903 # DEPENDENCYPART_ARC
(2,13),-1.64855 # DEPENDENCYPART_ARC
(2,14),0.455002 # DEPENDENCYPART_ARC
(2,15),-1.32429 # DEPENDENCYPART_ARC
(2,16),-1.97562 # DEPENDENCYPART_ARC
(2,17),0.570744 # DEPENDENCYPART_ARC
(2,20),-3.2153 # DEPENDENCYPART_ARC
(3,4),3.94844 # DEPENDENCYPART_ARC
(3,5),-0.787653 # DEPENDENCYPART_ARC
(3,6),-0.17264 # DEPENDENCYPART_ARC
(4,2),-1.77854 # DEPENDENCYPART_ARC
(4,3),0.384994 # DEPENDENCYPART_ARC
(4,5),0.0671244 # DEPENDENCYPART_ARC
(4,6),-0.562891 # DEPENDENCYPART_ARC
