# _root_ Za současného stavu , kdy se léčebna potýká s obrovskými finančními potížemi , by ráda znovu obnovila svoji farmu .
#goldHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,17,17,0,19,17,0,
#predictedHeads=8,3,1,8,8,8,8,0,8,12,12,9,8,17,8,17,13,19,17,0,
(0,1),-0.882407 # DEPENDENCYPART_ARC
(0,3),-1.18205 # DEPENDENCYPART_ARC
(0,4),-0.427995 # DEPENDENCYPART_ARC
(0,5),-0.880244 # DEPENDENCYPART_ARC
(0,8),0.394989 # DEPENDENCYPART_ARC
(0,13),-0.743911 # DEPENDENCYPART_ARC
(0,15),-2.28365 # DEPENDENCYPART_ARC
(0,17),-1.59416 # DEPENDENCYPART_ARC
(0,20),4.17374 # DEPENDENCYPART_ARC
(1,2),1.46589 # DEPENDENCYPART_ARC
(1,3),3.1306 # DEPENDENCYPART_ARC
(1,4),-0.471994 # DEPENDENCYPART_ARC
(1,5),-0.351962 # DEPENDENCYPART_ARC
(1,7),-2.72601 # DEPENDENCYPART_ARC
(2,3),-0.758013 # DEPENDENCYPART_ARC
(3,1),-0.714102 # DEPENDENCYPART_ARC
(3,2),5.36463 # DEPENDENCYPART_ARC
(3,4),-0.201309 # DEPENDENCYPART_ARC
(3,5),0.00758738 # DEPENDENCYPART_ARC
(3,7),-0.867702 # DEPENDENCYPART_ARC
(3,8),1.08086 # DEPENDENCYPART_ARC
(3,10),-4.85172 # DEPENDENCYPART_ARC
(3,11),-4.61932 # DEPENDENCYPART_ARC
(3,13),-0.00274329 # DEPENDENCYPART_ARC
(3,15),-3.03154 # DEPENDENCYPART_ARC
(3,17),-2.04989 # DEPENDENCYPART_ARC
(4,1),-0.991794 # DEPENDENCYPART_ARC
(4,2),-0.471763 # DEPENDENCYPART_ARC
(4,3),-0.773987 # DEPENDENCYPART_ARC
(4,5),-0.745565 # DEPENDENCYPART_ARC
(4,7),-0.729714 # DEPENDENCYPART_ARC
(4,8),-0.294536 # DEPENDENCYPART_ARC
(4,9),-1.45664 # DEPENDENCYPART_ARC
(4,10),-1.48543 # DEPENDENCYPART_ARC
(4,12),-1.56207 # DEPENDENCYPART_ARC
(4,13),-0.51467 # DEPENDENCYPART_ARC
(4,16),-1.93016 # DEPENDENCYPART_ARC
(4,17),-2.44173 # DEPENDENCYPART_ARC
(4,19),-3.38552 # DEPENDENCYPART_ARC
(5,1),-1.47818 # DEPENDENCYPART_ARC
(5,2),-0.651606 # DEPENDENCYPART_ARC
(5,3),-0.532529 # DEPENDENCYPART_ARC
(5,4),-0.822365 # DEPENDENCYPART_ARC
(5,7),-0.950561 # DEPENDENCYPART_ARC
(5,8),-0.700081 # DEPENDENCYPART_ARC
(5,9),-1.38913 # DEPENDENCYPART_ARC
(5,12),-2.09549 # DEPENDENCYPART_ARC
(5,13),-0.830437 # DEPENDENCYPART_ARC
(5,16),-1.388 # DEPENDENCYPART_ARC
(5,17),-1.88788 # DEPENDENCYPART_ARC
(7,1),-1.3878 # DEPENDENCYPART_ARC
(7,2),-1.98064 # DEPENDENCYPART_ARC
(7,3),-4.18004 # DEPENDENCYPART_ARC
(7,4),-0.317985 # DEPENDENCYPART_ARC
(7,5),-0.0467802 # DEPENDENCYPART_ARC
(7,6),-0.134384 # DEPENDENCYPART_ARC
(7,8),-0.470827 # DEPENDENCYPART_ARC
(7,9),0.121881 # DEPENDENCYPART_ARC
(7,10),-1.88009 # DEPENDENCYPART_ARC
(7,11),-1.92744 # DEPENDENCYPART_ARC
(7,12),-2.67341 # DEPENDENCYPART_ARC
(7,15),-2.6047 # DEPENDENCYPART_ARC
(8,1),1.54939 # DEPENDENCYPART_ARC
(8,2),-4.14653 # DEPENDENCYPART_ARC
(8,3),-2.58034 # DEPENDENCYPART_ARC
(8,4),1.72511 # DEPENDENCYPART_ARC
(8,5),2.36223 # DEPENDENCYPART_ARC
(8,6),3.20586 # DEPENDENCYPART_ARC
(8,7),3.63079 # DEPENDENCYPART_ARC
(8,9),2.41958 # DEPENDENCYPART_ARC
(8,10),-2.45738 # DEPENDENCYPART_ARC
(8,11),-3.30894 # DEPENDENCYPART_ARC
(8,12),1.26677 # DEPENDENCYPART_ARC
(8,13),0.875171 # DEPENDENCYPART_ARC
(8,15),-0.388093 # DEPENDENCYPART_ARC
(8,16),-0.506892 # DEPENDENCYPART_ARC
(8,17),-3.09466 # DEPENDENCYPART_ARC
(8,19),-0.590673 # DEPENDENCYPART_ARC
(9,3),-2.82419 # DEPENDENCYPART_ARC
(9,4),-0.81777 # DEPENDENCYPART_ARC
(9,7),-2.15891 # DEPENDENCYPART_ARC
(9,10),0.920033 # DEPENDENCYPART_ARC
(9,11),0.407001 # DEPENDENCYPART_ARC
(9,12),3.3681 # DEPENDENCYPART_ARC
(9,13),0.38577 # DEPENDENCYPART_ARC
(9,16),-0.158474 # DEPENDENCYPART_ARC
(9,17),-1.20413 # DEPENDENCYPART_ARC
(9,19),-3.29584 # DEPENDENCYPART_ARC
(10,5),-1.66469 # DEPENDENCYPART_ARC
(10,6),-1.83717 # DEPENDENCYPART_ARC
(10,8),-1.4733 # DEPENDENCYPART_ARC
(10,9),-0.410479 # DEPENDENCYPART_ARC
(10,11),-1.02711 # DEPENDENCYPART_ARC
(10,12),0.235741 # DEPENDENCYPART_ARC
(10,13),-0.206761 # DEPENDENCYPART_ARC
(10,16),-1.00019 # DEPENDENCYPART_ARC
(10,17),-3.17199 # DEPENDENCYPART_ARC
(10,19),-4.58733 # DEPENDENCYPART_ARC
(11,1),-1.72926 # DEPENDENCYPART_ARC
(11,6),-1.56804 # DEPENDENCYPART_ARC
(11,7),-4.31908 # DEPENDENCYPART_ARC
(11,9),-0.279044 # DEPENDENCYPART_ARC
(11,10),-1.63489 # DEPENDENCYPART_ARC
(11,17),-3.21709 # DEPENDENCYPART_ARC
(12,1),-0.906185 # DEPENDENCYPART_ARC
(12,2),-4.04918 # DEPENDENCYPART_ARC
(12,4),-0.107473 # DEPENDENCYPART_ARC
(12,5),-0.741449 # DEPENDENCYPART_ARC
(12,6),-2.71833 # DEPENDENCYPART_ARC
(12,7),-2.79155 # DEPENDENCYPART_ARC
(12,8),-0.318659 # DEPENDENCYPART_ARC
(12,9),0.731968 # DEPENDENCYPART_ARC
(12,10),5.25652 # DEPENDENCYPART_ARC
(12,11),5.2352 # DEPENDENCYPART_ARC
(12,13),-0.352891 # DEPENDENCYPART_ARC
(12,14),-1.02912 # DEPENDENCYPART_ARC
(12,15),-2.31511 # DEPENDENCYPART_ARC
(12,16),-0.858262 # DEPENDENCYPART_ARC
(12,17),-2.18197 # DEPENDENCYPART_ARC
(12,19),-5.6407 # DEPENDENCYPART_ARC
(13,1),-0.993738 # DEPENDENCYPART_ARC
(13,3),-0.981807 # DEPENDENCYPART_ARC
(13,4),-0.507988 # DEPENDENCYPART_ARC
