# _root_ " Kondiční příprava je pochopitelně náročná a stereotypní , takže zápasy jsem zařazoval především pro odreagování , " tvrdí chebský kormidelník .
#goldHeads=4,3,4,19,4,7,4,7,10,4,13,13,10,16,13,15,4,4,0,21,19,0,
#predictedHeads=4,3,4,0,4,7,4,7,10,4,13,13,10,16,13,15,13,13,0,21,19,0,
(0,1),-0.401349 # DEPENDENCYPART_ARC
(0,2),-0.71506 # DEPENDENCYPART_ARC
(0,3),-1.18568 # DEPENDENCYPART_ARC
(0,4),-0.144146 # DEPENDENCYPART_ARC
(0,5),-0.593163 # DEPENDENCYPART_ARC
(0,7),-0.929152 # DEPENDENCYPART_ARC
(0,9),-0.728558 # DEPENDENCYPART_ARC
(0,10),-1.36106 # DEPENDENCYPART_ARC
(0,12),-1.15947 # DEPENDENCYPART_ARC
(0,13),-1.07092 # DEPENDENCYPART_ARC
(0,17),-0.226838 # DEPENDENCYPART_ARC
(0,19),0.729656 # DEPENDENCYPART_ARC
(0,22),3.28325 # DEPENDENCYPART_ARC
(1,2),-1.8186 # DEPENDENCYPART_ARC
(1,3),-3.39266 # DEPENDENCYPART_ARC
(1,4),-2.79128 # DEPENDENCYPART_ARC
(1,6),-3.73544 # DEPENDENCYPART_ARC
(2,1),-0.0671479 # DEPENDENCYPART_ARC
(2,3),-0.00872502 # DEPENDENCYPART_ARC
(2,5),-0.464775 # DEPENDENCYPART_ARC
(3,1),0.458432 # DEPENDENCYPART_ARC
(3,2),4.23032 # DEPENDENCYPART_ARC
(3,4),-0.703597 # DEPENDENCYPART_ARC
(3,5),-0.494734 # DEPENDENCYPART_ARC
(3,6),0.464609 # DEPENDENCYPART_ARC
(3,8),-0.801775 # DEPENDENCYPART_ARC
(4,1),1.7811 # DEPENDENCYPART_ARC
(4,2),0.465284 # DEPENDENCYPART_ARC
(4,3),2.61325 # DEPENDENCYPART_ARC
(4,5),2.18191 # DEPENDENCYPART_ARC
(4,6),3.38296 # DEPENDENCYPART_ARC
(4,7),1.0188 # DEPENDENCYPART_ARC
(4,8),1.61628 # DEPENDENCYPART_ARC
(4,9),0.438458 # DEPENDENCYPART_ARC
(4,10),1.75043 # DEPENDENCYPART_ARC
(4,11),-2.48579 # DEPENDENCYPART_ARC
(4,12),-1.11201 # DEPENDENCYPART_ARC
(4,13),-3.43455 # DEPENDENCYPART_ARC
(4,17),0.566206 # DEPENDENCYPART_ARC
(4,18),0.641439 # DEPENDENCYPART_ARC
(5,3),-2.2106 # DEPENDENCYPART_ARC
(5,6),-1.69995 # DEPENDENCYPART_ARC
(5,7),-0.0975181 # DEPENDENCYPART_ARC
(5,8),-2.51659 # DEPENDENCYPART_ARC
(5,9),-0.735483 # DEPENDENCYPART_ARC
(5,10),-0.818644 # DEPENDENCYPART_ARC
(6,1),-1.10866 # DEPENDENCYPART_ARC
(6,2),-1.60858 # DEPENDENCYPART_ARC
(6,3),-2.04263 # DEPENDENCYPART_ARC
(6,5),1.98398 # DEPENDENCYPART_ARC
(6,7),0.156225 # DEPENDENCYPART_ARC
(7,1),1.27936 # DEPENDENCYPART_ARC
(7,2),0.610928 # DEPENDENCYPART_ARC
(7,3),0.236571 # DEPENDENCYPART_ARC
(7,4),0.955567 # DEPENDENCYPART_ARC
(7,5),1.23911 # DEPENDENCYPART_ARC
(7,6),3.555 # DEPENDENCYPART_ARC
(7,8),4.46629 # DEPENDENCYPART_ARC
(7,9),0.192499 # DEPENDENCYPART_ARC
(7,10),0.589473 # DEPENDENCYPART_ARC
(7,11),-0.232978 # DEPENDENCYPART_ARC
(7,12),-0.925282 # DEPENDENCYPART_ARC
(7,13),-0.544001 # DEPENDENCYPART_ARC
(7,14),-0.829505 # DEPENDENCYPART_ARC
(7,17),0.145827 # DEPENDENCYPART_ARC
(7,18),0.36264 # DEPENDENCYPART_ARC
(7,19),-2.56497 # DEPENDENCYPART_ARC
(7,20),-0.442676 # DEPENDENCYPART_ARC
(8,5),-0.671092 # DEPENDENCYPART_ARC
(8,6),-1.67588 # DEPENDENCYPART_ARC
(8,9),-0.339246 # DEPENDENCYPART_ARC
(8,10),-0.355123 # DEPENDENCYPART_ARC
(8,11),-2.6489 # DEPENDENCYPART_ARC
(9,1),-0.634158 # DEPENDENCYPART_ARC
(9,2),-1.28344 # DEPENDENCYPART_ARC
(9,4),-0.526034 # DEPENDENCYPART_ARC
(9,5),-0.496871 # DEPENDENCYPART_ARC
(9,6),-0.868771 # DEPENDENCYPART_ARC
(9,7),-0.711871 # DEPENDENCYPART_ARC
(9,8),-0.818238 # DEPENDENCYPART_ARC
(9,11),-1.33366 # DEPENDENCYPART_ARC
(9,12),0.232491 # DEPENDENCYPART_ARC
(9,13),-0.78395 # DEPENDENCYPART_ARC
(10,4),-0.302176 # DEPENDENCYPART_ARC
(10,7),0.0726519 # DEPENDENCYPART_ARC
(10,8),0.602179 # DEPENDENCYPART_ARC
(10,9),2.2338 # DEPENDENCYPART_ARC
(10,11),-0.194768 # DEPENDENCYPART_ARC
(10,12),0.919256 # DEPENDENCYPART_ARC
(10,13),0.905322 # DEPENDENCYPART_ARC
(10,14),-1.49699 # DEPENDENCYPART_ARC
(10,15),-1.57014 # DEPENDENCYPART_ARC
(10,16),-2.20924 # DEPENDENCYPART_ARC
(10,17),0.402777 # DEPENDENCYPART_ARC
(10,18),0.328887 # DEPENDENCYPART_ARC
(10,19),-0.826543 # DEPENDENCYPART_ARC
(10,21),-3.20381 # DEPENDENCYPART_ARC
(10,22),-1.3616 # DEPENDENCYPART_ARC
(11,6),-6.49631 # DEPENDENCYPART_ARC
(11,7),-1.33346 # DEPENDENCYPART_ARC
(11,8),-5.60873 # DEPENDENCYPART_ARC
(11,9),-0.394095 # DEPENDENCYPART_ARC
(11,10),-0.473992 # DEPENDENCYPART_ARC
(11,12),-0.851594 # DEPENDENCYPART_ARC
(11,14),-0.25007 # DEPENDENCYPART_ARC
(11,15),-0.215579 # DEPENDENCYPART_ARC
(11,16),-2.90924 # DEPENDENCYPART_ARC
(11,19),-4.16887 # DEPENDENCYPART_ARC
(12,1),0.0470445 # DEPENDENCYPART_ARC
(12,3),-2.75169 # DEPENDENCYPART_ARC
(12,4),-3.68451 # DEPENDENCYPART_ARC
(12,5),-2.01228 # DEPENDENCYPART_ARC
(12,7),-2.29101 # DEPENDENCYPART_ARC
(12,8),-3.33354 # DEPENDENCYPART_ARC
(12,9),-0.968935 # DEPENDENCYPART_ARC
(12,10),-1.00713 # DEPENDENCYPART_ARC
(12,11),-0.0446434 # DEPENDENCYPART_ARC
(12,13),-1.68699 # DEPENDENCYPART_ARC
(12,14),-1.24821 # DEPENDENCYPART_ARC
(12,15),-1.41863 # DEPENDENCYPART_ARC
(12,16),-1.82746 # DEPENDENCYPART_ARC
(12,17),-0.507074 # DEPENDENCYPART_ARC
(12,18),-0.116584 # DEPENDENCYPART_ARC
(12,21),-3.37557 # DEPENDENCYPART_ARC
(13,1),0.746723 # DEPENDENCYPART_ARC
(13,2),-1.91604 # DEPENDENCYPART_ARC
(13,3),0.0385743 # DEPENDENCYPART_ARC
(13,4),-2.06811 # DEPENDENCYPART_ARC
(13,5),-0.567394 # DEPENDENCYPART_ARC
(13,6),-1.37591 # DEPENDENCYPART_ARC
(13,7),-0.447904 # DEPENDENCYPART_ARC
(13,8),-0.9495 # DEPENDENCYPART_ARC
(13,9),-0.113925 # DEPENDENCYPART_ARC
(13,10),0.640883 # DEPENDENCYPART_ARC
(13,11),2.50066 # DEPENDENCYPART_ARC
(13,12),3.52855 # DEPENDENCYPART_ARC
(13,14),0.672558 # DEPENDENCYPART_ARC
(13,15),1.62692 # DEPENDENCYPART_ARC
(13,16),1.18613 # DEPENDENCYPART_ARC
(13,17),0.788384 # DEPENDENCYPART_ARC
(13,18),0.646338 # DEPENDENCYPART_ARC
(13,19),-1.40337 # DEPENDENCYPART_ARC
(13,20),-2.03161 # DEPENDENCYPART_ARC
(13,21),-0.748835 # DEPENDENCYPART_ARC
(13,22),-0.504077 # DEPENDENCYPART_ARC
(14,11),-2.02077 # DEPENDENCYPART_ARC
(14,13),-1.06084 # DEPENDENCYPART_ARC
(14,15),-0.272074 # DEPENDENCYPART_ARC
(14,16),-0.663863 # DEPENDENCYPART_ARC
(14,17),-0.879148 # DEPENDENCYPART_ARC
(14,19),-1.34367 # DEPENDENCYPART_ARC
(14,21),-2.3052 # DEPENDENCYPART_ARC
(14,22),-1.65535 # DEPENDENCYPART_ARC
(15,14),0.0442237 # DEPENDENCYPART_ARC
(15,16),3.87328 # DEPENDENCYPART_ARC
(15,17),0.518021 # DEPENDENCYPART_ARC
(15,18),0.0129261 # DEPENDENCYPART_ARC
(15,19),-0.771514 # DEPENDENCYPART_ARC
(15,20),-1.67278 # DEPENDENCYPART_ARC
(15,21),-4.27982 # DEPENDENCYPART_ARC
(16,14),1.93511 # DEPENDENCYPART_ARC
(16,15),-0.329073 # DEPENDENCYPART_ARC
(16,18),-0.658899 # DEPENDENCYPART_ARC
(16,19),-0.943066 # DEPENDENCYPART_ARC
(16,20),-2.29235 # DEPENDENCYPART_ARC
(16,21),-2.65867 # DEPENDENCYPART_ARC
(17,4),-1.50361 # DEPENDENCYPART_ARC
(17,9),-0.687042 # DEPENDENCYPART_ARC
(17,10),-0.84368 # DEPENDENCYPART_ARC
(17,11),-1.56787 # DEPENDENCYPART_ARC
(17,12),-0.634655 # DEPENDENCYPART_ARC
(17,13),-0.539331 # DEPENDENCYPART_ARC
(17,14),-0.30918 # DEPENDENCYPART_ARC
(17,15),-0.436957 # DEPENDENCYPART_ARC
(17,16),0.496711 # DEPENDENCYPART_ARC
(17,18),-0.634676 # DEPENDENCYPART_ARC
(17,19),-0.635711 # DEPENDENCYPART_ARC
(17,20),-1.157 # DEPENDENCYPART_ARC
(17,21),-0.562066 # DEPENDENCYPART_ARC
(17,22),-0.896144 # DEPENDENCYPART_ARC
(18,12),-1.92508 # DEPENDENCYPART_ARC
(18,13),-1.98389 # DEPENDENCYPART_ARC
(18,15),-2.12217 # DEPENDENCYPART_ARC
(18,16),-2.11234 # DEPENDENCYPART_ARC
(18,17),-2.01231 # DEPENDENCYPART_ARC
(18,19),-1.77523 # DEPENDENCYPART_ARC
(18,20),-2.37875 # DEPENDENCYPART_ARC
(18,21),-3.01998 # DEPENDENCYPART_ARC
(19,1),-0.0507404 # DEPENDENCYPART_ARC
(19,3),-1.51999 # DEPENDENCYPART_ARC
(19,4),-1.12795 # DEPENDENCYPART_ARC
(19,6),-1.4896 # DEPENDENCYPART_ARC
(19,7),-0.763458 # DEPENDENCYPART_ARC
(19,8),-1.3019 # DEPENDENCYPART_ARC
(19,10),-0.65633 # DEPENDENCYPART_ARC
(19,11),-0.759933 # DEPENDENCYPART_ARC
(19,12),0.267434 # DEPENDENCYPART_ARC
(19,13),-0.42167 # DEPENDENCYPART_ARC
(19,14),-0.451681 # DEPENDENCYPART_ARC
(19,15),-0.275502 # DEPENDENCYPART_ARC
(19,16),-0.687028 # DEPENDENCYPART_ARC
(19,17),0.47304 # DEPENDENCYPART_ARC
(19,18),0.0408919 # DEPENDENCYPART_ARC
(19,20),1.18315 # DEPENDENCYPART_ARC
(19,21),2.67779 # DEPENDENCYPART_ARC
(19,22),-0.0136613 # DEPENDENCYPART_ARC
(20,15),-0.815263 # DEPENDENCYPART_ARC
(20,21),-0.603732 # DEPENDENCYPART_ARC
(20,22),-0.538413 # DEPENDENCYPART_ARC
(21,14),-0.0234348 # DEPENDENCYPART_ARC
(21,16),-5.08887 # DEPENDENCYPART_ARC
(21,18),-0.19977 # DEPENDENCYPART_ARC
(21,20),5.10261 # DEPENDENCYPART_ARC
(21,22),0.201839 # DEPENDENCYPART_ARC
