# _root_ Přesto se zdá , že největší nadějí na zmírnění vlny je bouřlivé počasí , které meteorologové čekají ode dneška .
#goldHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
#predictedHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
(0,1),0.666276 # DEPENDENCYPART_ARC
(0,3),-0.298402 # DEPENDENCYPART_ARC
(0,4),-0.539452 # DEPENDENCYPART_ARC
(0,5),-2.3484 # DEPENDENCYPART_ARC
(0,11),-0.626158 # DEPENDENCYPART_ARC
(0,14),-0.84409 # DEPENDENCYPART_ARC
(0,17),-1.18156 # DEPENDENCYPART_ARC
(0,20),3.78377 # DEPENDENCYPART_ARC
(1,3),0.785643 # DEPENDENCYPART_ARC
(1,4),0.124131 # DEPENDENCYPART_ARC
(1,5),-0.908989 # DEPENDENCYPART_ARC
(1,7),-2.29718 # DEPENDENCYPART_ARC
(3,1),1.99311 # DEPENDENCYPART_ARC
(3,2),4.13301 # DEPENDENCYPART_ARC
(3,4),1.0741 # DEPENDENCYPART_ARC
(3,5),1.88574 # DEPENDENCYPART_ARC
(3,6),-4.55476 # DEPENDENCYPART_ARC
(3,7),-0.877131 # DEPENDENCYPART_ARC
(3,8),-0.427831 # DEPENDENCYPART_ARC
(3,9),-2.61948 # DEPENDENCYPART_ARC
(3,10),-4.13823 # DEPENDENCYPART_ARC
(3,11),-2.33153 # DEPENDENCYPART_ARC
(3,13),-2.45812 # DEPENDENCYPART_ARC
(3,14),-0.352562 # DEPENDENCYPART_ARC
(3,18),-1.76879 # DEPENDENCYPART_ARC
(4,1),-1.24949 # DEPENDENCYPART_ARC
(4,2),-0.750546 # DEPENDENCYPART_ARC
(4,3),-1.19319 # DEPENDENCYPART_ARC
(4,5),-0.0305347 # DEPENDENCYPART_ARC
(4,6),-0.989151 # DEPENDENCYPART_ARC
(4,7),-1.64136 # DEPENDENCYPART_ARC
(4,11),-1.17146 # DEPENDENCYPART_ARC
(5,1),-1.07556 # DEPENDENCYPART_ARC
(5,3),-2.17463 # DEPENDENCYPART_ARC
(5,4),2.58314 # DEPENDENCYPART_ARC
(5,6),0.733392 # DEPENDENCYPART_ARC
(5,7),-1.13929 # DEPENDENCYPART_ARC
(5,8),-1.30429 # DEPENDENCYPART_ARC
(5,10),-2.72378 # DEPENDENCYPART_ARC
(5,11),1.61323 # DEPENDENCYPART_ARC
(5,14),0.214786 # DEPENDENCYPART_ARC
(5,17),0.443306 # DEPENDENCYPART_ARC
(6,1),-2.37136 # DEPENDENCYPART_ARC
(6,3),-3.93583 # DEPENDENCYPART_ARC
(6,4),-1.57991 # DEPENDENCYPART_ARC
(6,5),-1.1245 # DEPENDENCYPART_ARC
(6,7),-0.0172427 # DEPENDENCYPART_ARC
(6,8),0.0670318 # DEPENDENCYPART_ARC
(6,9),-2.85216 # DEPENDENCYPART_ARC
(7,1),-1.38044 # DEPENDENCYPART_ARC
(7,2),-3.57885 # DEPENDENCYPART_ARC
(7,3),-1.42157 # DEPENDENCYPART_ARC
(7,4),-0.138481 # DEPENDENCYPART_ARC
(7,5),-0.0933169 # DEPENDENCYPART_ARC
(7,6),3.78693 # DEPENDENCYPART_ARC
