# _root_ V něm si několik prostitutek najalo vysloužilé zabijáky , aby se pomstily dvěma zákazníkům , kteří v opilosti jednu z nich zohavili .
#goldHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,22,19,20,14,0,
#predictedHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,16,19,20,14,0,
(0,1),-1.55676 # DEPENDENCYPART_ARC
(0,4),-1.21431 # DEPENDENCYPART_ARC
(0,5),-2.51885 # DEPENDENCYPART_ARC
(0,6),0.0578922 # DEPENDENCYPART_ARC
(0,8),-2.41223 # DEPENDENCYPART_ARC
(0,9),-0.610558 # DEPENDENCYPART_ARC
(0,10),-2.85336 # DEPENDENCYPART_ARC
(0,12),-1.17594 # DEPENDENCYPART_ARC
(0,13),-2.99681 # DEPENDENCYPART_ARC
(0,15),-0.931141 # DEPENDENCYPART_ARC
(0,19),-3.56499 # DEPENDENCYPART_ARC
(0,22),-2.57022 # DEPENDENCYPART_ARC
(0,23),4.0904 # DEPENDENCYPART_ARC
(1,2),2.10551 # DEPENDENCYPART_ARC
(1,5),-0.836127 # DEPENDENCYPART_ARC
(1,8),-4.27065 # DEPENDENCYPART_ARC
(4,5),3.65807 # DEPENDENCYPART_ARC
(4,6),-1.08726 # DEPENDENCYPART_ARC
(4,8),-0.311569 # DEPENDENCYPART_ARC
(5,1),-1.30904 # DEPENDENCYPART_ARC
(5,3),-1.39099 # DEPENDENCYPART_ARC
(5,4),0.0660826 # DEPENDENCYPART_ARC
(5,6),-1.16541 # DEPENDENCYPART_ARC
(5,7),-2.64593 # DEPENDENCYPART_ARC
(5,8),-4.38516 # DEPENDENCYPART_ARC
(5,9),-0.925879 # DEPENDENCYPART_ARC
(5,10),-1.16868 # DEPENDENCYPART_ARC
(5,12),-2.81179 # DEPENDENCYPART_ARC
(5,13),-3.87338 # DEPENDENCYPART_ARC
(6,1),2.64078 # DEPENDENCYPART_ARC
(6,3),2.60303 # DEPENDENCYPART_ARC
(6,4),1.47235 # DEPENDENCYPART_ARC
(6,5),-0.954548 # DEPENDENCYPART_ARC
(6,7),-0.893713 # DEPENDENCYPART_ARC
(6,8),0.910448 # DEPENDENCYPART_ARC
(6,9),0.353457 # DEPENDENCYPART_ARC
(6,10),1.39557 # DEPENDENCYPART_ARC
(6,12),-4.17889 # DEPENDENCYPART_ARC
(6,13),-1.37441 # DEPENDENCYPART_ARC
(6,14),-3.18324 # DEPENDENCYPART_ARC
(6,15),-0.2208 # DEPENDENCYPART_ARC
(6,17),-1.60266 # DEPENDENCYPART_ARC
(6,19),-2.8439 # DEPENDENCYPART_ARC
(6,20),-1.97524 # DEPENDENCYPART_ARC
(6,22),-4.92574 # DEPENDENCYPART_ARC
(7,1),-1.41254 # DEPENDENCYPART_ARC
(7,3),-0.560272 # DEPENDENCYPART_ARC
(7,4),-0.803226 # DEPENDENCYPART_ARC
(7,5),-4.69227 # DEPENDENCYPART_ARC
(7,8),-0.10302 # DEPENDENCYPART_ARC
(7,9),-0.782403 # DEPENDENCYPART_ARC
(7,10),-0.124853 # DEPENDENCYPART_ARC
(7,12),-1.91416 # DEPENDENCYPART_ARC
(8,1),-1.54224 # DEPENDENCYPART_ARC
(8,3),-2.70586 # DEPENDENCYPART_ARC
(8,4),-1.34667 # DEPENDENCYPART_ARC
(8,5),-4.90158 # DEPENDENCYPART_ARC
(8,6),-1.81903 # DEPENDENCYPART_ARC
(8,7),5.34863 # DEPENDENCYPART_ARC
(8,9),-0.352375 # DEPENDENCYPART_ARC
(8,10),0.134914 # DEPENDENCYPART_ARC
(8,12),-0.475325 # DEPENDENCYPART_ARC
(8,13),-3.73661 # DEPENDENCYPART_ARC
(8,14),-3.86153 # DEPENDENCYPART_ARC
(8,19),-4.24125 # DEPENDENCYPART_ARC
(8,22),-1.10188 # DEPENDENCYPART_ARC
(9,1),-1.78526 # DEPENDENCYPART_ARC
(9,5),-1.02573 # DEPENDENCYPART_ARC
(9,6),-0.157676 # DEPENDENCYPART_ARC
(9,7),-0.494009 # DEPENDENCYPART_ARC
(9,8),-0.650525 # DEPENDENCYPART_ARC
(9,10),-0.0753038 # DEPENDENCYPART_ARC
(9,12),0.294278 # DEPENDENCYPART_ARC
(9,13),-1.02482 # DEPENDENCYPART_ARC
(9,14),-1.06224 # DEPENDENCYPART_ARC
(9,15),-0.187115 # DEPENDENCYPART_ARC
(9,20),-1.6101 # DEPENDENCYPART_ARC
(9,22),-0.917143 # DEPENDENCYPART_ARC
(10,5),-1.16368 # DEPENDENCYPART_ARC
(10,6),-0.403148 # DEPENDENCYPART_ARC
(10,7),-0.651401 # DEPENDENCYPART_ARC
(10,8),-0.611517 # DEPENDENCYPART_ARC
(10,9),2.49302 # DEPENDENCYPART_ARC
(10,12),2.38846 # DEPENDENCYPART_ARC
(10,14),-0.793581 # DEPENDENCYPART_ARC
(10,15),0.638273 # DEPENDENCYPART_ARC
(10,17),-2.19376 # DEPENDENCYPART_ARC
(10,20),-1.69498 # DEPENDENCYPART_ARC
(10,22),0.54311 # DEPENDENCYPART_ARC
