# _root_ Přestože soupeř v závěru již nehrál v nejsilnější sestavě , považuji výhru za náš úspěch , " konstatoval olomoucký trenér Jiří Teplý .
#goldHeads=11,6,6,3,6,1,6,9,7,1,18,11,11,15,13,11,11,0,20,22,22,18,0,
#predictedHeads=18,6,6,3,6,1,6,9,7,1,0,11,12,15,13,11,11,0,20,21,22,18,0,
(0,1),-0.212802 # DEPENDENCYPART_ARC
(0,2),-1.72031 # DEPENDENCYPART_ARC
(0,3),-0.421211 # DEPENDENCYPART_ARC
(0,6),0.156114 # DEPENDENCYPART_ARC
(0,10),-0.719089 # DEPENDENCYPART_ARC
(0,11),1.27981 # DEPENDENCYPART_ARC
(0,16),-0.0174404 # DEPENDENCYPART_ARC
(0,18),3.42042 # DEPENDENCYPART_ARC
(0,23),3.49808 # DEPENDENCYPART_ARC
(1,2),0.563018 # DEPENDENCYPART_ARC
(1,3),-0.126551 # DEPENDENCYPART_ARC
(1,4),-0.712687 # DEPENDENCYPART_ARC
(1,5),-0.250921 # DEPENDENCYPART_ARC
(1,6),1.58548 # DEPENDENCYPART_ARC
(1,7),-1.45344 # DEPENDENCYPART_ARC
(1,10),2.81908 # DEPENDENCYPART_ARC
(1,11),0.349171 # DEPENDENCYPART_ARC
(1,16),1.59049 # DEPENDENCYPART_ARC
(1,17),0.357576 # DEPENDENCYPART_ARC
(1,18),-0.70678 # DEPENDENCYPART_ARC
(1,23),-1.71029 # DEPENDENCYPART_ARC
(2,1),-0.0165222 # DEPENDENCYPART_ARC
(2,3),1.35077 # DEPENDENCYPART_ARC
(2,4),0.0465392 # DEPENDENCYPART_ARC
(2,5),0.00894033 # DEPENDENCYPART_ARC
(2,6),-0.561228 # DEPENDENCYPART_ARC
(2,7),-1.39974 # DEPENDENCYPART_ARC
(2,8),-3.49131 # DEPENDENCYPART_ARC
(2,11),-3.02275 # DEPENDENCYPART_ARC
(3,2),-2.6483 # DEPENDENCYPART_ARC
(3,4),4.08382 # DEPENDENCYPART_ARC
(3,5),-1.09952 # DEPENDENCYPART_ARC
(4,1),-0.781755 # DEPENDENCYPART_ARC
(4,2),-0.953602 # DEPENDENCYPART_ARC
(4,3),1.9497 # DEPENDENCYPART_ARC
(4,5),0.32958 # DEPENDENCYPART_ARC
(4,6),-1.55336 # DEPENDENCYPART_ARC
(4,7),-0.999795 # DEPENDENCYPART_ARC
