# _root_ Podstatné je , že tyto peníze nejdou z podstaty , ale z lepších než očekávaných výsledků hospodaření .
#goldHeads=2,0,4,2,6,7,4,11,8,11,7,11,16,13,14,12,16,0,
#predictedHeads=2,0,4,2,6,7,4,7,8,11,7,11,12,13,14,12,16,0,
(0,1),-0.657634 # DEPENDENCYPART_ARC
(0,2),0.166437 # DEPENDENCYPART_ARC
(0,3),0.0745124 # DEPENDENCYPART_ARC
(0,4),-1.77792 # DEPENDENCYPART_ARC
(0,5),-1.93799 # DEPENDENCYPART_ARC
(0,7),-0.479678 # DEPENDENCYPART_ARC
(0,10),-0.656737 # DEPENDENCYPART_ARC
(0,11),0.273603 # DEPENDENCYPART_ARC
(0,18),3.6876 # DEPENDENCYPART_ARC
(1,2),-1.61346 # DEPENDENCYPART_ARC
(1,3),-1.07922 # DEPENDENCYPART_ARC
(1,4),-0.510696 # DEPENDENCYPART_ARC
(1,5),-2.0125 # DEPENDENCYPART_ARC
(1,6),-2.99951 # DEPENDENCYPART_ARC
(2,1),2.84786 # DEPENDENCYPART_ARC
(2,3),0.544611 # DEPENDENCYPART_ARC
(2,4),1.77995 # DEPENDENCYPART_ARC
(2,5),-2.87034 # DEPENDENCYPART_ARC
(2,6),-1.38215 # DEPENDENCYPART_ARC
(2,7),-1.49777 # DEPENDENCYPART_ARC
(2,8),-1.37224 # DEPENDENCYPART_ARC
(2,10),0.0182287 # DEPENDENCYPART_ARC
(2,11),-0.133776 # DEPENDENCYPART_ARC
(2,13),-5.06006 # DEPENDENCYPART_ARC
(2,17),-4.94734 # DEPENDENCYPART_ARC
(3,1),-1.30065 # DEPENDENCYPART_ARC
(3,2),-0.949045 # DEPENDENCYPART_ARC
(3,4),0.198942 # DEPENDENCYPART_ARC
(3,5),-1.36726 # DEPENDENCYPART_ARC
(3,6),-1.49699 # DEPENDENCYPART_ARC
(3,7),-0.629149 # DEPENDENCYPART_ARC
(4,1),-1.41925 # DEPENDENCYPART_ARC
(4,2),-1.32063 # DEPENDENCYPART_ARC
(4,3),2.65507 # DEPENDENCYPART_ARC
(4,5),-0.0353087 # DEPENDENCYPART_ARC
(4,6),-1.71269 # DEPENDENCYPART_ARC
(4,7),2.29071 # DEPENDENCYPART_ARC
(4,8),-1.82818 # DEPENDENCYPART_ARC
(4,10),0.652768 # DEPENDENCYPART_ARC
(4,11),0.303972 # DEPENDENCYPART_ARC
(4,12),-1.93364 # DEPENDENCYPART_ARC
(4,14),-0.985684 # DEPENDENCYPART_ARC
(5,1),-2.38186 # DEPENDENCYPART_ARC
(5,2),-3.66267 # DEPENDENCYPART_ARC
(5,3),-1.06886 # DEPENDENCYPART_ARC
(5,4),-0.348301 # DEPENDENCYPART_ARC
(5,6),-0.0391967 # DEPENDENCYPART_ARC
(5,7),-1.62746 # DEPENDENCYPART_ARC
(5,8),0.0643397 # DEPENDENCYPART_ARC
(5,9),-1.12272 # DEPENDENCYPART_ARC
(5,11),-0.75521 # DEPENDENCYPART_ARC
(5,12),-0.705753 # DEPENDENCYPART_ARC
(6,1),-1.88993 # DEPENDENCYPART_ARC
(6,2),-2.4748 # DEPENDENCYPART_ARC
(6,3),-0.14422 # DEPENDENCYPART_ARC
(6,4),-0.31873 # DEPENDENCYPART_ARC
(6,5),4.88298 # DEPENDENCYPART_ARC
(6,7),-1.68009 # DEPENDENCYPART_ARC
(6,8),-0.936601 # DEPENDENCYPART_ARC
(6,9),-1.71809 # DEPENDENCYPART_ARC
(6,11),-1.11288 # DEPENDENCYPART_ARC
(6,12),-1.49664 # DEPENDENCYPART_ARC
(7,1),-1.04306 # DEPENDENCYPART_ARC
(7,2),-1.96252 # DEPENDENCYPART_ARC
(7,3),0.299833 # DEPENDENCYPART_ARC
(7,4),-0.291347 # DEPENDENCYPART_ARC
