# _root_ Jde zhruba o polovinu Afriky , velkou část Asie , Jižní a Střední Ameriku a Irsko .
#goldHeads=0,4,1,15,4,15,8,15,8,15,12,14,12,15,3,15,0,
#predictedHeads=0,1,1,3,4,15,8,6,8,15,12,14,12,15,3,15,0,
(0,1),-0.0497867 # DEPENDENCYPART_ARC
(0,2),-1.18337 # DEPENDENCYPART_ARC
(0,3),-1.61832 # DEPENDENCYPART_ARC
(0,4),-1.78232 # DEPENDENCYPART_ARC
(0,5),-1.14314 # DEPENDENCYPART_ARC
(0,6),-0.62174 # DEPENDENCYPART_ARC
(0,10),-1.00967 # DEPENDENCYPART_ARC
(0,12),-1.29524 # DEPENDENCYPART_ARC
(0,15),-1.58437 # DEPENDENCYPART_ARC
(0,17),3.58064 # DEPENDENCYPART_ARC
(1,2),1.35543 # DEPENDENCYPART_ARC
(1,3),2.29936 # DEPENDENCYPART_ARC
(1,4),0.328883 # DEPENDENCYPART_ARC
(1,5),-1.43941 # DEPENDENCYPART_ARC
(1,6),0.216449 # DEPENDENCYPART_ARC
(1,7),-3.45219 # DEPENDENCYPART_ARC
(1,8),-0.411135 # DEPENDENCYPART_ARC
(1,9),-3.06983 # DEPENDENCYPART_ARC
(1,10),0.0375096 # DEPENDENCYPART_ARC
(1,11),-3.09321 # DEPENDENCYPART_ARC
(1,12),-0.329873 # DEPENDENCYPART_ARC
(1,14),-2.45386 # DEPENDENCYPART_ARC
(1,15),-0.502566 # DEPENDENCYPART_ARC
(1,16),-3.18727 # DEPENDENCYPART_ARC
(1,17),-0.603788 # DEPENDENCYPART_ARC
(2,1),-0.954827 # DEPENDENCYPART_ARC
(2,3),-0.712072 # DEPENDENCYPART_ARC
(2,4),-1.33808 # DEPENDENCYPART_ARC
(3,2),0.567607 # DEPENDENCYPART_ARC
(3,4),3.53297 # DEPENDENCYPART_ARC
(3,5),-2.23552 # DEPENDENCYPART_ARC
(3,6),0.355399 # DEPENDENCYPART_ARC
(3,8),-1.09552 # DEPENDENCYPART_ARC
(3,10),0.0943517 # DEPENDENCYPART_ARC
(3,12),0.0782438 # DEPENDENCYPART_ARC
(3,15),0.593278 # DEPENDENCYPART_ARC
(4,1),-1.42172 # DEPENDENCYPART_ARC
(4,2),1.33654 # DEPENDENCYPART_ARC
(4,3),0.475409 # DEPENDENCYPART_ARC
(4,5),3.87777 # DEPENDENCYPART_ARC
(4,6),-0.105638 # DEPENDENCYPART_ARC
(4,7),1.1176 # DEPENDENCYPART_ARC
(4,8),-1.24959 # DEPENDENCYPART_ARC
(4,9),1.62907 # DEPENDENCYPART_ARC
(4,10),-0.162427 # DEPENDENCYPART_ARC
(4,11),0.616257 # DEPENDENCYPART_ARC
(4,12),-0.373251 # DEPENDENCYPART_ARC
(4,14),-1.98772 # DEPENDENCYPART_ARC
(4,15),-0.00962889 # DEPENDENCYPART_ARC
(4,16),-2.60455 # DEPENDENCYPART_ARC
(5,1),-1.99826 # DEPENDENCYPART_ARC
(5,2),0.373921 # DEPENDENCYPART_ARC
(5,3),-1.27689 # DEPENDENCYPART_ARC
(5,4),-0.724421 # DEPENDENCYPART_ARC
(5,6),-1.03035 # DEPENDENCYPART_ARC
(5,7),-1.80215 # DEPENDENCYPART_ARC
(5,8),-4.72769 # DEPENDENCYPART_ARC
(5,9),0.164522 # DEPENDENCYPART_ARC
(5,11),-2.63853 # DEPENDENCYPART_ARC
(5,12),-0.612311 # DEPENDENCYPART_ARC
(5,15),-1.18528 # DEPENDENCYPART_ARC
(6,1),-0.0482828 # DEPENDENCYPART_ARC
(6,2),0.060262 # DEPENDENCYPART_ARC
(6,3),0.199972 # DEPENDENCYPART_ARC
(6,4),1.14171 # DEPENDENCYPART_ARC
(6,5),1.21916 # DEPENDENCYPART_ARC
(6,7),0.300731 # DEPENDENCYPART_ARC
(6,8),1.32362 # DEPENDENCYPART_ARC
(6,9),1.07767 # DEPENDENCYPART_ARC
(6,10),0.417483 # DEPENDENCYPART_ARC
(6,11),-0.891684 # DEPENDENCYPART_ARC
(6,14),0.211322 # DEPENDENCYPART_ARC
(6,15),-0.172544 # DEPENDENCYPART_ARC
(6,16),-0.536564 # DEPENDENCYPART_ARC
(7,1),-3.65671 # DEPENDENCYPART_ARC
(7,6),0.350696 # DEPENDENCYPART_ARC
(7,8),-0.708324 # DEPENDENCYPART_ARC
(7,9),-0.437925 # DEPENDENCYPART_ARC
(7,17),-1.74272 # DEPENDENCYPART_ARC
(8,1),-1.55684 # DEPENDENCYPART_ARC
(8,2),0.230438 # DEPENDENCYPART_ARC
(8,3),-0.442959 # DEPENDENCYPART_ARC
(8,5),-2.39707 # DEPENDENCYPART_ARC
(8,6),0.349985 # DEPENDENCYPART_ARC
(8,7),4.19314 # DEPENDENCYPART_ARC
(8,9),4.63356 # DEPENDENCYPART_ARC
(8,10),0.344896 # DEPENDENCYPART_ARC
(8,11),1.91225 # DEPENDENCYPART_ARC
(8,12),0.764904 # DEPENDENCYPART_ARC
(8,13),0.585994 # DEPENDENCYPART_ARC
(8,14),-0.439265 # DEPENDENCYPART_ARC
(8,15),1.00982 # DEPENDENCYPART_ARC
(8,16),-1.60027 # DEPENDENCYPART_ARC
(9,4),-3.04801 # DEPENDENCYPART_ARC
(9,5),-2.03177 # DEPENDENCYPART_ARC
(9,7),0.497245 # DEPENDENCYPART_ARC
(9,8),-1.34382 # DEPENDENCYPART_ARC
(9,10),-1.10588 # DEPENDENCYPART_ARC
(9,11),-1.59754 # DEPENDENCYPART_ARC
(9,12),-0.226681 # DEPENDENCYPART_ARC
(9,13),-3.42767 # DEPENDENCYPART_ARC
(9,14),-4.51976 # DEPENDENCYPART_ARC
(9,15),-0.983206 # DEPENDENCYPART_ARC
(9,16),-6.17081 # DEPENDENCYPART_ARC
(10,1),-0.609084 # DEPENDENCYPART_ARC
(10,2),-0.584237 # DEPENDENCYPART_ARC
(10,3),-0.626063 # DEPENDENCYPART_ARC
(10,4),0.824969 # DEPENDENCYPART_ARC
(10,5),0.444025 # DEPENDENCYPART_ARC
(10,6),0.11617 # DEPENDENCYPART_ARC
(10,7),0.0594657 # DEPENDENCYPART_ARC
(10,8),0.0508112 # DEPENDENCYPART_ARC
(10,9),0.789711 # DEPENDENCYPART_ARC
(10,11),-0.221645 # DEPENDENCYPART_ARC
(10,12),-0.0304318 # DEPENDENCYPART_ARC
(10,13),-0.242758 # DEPENDENCYPART_ARC
(10,14),0.842837 # DEPENDENCYPART_ARC
(10,15),-0.270713 # DEPENDENCYPART_ARC
(10,16),-0.179745 # DEPENDENCYPART_ARC
(10,17),-0.331367 # DEPENDENCYPART_ARC
(11,9),-2.601 # DEPENDENCYPART_ARC
(11,10),0.293515 # DEPENDENCYPART_ARC
(11,14),-2.28003 # DEPENDENCYPART_ARC
(11,16),-2.42461 # DEPENDENCYPART_ARC
(11,17),-1.09588 # DEPENDENCYPART_ARC
(12,1),-0.981474 # DEPENDENCYPART_ARC
(12,2),0.444014 # DEPENDENCYPART_ARC
(12,3),-0.363784 # DEPENDENCYPART_ARC
(12,4),0.921371 # DEPENDENCYPART_ARC
(12,5),1.01386 # DEPENDENCYPART_ARC
(12,6),0.519184 # DEPENDENCYPART_ARC
(12,7),0.908816 # DEPENDENCYPART_ARC
(12,8),0.778525 # DEPENDENCYPART_ARC
(12,9),1.1929 # DEPENDENCYPART_ARC
(12,10),0.758074 # DEPENDENCYPART_ARC
(12,11),4.18199 # DEPENDENCYPART_ARC
(12,13),6.58238 # DEPENDENCYPART_ARC
(12,14),1.13969 # DEPENDENCYPART_ARC
(12,15),-0.129632 # DEPENDENCYPART_ARC
(12,16),0.336172 # DEPENDENCYPART_ARC
(12,17),-0.485399 # DEPENDENCYPART_ARC
(13,14),-1.39539 # DEPENDENCYPART_ARC
(14,7),0.319183 # DEPENDENCYPART_ARC
(14,11),-0.122338 # DEPENDENCYPART_ARC
(14,12),1.76312 # DEPENDENCYPART_ARC
(14,13),3.08922 # DEPENDENCYPART_ARC
(14,16),-2.57395 # DEPENDENCYPART_ARC
(15,1),-0.369218 # DEPENDENCYPART_ARC
(15,2),0.569173 # DEPENDENCYPART_ARC
(15,3),-0.869814 # DEPENDENCYPART_ARC
(15,4),1.29183 # DEPENDENCYPART_ARC
(15,5),2.2847 # DEPENDENCYPART_ARC
(15,6),0.98904 # DEPENDENCYPART_ARC
(15,7),0.431227 # DEPENDENCYPART_ARC
(15,8),1.13663 # DEPENDENCYPART_ARC
(15,9),2.03054 # DEPENDENCYPART_ARC
(15,10),1.03711 # DEPENDENCYPART_ARC
(15,11),0.62543 # DEPENDENCYPART_ARC
(15,12),0.603099 # DEPENDENCYPART_ARC
(15,13),2.04762 # DEPENDENCYPART_ARC
(15,14),3.57219 # DEPENDENCYPART_ARC
(15,16),3.45965 # DEPENDENCYPART_ARC
(15,17),0.101384 # DEPENDENCYPART_ARC
(16,17),-0.541909 # DEPENDENCYPART_ARC
