# _root_ To má za následek , že k fixaci neutrálních mutací dochází vždy konstantní rychlostí , závislou na rychlosti vzniku nových mutací a nezávislou na velikosti populace .
#goldHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,22,22,16,17,18,21,19,14,22,23,24,25,0,
#predictedHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,16,14,16,17,18,21,19,19,22,23,24,25,0,
(0,1),-0.911197 # DEPENDENCYPART_ARC
(0,2),-0.4558 # DEPENDENCYPART_ARC
(0,3),-1.32101 # DEPENDENCYPART_ARC
(0,4),-1.72345 # DEPENDENCYPART_ARC
(0,5),-0.439438 # DEPENDENCYPART_ARC
(0,6),-2.06467 # DEPENDENCYPART_ARC
(0,11),-0.98517 # DEPENDENCYPART_ARC
(0,15),-1.18515 # DEPENDENCYPART_ARC
(0,22),-2.30859 # DEPENDENCYPART_ARC
(0,27),3.83336 # DEPENDENCYPART_ARC
(1,2),-0.348806 # DEPENDENCYPART_ARC
(1,3),-1.38206 # DEPENDENCYPART_ARC
(1,4),-2.00438 # DEPENDENCYPART_ARC
(1,6),-1.39519 # DEPENDENCYPART_ARC
(2,1),3.49322 # DEPENDENCYPART_ARC
(2,3),2.28148 # DEPENDENCYPART_ARC
(2,4),1.3356 # DEPENDENCYPART_ARC
(2,5),0.866678 # DEPENDENCYPART_ARC
(2,6),0.994972 # DEPENDENCYPART_ARC
(2,7),-0.883778 # DEPENDENCYPART_ARC
(2,8),-2.30947 # DEPENDENCYPART_ARC
(2,9),-6.15729 # DEPENDENCYPART_ARC
(2,10),-3.72229 # DEPENDENCYPART_ARC
(2,11),-2.02072 # DEPENDENCYPART_ARC
(2,12),-0.598371 # DEPENDENCYPART_ARC
(2,14),-1.60062 # DEPENDENCYPART_ARC
(2,15),-0.234594 # DEPENDENCYPART_ARC
(2,22),-1.26168 # DEPENDENCYPART_ARC
(2,26),-4.44257 # DEPENDENCYPART_ARC
(3,1),-1.41185 # DEPENDENCYPART_ARC
(3,4),3.84873 # DEPENDENCYPART_ARC
(3,5),-0.186747 # DEPENDENCYPART_ARC
(3,6),-1.00523 # DEPENDENCYPART_ARC
(3,8),-1.96404 # DEPENDENCYPART_ARC
(4,1),-3.11419 # DEPENDENCYPART_ARC
(4,2),-1.33757 # DEPENDENCYPART_ARC
(4,3),0.485348 # DEPENDENCYPART_ARC
(4,5),-0.864365 # DEPENDENCYPART_ARC
(4,6),0.518278 # DEPENDENCYPART_ARC
(4,8),-2.11115 # DEPENDENCYPART_ARC
(4,9),-4.65991 # DEPENDENCYPART_ARC
(4,10),-0.290191 # DEPENDENCYPART_ARC
(4,11),-1.46823 # DEPENDENCYPART_ARC
(4,13),-4.3462 # DEPENDENCYPART_ARC
(4,16),-4.10854 # DEPENDENCYPART_ARC
(5,1),-0.81181 # DEPENDENCYPART_ARC
(5,2),-0.29097 # DEPENDENCYPART_ARC
(5,3),-0.493594 # DEPENDENCYPART_ARC
(5,4),0.0997264 # DEPENDENCYPART_ARC
(5,6),0.194575 # DEPENDENCYPART_ARC
(5,7),-0.899216 # DEPENDENCYPART_ARC
(5,11),-0.591699 # DEPENDENCYPART_ARC
(6,2),-2.03745 # DEPENDENCYPART_ARC
(6,3),0.507575 # DEPENDENCYPART_ARC
(6,4),-0.914033 # DEPENDENCYPART_ARC
(6,5),2.4643 # DEPENDENCYPART_ARC
(6,7),-0.0239619 # DEPENDENCYPART_ARC
(6,8),-1.12099 # DEPENDENCYPART_ARC
(6,9),-0.490479 # DEPENDENCYPART_ARC
(6,11),2.04226 # DEPENDENCYPART_ARC
(6,12),-0.445458 # DEPENDENCYPART_ARC
(6,15),0.236218 # DEPENDENCYPART_ARC
(6,22),-0.00746304 # DEPENDENCYPART_ARC
(7,5),-0.660483 # DEPENDENCYPART_ARC
(7,8),3.65664 # DEPENDENCYPART_ARC
(7,9),-1.40683 # DEPENDENCYPART_ARC
(7,10),-0.999532 # DEPENDENCYPART_ARC
(8,3),-1.60593 # DEPENDENCYPART_ARC
