# _root_ Regulované a centrálně stanovené ceny se zjišťují na příslušných orgánech ( tisk , energie , pojištění aj . ) .
#goldHeads=2,5,4,2,7,7,0,7,10,8,17,17,17,17,17,17,10,17,17,0,
#predictedHeads=2,5,4,2,7,7,0,7,10,8,17,15,17,15,7,15,16,17,17,0,
(0,1),-0.906221 # DEPENDENCYPART_ARC
(0,2),-0.653256 # DEPENDENCYPART_ARC
(0,3),-0.644846 # DEPENDENCYPART_ARC
(0,4),-1.17935 # DEPENDENCYPART_ARC
(0,5),-1.75599 # DEPENDENCYPART_ARC
(0,7),-0.271618 # DEPENDENCYPART_ARC
(0,11),-1.12963 # DEPENDENCYPART_ARC
(0,13),-0.999098 # DEPENDENCYPART_ARC
(0,15),-1.16441 # DEPENDENCYPART_ARC
(0,18),1.45719 # DEPENDENCYPART_ARC
(0,20),3.51742 # DEPENDENCYPART_ARC
(1,3),-1.66785 # DEPENDENCYPART_ARC
(2,1),2.52299 # DEPENDENCYPART_ARC
(2,3),0.695687 # DEPENDENCYPART_ARC
(2,4),4.52114 # DEPENDENCYPART_ARC
(2,5),0.166994 # DEPENDENCYPART_ARC
(2,7),0.664186 # DEPENDENCYPART_ARC
(2,8),0.102116 # DEPENDENCYPART_ARC
(2,9),0.835085 # DEPENDENCYPART_ARC
(2,10),-1.72484 # DEPENDENCYPART_ARC
(2,11),-0.32543 # DEPENDENCYPART_ARC
(2,13),-0.472582 # DEPENDENCYPART_ARC
(2,15),-0.878051 # DEPENDENCYPART_ARC
(2,17),-0.471723 # DEPENDENCYPART_ARC
(2,19),-1.20885 # DEPENDENCYPART_ARC
(3,1),-2.19086 # DEPENDENCYPART_ARC
(3,2),-0.73365 # DEPENDENCYPART_ARC
(3,4),-0.924682 # DEPENDENCYPART_ARC
(3,5),-1.54652 # DEPENDENCYPART_ARC
(3,7),-1.63406 # DEPENDENCYPART_ARC
(4,1),-2.23514 # DEPENDENCYPART_ARC
(4,2),0.401667 # DEPENDENCYPART_ARC
(4,3),2.66234 # DEPENDENCYPART_ARC
(4,5),-0.278953 # DEPENDENCYPART_ARC
(4,6),-0.665692 # DEPENDENCYPART_ARC
(4,7),-2.54632 # DEPENDENCYPART_ARC
(4,8),-1.10193 # DEPENDENCYPART_ARC
(5,1),0.661389 # DEPENDENCYPART_ARC
(5,2),2.01207 # DEPENDENCYPART_ARC
