# _root_ Pro investora se připravují informace o podnicích v odvětví , o situaci na trhu , představuje se lokalita a infrastruktura a poskytují se i další nezbytná data .
#goldHeads=4,1,4,21,4,10,6,7,8,5,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
#predictedHeads=4,1,4,0,4,5,6,7,8,21,10,11,12,13,21,21,16,19,16,19,9,21,22,27,27,27,22,0,
(0,1),-0.765219 # DEPENDENCYPART_ARC
(0,2),-1.53989 # DEPENDENCYPART_ARC
(0,4),0.485598 # DEPENDENCYPART_ARC
(0,5),-1.60469 # DEPENDENCYPART_ARC
(0,10),-0.0975499 # DEPENDENCYPART_ARC
(0,15),-0.345339 # DEPENDENCYPART_ARC
(0,16),1.11512 # DEPENDENCYPART_ARC
(0,19),-1.2406 # DEPENDENCYPART_ARC
(0,21),-0.700023 # DEPENDENCYPART_ARC
(0,22),-2.27857 # DEPENDENCYPART_ARC
(0,28),4.79723 # DEPENDENCYPART_ARC
(1,2),3.78361 # DEPENDENCYPART_ARC
(1,4),-1.54653 # DEPENDENCYPART_ARC
(1,5),-4.72898 # DEPENDENCYPART_ARC
(2,1),0.205377 # DEPENDENCYPART_ARC
(2,3),0.469716 # DEPENDENCYPART_ARC
(2,4),-1.6204 # DEPENDENCYPART_ARC
(2,5),-2.30067 # DEPENDENCYPART_ARC
(2,6),-0.364691 # DEPENDENCYPART_ARC
(2,8),-1.18662 # DEPENDENCYPART_ARC
(4,1),2.59532 # DEPENDENCYPART_ARC
(4,2),1.0051 # DEPENDENCYPART_ARC
(4,3),3.65392 # DEPENDENCYPART_ARC
(4,5),3.70224 # DEPENDENCYPART_ARC
(4,6),0.931846 # DEPENDENCYPART_ARC
(4,7),0.107513 # DEPENDENCYPART_ARC
(4,8),0.783533 # DEPENDENCYPART_ARC
(4,9),-1.24442 # DEPENDENCYPART_ARC
(4,10),0.316312 # DEPENDENCYPART_ARC
(4,11),-0.98617 # DEPENDENCYPART_ARC
(4,12),-2.08655 # DEPENDENCYPART_ARC
(4,13),-0.0421118 # DEPENDENCYPART_ARC
(4,14),-2.79858 # DEPENDENCYPART_ARC
(4,15),0.764492 # DEPENDENCYPART_ARC
(4,19),-0.315373 # DEPENDENCYPART_ARC
(4,20),-3.38124 # DEPENDENCYPART_ARC
(4,21),-1.01027 # DEPENDENCYPART_ARC
(4,24),-1.15127 # DEPENDENCYPART_ARC
(4,27),-4.32289 # DEPENDENCYPART_ARC
(5,1),-0.598973 # DEPENDENCYPART_ARC
(5,2),-3.48318 # DEPENDENCYPART_ARC
(5,3),-2.71699 # DEPENDENCYPART_ARC
(5,4),-1.00222 # DEPENDENCYPART_ARC
(5,6),2.53144 # DEPENDENCYPART_ARC
(5,7),0.0704673 # DEPENDENCYPART_ARC
(5,8),0.710622 # DEPENDENCYPART_ARC
(5,11),-0.0943669 # DEPENDENCYPART_ARC
(5,13),0.00273305 # DEPENDENCYPART_ARC
(5,16),-1.6019 # DEPENDENCYPART_ARC
(5,22),-3.00027 # DEPENDENCYPART_ARC
(6,2),-2.21384 # DEPENDENCYPART_ARC
(6,7),4.0315 # DEPENDENCYPART_ARC
(6,9),1.05048 # DEPENDENCYPART_ARC
(6,19),0.118231 # DEPENDENCYPART_ARC
(7,1),-1.61701 # DEPENDENCYPART_ARC
(7,5),-1.87463 # DEPENDENCYPART_ARC
(7,6),-0.325265 # DEPENDENCYPART_ARC
(7,8),1.4678 # DEPENDENCYPART_ARC
(7,9),-0.427871 # DEPENDENCYPART_ARC
(7,10),-0.1419 # DEPENDENCYPART_ARC
(7,11),-0.292595 # DEPENDENCYPART_ARC
(7,13),-0.362363 # DEPENDENCYPART_ARC
(7,16),-1.65869 # DEPENDENCYPART_ARC
(7,21),-1.16864 # DEPENDENCYPART_ARC
(7,22),-2.6653 # DEPENDENCYPART_ARC
(8,6),-0.667627 # DEPENDENCYPART_ARC
(8,7),0.899882 # DEPENDENCYPART_ARC
(8,9),3.98634 # DEPENDENCYPART_ARC
(8,10),-0.326269 # DEPENDENCYPART_ARC
(8,12),0.340777 # DEPENDENCYPART_ARC
(9,6),-0.847461 # DEPENDENCYPART_ARC
(9,7),-2.10324 # DEPENDENCYPART_ARC
(9,8),0.252357 # DEPENDENCYPART_ARC
(9,11),0.104065 # DEPENDENCYPART_ARC
(9,12),-0.986869 # DEPENDENCYPART_ARC
(9,13),0.0688737 # DEPENDENCYPART_ARC
(9,16),-0.700028 # DEPENDENCYPART_ARC
(9,19),-0.435896 # DEPENDENCYPART_ARC
(9,21),-0.46232 # DEPENDENCYPART_ARC
(10,1),0.163793 # DEPENDENCYPART_ARC
(10,2),-0.0684941 # DEPENDENCYPART_ARC
