# _root_ Cigarety Camel , které se v pátek pokusila z Turecka do ČSFR propašovat skupina patnácti osob , byly podle našich informací určeny k prodeji v Praze .
#goldHeads=18,1,8,13,8,8,6,1,13,9,13,11,8,8,16,14,8,0,18,21,19,18,22,23,24,25,0,
#predictedHeads=8,1,8,8,8,8,6,0,8,9,8,11,8,13,16,14,8,22,18,21,19,16,22,23,24,25,0,
(0,1),-0.298175 # DEPENDENCYPART_ARC
(0,2),0.180192 # DEPENDENCYPART_ARC
(0,3),0.152867 # DEPENDENCYPART_ARC
(0,4),-1.67838 # DEPENDENCYPART_ARC
(0,6),-0.606614 # DEPENDENCYPART_ARC
(0,8),0.363666 # DEPENDENCYPART_ARC
(0,11),-1.40639 # DEPENDENCYPART_ARC
(0,13),-0.606661 # DEPENDENCYPART_ARC
(0,15),-1.94701 # DEPENDENCYPART_ARC
(0,17),-0.555006 # DEPENDENCYPART_ARC
(0,18),-0.177266 # DEPENDENCYPART_ARC
(0,22),-1.87088 # DEPENDENCYPART_ARC
(0,27),3.95093 # DEPENDENCYPART_ARC
(1,2),2.05888 # DEPENDENCYPART_ARC
(1,3),-0.127655 # DEPENDENCYPART_ARC
(1,4),-1.38759 # DEPENDENCYPART_ARC
(1,6),-0.154632 # DEPENDENCYPART_ARC
(1,7),-4.18284 # DEPENDENCYPART_ARC
(1,8),0.737129 # DEPENDENCYPART_ARC
(1,9),-1.29538 # DEPENDENCYPART_ARC
(1,11),-0.400968 # DEPENDENCYPART_ARC
(1,13),-0.0181202 # DEPENDENCYPART_ARC
(1,22),-2.09976 # DEPENDENCYPART_ARC
(2,1),0.270848 # DEPENDENCYPART_ARC
(2,3),0.134664 # DEPENDENCYPART_ARC
(2,4),-2.10657 # DEPENDENCYPART_ARC
(2,6),-1.35136 # DEPENDENCYPART_ARC
(2,7),-3.30924 # DEPENDENCYPART_ARC
(2,8),-0.598969 # DEPENDENCYPART_ARC
(2,13),0.289682 # DEPENDENCYPART_ARC
(2,18),-5.27143 # DEPENDENCYPART_ARC
(2,22),-3.22215 # DEPENDENCYPART_ARC
(3,1),-1.02672 # DEPENDENCYPART_ARC
(3,2),-1.29955 # DEPENDENCYPART_ARC
(3,6),-1.601 # DEPENDENCYPART_ARC
(3,8),-0.305228 # DEPENDENCYPART_ARC
(3,13),-1.00187 # DEPENDENCYPART_ARC
(3,17),-1.12224 # DEPENDENCYPART_ARC
(3,18),-2.68626 # DEPENDENCYPART_ARC
(4,3),-0.237086 # DEPENDENCYPART_ARC
