# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,3,5,11,11,11,13,11,6,18,18,18,18,11,20,18,22,18,0,
(0,1),-1.77327 # DEPENDENCYPART_ARC
(0,3),-0.184003 # DEPENDENCYPART_ARC
(0,4),-1.82685 # DEPENDENCYPART_ARC
(0,5),-2.28399 # DEPENDENCYPART_ARC
(0,6),-1.749 # DEPENDENCYPART_ARC
(0,9),-1.18732 # DEPENDENCYPART_ARC
(0,11),-1.58698 # DEPENDENCYPART_ARC
(0,15),-1.21435 # DEPENDENCYPART_ARC
(0,16),-2.9678 # DEPENDENCYPART_ARC
(0,18),-1.33832 # DEPENDENCYPART_ARC
(0,23),2.98488 # DEPENDENCYPART_ARC
(1,2),0.578781 # DEPENDENCYPART_ARC
(1,3),-0.631562 # DEPENDENCYPART_ARC
(1,4),-0.571181 # DEPENDENCYPART_ARC
(1,5),-3.78553 # DEPENDENCYPART_ARC
(1,6),-3.46857 # DEPENDENCYPART_ARC
(1,7),0.159349 # DEPENDENCYPART_ARC
(1,8),-1.72781 # DEPENDENCYPART_ARC
(1,10),-1.7495 # DEPENDENCYPART_ARC
(1,11),-0.665387 # DEPENDENCYPART_ARC
(1,13),-0.370925 # DEPENDENCYPART_ARC
(1,18),-2.1492 # DEPENDENCYPART_ARC
(3,1),3.66055 # DEPENDENCYPART_ARC
(3,2),3.8294 # DEPENDENCYPART_ARC
(3,4),2.41531 # DEPENDENCYPART_ARC
(3,5),1.08423 # DEPENDENCYPART_ARC
(3,6),1.95685 # DEPENDENCYPART_ARC
(3,7),0.194034 # DEPENDENCYPART_ARC
(3,8),-2.93322 # DEPENDENCYPART_ARC
(3,9),-0.0111945 # DEPENDENCYPART_ARC
(3,10),-4.57889 # DEPENDENCYPART_ARC
(3,11),0.00561179 # DEPENDENCYPART_ARC
(3,13),-2.76927 # DEPENDENCYPART_ARC
(3,14),-0.359369 # DEPENDENCYPART_ARC
(3,15),-0.00736014 # DEPENDENCYPART_ARC
(3,20),-3.18971 # DEPENDENCYPART_ARC
(3,22),-3.70847 # DEPENDENCYPART_ARC
(4,1),-2.86837 # DEPENDENCYPART_ARC
(4,5),3.78235 # DEPENDENCYPART_ARC
(4,6),1.52159 # DEPENDENCYPART_ARC
(4,7),-0.0215388 # DEPENDENCYPART_ARC
(4,8),-1.7886 # DEPENDENCYPART_ARC
(4,11),-0.315181 # DEPENDENCYPART_ARC
(5,2),-3.60908 # DEPENDENCYPART_ARC
(5,4),1.47761 # DEPENDENCYPART_ARC
(5,6),1.84675 # DEPENDENCYPART_ARC
(5,7),0.981866 # DEPENDENCYPART_ARC
(5,8),-0.108248 # DEPENDENCYPART_ARC
(5,9),-0.0726778 # DEPENDENCYPART_ARC
(5,10),-0.31669 # DEPENDENCYPART_ARC
(5,11),0.0721925 # DEPENDENCYPART_ARC
(5,12),-1.85212 # DEPENDENCYPART_ARC
(5,13),-0.168673 # DEPENDENCYPART_ARC
(5,14),-1.09781 # DEPENDENCYPART_ARC
(5,18),-1.0312 # DEPENDENCYPART_ARC
(5,19),-3.38327 # DEPENDENCYPART_ARC
(6,1),-4.01696 # DEPENDENCYPART_ARC
(6,2),-3.30515 # DEPENDENCYPART_ARC
(6,3),-1.02982 # DEPENDENCYPART_ARC
(6,4),0.488419 # DEPENDENCYPART_ARC
(6,5),1.86495 # DEPENDENCYPART_ARC
(6,7),0.795806 # DEPENDENCYPART_ARC
(6,8),-0.262875 # DEPENDENCYPART_ARC
(6,9),0.0478623 # DEPENDENCYPART_ARC
(6,10),-1.00694 # DEPENDENCYPART_ARC
(6,11),0.207472 # DEPENDENCYPART_ARC
(6,12),-2.75353 # DEPENDENCYPART_ARC
(6,13),0.372038 # DEPENDENCYPART_ARC
(6,14),-0.52924 # DEPENDENCYPART_ARC
(6,15),-0.270072 # DEPENDENCYPART_ARC
(6,18),-1.02988 # DEPENDENCYPART_ARC
(6,19),-3.21261 # DEPENDENCYPART_ARC
(7,1),-2.29401 # DEPENDENCYPART_ARC
(7,3),-1.80738 # DEPENDENCYPART_ARC
(7,4),-1.59595 # DEPENDENCYPART_ARC
(7,5),-0.644641 # DEPENDENCYPART_ARC
(7,6),-0.502488 # DEPENDENCYPART_ARC
(7,8),-1.30145 # DEPENDENCYPART_ARC
(7,9),-1.15212 # DEPENDENCYPART_ARC
(7,10),-2.2938 # DEPENDENCYPART_ARC
(7,11),-1.13989 # DEPENDENCYPART_ARC
(7,13),-1.37037 # DEPENDENCYPART_ARC
(7,14),-1.47182 # DEPENDENCYPART_ARC
(7,15),-1.5112 # DEPENDENCYPART_ARC
(7,18),-2.35498 # DEPENDENCYPART_ARC
(7,20),-3.46025 # DEPENDENCYPART_ARC
(7,22),-3.06266 # DEPENDENCYPART_ARC
(8,1),-4.03649 # DEPENDENCYPART_ARC
(8,2),-0.556623 # DEPENDENCYPART_ARC
(8,3),-4.01358 # DEPENDENCYPART_ARC
(8,4),-0.883475 # DEPENDENCYPART_ARC
(8,5),-1.85086 # DEPENDENCYPART_ARC
(8,6),-1.67194 # DEPENDENCYPART_ARC
(8,7),0.967783 # DEPENDENCYPART_ARC
(8,9),1.12108 # DEPENDENCYPART_ARC
(8,10),-2.11781 # DEPENDENCYPART_ARC
(8,11),0.188924 # DEPENDENCYPART_ARC
(8,13),-1.95876 # DEPENDENCYPART_ARC
(8,14),-0.587915 # DEPENDENCYPART_ARC
(8,15),-0.580975 # DEPENDENCYPART_ARC
(8,20),-2.46063 # DEPENDENCYPART_ARC
(8,22),-3.92554 # DEPENDENCYPART_ARC
(9,1),0.0785497 # DEPENDENCYPART_ARC
(9,3),0.446433 # DEPENDENCYPART_ARC
(9,4),0.183762 # DEPENDENCYPART_ARC
(9,5),1.61674 # DEPENDENCYPART_ARC
(9,6),1.3787 # DEPENDENCYPART_ARC
(9,7),0.515696 # DEPENDENCYPART_ARC
(9,8),1.98099 # DEPENDENCYPART_ARC
(9,10),1.70403 # DEPENDENCYPART_ARC
(9,12),1.44811 # DEPENDENCYPART_ARC
(9,13),0.0778559 # DEPENDENCYPART_ARC
(9,14),-0.0563396 # DEPENDENCYPART_ARC
(9,15),-0.17248 # DEPENDENCYPART_ARC
(9,18),-1.08427 # DEPENDENCYPART_ARC
(9,22),-2.43923 # DEPENDENCYPART_ARC
(10,8),-2.04605 # DEPENDENCYPART_ARC
(10,9),-0.105217 # DEPENDENCYPART_ARC
(11,1),0.426371 # DEPENDENCYPART_ARC
(11,2),-1.3467 # DEPENDENCYPART_ARC
(11,3),-0.199489 # DEPENDENCYPART_ARC
(11,4),0.102359 # DEPENDENCYPART_ARC
(11,5),1.31595 # DEPENDENCYPART_ARC
(11,6),0.795915 # DEPENDENCYPART_ARC
(11,7),-0.616018 # DEPENDENCYPART_ARC
(11,8),3.02861 # DEPENDENCYPART_ARC
(11,9),2.37349 # DEPENDENCYPART_ARC
(11,10),4.47898 # DEPENDENCYPART_ARC
(11,12),6.54523 # DEPENDENCYPART_ARC
(11,13),0.70511 # DEPENDENCYPART_ARC
(11,14),-0.0171523 # DEPENDENCYPART_ARC
(11,15),-0.117822 # DEPENDENCYPART_ARC
(11,18),-0.575498 # DEPENDENCYPART_ARC
(11,20),-2.76153 # DEPENDENCYPART_ARC
(11,21),-0.294966 # DEPENDENCYPART_ARC
(11,22),-3.2979 # DEPENDENCYPART_ARC
(11,23),-2.0053 # DEPENDENCYPART_ARC
(13,2),-3.46243 # DEPENDENCYPART_ARC
(13,7),0.5001 # DEPENDENCYPART_ARC
(13,8),1.15131 # DEPENDENCYPART_ARC
(13,9),1.27545 # DEPENDENCYPART_ARC
(13,10),1.23139 # DEPENDENCYPART_ARC
(13,11),2.93888 # DEPENDENCYPART_ARC
(13,12),4.52664 # DEPENDENCYPART_ARC
(13,14),0.186617 # DEPENDENCYPART_ARC
(13,16),-4.48743 # DEPENDENCYPART_ARC
(13,18),-0.851309 # DEPENDENCYPART_ARC
(13,19),-3.50194 # DEPENDENCYPART_ARC
(13,21),-5.70653 # DEPENDENCYPART_ARC
(14,3),-2.83878 # DEPENDENCYPART_ARC
(14,13),-2.18449 # DEPENDENCYPART_ARC
(14,15),-1.73999 # DEPENDENCYPART_ARC
(14,18),-2.10386 # DEPENDENCYPART_ARC
(14,19),-2.93597 # DEPENDENCYPART_ARC
(15,1),-1.90162 # DEPENDENCYPART_ARC
(15,3),-0.921642 # DEPENDENCYPART_ARC
