# _root_ Pro tento školní rok není změněno nic , uvažuje se však o systému školného a půjček u vysokoškoláků , zazněly úvahy o podílu na placení středního odborného školství .
#goldHeads=5,4,4,1,11,5,5,11,19,9,0,9,12,15,13,15,15,17,11,19,20,21,22,23,24,28,28,25,0,
#predictedHeads=6,4,4,1,11,5,5,11,11,9,0,9,12,15,13,15,16,17,9,11,20,21,22,23,24,28,28,25,0,
(0,1),-1.35702 # DEPENDENCYPART_ARC
(0,2),-1.53453 # DEPENDENCYPART_ARC
(0,4),-1.80963 # DEPENDENCYPART_ARC
(0,5),-0.499646 # DEPENDENCYPART_ARC
(0,6),-0.332644 # DEPENDENCYPART_ARC
(0,7),-1.6124 # DEPENDENCYPART_ARC
(0,8),-0.427574 # DEPENDENCYPART_ARC
(0,9),-0.285542 # DEPENDENCYPART_ARC
(0,11),0.803123 # DEPENDENCYPART_ARC
(0,15),-1.8546 # DEPENDENCYPART_ARC
(0,19),-0.997348 # DEPENDENCYPART_ARC
(0,20),-0.51801 # DEPENDENCYPART_ARC
(0,29),4.71375 # DEPENDENCYPART_ARC
(1,2),2.24574 # DEPENDENCYPART_ARC
(1,3),0.750064 # DEPENDENCYPART_ARC
(1,4),3.55328 # DEPENDENCYPART_ARC
(2,3),-0.0970803 # DEPENDENCYPART_ARC
(2,4),-0.376977 # DEPENDENCYPART_ARC
(2,5),-2.62009 # DEPENDENCYPART_ARC
(2,6),-0.910051 # DEPENDENCYPART_ARC
(2,8),-0.917442 # DEPENDENCYPART_ARC
(2,9),-4.14175 # DEPENDENCYPART_ARC
(2,15),-1.49167 # DEPENDENCYPART_ARC
(3,1),0.306656 # DEPENDENCYPART_ARC
(3,2),0.281491 # DEPENDENCYPART_ARC
(4,1),0.284288 # DEPENDENCYPART_ARC
(4,2),5.02728 # DEPENDENCYPART_ARC
(4,3),5.49923 # DEPENDENCYPART_ARC
(4,5),-2.06491 # DEPENDENCYPART_ARC
(4,6),-1.95238 # DEPENDENCYPART_ARC
(5,1),1.73804 # DEPENDENCYPART_ARC
(5,2),-1.05947 # DEPENDENCYPART_ARC
(5,3),-2.11049 # DEPENDENCYPART_ARC
(5,4),1.18528 # DEPENDENCYPART_ARC
(5,6),3.19824 # DEPENDENCYPART_ARC
(5,7),1.74231 # DEPENDENCYPART_ARC
(5,8),0.730465 # DEPENDENCYPART_ARC
(5,9),-2.02261 # DEPENDENCYPART_ARC
(5,11),-0.148146 # DEPENDENCYPART_ARC
(5,12),-1.80222 # DEPENDENCYPART_ARC
(5,14),-2.91864 # DEPENDENCYPART_ARC
(5,15),-0.871909 # DEPENDENCYPART_ARC
(5,19),0.0727541 # DEPENDENCYPART_ARC
(6,1),2.32315 # DEPENDENCYPART_ARC
(6,2),-1.98734 # DEPENDENCYPART_ARC
(6,3),-4.01512 # DEPENDENCYPART_ARC
(6,4),-0.842712 # DEPENDENCYPART_ARC
(6,5),1.20937 # DEPENDENCYPART_ARC
(6,8),0.351795 # DEPENDENCYPART_ARC
(6,9),-2.48975 # DEPENDENCYPART_ARC
(6,11),-0.280096 # DEPENDENCYPART_ARC
(6,12),-1.52228 # DEPENDENCYPART_ARC
(6,13),-2.52872 # DEPENDENCYPART_ARC
(6,14),-2.46556 # DEPENDENCYPART_ARC
(6,15),-0.439123 # DEPENDENCYPART_ARC
(6,17),-1.24733 # DEPENDENCYPART_ARC
(6,19),-0.308083 # DEPENDENCYPART_ARC
(7,8),0.292031 # DEPENDENCYPART_ARC
(7,9),0.818323 # DEPENDENCYPART_ARC
(7,11),0.502843 # DEPENDENCYPART_ARC
(7,20),-1.40074 # DEPENDENCYPART_ARC
(8,1),-0.339394 # DEPENDENCYPART_ARC
(8,2),0.379044 # DEPENDENCYPART_ARC
(8,3),-0.864725 # DEPENDENCYPART_ARC
(8,4),-0.0110108 # DEPENDENCYPART_ARC
(8,5),0.955569 # DEPENDENCYPART_ARC
(8,6),0.719153 # DEPENDENCYPART_ARC
(8,7),0.926058 # DEPENDENCYPART_ARC
(8,9),0.380595 # DEPENDENCYPART_ARC
(8,12),-1.28691 # DEPENDENCYPART_ARC
(9,1),1.55359 # DEPENDENCYPART_ARC
(9,2),-2.03927 # DEPENDENCYPART_ARC
(9,3),-2.37589 # DEPENDENCYPART_ARC
(9,4),-0.484995 # DEPENDENCYPART_ARC
(9,5),-0.377262 # DEPENDENCYPART_ARC
(9,6),0.597511 # DEPENDENCYPART_ARC
(9,7),1.35049 # DEPENDENCYPART_ARC
(9,8),1.17152 # DEPENDENCYPART_ARC
(9,10),3.18081 # DEPENDENCYPART_ARC
(9,11),0.893426 # DEPENDENCYPART_ARC
(9,12),1.03326 # DEPENDENCYPART_ARC
(9,13),-0.815319 # DEPENDENCYPART_ARC
(9,14),-0.709199 # DEPENDENCYPART_ARC
(9,15),0.517164 # DEPENDENCYPART_ARC
(9,16),-1.97446 # DEPENDENCYPART_ARC
(9,17),0.361486 # DEPENDENCYPART_ARC
(9,18),-3.44543 # DEPENDENCYPART_ARC
(9,19),0.794253 # DEPENDENCYPART_ARC
(9,20),-3.28393 # DEPENDENCYPART_ARC
(9,21),-0.967802 # DEPENDENCYPART_ARC
(9,22),-0.987424 # DEPENDENCYPART_ARC
(9,23),-3.00613 # DEPENDENCYPART_ARC
(9,24),-0.668007 # DEPENDENCYPART_ARC
(9,25),-3.90495 # DEPENDENCYPART_ARC
(9,26),-4.43258 # DEPENDENCYPART_ARC
(9,28),-3.53003 # DEPENDENCYPART_ARC
(11,1),-1.48325 # DEPENDENCYPART_ARC
(11,2),-2.12756 # DEPENDENCYPART_ARC
(11,4),-1.53448 # DEPENDENCYPART_ARC
(11,5),1.16634 # DEPENDENCYPART_ARC
(11,6),0.766431 # DEPENDENCYPART_ARC
(11,7),-1.56867 # DEPENDENCYPART_ARC
(11,8),1.35745 # DEPENDENCYPART_ARC
(11,9),1.51274 # DEPENDENCYPART_ARC
(11,10),-0.589748 # DEPENDENCYPART_ARC
(11,12),0.10829 # DEPENDENCYPART_ARC
(11,13),-1.18885 # DEPENDENCYPART_ARC
(11,14),-1.37368 # DEPENDENCYPART_ARC
(11,15),0.256124 # DEPENDENCYPART_ARC
(11,16),-2.13085 # DEPENDENCYPART_ARC
(11,17),-0.896819 # DEPENDENCYPART_ARC
(11,19),-0.011356 # DEPENDENCYPART_ARC
(11,20),0.426465 # DEPENDENCYPART_ARC
(12,8),-0.512806 # DEPENDENCYPART_ARC
(12,11),-0.598072 # DEPENDENCYPART_ARC
(12,13),3.73055 # DEPENDENCYPART_ARC
(12,14),-1.46343 # DEPENDENCYPART_ARC
(12,15),1.80067 # DEPENDENCYPART_ARC
(12,16),-4.13542 # DEPENDENCYPART_ARC
(12,19),-0.318892 # DEPENDENCYPART_ARC
(13,10),-3.32954 # DEPENDENCYPART_ARC
(13,11),0.15667 # DEPENDENCYPART_ARC
(13,12),1.07884 # DEPENDENCYPART_ARC
(13,14),3.29037 # DEPENDENCYPART_ARC
(13,15),1.85888 # DEPENDENCYPART_ARC
(13,16),0.00846068 # DEPENDENCYPART_ARC
(13,17),0.936712 # DEPENDENCYPART_ARC
(13,18),-1.36561 # DEPENDENCYPART_ARC
(13,19),-0.17287 # DEPENDENCYPART_ARC
(13,20),-1.84149 # DEPENDENCYPART_ARC
(13,22),-0.20292 # DEPENDENCYPART_ARC
(13,24),-0.562063 # DEPENDENCYPART_ARC
(13,26),-2.34966 # DEPENDENCYPART_ARC
(14,10),-4.6068 # DEPENDENCYPART_ARC
(14,12),-1.86287 # DEPENDENCYPART_ARC
(14,13),-1.68636 # DEPENDENCYPART_ARC
(14,16),0.483889 # DEPENDENCYPART_ARC
(14,17),-0.588746 # DEPENDENCYPART_ARC
(15,1),-1.23376 # DEPENDENCYPART_ARC
(15,2),-0.368234 # DEPENDENCYPART_ARC
(15,3),-0.965695 # DEPENDENCYPART_ARC
(15,4),-1.63013 # DEPENDENCYPART_ARC
(15,5),-0.820303 # DEPENDENCYPART_ARC
(15,6),-0.136108 # DEPENDENCYPART_ARC
(15,8),0.133994 # DEPENDENCYPART_ARC
(15,9),0.589105 # DEPENDENCYPART_ARC
(15,10),0.0645932 # DEPENDENCYPART_ARC
(15,11),0.0366511 # DEPENDENCYPART_ARC
(15,12),-0.283884 # DEPENDENCYPART_ARC
(15,13),1.92922 # DEPENDENCYPART_ARC
(15,14),4.0371 # DEPENDENCYPART_ARC
(15,16),3.19476 # DEPENDENCYPART_ARC
(15,17),0.992424 # DEPENDENCYPART_ARC
